Date,Open,High,Low,Close,Volume
2023-10-30,298,298,283.05,283.05,240443
2023-10-30,298,298,283.05,283.05,240443
2023-10-31,268.9,270,268.9,268.9,29922
2023-11-01,255.45,255.45,255.45,255.45,10717
2023-11-02,243,268,242.75,258.55,166962
2023-11-03,260,271.45,251.25,268.75,151575
2023-11-06,260,270.75,256.5,260.7,69861
2023-11-07,260,269,258.7,266.8,36622
2023-11-08,266.8,280.1,260.15,280.05,361595
2023-11-09,286,290,278.45,284.45,69704
2023-11-10,283.95,289,275,282.05,28240
2023-11-12,288.65,290,282,287.6,26539
2023-11-13,286.95,319,286.9,308.25,138868
2023-11-15,311,320,307.1,309.85,128207
2023-11-16,317,317,308,310.8,96990
2023-11-17,308,313.9,304.25,309.95,66713
2023-11-20,309.95,311.2,302.6,304.25,103306
2023-11-21,307.5,313.9,304,307.15,177056
2023-11-22,310,312.65,299.05,308,367876
2023-11-23,314.9,320,303.3,304.55,88257
2023-11-24,309.15,312.7,305.05,307.85,72477
2023-11-28,314,314.1,300.85,304.6,112409
2023-11-29,304.6,309.95,300.2,301.95,77361
2023-11-30,304.95,307.2,295.4,299.7,145082
2023-12-01,302.25,303.7,295.55,297.5,40373
2023-12-04,301,303,295.55,299.05,60091
2023-12-05,303,303,289.6,292.15,78064
2023-12-06,295,307.95,285.75,287.8,309896
2023-12-07,294.05,294.95,286.7,291.9,50768
2023-12-08,294.8,297.95,289.05,292.8,961433
2023-12-11,297,313.95,295.4,301.75,81627
2023-12-12,306.3,316.4,298,299.4,211602
2023-12-13,303.3,303.3,290.2,298.1,73161
2023-12-14,301.65,302.85,290.25,292.95,272809
2023-12-15,299.9,312.65,292,301.25,188876
2023-12-18,302.4,326.35,300.15,320.95,414651
2023-12-19,323.5,332.9,317.6,328.7,215847
2023-12-20,331.3,338.3,308.2,313.35,259201
2023-12-21,301.1,323.55,301.1,317.15,104934
2023-12-22,323.5,326.7,315.15,324.45,87430
2023-12-26,330.8,330.85,322.3,325.65,48664
2023-12-27,328.75,339.9,318,319.45,74317
2023-12-28,324.9,331.35,318,326.85,84555
2023-12-29,330,334.1,303,310.3,241952
2024-01-01,314.05,318.7,308,316.25,51483
2024-01-02,323,323,305,307.8,86934
2024-01-03,310.05,319.9,310.05,316.3,71413
2024-01-04,319.95,328,305.55,314.55,205160
2024-01-05,316,321.9,311,319.2,85420
2024-01-08,322,322,311,317,80667
2024-01-09,310,325.7,310,314.5,118346
2024-01-10,308.9,320.9,305.6,308.5,105464
2024-01-11,313.35,319.1,308.8,311.25,93657
2024-01-12,322,322,312.1,313.45,50326
2024-01-15,315,320.15,307.55,310.4,92700
2024-01-16,310,313.25,299,300.5,134992
2024-01-17,298.8,307.95,294.55,298,123025
2024-01-18,301.2,301.4,291.5,292.6,95556
2024-01-19,293,303.05,290.7,293.25,92155
2024-01-20,293.25,301,291.45,296.1,30638
2024-01-23,294.1,299,284.55,285.95,47027
2024-01-24,285.45,288.9,279,286.4,124335
2024-01-25,287,295.8,285,288.1,39225
2024-01-29,285,298.85,285,292.85,62325
2024-01-30,295,295,287.1,290.15,43330
2024-01-31,298.85,298.85,282.65,291.85,52769
2024-02-01,291.85,292.05,280,286.85,107666
2024-02-02,285.55,298,282.05,292.1,92999
2024-02-05,296.5,298.95,287.9,290.9,99110
2024-02-06,293.25,299,290.8,297.15,45802
2024-02-07,291.1,304.7,291.1,295.45,101338
2024-02-08,296,301,286,291.6,114989
2024-02-09,291.6,295,283.1,291.1,69126
2024-02-12,290.55,290.55,274,276.3,67839
2024-02-13,275,275.2,266,270.95,62385
2024-02-14,270.95,277.2,264.45,272.15,102984
2024-02-15,276.25,278.85,270,271.25,46576
2024-02-16,274.9,278,270,272.7,67851
2024-02-19,272.7,281,269,274.7,94671
2024-02-20,278.8,278.8,270,271.85,88567
2024-02-21,273.25,280.9,270.1,272.05,60594
2024-02-22,275.25,275.25,255.75,262,213340
2024-02-23,264.6,278.15,264.6,268.35,501690
2024-02-26,268.35,288.05,266.9,278.95,199120
2024-02-27,281.75,287.3,277.25,280.9,65759
2024-02-28,281.3,281.3,271.1,274,67894
2024-02-29,272.9,277.45,261.85,269.7,59147
2024-03-01,271.75,278.35,268.1,269.7,134727
2024-03-02,267.3,278,267.3,273.25,16389
2024-03-04,272.05,274.7,268.65,270.3,88300
2024-03-05,270,273,263.65,265.35,80107
2024-03-06,261.5,272.9,256,261.85,62053
2024-03-07,263.1,265.05,257,264,69042
2024-03-11,265.1,278.5,263.7,268.8,70535
2024-03-12,268.85,269.55,251.1,253.4,220800
