Date,Open,High,Low,Close,Volume
2025-08-28,556,566,527.35,535.35,5830496
2025-08-29,533,545,525.2,527.4,797557
2025-09-01,530,538.5,515,517.35,481507
2025-09-02,518.8,526,513.65,515.65,251102
2025-09-03,534,539,526.25,534.2,484614
2025-09-04,544,573.7,535.7,556.15,1235260
2025-09-05,558.5,560.9,544.05,549.45,294450
2025-09-08,555,572.7,536.25,542.8,893224
2025-09-09,548,552.85,540.3,547,171574
2025-09-10,553.9,559.7,532.45,536.35,350710
2025-09-11,538.5,543.3,532.1,533.3,160023
2025-09-12,538,538.9,518,522,275931
2025-09-15,525,540.4,524.85,538.35,248656
2025-09-16,541.2,547.9,532,538.05,267098
2025-09-17,510,510,493.25,496.4,935849
2025-09-18,497.1,509.9,494,496.65,222879
2025-09-19,497.95,498.9,488,489.85,150111
2025-09-22,489.85,490.4,475.3,476.65,172214
2025-09-23,478.9,490.65,473,486.05,190788
2025-09-24,486,486.8,477.3,479.4,235606
2025-09-25,480.25,481.6,470.5,473.45,112019
2025-09-26,470.6,474.2,461,467.5,126722
2025-09-29,467,495,456,476.1,166192
2025-09-30,477,483,469,478.3,86970
2025-10-01,474,477.05,470.05,473.75,49791
2025-10-03,475,480.85,472.2,475.3,77921
2025-10-06,470,473.85,457.4,460.25,87008
2025-10-07,465,465,449,454.2,212126
2025-10-08,454.6,456.85,446,448.9,71822
2025-10-09,450,451.75,439.95,442.55,74050
2025-10-10,442,479,442,455.6,57161
2025-10-13,458,475,451.8,470.75,131859
2025-10-14,473.95,475.85,449.1,457.2,93503
2025-10-15,464.05,473,457.2,469.25,62168
2025-10-16,465.1,469.15,461.5,463.65,38538
2025-10-17,461.65,487,459,475.6,162828
2025-10-20,477.95,485,475.2,480.8,67786
2025-10-21,483.2,495,483,485.05,101429
2025-10-23,485.5,488.1,462.8,470.2,50111
2025-10-24,470,484,468,477.8,42189
2025-10-27,477,477.3,462.3,465.3,77045
2025-10-28,465.3,475,462.8,464.85,40451
2025-10-29,465.1,475.2,459.5,463.25,206118
2025-10-30,469.5,469.5,460.3,467.15,39800
2025-10-31,471,471,457.2,459.5,89921
2025-11-03,463.9,467.45,455,464.55,162632
2025-11-04,468.95,468.95,458.2,461.15,41288
2025-11-06,456.8,460.55,448.2,449.8,57045
2025-11-07,448.2,483,441.9,476,195852
2025-11-10,465.15,478.45,450.1,451.85,105363
2025-11-11,455,465.6,450.45,462.05,37458
2025-11-12,466,466,455.4,458.15,27899
2025-11-13,460,462,444.05,447.05,49257
2025-11-14,447.05,450.4,444.05,445.4,27793
2025-11-17,446,451.7,446,450.3,18321
2025-11-18,450.3,451.85,443.55,446.2,39055
2025-11-19,449.2,449.2,441.1,442.45,26396
2025-11-20,444.5,446.95,434.55,435.7,50584
2025-11-21,440,440,425,427.4,35534
2025-11-24,422,422,406,409,81146
2025-11-25,411,415,402,403.85,72377
2025-11-26,404.95,417.95,403.85,408.95,73587
2025-11-27,408.5,412.75,401.5,403,55449
2025-11-28,408,408,396.55,399.6,58820
2025-12-01,398.1,404.3,379.7,387.95,138940
2025-12-02,387.95,391.15,382,384.65,134872
2025-12-03,384.65,392.4,375.05,376.45,154189
2025-12-04,380.5,380.5,368,368.7,58570
2025-12-05,372.4,380.95,368.25,370.55,70718
2025-12-08,370.55,371.1,354.25,358.75,121629
2025-12-09,358.75,373.65,355,369.7,85447
2025-12-10,368,374,361.1,362.35,35789
2025-12-11,370,370,361.5,365,55673
2025-12-12,370.75,378.7,366.85,370.2,59996
2025-12-15,367,373.35,363.05,370.95,48418
2025-12-16,371,371,366.05,368.85,26870
2025-12-17,368.1,371,360.05,361.65,46899
2025-12-18,361.65,362.9,352,361.2,42526
2025-12-19,358.35,365.95,358.35,363.05,33325
2025-12-22,368.5,377.5,368.45,374.85,36544
2025-12-23,375,378.4,373.2,375.65,24254
2025-12-24,377.9,390,370,371.45,46150
2025-12-26,371.45,384,370.05,377.65,57209
2025-12-29,377.65,380.05,365,367.8,127647
2025-12-30,364.1,368.8,364.1,365.8,20737
2025-12-31,364,373.25,364,371.65,20949
2026-01-01,371,378,368.6,370.25,19241
2026-01-02,373.9,383.4,367.5,375.75,131516
2026-01-05,379,379.85,370,371.25,38359
2026-01-06,371,371.75,365.4,366.05,30362
2026-01-07,366.05,369,363.1,367.35,19545
2026-01-08,371,371,355.85,357.75,46420
2026-01-09,357,357.25,347.5,350,40874
2026-01-12,348,357.2,345.3,355.05,37317
2026-01-13,357,358.9,350.6,357.15,15830
2026-01-14,351.8,356.4,346.5,347.35,24691
2026-01-16,347.35,349.5,335.1,337.1,51879
2026-01-19,335,336.7,325,327.15,32716
2026-01-20,327.05,327.05,310,311.9,79280
2026-01-21,311.9,325.65,306.5,320.8,55550
2026-01-22,323.1,325.5,301,309.8,279180
2026-01-23,310,312.1,293.1,295.05,86262
2026-01-27,297,300.75,284.85,290.15,115707
2026-01-28,294.95,296.2,277.85,286.85,213041
2026-01-29,285,291,250,264.25,575982
2026-01-30,262.95,268.4,256.15,258.5,91384
2026-02-01,258.5,264,255.1,256.3,38605
2026-02-02,256.3,259.85,244.15,252.8,92192
2026-02-03,263.95,272,257.45,266.75,105332
2026-02-04,266.75,275.8,265.05,274.5,78821
2026-02-05,275,277.7,262,266.3,73793
2026-02-06,268.45,269.9,259.35,266.2,44376
2026-02-09,270,279.4,265.8,278.35,81689
2026-02-10,280.05,286.55,276.35,281.05,79668
2026-02-11,281.05,281.45,271.85,275.6,48234
2026-02-13,278.4,278.4,270,271.1,77461
