Date,Open,High,Low,Close,Volume
2019-11-27,5.47,5.74,5.31,5.31,140000
2019-11-28,5.31,5.34,5.3,5.3,256000
2019-11-29,5.04,5.31,5.04,5.31,66000
2019-12-02,5.31,5.35,5.3,5.3,48000
2019-12-03,5.3,5.3,5.3,5.3,8000
2019-12-04,5.28,5.28,5.28,5.28,24000
2019-12-05,5.29,5.3,5.29,5.3,10000
2019-12-06,5.3,5.31,5.3,5.31,20000
2019-12-10,5.31,5.31,5.29,5.29,28000
2019-12-11,5.39,5.57,5.29,5.37,56000
2019-12-12,5.39,5.39,5.31,5.31,24000
2019-12-13,5.31,5.37,5.31,5.37,6000
2019-12-16,5.27,5.28,5.27,5.27,38000
2019-12-17,5.28,5.31,5.27,5.27,18000
2019-12-18,5.28,5.29,5.28,5.28,58000
2019-12-19,5.28,5.29,5.27,5.27,72000
2019-12-20,5.3,5.32,5.29,5.3,34000
2019-12-23,5.3,5.31,5.3,5.31,50000
2019-12-24,5.32,5.32,5.32,5.32,34000
2019-12-26,5.36,5.4,5.35,5.37,18000
2019-12-27,5.34,5.4,5.32,5.4,16000
2019-12-30,5.37,5.38,5.37,5.38,6000
2019-12-31,5.38,5.38,5.38,5.38,16000
2020-01-01,5.4,5.4,5.4,5.4,4000
2020-01-02,5.4,5.41,5.4,5.41,6000
2020-01-03,5.41,5.41,5.4,5.4,10000
2020-01-06,5.41,5.42,5.41,5.42,18000
2020-01-07,5.43,5.43,5.43,5.43,2000
2020-01-08,5.44,5.44,5.44,5.44,6000
2020-01-09,5.44,5.44,5.44,5.44,2000
2020-01-10,5.45,5.45,5.45,5.45,6000
2020-01-13,5.45,5.45,5.45,5.45,10000
2020-01-14,5.44,5.44,5.43,5.43,8000
2020-01-15,5.43,5.43,5.43,5.43,8000
2020-01-16,5.43,5.43,5.42,5.43,8000
2020-01-17,5.43,5.43,5.43,5.43,6000
2020-01-20,5.46,5.46,5.46,5.46,2000
2020-01-21,5.46,5.46,5.46,5.46,2000
2020-01-22,5.45,5.45,5.45,5.45,2000
