Date,Open,High,Low,Close,Volume
2025-09-30,103.9,103.9,98.7,99.15,1476000
2025-10-01,97,104.1,94.2,103.55,415200
2025-10-03,104,106.25,100.1,102.3,178800
2025-10-06,103.6,107.4,102.1,107.4,247200
2025-10-07,109.45,112.75,107.4,112.55,256800
2025-10-08,116,118.15,113.2,116.8,237600
2025-10-09,113.1,120,111,111,172800
2025-10-10,108.8,110.9,106,106.9,110400
2025-10-13,101.55,109.3,101.55,107.15,19200
2025-10-14,102.25,107.9,101.8,105.25,51600
2025-10-15,107,110,104.1,106,54000
2025-10-16,106,107,102.25,106,32400
2025-10-17,104.95,105,102.55,104.25,20400
2025-10-20,99.2,105,99.2,103.35,18000
2025-10-21,102,102,102,102,1200
2025-10-23,101,103,99,100.4,13200
2025-10-24,100.4,100.4,99,100,10800
2025-10-27,100.1,103.75,100.1,100.6,13200
2025-10-28,96,108,96,105.65,43200
2025-10-29,105,105,103.25,103.5,12000
2025-10-30,103,104,100.6,101,42000
2025-10-31,100,101.55,97.1,101.45,55200
2025-11-03,100,101.2,99,99.2,39600
2025-11-04,97,98.55,97,97.5,10800
2025-11-06,101,101,96,97.95,16800
2025-11-07,97.9,97.9,97,97,2400
2025-11-10,98,102,98,100.8,16800
2025-11-11,102,102,96.4,98.95,54000
2025-11-12,98.2,99.95,91.6,91.85,42000
2025-11-13,92,92.7,88,89,69600
2025-11-14,95,96,91,91,36000
2025-11-17,93.8,93.8,91.25,91.25,79200
2025-11-18,96,100,95.95,99.85,68400
2025-11-19,99.75,100,98,99,22800
2025-11-20,99,99,97.25,98.75,8400
2025-11-21,91.5,99,87,98.8,61200
2025-11-25,90.1,99,90.1,92.6,18000
2025-11-26,92.6,94.9,92.6,93.15,8400
2025-11-27,91.5,92.9,91,92.9,6000
2025-12-01,94.5,96,91,91.9,18000
2025-12-02,92.3,95,91.85,94.8,13200
2025-12-03,94,94,89.1,89.55,6000
2025-12-04,95.9,95.9,88.05,90,13200
2025-12-05,93.95,94.45,88.3,90,9600
2025-12-08,90,90,81,82.35,22800
2025-12-09,84.45,88.8,84.45,88.8,7200
2025-12-10,88.8,95,85,85,68400
2025-12-12,85.2,92,85,89.4,20400
2025-12-15,89.4,92,89.4,92,2400
2025-12-16,93,93,85.25,85.25,2400
2025-12-17,85.4,85.4,85.35,85.35,13200
2025-12-18,85.95,85.95,85.95,85.95,1200
2025-12-19,85.95,86,75,77.5,10800
2025-12-22,84.95,85,73.55,74.25,24000
2025-12-23,74.95,78.9,74.1,78.9,9600
2025-12-24,81,94.65,80,94.45,70800
2025-12-26,95,105,95,104.1,102000
2025-12-29,103.9,105,98.05,100.4,115200
2025-12-30,103.95,104,101,104,33600
2025-12-31,104,110,104,107.45,49200
2026-01-01,109.8,110.9,105.1,105.45,51600
2026-01-02,109.3,110,106.75,106.75,3600
2026-01-05,106.5,106.5,105.3,105.7,8400
2026-01-06,106,106,97,97.45,16800
2026-01-07,94,97.75,93,97.75,14400
2026-01-08,94.75,96.95,93.5,96.85,16800
2026-01-09,93.55,100.05,93.55,100.05,4800
2026-01-12,102.9,104.45,95.1,95.55,15600
2026-01-14,91.55,94,89.5,94,12000
2026-01-16,92.05,93.4,90.15,93.2,4800
2026-01-19,89.15,93.3,89.15,91.3,33600
2026-01-20,90.05,90.05,88.95,89,21600
2026-01-21,89,90,85,85.6,18000
2026-01-22,86.05,86.5,86.05,86.5,52800
2026-01-27,86.5,86.5,86.5,86.5,1200
2026-01-28,81.5,87,81.5,87,61200
2026-01-29,80.1,87,80.1,86.9,51600
2026-01-30,83.6,83.8,81.2,81.45,57600
2026-02-01,81.55,81.55,77.6,80,8400
2026-02-02,81.65,81.65,81.6,81.6,2400
2026-02-03,81,81,78.9,78.9,2400
2026-02-04,80.9,83,80,83,7200
2026-02-09,78.55,81.5,78.5,80,12000
2026-02-10,84.9,85,84,85,6000
