Date,Open,High,Low,Close,Volume
2009-07-16,164.45,166.45,138.38,141.09,12746398
2009-07-17,140,157.51,136.29,154.8,7620828
2009-07-20,155.8,161.11,148.67,158.56,3054583
2009-07-21,157.62,166,152.73,156.65,3132823
2009-07-22,157.93,161.33,154.71,155.8,850811
2009-07-23,159.11,165.33,157.18,161.71,1105962
2009-07-24,162.93,173.56,157.78,168.18,1085233
2009-07-27,172.45,177.25,168.45,172.27,1349016
2009-07-28,170.67,174.67,168.51,170.18,454424
2009-07-29,168.89,171.51,160.53,163.02,671095
2009-07-30,164,167.56,158.25,160.05,241552
2009-07-31,161.33,164.33,157.78,159.13,275738
2009-08-03,159.85,159.85,151.11,152.76,270806
2009-08-04,151.11,156.89,151.11,152.22,277221
2009-08-05,153.29,158.62,152.07,155.42,243241
2009-08-06,157.47,163.69,153.6,155.11,306839
2009-08-07,154.6,156.91,150.16,152.07,140161
2009-08-10,155.45,155.45,147.38,148.96,94462
2009-08-11,147.78,154.62,145.78,151.2,143370
2009-08-12,151.11,151.51,145.93,147.31,102102
2009-08-13,149.33,154.67,149.18,153.65,115851
2009-08-14,154.67,154.67,148.13,150.2,39296
2009-08-17,148,149.45,143.11,144.78,44020
2009-08-18,146.22,147.73,144.45,146.67,107438
2009-08-19,147.91,148.87,142.67,143.65,37878
2009-08-20,144.49,146.67,143.78,145.49,74995
2009-08-21,144.49,146.67,142.22,144.07,35689
2009-08-24,146.27,156.45,144.89,154.96,286810
2009-08-25,155.56,158.22,149.6,150.51,60565
2009-08-26,149.78,154.22,149.78,150.49,29423
2009-08-27,149.33,156.82,148.49,151.71,72136
2009-08-28,153.09,154.2,149.78,150.2,18614
2009-08-31,149.27,154.65,148.89,153.11,38542
2009-09-01,151.56,154.67,147.98,148.76,39930
2009-09-02,152,152,147.11,148.4,14396
2009-09-03,149.78,151,146.67,147.33,11910
2009-09-04,148.89,150.22,147.56,148.09,15092
2009-09-07,150.13,152.45,149.56,151.27,35367
2009-09-08,150.89,152.89,150.22,150.76,29067
2009-09-09,148.89,151.56,147.56,148.16,10063
2009-09-10,149.82,152.45,146.25,147.09,66835
2009-09-11,147.6,149.67,144.45,145.27,15549
2009-09-14,147.56,147.56,145.6,145.93,7860
2009-09-15,145.38,151.11,145.11,150.62,28890
2009-09-16,151.16,151.16,148.49,150.22,41772
2009-09-17,152,152,147.56,147.89,11326
2009-09-18,148.45,148.45,145.82,146.98,16044
2009-09-22,146.71,148.85,143.56,145.85,34863
2009-09-23,144.53,148,141.76,143.27,42238
2009-09-24,141.78,147.11,140.45,144.51,43782
2009-09-25,142.8,157.33,141.78,150.6,80784
2009-09-29,151.11,157.07,148.89,154.45,77446
2009-09-30,154.22,159.91,150,156.4,74103
2009-10-01,155.56,159.07,151.6,152.36,21839
2009-10-05,151.11,151.82,148.02,148.87,12097
2009-10-06,148.89,150.45,147.11,148.67,10754
2009-10-07,156.45,156.45,147.11,147.96,10227
2009-10-08,147.56,155.6,147.56,151.85,41666
2009-10-09,152.22,153.31,149.33,150,18125
2009-10-12,149.78,155.16,148.53,153.42,32577
2009-10-14,154.67,154.67,152.22,152.89,11834
2009-10-15,153.73,159.27,152,157.91,73476
2009-10-16,155.47,158.22,154.22,155.91,19157
2009-10-17,157.78,167.11,154.76,163.47,39734
2009-10-20,163.56,166.62,157.78,159.13,28300
2009-10-21,146.71,160,146.71,156.18,166527
2009-10-22,156,157.25,151.4,152.22,25970
2009-10-23,153.33,157.33,151.18,155.89,26006
2009-10-26,153.56,156.93,151.69,155.42,19668
2009-10-27,152.02,154.09,148,148.91,46198
2009-10-28,149.62,150.53,146.67,149.25,13136
2009-10-29,144.45,155.11,144.45,151.65,30537
2009-10-30,150.69,155.11,148.89,153.13,19431
2009-11-03,151.11,153.22,142.73,148.07,21472
2009-11-04,149.78,156.45,146.67,154.53,45600
2009-11-05,152,155.51,149.8,152.13,60469
2009-11-06,151.22,153.69,150.67,152.09,12866
2009-11-09,153.76,157.33,150.05,153.09,51938
2009-11-10,153.56,155.56,151.65,153.38,23892
2009-11-11,155.09,155.33,152.07,154.93,15275
2009-11-12,154.69,159.11,153.78,158.07,120211
2009-11-13,157.73,159.11,155.56,158.31,14192
2009-11-16,157.76,163.11,155.69,160.18,35440
2009-11-17,160.18,163.96,157.78,162.49,19099
2009-11-18,160.02,165.56,160.02,164.22,24979
2009-11-19,164.22,165.33,160.51,163.25,25487
2009-11-20,161.11,163.56,160.47,162.31,5100
2009-11-23,158.45,162.22,158.45,161.6,6676
2009-11-24,158.45,162.67,158.22,161.05,14789
2009-11-25,159.56,167.11,158.67,164.76,38112
2009-11-26,166.22,167.16,160.67,165.89,25557
2009-11-27,160.89,163.56,156,161.13,27381
2009-11-30,162.98,164.87,160.96,161.73,16230
2009-12-01,163.51,170.85,162.67,166.96,82978
2009-12-02,168.89,175.56,166.45,170.65,147822
2009-12-03,171.11,173.56,169.58,171.34,59264
2009-12-04,167.11,173.2,167.11,171.47,42517
2009-12-07,171.36,177.34,169.89,171.62,29397
2009-12-08,171.11,177.96,170.82,175.09,44651
2009-12-09,162.22,175.56,162.22,173.8,29892
2009-12-10,172,177.74,171.56,175.4,19077
2009-12-11,177.34,182.18,173.87,176.85,76279
2009-12-14,177.34,181.34,175.67,177.91,35978
2009-12-15,178.67,181.78,175.11,176.49,30621
