Date,Open,High,Low,Close,Volume
2003-09-05,17.7,17.73,17.41,17.42,14386
2003-09-08,17.58,17.63,17.44,17.51,3756
2003-09-09,17.67,17.67,17.49,17.5,7782
2003-09-10,18.11,18.11,17.5,17.62,5361
2003-09-11,18.03,18.03,17.54,17.56,9403
2003-09-12,17.67,17.76,17.41,17.5,8148
2003-09-15,17.5,17.58,17.15,17.2,3946
2003-09-16,16.98,17.4,16.91,17.1,4471
2003-09-17,17.14,17.67,16.78,16.94,3873
2003-09-18,16.96,17.27,16.3,16.5,4552
2003-09-19,16.16,17.66,15.99,17.34,10960
2003-09-22,17.41,17.49,17.06,17.32,6452
2003-09-23,17.49,17.49,16.79,16.88,13335
2003-09-24,16.43,17.76,16.43,17.59,3021
2003-09-25,17.49,17.49,17.09,17.3,2904
2003-09-26,17.45,17.54,17.32,17.45,3507
2003-09-29,17.59,18.11,17.49,17.77,12187
2003-09-30,17.76,18.12,17.51,17.82,5687
2003-10-01,17.24,17.94,17.24,17.78,3322
2003-10-03,17.85,17.85,17.43,17.62,12242
2003-10-06,17.67,17.78,17.51,17.73,3177
2003-10-07,17.76,17.89,17.41,17.56,7941
2003-10-08,17.67,17.75,17.24,17.42,3330
2003-10-09,17.4,17.54,16.43,16.59,12228
2003-10-10,17.49,19.31,17.05,18.08,64129
2003-10-13,18.3,21.7,18.3,20.71,144225
2003-10-14,21.23,22.77,20.78,21.1,115436
2003-10-15,21.75,21.84,20.87,21.26,43444
2003-10-16,21.49,21.76,21.14,21.46,56056
2003-10-17,21.45,21.58,20.87,21.13,16020
2003-10-20,21.31,21.4,20.89,21.32,33992
2003-10-21,21.06,21.31,20.43,20.63,15275
2003-10-22,20.07,20.87,19.98,19.99,4631
2003-10-23,20.16,20.34,18.65,18.8,9861
2003-10-24,18.92,19.98,18.65,19.82,39430
2003-10-25,20.51,20.51,19.89,20.09,4367
2003-10-27,20.43,20.65,19.09,19.28,8227
2003-10-28,19.14,20.24,19.14,20.02,15327
2003-10-29,20.16,20.2,19.54,19.75,13877
2003-10-30,19.55,19.98,19.55,19.84,9110
2003-10-31,20.16,20.25,19.71,19.84,11328
2003-11-03,21.14,21.14,19.85,20.28,10233
2003-11-04,20.07,20.43,19.54,19.57,9713
2003-11-05,19.64,19.96,19.36,19.52,10831
2003-11-06,19.93,19.93,19.54,19.62,10374
2003-11-07,19.87,20.05,19.65,19.8,12322
2003-11-10,19.8,21.14,19.8,20.86,15460
2003-11-11,20.87,22.73,20.87,22.14,68393
2003-11-12,23.09,23.36,22.48,23.15,68447
2003-11-13,23.53,24.03,22.69,23.98,77218
