Date,Open,High,Low,Close,Volume
2017-04-18,0.8,0.8,0.78,0.8,144000
2017-04-19,0.79,0.79,0.78,0.79,22000
2017-04-20,0.79,0.8,0.78,0.79,42000
2017-04-21,0.78,0.79,0.78,0.79,18000
2017-04-24,0.79,0.8,0.79,0.8,32000
2017-04-25,0.8,0.8,0.78,0.79,28000
2017-04-26,0.78,0.79,0.78,0.78,14000
2017-04-27,0.79,0.79,0.78,0.79,8000
2017-04-28,0.79,0.8,0.78,0.8,24000
2017-05-03,0.8,0.81,0.78,0.81,16000
2017-05-04,0.8,0.8,0.8,0.8,2000
2017-05-05,0.78,0.78,0.78,0.78,2000
2017-05-08,0.76,0.8,0.74,0.79,12000
2017-05-09,0.78,0.78,0.78,0.78,2000
2017-05-11,0.79,0.8,0.78,0.79,12000
2017-05-12,0.78,0.8,0.78,0.8,8000
2017-05-17,0.8,0.8,0.78,0.78,8000
2017-05-18,0.77,0.8,0.77,0.8,10000
2017-05-19,0.78,0.81,0.78,0.79,10000
2017-05-23,0.78,0.78,0.78,0.78,2000
2017-05-24,0.8,0.8,0.8,0.8,2000
2017-05-25,0.82,0.82,0.82,0.82,4000
2017-05-26,0.78,0.78,0.78,0.78,2000
2017-05-30,0.8,0.8,0.8,0.8,2000
2017-06-02,0.8,0.8,0.78,0.8,10000
2017-06-06,0.8,0.8,0.8,0.8,4000
2017-06-12,0.85,0.85,0.78,0.8,10000
2017-06-14,0.8,0.8,0.8,0.8,4000
2017-06-15,0.8,0.8,0.8,0.8,10000
2017-06-20,0.8,0.8,0.8,0.8,12000
2017-07-03,0.83,0.83,0.8,0.8,4000
2017-07-04,0.8,0.83,0.8,0.83,4000
2017-07-11,0.8,0.8,0.8,0.8,4000
2017-07-20,0.8,0.82,0.8,0.82,16000
2017-07-25,0.83,0.83,0.83,0.83,2000
2017-07-27,0.85,0.85,0.85,0.85,2000
2017-08-14,0.85,0.85,0.82,0.85,14000
2017-08-16,0.85,0.85,0.85,0.85,8000
2017-08-18,0.81,0.81,0.81,0.81,2000
2017-08-24,0.83,0.83,0.83,0.83,2000
2017-08-28,0.85,0.85,0.85,0.85,8000
2017-08-29,0.81,0.81,0.81,0.81,2000
2017-08-31,0.83,0.83,0.82,0.82,16000
2017-09-01,0.83,0.83,0.82,0.82,16000
2017-09-04,0.84,0.84,0.82,0.82,10000
2017-09-05,0.83,0.84,0.83,0.84,14000
2017-09-06,0.83,0.83,0.83,0.83,4000
2017-09-07,0.78,0.84,0.78,0.84,10000
2017-09-08,0.83,0.83,0.83,0.83,4000
2017-09-11,0.83,0.84,0.83,0.84,12000
2017-09-15,0.84,0.84,0.84,0.84,8000
2017-09-19,0.84,0.84,0.84,0.84,6000
2017-09-22,0.85,0.94,0.85,0.87,14000
2017-09-25,0.85,0.87,0.85,0.87,4000
2017-09-27,0.87,0.87,0.87,0.87,2000
2017-09-28,0.89,0.89,0.87,0.87,4000
2017-09-29,0.88,0.88,0.88,0.88,2000
2017-10-09,0.89,0.89,0.89,0.89,2000
2017-10-10,0.92,0.92,0.8,0.8,20000
2017-10-11,0.83,0.83,0.8,0.83,12000
2017-10-13,0.82,0.82,0.82,0.82,2000
2017-10-16,0.81,0.84,0.8,0.83,22000
2017-10-18,0.81,0.82,0.77,0.79,42000
2017-10-19,0.78,0.78,0.78,0.78,2000
2017-10-26,0.82,0.82,0.78,0.79,24000
2017-10-27,0.8,0.8,0.79,0.79,6000
2017-10-30,0.8,0.82,0.79,0.79,74000
2017-10-31,0.8,0.83,0.76,0.83,8000
2017-11-02,0.76,0.83,0.76,0.81,12000
2017-11-06,0.81,0.83,0.8,0.83,10000
2017-11-07,0.83,0.83,0.8,0.81,12000
2017-11-08,0.83,0.83,0.83,0.83,2000
2017-11-14,0.82,0.82,0.82,0.82,2000
2017-11-15,0.83,0.83,0.83,0.83,2000
2017-11-23,0.82,0.83,0.82,0.83,6000
2017-11-24,0.83,0.85,0.78,0.83,24000
2017-11-27,0.78,0.85,0.78,0.85,14000
2017-11-28,0.83,0.85,0.78,0.85,16000
2017-11-29,0.83,0.83,0.83,0.83,16000
2017-11-30,0.83,0.85,0.78,0.85,14000
2017-12-01,0.78,0.83,0.78,0.83,12000
