Date,Open,High,Low,Close,Volume
2024-12-18,440,528,440,528,29575248
2024-12-19,540.2,605,524.3,541.7,43541873
2024-12-20,534,571.3,467.35,487.95,26356018
2024-12-23,514,549.5,477.65,528.55,28550275
2024-12-24,547.25,630,533.05,608.9,63364250
2024-12-26,595,698.3,586,638.65,97213223
2024-12-27,625,672.8,592.5,627.8,79488019
2024-12-30,629.9,658,577,604.3,36769939
2024-12-31,593,621.95,578.1,586.15,18396475
2025-01-01,595.55,615.75,585.65,605.1,28156104
2025-01-02,620,629.8,605.55,615.8,11524128
2025-01-03,618.9,619.9,595.45,600.35,7242917
2025-01-06,601.6,602.7,552.45,561.1,9098194
2025-01-07,565.1,637.8,553.7,609.85,61451586
2025-01-08,603,626.8,595.05,615.05,25565223
2025-01-09,614,617.3,562.25,573.95,9603714
2025-01-10,575.7,587.8,539,551.2,12519650
2025-01-13,544.95,551.35,504.65,509.85,11645406
2025-01-14,521,544.8,513.35,529.5,18105940
2025-01-15,531,531,456.1,466.55,28750850
2025-01-16,480,503.15,459,472.85,28700118
2025-01-17,477,488.4,461.15,471.3,17567583
2025-01-20,476.05,491.5,463,479.2,14201470
2025-01-21,481.75,483.2,453.35,461.2,7921629
2025-01-22,460.25,460.25,433.05,440.6,8055227
2025-01-23,437.9,454.5,418,421.05,9536986
2025-01-24,421.9,427,395,398.1,7719506
2025-01-27,395,414.8,366.6,397.75,20647770
2025-01-28,416.5,437.6,380,414.4,43786451
2025-01-29,423.55,442.95,417.1,426,30487411
2025-01-30,421.7,429.4,412,417.05,13196425
2025-01-31,416,435,410,428.05,10866760
2025-02-01,427.05,437.65,414.1,420,4817154
2025-02-03,412.85,417.8,397.65,406.75,4053301
2025-02-04,406.65,412.45,385.25,402.75,12790142
2025-02-05,396.15,418.8,392.4,404.95,9004474
2025-02-06,409.7,409.7,395.6,399.15,2954516
2025-02-07,400.45,401.2,388,391.15,2592237
2025-02-10,389.85,389.85,365.15,370.6,2919295
2025-02-11,368.7,368.7,345.3,348.7,3683559
2025-02-12,344.85,365.65,330.5,357.4,7117999
2025-02-13,357.95,367.6,347.3,354.55,6267999
2025-02-14,356,358.55,323,326.85,3841592
2025-02-17,320.35,335,313.85,331.15,7221881
2025-02-18,334.55,334.55,309.2,318.3,3444805
2025-02-19,313.8,339.2,310.7,318.35,7006164
2025-02-20,318.3,325.5,316.3,322.7,3536652
2025-02-21,324.4,333.75,308.55,311.35,4078484
2025-02-24,308.8,315,293.45,311,5824563
2025-02-25,311,315.5,304.2,307.5,3115823
2025-02-27,307.35,309.25,288.4,294,2699665
2025-02-28,285,289.3,273.3,275.85,3783202
2025-03-03,277.4,283.2,261.35,279.8,5811008
2025-03-04,271.3,282.4,270.25,276.25,4499739
2025-03-05,278.9,287.95,274.8,276.7,3932692
2025-03-06,279.6,284.7,274.2,279.75,3949478
2025-03-07,280,289.25,277.2,284.95,4245878
2025-03-10,285,287,268.2,273.2,2111602
2025-03-11,269,274.75,261.1,271.45,2556405
2025-03-12,274.65,276.4,266.7,270.9,1681578
2025-03-13,273,276.65,265.55,270.65,1747560
2025-03-17,269.55,269.55,231.1,248.3,18601247
2025-03-18,253,297.95,248.45,297.95,32701471
2025-03-19,310.3,354.4,302.6,333.4,47988697
2025-03-20,331.9,339.1,314.4,316.75,16671324
2025-03-21,318.1,340.5,315.3,320.4,19755762
2025-03-24,325.95,337,323.05,325.25,7318899
2025-03-25,331.05,335,313.65,317.75,4449488
2025-03-26,318.7,319.9,302.25,304.15,3812524
2025-03-27,304,312.85,296.8,310.25,4615190
2025-03-28,312.55,318.3,300,304.05,2345854
2025-04-01,300,304.4,296.15,300.65,1724246
2025-04-02,302.5,311,292.75,309.45,2634275
2025-04-03,301,312,301,304.6,1526179
2025-04-04,304.6,306.15,280.85,283.95,2644048
2025-04-07,251.15,272.9,251.1,267.9,2681567
2025-04-08,276.7,281.3,265.3,271,2158403
2025-04-09,270,270,260.25,262.4,1112401
2025-04-11,269,272.4,264.65,267.35,1347551
2025-04-15,273.4,284.9,269.7,277.85,1684763
2025-04-16,279,287.1,276.1,280.8,1474137
2025-04-17,280.3,280.8,274,278.5,1208070
2025-04-21,280.15,285.15,279.1,280.9,1375687
2025-04-22,282.3,283.7,275.75,278.55,1097014
2025-04-23,281.25,285.15,273.2,279.65,1373079
2025-04-24,279.65,282.45,275,277.2,915389
2025-04-25,277.75,278.7,260,263.65,1445978
2025-04-28,262.95,263.6,257.65,260.8,850604
2025-04-29,262.95,269.35,259,260.15,1188465
2025-04-30,264.8,264.8,251,252.45,861735
2025-05-02,262.95,262.95,245.15,248.25,2046306
2025-05-05,251.35,255.6,242.3,251.7,1286704
