Date,Open,High,Low,Close,Volume
2025-11-14,389,409,371.55,394.45,146856
2025-11-17,399.8,405.85,391.3,395.65,41237
2025-11-18,397.05,404.35,376.2,384.4,39683
2025-11-19,389.05,389.5,375.95,376.9,32580
2025-11-20,386.85,387,378.85,381.3,34731
2025-11-21,374.95,385.95,374.1,378.8,16325
2025-11-24,385,386.5,360,363.75,11121
2025-11-25,368,374,363,372.9,21192
2025-11-26,375.95,375.95,366.3,370.35,4471
2025-11-27,368.5,375,362.05,364.25,7589
2025-11-28,368.1,368.1,361,362.3,3305
2025-12-01,364.15,365.5,355,356.55,3749
2025-12-02,351.95,358.35,335.35,343.65,52034
2025-12-03,323.35,340.9,318.05,324.75,10594
2025-12-04,348.8,348.8,327.9,332,10214
2025-12-05,340.45,347.2,328,334.6,8260
2025-12-08,334.25,334.25,304.5,315.2,4634
2025-12-09,330,333,308.15,325.8,7066
2025-12-10,331.5,342,325,336.8,4960
2025-12-11,329.3,337.5,324.5,332.05,3171
2025-12-12,322.65,348,322.65,345.8,10506
2025-12-15,350,350,329,333,3011
2025-12-16,332.05,345,330,340,9103
2025-12-17,341.3,341.3,326.95,337.95,40927
2025-12-18,334.1,339.65,332.6,337.8,17235
2025-12-19,335,350,328.45,341.55,18311
2025-12-22,370,370,336,342.05,265954
2025-12-23,352.1,352.1,340.2,343.6,4213
2025-12-24,346.5,349,340,341.65,4303
2025-12-26,341.7,349.35,335,342,5986
2025-12-29,348.5,348.5,332.55,337.5,18171
2025-12-30,334.55,340.3,325.05,331.55,24172
2025-12-31,341.5,358.35,325,343.35,37621
2026-01-01,342.65,347,337.5,343.45,2007
2026-01-02,347.95,360,337.5,339.05,19060
2026-01-05,349.1,349.1,333,337.15,82757
2026-01-06,342.4,343.45,330,333.45,3412
2026-01-07,347.95,347.95,332.6,333.6,1360
2026-01-08,340,340.6,331.6,335.85,1670
2026-01-09,315,337.05,315,331.5,330930
2026-01-12,326.5,333.7,322.6,327.05,5701
2026-01-13,331,333.25,315,330.05,2806
2026-01-14,330.05,332.7,287.2,314.35,119892
2026-01-16,315.5,327,304.15,309.8,11397
2026-01-19,309.8,329,305.9,310.5,90505
2026-01-20,305.8,317.8,305.1,307.8,11487
2026-01-21,317.05,319.4,305,309.25,20348
2026-01-22,314.9,318.5,310.2,317.25,34248
2026-01-23,315.65,320,306,309.85,4324
2026-01-27,311,322,305.1,314,7594
2026-01-28,305.2,316.7,305,309.05,13952
2026-01-29,323.1,325,306,316.2,38342
2026-01-30,317.55,330.65,309,325.75,38002
2026-02-01,315,338,311,322.75,5677
2026-02-02,343,343,316.5,324.7,4273
2026-02-03,335.05,338,325,329.75,105197
2026-02-04,343,343,328,330,87464
2026-02-05,340,340,323,329.55,2592
2026-02-06,326.8,335,324.25,330,94194
2026-02-09,365,365,331,331.5,2476
2026-02-10,337,337,327.75,329.95,4591
2026-02-11,332.4,338,325,334.05,7967
