Date,Open,High,Low,Close,Volume
2003-09-05,102.25,110,99.56,106.41,43842
2003-09-08,107.75,111.99,107.5,109.75,54153
2003-09-09,112.5,114,103.75,110.99,63447
2003-09-10,109.5,111.24,106.25,107.53,31206
2003-09-11,114.75,114.75,105.5,108.95,44692
2003-09-12,112.48,112.48,109,110.59,32332
2003-09-15,115,115,105,106.76,21562
2003-09-16,105,111.5,104.5,110.88,20376
2003-09-17,113.24,113.75,110.06,111.35,19968
2003-09-18,112.5,113.5,103.06,105.58,14562
2003-09-19,108.75,111.45,106.25,108.71,13373
2003-09-22,108,111.2,106.25,106.38,19782
2003-09-23,103.76,109.98,103.76,108.96,16995
2003-09-24,108.78,110.25,108.75,109.94,43025
2003-09-25,109.99,110,107.18,109.88,36824
2003-09-26,108.03,116.75,108.03,114.91,71305
2003-09-29,118.24,124.25,116.26,121.33,72817
2003-09-30,122.5,122.5,117.65,118.83,42160
2003-10-01,121.75,122.5,118.66,120.88,12659
2003-10-03,123.35,128.13,117.53,126.36,71871
2003-10-06,128.38,128.75,125,126.79,33341
2003-10-07,130,130,125.18,125.63,57258
2003-10-08,126.25,128.5,120.83,122.84,36175
2003-10-09,128.75,135.85,122.25,123.66,234918
2003-10-10,127.48,136.58,125.5,127.23,98114
2003-10-13,128.75,132.5,128.75,131.35,75294
2003-10-14,129.98,137.5,125.25,134.6,83119
2003-10-15,137.48,137.48,128.75,133.66,43194
2003-10-16,135.25,135.75,127.5,130.85,81045
2003-10-17,129.75,130.5,126.75,129.96,58440
2003-10-20,130.25,133.69,128.5,131.6,46091
2003-10-21,130,130.75,126.25,129.68,47947
2003-10-22,132.5,132.85,127,128.99,27228
2003-10-23,129.95,130.5,128.03,129.58,18407
2003-10-24,126.25,130.75,126.25,129.36,16366
2003-10-25,127.5,130.01,127.03,128.83,6060
2003-10-27,128.75,128.75,124.38,127.63,33824
2003-10-28,129,132.5,127.06,130.69,13469
2003-10-29,130.25,131.24,127.88,129.44,21481
2003-10-30,129.25,131,127.75,129.1,17959
2003-10-31,130.5,137.5,128.63,136.09,56746
2003-11-03,136.48,142.5,135,140.34,73190
2003-11-04,141.31,148,140.75,144.49,80589
2003-11-05,148.73,148.73,141.25,142.31,38148
2003-11-06,142.5,142.5,139.25,141.13,39160
2003-11-07,141.25,143.75,139.29,140.34,43344
2003-11-10,141.5,142.5,138,139.7,17123
2003-11-11,143.75,143.75,137.25,137.55,16971
2003-11-12,140,140,133.25,134.98,61067
2003-11-13,136.25,139.74,116.08,134.21,61611
2003-11-14,136.48,136.48,132.5,133.79,30749
2003-11-15,131.5,132.38,121.25,128.55,7421
2003-11-17,128.53,133.48,128.5,130.24,12697
2003-11-18,131.25,133.75,130,132.88,16312
2003-11-19,131.13,134.43,126.5,132.51,21453
2003-11-20,130,134.24,127.5,129.15,30131
2003-11-21,129.5,129.75,126.23,128.41,7310
2003-11-24,128,132,128,131.09,5380
2003-11-25,134.5,137.5,131.25,136.66,39361
2003-11-27,136.25,144.48,136.23,143.4,73498
2003-11-28,145,147.5,141.51,143.3,53709
2003-12-01,147.5,152.5,145,148.59,39635
2003-12-02,149.75,157.5,145.28,154.03,37219
2003-12-03,158.75,158.75,153.75,157.94,21554
2003-12-04,154.26,159.4,154.26,157.81,20852
2003-12-05,160,160.75,153.01,154.04,8659
2003-12-08,147.5,160,146.75,158.38,9435
2003-12-09,157.5,164.75,150.5,163.83,23480
2003-12-10,159.03,164.48,155.25,159.74,32686
2003-12-11,160.25,161.75,156.5,157.85,3973
2003-12-12,158,162.48,157.5,160.44,14122
2003-12-15,161.83,164.64,160,162.6,2665
2003-12-16,162.5,164.95,157.51,162.51,6895
2003-12-17,155,167.5,137.75,166.51,24316
2003-12-18,168.75,170.73,163.76,164.8,6997
2003-12-19,168,171.25,168,170.31,14782
2003-12-22,172,174.75,171.03,172.84,15736
2003-12-23,172,175,171.25,173.06,39981
2003-12-24,168.88,176.5,168.88,175.6,9579
2003-12-26,178.19,178.19,175,175.43,4032
2003-12-29,175.5,183.75,175.5,181.31,30263
2003-12-30,186.25,199.75,181.5,190.34,35101
2003-12-31,193.75,195,187.56,190.06,34551
2004-01-01,199.34,199.34,187.51,191.51,29722
2004-01-02,202.25,202.25,192.51,197.2,25091
2004-01-05,197.25,200.75,196.38,198.85,52926
2004-01-06,200,201,186.33,193.86,56186
2004-01-07,192.5,196.99,180,182.36,24116
2004-01-08,184.5,195.04,176.25,179.51,153838
2004-01-09,187.44,192.5,165.04,169.96,71534
2004-01-12,168.54,174.44,157.75,162.81,135032
2004-01-13,166.96,167,160,163.35,63789
2004-01-14,163.75,165,161.75,164.36,23458
2004-01-15,167.09,170,162.75,167.36,26971
2004-01-16,163.41,172.25,163.41,168.79,139468
2004-01-19,175,175,166.78,169.83,22669
2004-01-20,176,176.24,157.93,162.89,46152
2004-01-21,156.66,168.75,148.75,165.78,72059
2004-01-22,165,168.75,158.25,159.99,67516
2004-01-23,157.5,160,150.25,157.74,19285
2004-01-27,156.25,159,156.25,158.59,17689
2004-01-28,155.51,160.99,151.78,152.98,10943
2004-01-29,157.25,158.5,151.3,152.79,33809
2004-01-30,150.38,156.48,149.75,150.29,50455
2004-02-03,149.75,152.5,147.64,149.9,17333
2004-02-04,145.5,155,136.4,152.88,7626
2004-02-05,151.75,156,150,152.75,4661
2004-02-06,151.25,155.75,150,155.09,9523
2004-02-09,153.05,160.1,153.05,158.88,17970
2004-02-10,157.5,162.13,156.5,158.11,11358
2004-02-11,160,163.5,158,162.35,13119
2004-02-12,164,165.5,157.75,160.01,5003
2004-02-13,158.51,164.99,156.5,163.35,15141
2004-02-16,166.49,166.5,157.5,158.24,33240
2004-02-17,158.25,160.75,157.5,157.68,6250
2004-02-18,160,160,153.25,155.86,7627
2004-02-19,155,156.49,152.78,155.14,11800
2004-02-20,152.75,156.25,149.53,154.43,6289
2004-02-23,155.75,155.75,147.5,149.99,12429
2004-02-24,154.25,154.25,150,150.18,8244
2004-02-25,149,152.43,149,150.15,17340
2004-02-26,150.75,153.25,149.5,150.39,15293
2004-02-27,154.75,158.5,150.14,155.49,15294
2004-03-01,158.6,159.25,151.4,153.13,8077
2004-03-03,153.34,155,151.38,153.19,5558
2004-03-04,155.99,160,155.63,159.35,17769
2004-03-05,159.5,161,158.75,159.98,7668
2004-03-08,158.75,161.24,155,160.04,14547
2004-03-09,160,167.5,157,163.89,75107
2004-03-10,161.25,164.74,160.25,163.05,78313
2004-03-11,160.58,162.33,157.78,159.93,1487
2004-03-12,157.76,158.75,151.53,154.3,2108
2004-03-15,152,156.75,150.53,150.89,5152
2004-03-16,147.51,151.23,142.76,144.31,22106
2004-03-17,145,148.75,137.9,140.41,9918
2004-03-18,142.5,146.61,142.5,144.06,3388
2004-03-19,144,150,143.05,148.43,3819
2004-03-22,151.25,151.44,145,148.94,6720
2004-03-23,149.75,151.25,141.25,142.75,21863
2004-03-24,141.75,144.49,134.01,136.11,25970
2004-03-25,137.5,137.5,131.28,134.8,15167
2004-03-26,134.75,141.75,133.9,138.05,47019
2004-03-29,144.09,144.49,140.01,141.39,10397
2004-03-30,147.48,165.01,137.5,139.18,8805
2004-03-31,135.63,147.5,135.13,135.89,7071
2004-04-01,136.39,140.15,136.39,138.58,2824
2004-04-02,144.73,148.73,140.5,146.11,17531
2004-04-05,149.75,152.75,147.5,147.91,9790
2004-04-06,152.5,152.5,141.25,143.31,8178
2004-04-07,140.78,152,140.78,148.63,20885
2004-04-08,149.75,163.5,142.5,144.34,370688
2004-04-12,147.5,152.5,144.56,145.7,85393
2004-04-13,153.18,153.18,143,143.84,46150
2004-04-15,145.6,146.48,143.25,143.94,84814
2004-04-16,145,145,140.28,140.69,20089
2004-04-17,141.13,144.46,140,141.8,9133
2004-04-19,150,150,139.75,140.23,19008
2004-04-20,140.25,140.25,136.25,136.65,26437
2004-04-21,135.13,138.7,133.75,135.8,24662
2004-04-22,135.25,139.75,132.3,133.01,61482
2004-04-23,135,137.5,133.55,134.41,21038
2004-04-27,131.25,134.63,122.5,129.79,17147
2004-04-28,130,130,122.5,124.5,43957
2004-04-29,125,128.75,124.01,124.93,26642
2004-04-30,125.5,126,120,122.54,36286
2004-05-03,123.19,123.19,118.28,119.49,32223
2004-05-04,119.06,122.5,119.06,119.75,19624
2004-05-05,121.23,121.25,120.03,120.54,22888
2004-05-06,122.25,124.46,120.56,122.46,13854
2004-05-07,120.56,123.5,120.53,122.49,16083
2004-05-10,123.25,123.49,120.5,121.11,16054
2004-05-11,120,120.88,118.75,119.25,9384
2004-05-12,120.5,125,118.5,121.1,21632
2004-05-13,112.5,125.63,112.5,123.54,24776
2004-05-14,125,127.49,120,121.65,28279
2004-05-17,120,120,98.75,107.74,17055
2004-05-18,106.25,118.73,106.25,115.26,23179
