Date,Open,High,Low,Close,Volume
2025-10-08,105,110.25,102,110.25,3385200
2025-10-09,115.75,115.75,115.75,115.75,373200
2025-10-10,121.5,121.5,121.5,121.5,336000
2025-10-13,119,127.55,115.45,125.95,748800
2025-10-14,132.2,132.2,132.2,132.2,112800
2025-10-15,138.8,138.8,128.05,131.75,276000
2025-10-16,129,136.1,125.2,134.9,241200
2025-10-17,132,135,132,134.1,34800
2025-10-20,136,136,128.15,134.8,78000
2025-10-21,134,137.95,133.15,137.05,33600
2025-10-23,142.9,143,133.5,134.5,183600
2025-10-24,133,133.85,127,130.25,64800
2025-10-27,133.5,133.5,121.05,124.85,103200
2025-10-28,124.85,125,115.1,123.6,73200
2025-10-29,124.75,124.75,120,121.5,103200
2025-10-30,123,132.5,123,129.15,140400
2025-10-31,133,134.95,129,131.3,127200
2025-11-03,130,132.7,125,130.4,66000
2025-11-04,130.4,131.95,127.1,129.15,31200
2025-11-06,132,132,126.55,129,26400
2025-11-07,126,128,119,120,93600
2025-11-10,124.9,124.9,114.1,116.65,224400
2025-11-11,118,123,112.8,114.2,55200
2025-11-12,113.05,116,101,112.8,260400
2025-11-13,115,120,115,117.95,76800
2025-11-14,121,121,112,112.3,33600
2025-11-17,112.65,115,110,110.5,50400
2025-11-18,112.3,112.3,105,106.6,43200
2025-11-19,106.6,108,102.1,106.95,76800
2025-11-20,104,114,104,111.65,163200
2025-11-21,110,110,102,104.9,156000
2025-11-24,104.9,104.9,100.5,102.7,40800
2025-11-25,103.65,109.95,103.65,109.15,67200
2025-11-26,116.9,116.9,110,112.3,49200
2025-11-27,113.5,114,110.5,111.6,45600
2025-11-28,115,115,108,109.25,72000
2025-12-01,111,112.45,108,109,21600
2025-12-02,109.5,112,109,109.1,15600
2025-12-03,109,111.95,109,110.6,39600
2025-12-04,110.6,110.6,109.3,109.5,27600
2025-12-05,109.5,112,109.25,109.65,16800
2025-12-08,109.65,109.65,101,102.3,31200
2025-12-09,101,101.8,97,101.35,72000
2025-12-10,101,101,99,100,58800
2025-12-11,100.5,102,100.5,102,4800
2025-12-12,103.5,109.8,103.5,107.5,79200
2025-12-15,128,128,110.5,110.85,24000
2025-12-17,107.85,107.85,103.8,103.8,13200
2025-12-18,107.9,107.9,102.3,103.3,10800
2025-12-19,106,107.9,106,106,25200
2025-12-22,105,105,102.05,102.25,9600
2025-12-24,102.3,102.4,100,100.7,9600
2025-12-26,101.2,106,101.2,103,22800
2025-12-29,103,103,95.5,95.75,63600
2025-12-30,96.25,105,96.25,103.4,34800
2025-12-31,104,106,103,103,7200
2026-01-01,100.85,103,99.5,103,8400
2026-01-02,104,107.85,101.95,103.65,88800
2026-01-05,100.05,103.05,100.05,103.05,18000
2026-01-06,100.55,103.5,100.55,103,10800
2026-01-07,102.95,102.95,99,100,16800
2026-01-08,98,98.5,95.1,95.75,19200
2026-01-09,95.5,95.5,95.5,95.5,1200
2026-01-12,92.1,99.05,92.1,99.05,6000
2026-01-13,95,98.85,95,98,54000
2026-01-14,98,98,95.5,95.5,48000
2026-01-16,95.5,95.85,92.1,95.85,34800
2026-01-19,91.1,91.2,83.05,86.35,75600
2026-01-20,89.95,95.15,89.95,92.3,15600
2026-01-21,89,89,87,87,3600
2026-01-22,85.15,86,83.4,83.55,43200
2026-01-23,86,90,80.85,83.2,79200
2026-01-27,82,87,72,85.8,62400
2026-01-28,82,87.85,79.95,85.05,148800
2026-01-29,82.55,84.95,78.35,84.9,43200
2026-01-30,81.15,81.15,81,81,3600
2026-02-01,84.4,84.4,78.1,78.5,33600
2026-02-02,78.6,81.5,78.6,81.4,31200
2026-02-03,81.5,84,72,80.65,217200
2026-02-04,79.9,80.65,79.9,80.15,19200
2026-02-05,77.2,77.4,74.25,75.4,26400
2026-02-06,78.35,78.35,72.05,74.65,276000
2026-02-09,74.1,74.85,71.2,74.85,91200
2026-02-10,73.05,74,72,72.75,13200
2026-02-11,72.75,87.3,72.75,86.7,219600
2026-02-13,82,88.5,82,88.45,63600
