Date,Open,High,Low,Close,Volume
2003-09-05,5.65,5.8,5.63,5.68,2750
2003-09-08,5.93,5.95,5.75,5.9,8926
2003-09-09,5.85,6.15,5.85,6.01,13746
2003-09-10,5.9,5.98,5.78,5.8,2405
2003-09-11,6,6,5.62,5.73,4035
2003-09-12,5.67,5.7,5.56,5.61,3115
2003-09-15,5.58,5.61,5.45,5.45,2007
2003-09-16,5.5,5.64,5.5,5.56,4740
2003-09-17,5.64,5.65,5.5,5.51,2995
2003-09-18,5.69,6.21,5.69,5.97,65465
2003-09-19,5.98,6.14,5.8,6.09,31018
2003-09-22,6.14,6.2,5.8,5.94,8244
2003-09-23,6.05,6.1,6,6.01,2598
2003-09-24,6.1,6.7,6.1,6.58,23230
2003-09-25,6.4,6.8,6.4,6.76,15749
2003-09-26,6.75,7.5,6.75,7.03,41861
2003-09-29,7.25,7.25,6.76,6.78,16766
2003-09-30,6.63,6.95,6.63,6.89,8706
2003-10-01,6.88,7.03,6.8,6.83,8150
2003-10-03,7,7.36,7,7.31,20363
2003-10-06,7.61,7.65,7.42,7.49,27434
2003-10-07,7.5,7.75,7.22,7.25,22220
2003-10-08,7.37,7.45,7.3,7.4,13856
2003-10-09,7.5,7.5,7.24,7.27,7500
2003-10-10,7.45,7.45,7.12,7.29,6641
2003-10-13,7.31,7.5,7.16,7.23,8415
2003-10-14,7.2,7.35,6.92,7.03,9989
2003-10-15,7,7.08,6.9,6.91,7155
2003-10-16,6.9,7.01,6.9,6.99,5553
2003-10-17,6.63,6.98,6.63,6.9,4093
2003-10-20,7.04,7.05,6.73,6.8,3589
2003-10-21,6.98,6.98,6.62,6.73,2875
2003-10-22,6.45,6.61,6.42,6.54,3560
2003-10-23,6.48,6.63,6.48,6.62,2661
2003-10-24,6.52,6.64,6.5,6.64,901
2003-10-25,6.7,7,6.7,6.9,6700
2003-10-27,6.95,7.07,6.95,6.97,3035
2003-10-28,7,7.3,6.8,6.8,1920
2003-10-29,6.7,6.84,6.7,6.8,1250
2003-10-30,6.89,7,6.89,6.98,2541
2003-10-31,7.09,7.1,6.9,7.06,4175
2003-11-03,7.2,7.25,6.95,6.98,9663
2003-11-04,7.16,7.16,6.8,6.93,3300
2003-11-05,7.05,7.05,6.85,6.9,5805
2003-11-06,6.73,8.28,6.73,7.8,31873
2003-11-07,8.25,8.4,7.8,8.02,32235
2003-11-10,8.45,8.45,7.86,7.98,1670
2003-11-11,7.83,8.48,7.83,8.22,17761
2003-11-12,8.42,8.5,8.23,8.36,16421
2003-11-13,8.4,8.43,8,8.05,7527
2003-11-14,7.92,7.95,7.5,7.57,4867
2003-11-15,7.6,8,7.6,7.97,1675
2003-11-17,8,8,7.8,7.89,5434
2003-11-18,8,8.15,7.86,7.9,10733
2003-11-19,7.66,7.91,7.66,7.8,4337
2003-11-20,7.7,7.91,7.65,7.69,2766
2003-11-21,7.51,7.53,7.3,7.39,5535
2003-11-24,8,8.19,7.77,8,24498
2003-11-25,8.1,8.7,8,8.49,38232
2003-11-27,8.75,8.95,8.5,8.6,31399
2003-11-28,8.61,9.1,8.6,8.93,28459
2003-12-01,9,9.29,8.91,9.09,26331
2003-12-02,9.29,9.4,9.11,9.27,29807
2003-12-03,9.48,9.55,9.1,9.15,24326
2003-12-04,9.39,9.43,8.86,8.93,15150
2003-12-05,9.8,9.8,8.6,8.67,11710
2003-12-08,8.98,9.17,8.65,8.74,4309
2003-12-09,9.05,9.08,8.7,8.77,14575
2003-12-10,9.19,9.19,8.72,8.81,10133
2003-12-11,9.28,9.28,8.66,8.85,14202
2003-12-12,8.83,8.97,8.56,8.9,9765
2003-12-15,9.19,9.4,8.61,9.01,32939
2003-12-16,8.72,9.2,8.72,9.1,27912
2003-12-17,9.3,9.9,9.11,9.79,50873
2003-12-18,10,10.1,9.6,9.71,21535
2003-12-19,10.2,10.2,9.45,9.93,32855
2003-12-22,10.1,10.89,10.1,10.38,49355
2003-12-23,10.8,10.8,9.52,9.84,16269
2003-12-24,9.91,10.38,9.85,10.08,15608
2003-12-26,10.1,11,10,10.62,32881
2003-12-29,11.25,11.25,10.8,10.91,15812
2003-12-30,10.8,11,10,10.2,35043
2003-12-31,10.4,10.9,10,10.39,52019
