Date,Open,High,Low,Close,Volume
2004-05-28,16.71,19.7,16.71,16.97,238
2004-05-31,17.05,17.05,17.05,17.05,962
2004-06-01,18.91,20.38,16.86,18.07,1200
2004-06-02,18.07,18.07,18.07,18.07,55
2004-06-03,17.43,17.43,17.43,17.43,200
2004-06-04,17.81,17.81,16.75,16.75,96
2004-06-07,16.78,16.78,16.78,16.78,1000
2004-06-08,16.75,18.53,16.75,18.03,550
2004-06-09,16.03,16.67,16.03,16.67,150
2004-06-10,16.82,16.82,16.67,16.67,4060
2004-06-11,16.71,17.05,15.91,15.91,5300
2004-06-14,17.2,17.35,14.97,15.53,7139
2004-06-15,15.91,16.63,14.89,15.72,4609
2004-06-16,15.34,15.34,15.34,15.34,50
2004-06-18,15.5,16.86,15.5,16.44,501
2004-06-21,16.86,17.73,16.29,17.05,2510
2004-06-22,17.05,18.07,16.67,17.05,6157
2004-06-23,16.67,17.24,15.99,16.52,4705
2004-06-24,15.84,17.84,15.53,17.24,1289
2004-06-25,17.43,17.43,17.43,17.43,100
2004-06-28,17.43,18.19,17.16,17.96,7449
2004-06-29,17.88,18.26,17.88,18.26,1800
2004-06-30,17.88,18.07,17.05,17.43,2325
2004-07-01,17.47,19.21,17.43,18,16525
2004-07-02,18.19,18.19,18.03,18.19,1649
2004-07-05,18.56,18.56,17.43,17.62,10300
2004-07-06,17.43,17.84,17.43,17.84,1690
2004-07-07,18.19,18.19,17.43,17.43,1700
2004-07-08,17.24,17.47,17.09,17.24,2040
2004-07-09,17.31,17.31,17.05,17.05,850
2004-07-12,17.96,17.96,17.96,17.96,275
2004-07-13,17.81,18.37,17.81,18.11,1770
2004-07-14,17.81,17.81,17.81,17.81,2000
2004-07-15,18.19,18.56,18.03,18.56,2525
2004-07-16,18.72,19.4,18.72,19.21,6700
2004-07-19,19.7,19.7,19.4,19.55,3601
2004-07-20,19.55,19.55,19.17,19.4,826
2004-07-21,19.4,20.08,19.36,19.4,4800
2004-07-22,20.04,20.08,19.47,19.7,3926
2004-07-23,19.63,19.7,19.63,19.7,4300
2004-07-26,19.17,19.7,19.17,19.7,1050
2004-07-27,19.02,19.89,18.19,19.09,3570
2004-07-28,16.67,20.08,16.67,19.28,1068
2004-07-29,19.63,22.96,18.56,19.09,1962
2004-07-30,19.06,19.32,18.94,18.94,7692
2004-08-02,18.94,19.63,18.72,19.09,1249
2004-08-03,18.94,19.51,18.91,19.32,25100
2004-08-04,19.32,19.7,18.79,19.17,7552
2004-08-05,19.55,21.78,19.28,20.88,34315
2004-08-06,20.46,20.8,19.63,20.57,9265
2004-08-09,17.81,21.75,17.81,21.14,9196
2004-08-10,21.14,21.41,20.12,20.27,10505
2004-08-11,20.5,20.5,19.32,19.51,8629
2004-08-12,19.85,19.85,17.81,18.64,19134
2004-08-13,18.37,19.7,18.37,19.47,8865
2004-08-16,19.47,19.51,18.56,19.47,4768
2004-08-17,19.4,19.4,18.41,18.6,9598
2004-08-18,18.94,19.32,18.68,18.72,10422
2004-08-19,18.91,22.2,18.91,21.18,39828
2004-08-20,21.22,21.56,19.74,19.85,17917
2004-08-23,20.38,20.72,20.08,20.19,12491
2004-08-24,24.25,24.25,20.46,20.65,15411
2004-08-25,20.84,21.18,19.93,20.88,5164
2004-08-26,23.49,23.49,20.95,21.37,9298
2004-08-27,22.58,22.58,21.22,21.29,7789
2004-08-30,21.82,22.5,21.25,22.09,34164
2004-08-31,25.76,25.76,22.81,24.89,84266
2004-09-01,26.9,26.9,24.66,25.01,36845
2004-09-02,24.63,25.35,23.15,23.49,28091
2004-09-03,23.15,24.89,22.73,23.72,23596
2004-09-06,25.27,25.27,23.91,24.13,14473
2004-09-07,24.25,24.93,23.72,23.87,15000
2004-09-08,24.29,24.32,23.53,24.02,12188
2004-09-09,24.25,25.01,23.11,23.87,16220
2004-09-10,24.1,25.31,23.91,24.51,53332
2004-09-13,24.82,25.76,24.1,24.21,49740
2004-09-14,24.97,25.01,23.64,23.91,37966
2004-09-15,23.94,24.13,22.77,23.26,35030
2004-09-16,23.45,24.55,23.15,23.94,70337
2004-09-17,24.25,26.07,23.87,24.29,268910
2004-09-20,25.01,25.54,23.72,23.94,86295
2004-09-21,24.06,24.13,23.34,23.75,13300
2004-09-22,23.79,24.85,23.57,24.1,24161
2004-09-23,24.13,25.04,23.91,24.44,78963
2004-09-24,24.25,24.63,23.94,24.36,99059
2004-09-27,24.74,27.01,24.29,26.37,410674
2004-09-28,26.86,27.54,26.07,26.94,176396
2004-09-29,27.28,31.22,26.98,29.74,433865
2004-09-30,30.92,31.75,29.4,29.59,144429
2004-10-01,31.07,31.07,28.11,28.64,86814
2004-10-04,28.15,30.88,28.15,30.08,141799
2004-10-05,29.17,30.69,28.91,29.02,23934
2004-10-06,28.23,29.85,28.04,28.38,72989
2004-10-07,28.79,31.03,28.68,29.13,86270
2004-10-08,29.55,29.7,28.64,28.98,16756
2004-10-09,29.48,29.51,28.57,28.83,8751
2004-10-11,29.4,29.4,28.04,28.07,21422
2004-10-12,28.38,28.6,26.56,26.71,31216
2004-10-14,26.63,29.17,26.44,27.77,26943
2004-10-15,27.43,27.85,26.63,27.16,11408
2004-10-18,27.96,27.96,25.88,26.14,16586
2004-10-19,26.14,27.28,26.1,26.63,65316
2004-10-20,26.63,27.05,26.44,26.82,12404
2004-10-21,27.66,27.66,25.38,25.5,142135
2004-10-25,26.44,26.52,24.89,25.46,41859
2004-10-26,25.95,26.52,25.23,25.69,12792
2004-10-27,25.76,26.33,25.76,26.1,12828
2004-10-28,26.63,27.09,26.22,26.37,79310
2004-10-29,25.76,26.86,25.76,26.44,10858
2004-11-01,26.52,27.66,26.52,27.35,33102
2004-11-02,27.28,28.04,27.28,27.54,35867
2004-11-03,28.34,28.34,27.54,28.07,51610
2004-11-04,28.76,29.17,28.04,28.45,41617
2004-11-05,28.41,28.79,27.47,28,59292
2004-11-08,28.49,28.95,28.11,28.38,23430
