Date,Open,High,Low,Close,Volume
2003-09-05,56.45,57.35,55.78,56.48,60771
2003-09-08,56.53,60.5,56.5,58.53,87754
2003-09-09,59.5,59.5,56.08,56.4,42945
2003-09-10,58.5,58.5,55,55.95,34732
2003-09-11,56.9,57.95,55.78,56.8,37844
2003-09-12,57.3,58.5,55.25,55.75,43641
2003-09-15,56.5,56.5,52.5,53.63,33232
2003-09-16,53.75,56.58,53.5,56.1,39181
2003-09-17,57.35,58.78,55.5,55.78,69203
2003-09-18,53.65,53.65,50.9,51.18,23105
2003-09-19,52.5,52.85,48.58,51.18,41301
2003-09-22,51.15,51.63,49,49.15,22598
2003-09-23,50.13,50.13,49,49.85,9403
2003-09-24,52.5,52.5,50,50.98,16558
2003-09-25,50.25,51.13,49.3,49.63,23305
2003-09-26,50,51.4,49.13,49.73,17182
2003-09-29,50.68,51.35,49.58,50.03,14856
2003-09-30,50,50.75,49.7,50.23,9735
2003-10-01,51.45,52.4,50.38,51.78,28870
2003-10-03,52,54.5,51.83,53.93,59188
2003-10-06,54.55,57.33,53.85,55.5,90178
2003-10-07,56.93,56.93,54.53,54.8,48884
2003-10-08,55.45,56.75,54.35,55.08,54493
2003-10-09,55.68,56.38,55.13,55.55,31629
2003-10-10,55.98,56.23,53.85,54.43,17493
2003-10-13,55.2,58.6,54.95,56.98,109222
2003-10-14,58.38,58.38,53.65,54.33,82103
2003-10-15,54.28,55.98,53.5,54.8,34535
2003-10-16,55.45,56.85,53.83,54.3,24515
2003-10-17,56.45,56.45,53.75,53.95,17175
2003-10-20,55,55.7,52.78,53.08,17239
2003-10-21,53.5,53.88,50.55,51.28,18536
2003-10-22,51.25,52.83,49.88,50.28,16437
2003-10-23,50.85,51.5,50,50.1,9140
2003-10-24,50.5,50.78,49.1,50.25,11935
2003-10-25,55,55,50.5,51.2,9126
2003-10-27,50.78,51.45,50.1,50.93,16327
2003-10-28,51,51.2,49.5,49.9,7928
2003-10-29,50.25,50.6,49,49.13,10701
2003-10-30,49.7,50.45,49.23,49.75,14851
2003-10-31,49.23,50.75,49.23,49.68,18256
2003-11-03,50,50.08,47.25,47.45,66109
2003-11-04,47.88,48.25,47.28,47.98,33769
2003-11-05,47.75,49.88,47.5,48.05,29946
2003-11-06,49.75,49.75,48.38,48.5,21815
2003-11-07,49.45,49.95,48.05,48.48,24405
2003-11-10,46.15,53.5,46.15,52.2,34624
2003-11-11,55,55,52.75,53.43,56041
2003-11-12,54.4,56.95,53.75,55.25,143643
2003-11-13,56.38,57.9,55,55.25,115974
2003-11-14,56.88,56.88,53.88,54.25,64018
2003-11-15,54.9,55,53.75,54.43,16772
2003-11-17,55.4,61.23,55.13,59.38,306442
2003-11-18,60.5,63.5,59.13,60.38,294042
2003-11-19,60.63,63.7,58.28,60.25,313498
2003-11-20,60.98,62.8,59.55,59.8,194301
2003-11-21,60.2,60.95,56.63,58.65,102469
2003-11-24,58,65.5,57.5,63.65,250317
2003-11-25,64.75,67.45,64.75,65.58,235213
2003-11-27,66.2,67,64.18,65.38,136858
2003-11-28,66,67.68,64.28,64.98,95885
2003-12-01,67.95,72,66.2,71.45,226036
2003-12-02,72.8,73.38,67.78,69.28,123451
2003-12-03,69.9,72.05,69,70.33,115945
2003-12-04,71,75.85,67.5,74.7,281941
2003-12-05,76.1,84.5,75.05,79.78,451810
2003-12-08,80.75,83.45,79.65,81.78,199279
2003-12-09,82.5,87.68,82.23,87.25,246254
2003-12-10,88.68,88.9,85,85.88,214008
2003-12-11,86.25,86.25,80.5,82.7,113026
2003-12-12,83.83,83.83,79.58,81.68,67201
2003-12-15,81,87.75,81,84.85,161383
2003-12-16,85.5,85.5,80.78,82,74232
2003-12-17,80.5,86.63,80.5,85.08,195631
2003-12-18,85.7,87.45,83.08,84.3,137760
2003-12-19,85,86,82.33,82.93,88280
2003-12-22,83.83,83.9,81.25,81.78,58831
2003-12-23,82.85,82.85,78,78.88,66839
2003-12-24,79.05,83.25,78.75,80.73,110828
2003-12-26,81.45,82,79.38,80.2,61197
2003-12-29,81.25,83.23,80.63,81.23,78069
2003-12-30,81.75,81.75,78.55,79.65,90752
2003-12-31,80.45,80.45,75.5,76.25,67285
2004-01-01,76.85,78.23,76.5,77.65,145789
2004-01-02,78.45,83.85,78.4,82.9,270358
2004-01-05,83.73,83.73,80,81.53,103307
2004-01-06,82.5,82.5,76.48,77.33,54292
2004-01-07,79.9,79.9,75.28,77.3,78046
2004-01-08,77.75,80,77.5,78.9,71312
2004-01-09,81.9,85.5,78.1,83.5,353139
2004-01-12,84.85,85.98,80.5,81.1,198998
2004-01-13,81.05,82.03,78.05,79.8,76569
2004-01-14,81.2,82,79.28,79.78,55581
2004-01-15,79.5,81.38,77.75,78.15,39770
2004-01-16,78.05,78.98,72.5,73.75,68855
2004-01-19,73.3,73.9,69.63,71.38,43334
2004-01-20,72.93,73.25,65.5,66.73,53857
2004-01-21,66,67.43,57.05,58.03,98527
2004-01-22,58,63.25,55.58,57.2,71360
2004-01-23,58.65,63.25,58.05,62.5,69283
2004-01-27,64.2,64.2,61.08,62.95,51431
2004-01-28,62.5,66.48,62.08,62.48,83160
2004-01-29,67.88,67.88,60,61.03,43092
2004-01-30,61.65,61.8,57.03,57.43,32561
2004-02-03,58.1,58.65,50.5,51.68,56869
2004-02-04,52.95,62.03,51.5,60.8,105064
2004-02-05,60,62,57.55,58.48,88618
2004-02-06,59,60.7,57,58.5,30990
2004-02-09,59.33,60.4,58.7,59.48,23670
2004-02-10,59.6,62.9,58,60.35,66480
2004-02-11,60.85,61.5,58,58.75,43748
2004-02-12,59.63,59.75,57.75,58.35,21843
2004-02-13,58.93,60.23,58.2,59.68,32086
2004-02-16,60.05,64.95,60.03,63,141292
2004-02-17,63,63,59,60.35,36723
2004-02-18,61.03,62.4,59.6,60.18,29748
2004-02-19,60.08,61.38,53.8,56.7,33648
2004-02-20,57.25,57.5,55.33,57,37528
2004-02-23,57.68,57.68,55.33,56.45,29184
2004-02-24,56,57.63,55.3,55.88,31566
2004-02-25,56.7,56.75,53.5,54.23,19374
2004-02-26,55,56.2,53.35,53.85,21311
2004-02-27,54.88,55.35,52.53,53.95,16571
2004-03-01,54.38,55.63,54.03,54.85,24712
2004-03-03,55,55.9,53.7,54.15,22342
2004-03-04,55,55,52.03,52.3,14419
2004-03-05,52.5,55.5,52.5,55.08,26701
2004-03-08,56,56.43,55.03,55.25,25294
2004-03-09,55.13,56.3,54.13,55.4,19847
2004-03-10,54,56,53.9,55.05,25871
2004-03-11,55,55,54,54.03,15524
2004-03-12,53.78,54,52.28,52.83,19897
2004-03-15,53.5,54.5,51,51.6,24510
2004-03-16,49.68,51.5,49.68,50.85,19544
2004-03-17,51.5,51.7,51,51.13,24167
2004-03-18,52,52,50.6,51,21069
2004-03-19,51.25,51.43,50,50.53,16073
2004-03-22,50.5,50.9,48.18,48.58,24018
2004-03-23,47.88,48.45,46.55,47.95,32592
2004-03-24,47.5,48.85,47.4,47.58,16977
2004-03-25,48.5,50.35,47.8,49.65,24486
2004-03-26,50,51.75,49.8,51.13,15771
2004-03-29,51.5,52.5,50.63,51.88,10168
2004-03-30,52.75,55,52,53.93,17020
2004-03-31,53.6,55.5,53.5,55.13,20600
2004-04-01,55.9,58.08,55.75,57.85,39134
2004-04-02,60,60,56.88,58.48,29890
2004-04-05,60,61.43,59,60.13,38783
2004-04-06,59,60.1,57.05,57.7,18274
2004-04-07,57.53,59.25,55.68,56.63,10828
2004-04-08,56.75,58.25,56.6,57.13,11554
2004-04-12,58.5,58.75,55.5,56.3,13934
2004-04-13,56.5,57.45,56.13,57.13,8711
2004-04-15,64.5,64.5,57.53,59.38,32270
2004-04-16,60.48,63.25,60.03,61.88,63777
2004-04-17,62.5,63,61.55,62.28,8730
2004-04-19,62.55,63.85,58.23,58.78,30796
2004-04-20,59,59.7,58,58.55,11771
2004-04-21,60,61.75,58.55,61.25,21515
2004-04-22,65.7,65.7,58.83,63.73,29822
2004-04-23,64,64.88,63,63.33,24423
2004-04-27,60,60.4,58.03,58.88,15011
2004-04-28,58.95,60.25,57.63,59.35,15162
2004-04-29,59.88,61.75,59.35,59.85,13908
2004-04-30,59.58,60.63,59,59.63,8752
2004-05-03,59.88,59.88,57.15,58.6,17819
2004-05-04,59,61,59,59.45,10774
2004-05-05,60.4,62.25,60.4,61.7,9665
2004-05-06,62.5,63.6,62.5,62.88,19004
2004-05-07,60.1,68.45,60.1,65.33,72601
2004-05-10,64,67.38,62.58,65.25,57624
2004-05-11,66,66,57.58,60.28,27863
2004-05-12,59.5,61.7,59,60.83,28438
2004-05-13,56.25,63.88,53.5,61.85,49189
2004-05-14,63.5,63.5,55.13,55.93,37803
2004-05-17,54.5,54.6,45.05,49.48,43835
2004-05-18,52.85,54.95,50,54.23,28436
2004-05-19,58.43,58.43,55,55.58,31171
2004-05-20,56.53,58.55,56,57.4,35732
2004-05-21,56,57,55.05,56.65,13482
2004-05-24,58,59.2,57.5,58.75,22776
2004-05-25,59.08,62.5,58,60.1,76048
2004-05-26,61.4,62.88,61,61.48,38502
2004-05-27,61.48,62,60,60.23,15238
2004-05-28,60.5,60.6,55.5,56.23,34868
2004-05-31,55,59.45,54,54.43,25484
2004-06-01,57,57.48,55.53,55.7,16156
2004-06-02,55.95,57.2,55.65,55.88,17505
2004-06-03,56.7,57.48,53.83,54.35,20394
2004-06-04,54.5,54.93,50.63,54,17913
2004-06-07,55,55.5,54.23,54.55,13068
2004-06-08,55,55.23,53.95,54.63,12020
2004-06-09,55.5,56.45,55.05,55.4,20811
2004-06-10,54.65,57.05,54.65,56.38,21503
2004-06-11,56,56.88,54.78,55.08,10195
2004-06-14,55.5,55.5,53,53.18,13173
2004-06-15,56,56.1,53.58,54.15,6059
2004-06-16,54.65,55.95,54.5,54.8,10958
2004-06-17,54.28,55.2,53.88,54.9,7329
2004-06-18,54.85,55.5,54,54.28,11049
2004-06-21,54,55.4,53.1,53.38,20898
2004-06-22,53.9,53.9,52.2,52.65,12149
2004-06-23,52.68,52.75,50.65,50.95,11354
2004-06-24,51.45,52.53,50.5,51.2,13445
2004-06-25,52.13,53.23,51.15,52.38,11649
2004-06-28,53.65,55.55,53.08,55.08,20220
2004-06-29,56,58.5,55.18,56.98,89218
2004-06-30,57.5,59,57,57.45,34142
2004-07-01,57.9,58,56.35,56.6,13364
2004-07-02,54.55,57.25,54.53,55.9,13214
2004-07-05,56.5,56.9,55,55.15,28561
2004-07-06,56,56,54.45,55.45,19922
2004-07-07,57.1,57.4,55.35,55.78,23368
2004-07-08,56,57.9,51.2,52.43,64593
2004-07-09,50,60.6,49.63,59.73,134027
2004-07-12,59.75,68.48,59.75,67.15,340244
2004-07-13,67.25,71,65.73,67.93,313548
2004-07-14,68.85,76.23,68.05,75.35,407126
2004-07-15,75,79.95,75,78.53,461015
2004-07-16,79.4,79.83,75.8,77.93,261697
2004-07-19,78,82.1,77.28,79.4,240055
2004-07-20,79.45,79.9,74.5,75.33,114705
2004-07-21,75.5,77.5,74.55,75.95,120681
2004-07-22,76.7,77.5,71.03,71.83,157798
2004-07-23,72.55,74.93,71.93,73.3,214007
