Date,Open,High,Low,Close,Volume
2003-09-05,11.2,11.6,11.12,11.5,3775
2003-09-08,11.52,11.83,11.4,11.72,8204
2003-09-09,11.28,11.76,11.28,11.71,9505
2003-09-10,11.6,11.76,11.6,11.68,6239
2003-09-11,11.8,12.72,11.8,12.18,36092
2003-09-12,11.22,12.43,11.22,11.91,14683
2003-09-15,11.65,11.71,11.2,11.3,9124
2003-09-16,11.74,11.79,11.36,11.7,3645
2003-09-17,11.59,11.73,11.28,11.39,3365
2003-09-18,11.31,11.36,11,11.11,4131
2003-09-19,11.44,11.44,10.8,11.08,5016
2003-09-22,11.06,11.34,11,11.09,2560
2003-09-23,11.04,11.36,10.92,11.26,1697
2003-09-24,11.33,11.55,11.13,11.4,1867
2003-09-25,11.43,11.43,10.96,11.24,2057
2003-09-26,11.19,11.28,11.12,11.25,5889
2003-09-29,11.51,11.67,11.28,11.4,3829
2003-09-30,11.45,11.45,11.28,11.34,2522
2003-10-01,11.51,11.51,11.28,11.47,2262
2003-10-03,11.51,12,11.51,11.88,7721
2003-10-06,11.78,12.1,11.76,11.95,7455
2003-10-07,12.08,12.08,11.68,11.85,9456
2003-10-08,11.86,12.1,11.86,11.98,7375
2003-10-09,12.08,13.28,11.92,13.1,42218
2003-10-10,13.24,13.28,12.5,12.7,20788
2003-10-13,12.88,13.2,12.7,12.95,20428
2003-10-14,12.81,12.96,12.4,12.53,14141
2003-10-15,12.72,12.88,12.4,12.62,7215
2003-10-16,12.72,12.88,12.56,12.67,5086
2003-10-17,10.9,12.88,10.88,12.58,4711
2003-10-20,12.48,12.62,11.92,11.97,9057
2003-10-21,12.16,12.32,11.93,12,7910
2003-10-22,11.98,12,11.68,11.74,3257
2003-10-23,11.8,11.98,11.72,11.8,2768
2003-10-24,11.64,11.84,11.64,11.82,840
2003-10-25,11.76,12,11.72,11.79,1411
2003-10-27,11.79,11.79,11.67,11.67,125
2003-10-28,11.76,11.76,11.62,11.63,506
2003-10-29,11.64,11.76,11.64,11.66,2114
2003-10-30,11.68,12.36,11.65,12.1,1674
2003-10-31,12.12,12.64,12.12,12.42,9658
2003-11-03,12.4,12.55,12.17,12.29,3788
2003-11-04,12.39,12.39,12.16,12.29,2895
2003-11-05,12.09,12.28,11.92,11.93,3375
2003-11-06,12,12.23,11.92,12.17,1415
2003-11-07,12.17,13.2,12.17,12.8,16407
2003-11-10,12.8,13.04,12.65,12.85,5780
2003-11-11,12.65,13.83,12.65,13.61,20418
2003-11-12,13.7,14.32,13.7,13.79,13383
2003-11-13,14,14.56,13.14,13.24,8121
2003-11-14,13.2,13.2,12.67,12.82,5830
2003-11-15,12.8,12.8,12.34,12.47,10046
2003-11-17,12.8,12.95,12.33,12.75,9712
2003-11-18,12.8,12.94,12.62,12.83,7187
2003-11-19,12.8,13.08,12.42,12.72,11323
2003-11-20,12.8,12.91,12.41,12.51,4448
2003-11-21,12.4,12.59,12.1,12.5,4838
2003-11-24,12.7,12.96,12.7,12.76,2451
2003-11-25,12.92,12.96,12.77,12.92,3212
2003-11-27,13.04,13.4,13.01,13.13,9460
2003-11-28,13.2,13.5,12.96,13,7315
2003-12-01,13.44,14,13.29,13.76,23932
2003-12-02,14,14,13.61,13.79,14128
2003-12-03,12.08,14,12.08,13.98,15710
2003-12-04,14.02,14.56,14,14.41,26407
2003-12-05,14.88,15.12,14.4,14.51,20742
2003-12-08,13.24,15.19,13.24,14.9,16694
2003-12-09,15.2,15.6,15.04,15.54,24313
2003-12-10,15.44,15.68,14.96,15.09,10538
2003-12-11,15.2,15.36,14.82,15.07,6142
2003-12-12,14.88,15.19,14.85,14.88,8699
2003-12-15,15.2,15.68,15.2,15.34,10991
2003-12-16,15.28,16.4,15.2,15.76,22139
2003-12-17,15.96,16.71,15.96,16.35,23372
2003-12-18,16.64,17.52,16.4,17.2,33128
2003-12-19,17.6,17.92,16.97,17.15,29265
2003-12-22,17.2,20.46,17.2,19.93,87189
2003-12-23,20.16,20.63,19.38,19.66,49490
2003-12-24,19.91,19.99,19.3,19.53,18114
2003-12-26,19.84,20,19.48,19.59,16409
2003-12-29,19.6,20.07,18.81,19.05,17554
2003-12-30,18.8,19.12,18.04,18.23,20421
2003-12-31,18.84,19.6,18.12,18.78,14541
2004-01-01,19.59,19.59,18.72,19.05,8912
2004-01-02,19.26,19.28,18,18.21,9563
2004-01-05,18.48,18.56,17.71,17.86,12339
2004-01-06,17.63,18,17.3,17.44,8932
2004-01-07,17.45,17.6,16.89,17.42,14148
2004-01-08,17.58,18.24,17.2,18.1,13209
2004-01-09,18.08,18.48,17.28,17.43,9267
2004-01-12,17.39,17.76,16.92,17.02,5948
2004-01-13,17.09,17.2,16,16.85,10939
2004-01-14,16.96,18.72,16.96,18,39134
2004-01-15,18.8,18.8,17.36,17.77,30088
2004-01-16,17.96,17.99,16.8,17.06,13351
2004-01-19,16.24,17.01,16.24,16.84,8043
2004-01-20,17.16,17.39,16.64,16.7,7105
2004-01-21,16.76,16.76,14.4,14.72,15394
2004-01-22,14.48,15.5,13.7,14.82,20056
2004-01-23,14.88,15.76,14.88,15.52,10800
2004-01-27,16,16.8,15.84,16.66,10623
2004-01-28,16.16,16.63,16,16.16,10972
2004-01-29,16,16.32,15.79,15.92,3209
2004-01-30,15.76,15.84,14.82,15.05,4399
2004-02-03,14.81,15.04,13.69,13.92,6566
2004-02-04,13.92,14.08,13.69,13.96,17519
2004-02-05,14.3,14.56,14.01,14.1,5691
2004-02-06,13.6,14.79,13.6,14.04,1583
2004-02-09,14.32,14.4,13.94,14.24,3646
2004-02-10,14.48,15.19,14.2,15.03,7040
2004-02-11,14.8,15.1,14.8,15.04,3951
2004-02-12,14.32,15,14.24,14.7,1357
2004-02-13,14.8,14.99,14.76,14.82,1475
2004-02-16,15.2,15.44,14.8,15.19,3369
2004-02-17,14.65,15,14.65,14.83,1351
2004-02-18,14.65,14.72,14.43,14.56,1114
2004-02-19,14.56,14.56,14,14.13,3385
2004-02-20,14.09,14.09,13.68,13.82,3538
2004-02-23,13.96,13.96,13.3,13.49,1947
2004-02-24,13.8,13.8,13.2,13.43,1208
2004-02-25,13.48,13.48,11.2,13.24,7483
2004-02-26,12.93,13.44,12.92,13.04,1419
2004-02-27,12.56,14.4,12.56,13.05,1129
2004-03-01,13.04,13.2,12.83,13.03,1934
2004-03-03,13.13,13.28,12.8,12.83,1960
2004-03-04,12.74,12.8,12.64,12.66,1896
2004-03-05,12.64,13.26,12.64,13.2,11548
2004-03-08,13.52,13.52,12.88,13.07,2912
2004-03-09,12.8,12.99,12.8,12.94,1814
2004-03-10,12.84,12.88,12.64,12.67,1560
2004-03-11,12.96,12.96,12.56,12.73,627
2004-03-12,12.53,12.64,12.35,12.61,1750
2004-03-15,12.56,12.56,12.02,12.02,7887
2004-03-16,12,12.32,11.73,12.12,3649
2004-03-17,11.76,12.24,11.76,12.16,3245
2004-03-18,12.16,12.22,11.84,11.91,2191
2004-03-19,13.59,13.59,11.85,11.98,2317
2004-03-22,12,12.08,10.88,10.98,5935
2004-03-23,11.52,11.52,10.8,11.02,8194
2004-03-24,10.88,11.27,10.88,11.27,3540
2004-03-25,11.59,11.59,11.21,11.31,3510
