Date,Open,High,Low,Close,Volume
2025-12-17,490,499,463.8,471.25,15351924
2025-12-18,472.5,478.5,456.1,461.7,1470229
2025-12-19,456,469.35,446,449.15,957271
2025-12-22,449,480.5,447.5,465.45,1269078
2025-12-23,465,467.05,457.1,463.5,312809
2025-12-24,462.95,485,461.55,475.4,1421113
2025-12-26,476.95,497,472.7,476.2,1325841
2025-12-29,480.05,490.45,461,463.55,388056
2025-12-30,467.6,470.95,461.85,464.6,231515
2025-12-31,464.9,472.9,461.1,468.7,149985
2026-01-01,468.7,468.7,453.25,455.8,127387
2026-01-02,457,478.15,457,474.4,297576
2026-01-05,474.35,488,472.6,479.9,337094
2026-01-06,475,512.5,475,492.55,1282353
2026-01-07,492,504.5,490.55,503.1,382032
2026-01-08,504,512.05,486.5,490.35,487793
2026-01-09,485.05,501,470.55,496.1,472654
2026-01-12,495,496,479.65,485.6,243411
2026-01-13,490,499.6,473,480,204452
2026-01-14,473,495.25,472.6,493.4,357866
2026-01-16,490,507,487.6,505.25,293120
2026-01-19,507,517.85,504.25,514.5,560942
2026-01-20,515.9,516.95,488.05,494.75,364150
2026-01-21,495,508,476.35,500.9,208948
2026-01-22,500.1,506.4,494.55,496.3,59659
2026-01-23,496.3,514,496.3,508.55,276094
2026-01-27,506,515.25,498.35,511.9,208784
2026-01-28,510.05,517.75,506.05,510.35,95367
2026-01-29,510,516.5,506.7,512.3,69315
2026-01-30,508.3,534.9,505.55,527.7,219872
2026-02-01,527,534.5,510.2,521.35,67442
2026-02-02,521.5,525,512.8,519.75,94440
2026-02-03,530,539,509.8,513.65,98042
2026-02-04,513.5,529.9,510.9,526.4,47446
2026-02-05,529,536.75,516.6,519.95,45275
2026-02-06,519,536.7,515.6,530.35,78495
2026-02-09,534.9,534.9,525,527.65,33173
2026-02-10,529.6,544.15,516.7,535.65,104446
2026-02-11,557,603.8,544.2,581.95,3209741
