Date,Open,High,Low,Close,Volume
2025-06-04,132.75,139.35,132.5,139.35,1832000
2025-06-05,140,140,132.4,136.1,712000
2025-06-06,135.95,135.95,131,131.6,249000
2025-06-09,131.6,136,126.3,134.2,161000
2025-06-10,135,137,132.3,132.95,86000
2025-06-11,135,139.55,135,139.5,155000
2025-06-12,142.45,146.45,142.45,146.45,137000
2025-06-13,146.45,152.75,140.3,147.85,83000
2025-06-16,147.5,152.7,145.5,150.1,48000
2025-06-17,149.9,151,148.3,148.3,32000
2025-06-18,150,151.6,145.25,148,124000
2025-06-19,149.8,151,141,141.35,64000
2025-06-20,141,144,140.3,143.35,24000
2025-06-23,142,146.6,140.75,143.8,29000
2025-06-24,146,146,141.4,142.8,42000
2025-06-25,142.55,147,142.5,143.2,21000
2025-06-26,143.25,143.25,142.1,142.35,22000
2025-06-27,141.35,144.5,141.25,143.5,11000
2025-06-30,148,148,141.5,143.9,26000
2025-07-01,147,147,142.15,142.4,18000
2025-07-02,141.7,144.5,141.7,143.7,31000
2025-07-03,142.05,144,142,143.4,15000
2025-07-04,144.4,144.4,142.15,142.3,12000
2025-07-07,142.25,143.25,140.25,141,39000
2025-07-08,141.5,141.5,139.5,139.85,32000
2025-07-09,141,141.5,140,140.7,15000
2025-07-10,142.7,142.75,142.7,142.75,3000
2025-07-11,143.9,143.9,139.1,141.4,18000
2025-07-14,140,142,138.7,142,30000
2025-07-15,141.1,141.8,140.1,140.1,6000
2025-07-17,140,142.1,140,142.1,16000
2025-07-18,142,143,142,142.9,6000
2025-07-21,142.9,142.9,141.45,141.5,4000
2025-07-22,141.9,142,141.9,142,3000
2025-07-23,141,143,140.1,142.35,25000
2025-07-24,140.25,142.5,139.05,140.6,11000
2025-07-25,140.6,141.5,139.3,139.3,7000
2025-07-28,140,141,138,139.9,29000
2025-07-29,141.5,141.5,138.25,138.25,5000
2025-07-30,138.35,140,138.35,139,6000
2025-07-31,139,140,137,137.05,18000
2025-08-01,139.75,140,137.05,137.4,7000
2025-08-04,142.8,142.8,136.55,139,12000
2025-08-05,137.8,141.25,137.8,138.45,17000
2025-08-06,141,141.6,138.65,140.15,8000
2025-08-07,137.35,141.25,137.35,140.95,14000
2025-08-08,139.3,140.95,138,139.25,13000
2025-08-11,140.9,140.9,140.9,140.9,1000
2025-08-12,143,143,139.1,139.1,5000
2025-08-13,139,141,139,141,2000
2025-08-14,141,141,141,141,1000
2025-08-18,142.5,142.5,139,141,8000
2025-08-19,142.2,142.2,140,140.4,11000
2025-08-20,140.5,140.5,138.1,138.1,7000
2025-08-21,139.55,139.55,138,138.2,9000
2025-08-22,136.1,139,136.1,139,2000
2025-08-25,139,140,139,140,5000
2025-08-26,140,140,139.9,140,7000
2025-08-28,137.95,140,137.95,139.95,6000
2025-08-29,138,140,136.75,137.15,21000
2025-09-01,138,140,138,139.85,11000
2025-09-02,140,140,137,139.7,8000
2025-09-03,141.25,141.25,141.25,141.25,1000
2025-09-04,140,140.9,140,140.9,2000
2025-09-05,139.05,141,139.05,140.7,13000
2025-09-08,141,141,137.75,137.75,3000
2025-09-09,141.9,154.95,141.9,153.1,49000
2025-09-10,154.5,164,154.5,156.65,71000
2025-09-11,156.65,163,156.1,162.35,28000
2025-09-12,161.55,166,161,165,19000
2025-09-15,165,166,161,163.2,17000
2025-09-16,163,167.4,162.25,167.3,20000
2025-09-17,169.95,172,165.5,169,15000
2025-09-18,169.15,171.8,169.15,170.1,11000
2025-09-19,173,173,171,172.4,6000
2025-09-22,172,179,172,177,31000
2025-09-23,176.15,178.85,176.15,178.85,5000
2025-09-24,178.5,183,178,181.35,22000
2025-09-25,180,186,179,179.05,10000
2025-09-26,182.9,183,161.5,166.15,23000
2025-09-29,167.5,174.95,167.5,171,6000
2025-09-30,170,173,162.05,173,14000
2025-10-01,171,171,170,171,4000
2025-10-03,177,179.95,173.15,179.85,10000
2025-10-06,182.9,182.9,179,179,2000
2025-10-07,180,180,174.5,174.5,5000
2025-10-08,170,170.1,170,170,5000
2025-10-09,169,169,169,169,3000
2025-10-10,169,175.5,157,159.2,16000
2025-10-13,159.2,160,159.2,160,3000
2025-10-14,160,160,156,156.2,6000
2025-10-15,161.5,161.5,158.1,158.1,3000
2025-10-16,160,164.85,158.1,164.65,9000
2025-10-17,165.75,166,161.25,161.5,17000
2025-10-20,160,167,160,160.5,6000
2025-10-21,161,171,161,167.95,7000
2025-10-23,163.2,166.95,163.1,166.95,3000
2025-10-24,163.5,166.95,163.5,166.95,2000
2025-10-27,163.7,166.95,163.7,165.3,2000
2025-10-28,167,167,160,161.05,8000
2025-10-29,161.3,162.9,160,162.9,15000
2025-10-30,162.9,165.5,162.5,162.5,3000
2025-10-31,163,163,155,162,16000
2025-11-03,165,165,160,160,14000
2025-11-04,160,164.85,160,162.1,3000
2025-11-06,169,169,161,161,5000
2025-11-07,159,159,157.2,158,3000
2025-11-10,161,161,161,161,1000
2025-11-11,165,175,164.25,173.75,23000
2025-11-12,178.2,178.2,164.1,168.5,25000
2025-11-13,167.55,170.8,164.3,165.15,7000
2025-11-14,162.55,166.95,162.55,166.95,3000
2025-11-17,167,172,167,172,3000
2025-11-18,174,174,168,168.15,4000
2025-11-19,168,168,160.1,161.1,29000
2025-11-20,162.1,163.65,162.1,162.9,5000
2025-11-21,160,162.2,159.3,159.65,10000
2025-11-24,157.25,157.25,157.25,157.25,1000
2025-11-25,157.25,160.5,157.25,159.5,5000
2025-11-26,160,161,160,161,3000
2025-11-27,160.25,161.25,160.25,161,4000
2025-11-28,161,163,161,161.7,8000
2025-12-01,160.2,160.2,160,160.05,3000
2025-12-02,160,192,160,180.15,28000
2025-12-03,187,187,171.05,174,17000
2025-12-04,182,182,174,175.8,11000
2025-12-05,171.6,177.3,171.5,177.3,5000
2025-12-08,177.3,177.3,169,169.5,9000
2025-12-09,175,190,171.65,181.2,20000
2025-12-10,178.1,207,178.1,201,150000
2025-12-11,213,227.7,205,225.2,122000
2025-12-12,225.2,225.2,200.2,209.25,75000
2025-12-15,218.45,229.95,217.05,217.05,19000
2025-12-16,225,231.9,225,229.3,31000
2025-12-17,232,239,222.75,228,21000
2025-12-18,226.9,226.9,215.05,216.75,22000
2025-12-19,218.7,218.7,215,216.6,4000
2025-12-22,223.7,223.7,223.7,223.7,1000
2025-12-23,215.05,217.6,215.05,217.6,4000
2025-12-24,208,214.1,205.9,213,14000
2025-12-26,217,218,212.5,214,23000
2025-12-29,213,213,200,201.6,21000
2025-12-30,204.65,206,200.15,202.35,10000
2025-12-31,204.35,204.35,199.9,199.95,13000
2026-01-01,202.9,203.8,201.95,201.95,3000
2026-01-02,196.55,204.3,196.5,199.5,21000
2026-01-05,198,199.5,198,198.95,3000
2026-01-06,200,200,200,200,1000
2026-01-07,204.9,205.25,202,203,6000
2026-01-08,207,207,203,203,2000
2026-01-09,195.6,195.6,195.6,195.6,1000
2026-01-12,194,201.05,194,200,18000
2026-01-13,200,200,200,200,1000
2026-01-14,200.2,211,195.4,211,24000
2026-01-16,203,209.85,203,209.85,4000
2026-01-19,200.1,202,200.1,202,2000
2026-01-20,198.5,206,190.4,196.05,23000
2026-01-21,196.1,210,193.15,204.35,25000
2026-01-22,196.7,205,196.7,204.75,5000
2026-01-23,195.05,199,195,196,4000
2026-01-27,196,204.3,195,204.3,7000
2026-01-28,204,210,200,201.3,11000
2026-01-29,202,241.55,198.4,239.95,97000
2026-01-30,239.95,239.95,228.5,229.25,7000
2026-02-01,219.15,224,219.05,220.25,5000
2026-02-02,219.95,234.5,219,232.6,10000
2026-02-03,239,239,230,234.9,5000
2026-02-04,239.9,240,237.5,240,8000
2026-02-05,240,246.9,235.35,243.4,13000
2026-02-06,241.45,241.45,241.45,241.45,1000
2026-02-09,241,242.2,227,228.6,24000
2026-02-11,228.1,228.5,228,228,4000
