Date,Open,High,Low,Close,Volume
2008-04-08,102,106.49,100.8,104.76,867
2008-04-09,108,117.9,104.9,112.68,466
2008-04-10,115,120,111.6,115.09,445
2008-04-11,119.9,120,115.64,119.5,361
2008-04-15,119,119.5,108.3,119.48,11860
2008-04-16,122.3,143.37,117.51,143.21,35660
2008-04-17,154,157.5,146,150.58,70700
2008-04-21,142.5,153,142.5,149.73,10500
2008-04-22,149.85,153,145.5,148.11,8310
2008-04-23,149.86,153,141.55,144.39,7220
2008-04-24,144.95,145.99,139.2,141.96,6580
2008-04-25,137.25,137.49,132.7,134.37,5680
2008-04-28,136.2,136.2,131.05,132.5,2060
2008-04-29,135.85,159,133.12,158.62,101430
2008-04-30,165,165,146,148.24,39950
2008-05-02,152.4,152.4,145.51,147.92,12750
2008-05-05,143.05,163.35,143.05,152.38,29960
2008-05-06,148.3,155,143.01,145.7,16960
2008-05-07,145.51,150,142.2,144.07,10530
2008-05-08,143.66,145.8,140.1,141.64,5450
2008-05-09,144.48,148,140,140.71,4490
2008-05-12,136.1,136.1,130.9,132.41,7660
2008-05-13,135.5,139.3,131.51,133.39,12720
2008-05-14,132.1,135,131.5,132.04,3380
2008-05-15,134.5,135.4,132.5,132.78,2420
2008-05-16,137.3,137.3,131.03,134.11,18220
2008-05-20,134.45,140,131.01,134.18,9490
2008-05-21,131.43,135.4,131.43,134.96,1920
2008-05-22,113.6,136,113.6,134.54,3350
2008-05-23,131.71,134.48,129,129.99,3110
2008-05-26,127.1,127.51,123.11,126.26,3530
2008-05-27,127.99,127.99,118.51,119.91,2350
2008-05-28,118.9,121,117.5,118.06,5910
2008-05-29,120,122.9,115,115.29,5430
2008-05-30,114.23,116.98,112.84,114.12,2500
2008-06-02,120.5,120.5,111.01,111.71,6830
2008-06-03,105.2,109.39,95.55,106.3,4040
2008-06-04,105.2,114,102.1,102.64,4190
2008-06-05,104,106.3,101.5,105.78,3860
2008-06-06,102.7,109.59,102.62,106.61,2050
2008-06-09,101.6,101.8,97.31,101.21,2880
2008-06-10,104.5,105,99.2,99.33,2010
2008-06-11,98.3,103,98.3,102.77,890
2008-06-12,98.1,104.5,98.1,102.73,2510
2008-06-13,108.82,108.82,100.92,107.21,4110
2008-06-16,114.9,114.9,106.7,106.8,1340
2008-06-17,105.7,108.39,105.7,106,680
2008-06-18,107.4,109.5,103,104.77,1590
2008-06-19,102,105,102,103.15,3920
2008-06-20,102.01,105.5,97,97.62,3100
2008-06-23,101,101,90.2,93,2380
2008-06-24,90.17,97.9,90.17,91.2,1480
2008-06-25,93.9,94.5,87.5,93.37,4810
2008-06-26,92.12,97.85,92.12,95.88,1340
2008-06-27,91.6,95.05,89.1,90.24,14990
2008-06-30,83.3,91.5,83.3,83.98,2330
2008-07-01,80.37,85.5,76.1,77.69,8650
2008-07-02,82.9,83.8,75.46,81.63,9960
2008-07-03,80.8,85,79.5,83.65,3550
2008-07-04,84,90,81.7,89.24,5610
2008-07-07,97.4,97.45,86.25,89.22,3460
2008-07-08,86.31,89.67,83.82,86.97,1970
2008-07-09,88.6,93.7,88.6,92.3,4340
2008-07-10,88.72,93,88.7,89.87,840
2008-07-11,93,93.49,86.2,87.35,650
2008-07-14,85.5,89.9,84,84.85,2760
2008-07-15,83.5,86,80.9,81.35,2820
