Date,Open,High,Low,Close,Volume
2025-06-03,90,92.5,85.5,90.45,547200
2025-06-04,87.3,88.95,85.95,88.8,183600
2025-06-05,85.2,90.95,84.6,90.4,153600
2025-06-06,88.5,94.9,88.5,94.9,159600
2025-06-09,99.6,99.6,99.6,99.6,16800
2025-06-10,104.55,104.55,95.05,102,459600
2025-06-11,96.9,101.7,96.9,98.25,273600
2025-06-12,98,100,93.75,98,128400
2025-06-13,95.1,101.6,94,100.35,57600
2025-06-16,98.25,101,98.05,99.3,31200
2025-06-17,101,104.8,98.55,102.7,415200
2025-06-18,103.8,106.9,102.05,103.8,506400
2025-06-19,104,106.3,100.5,103.15,290400
2025-06-20,103.15,105,102.3,102.3,48000
2025-06-23,102.25,104.8,98.05,102.7,120000
2025-06-24,101.75,103.4,100.05,101.55,50400
2025-06-25,100.15,100.7,98,98.1,39600
2025-06-26,96.15,98,95.5,95.65,18000
2025-06-27,94.5,100.8,94.5,97.3,9600
2025-06-30,97.3,97.3,95.05,95.5,22800
2025-07-01,96,96.75,91.05,91.7,37200
2025-07-02,91.5,95,88,91.2,45600
2025-07-03,89.5,91.45,89.3,90.95,16800
2025-07-04,90.1,90.2,90,90.05,6000
2025-07-07,91.95,92.5,90,90.65,26400
2025-07-08,90.05,90.95,90,90.45,20400
2025-07-09,89.55,93.8,89.55,92.75,159600
2025-07-10,91.55,93.4,90.9,93.05,178800
2025-07-11,93.5,93.5,90.85,92.2,135600
2025-07-14,92.9,94,91.7,92.1,16800
2025-07-15,94,94,91.25,91.6,9600
2025-07-17,91.8,92,90.15,91.4,141600
2025-07-18,90.4,90.95,90.3,90.3,20400
2025-07-21,92,92,89.5,90.8,25200
2025-07-22,92,92,89,89,22800
2025-07-23,88,91,82.2,86.75,43200
2025-07-24,87.4,87.4,84.1,84.5,18000
2025-07-25,84.85,84.85,81.95,82.1,16800
2025-07-28,81.7,82,80.1,80.2,18000
2025-07-29,79.9,80,77.5,79.9,58800
2025-07-30,79.85,85.85,77.15,83.45,458400
2025-07-31,82,87.2,81.7,86.1,49200
