Date,Open,High,Low,Close,Volume
2003-09-05,37.15,38,36.7,37.55,3218
2003-09-08,35.5,38.2,35.5,36.85,4093
2003-09-09,36.8,37,35.7,36.25,6223
2003-09-10,35.75,37.75,34.95,35.25,5455
2003-09-11,35.3,36.2,34.2,36,5242
2003-09-12,36,36,35.15,35.15,1646
2003-09-15,34.4,36,34,34.55,4503
2003-09-16,34,34.95,33.85,33.9,5115
2003-09-17,34.8,35,32.6,33.05,8900
2003-09-18,33.8,33.8,32.5,32.55,3323
2003-09-19,32.5,33,32.2,32.7,1820
2003-09-22,33,33.5,32.15,32.2,2866
2003-09-23,32.05,34.2,32.05,32.75,1364
2003-09-24,34.9,34.9,32.5,33.45,1381
2003-09-25,33.5,33.85,33,33.5,3255
2003-09-26,33.95,34,33.5,33.75,1972
2003-09-29,33.65,34.7,33.65,34,1994
2003-09-30,34.5,35,34,34.7,2733
2003-10-01,35,35.75,34.2,35.75,2861
2003-10-03,35.5,39,34.55,38.65,23155
2003-10-06,38.9,39,37.5,38.2,8840
2003-10-07,37.55,38,37.1,37.85,10347
2003-10-08,37.45,37.5,36.1,36.15,5165
2003-10-09,36.95,37,35.8,36.5,7235
2003-10-10,37.5,37.5,35.9,36.3,6448
2003-10-13,38.25,38.25,36.35,36.9,5849
2003-10-14,37,37,35.95,36.1,9526
2003-10-15,36.35,36.35,34.8,35.1,7417
2003-10-16,35,36.75,35,36.15,7433
2003-10-17,37.2,37.2,36,36.1,5185
2003-10-20,35.45,36.5,35.4,36.45,6212
2003-10-21,36,36.1,35.05,35.25,6722
2003-10-22,36,36,34.45,35.25,3004
2003-10-23,35.5,35.5,34.75,34.75,900
2003-10-24,37.9,37.9,34.4,34.7,2867
2003-10-27,35,38.8,34.7,36.5,2955
2003-10-28,35.1,36.15,35.1,35.3,904
2003-10-29,36.8,36.8,34.2,34.35,2641
2003-10-30,34.05,35.35,34,34.85,3823
2003-10-31,35.1,35.95,34.3,35.9,1727
2003-11-03,38,38.75,37.5,38.45,20173
2003-11-04,38.9,39,37.55,38.85,12560
2003-11-05,38.5,38.5,37.45,38.15,5023
2003-11-06,38,39,38,38.95,13186
2003-11-07,40,43,39.05,42,30523
2003-11-10,41,44.8,41,44.5,11391
2003-11-11,45.55,45.6,43.55,44.4,28052
2003-11-12,45,48.15,45,46.3,32714
2003-11-13,46.5,48,45.05,45.5,14972
2003-11-14,44.5,46.05,42.5,43.25,16599
2003-11-15,43.1,44.1,43,43.8,3649
2003-11-17,44.2,47.5,44.2,46.9,16119
2003-11-18,47.35,50.25,47.3,48,34288
2003-11-19,47.2,47.95,46.7,47.6,11387
2003-11-20,46.05,48,46.05,46.65,9566
2003-11-21,44.55,46,43.8,44.3,10276
2003-11-24,45,46.4,45,45.3,6702
2003-11-25,45.9,47.5,44.85,46.95,20975
2003-11-27,47,51.2,47,50.25,37467
2003-11-28,51,52.3,48,51.6,20476
2003-12-01,52.3,61.95,51.1,56.5,64616
2003-12-02,59.95,59.95,54,54.7,25123
2003-12-03,55.25,56.3,54,55.7,26634
2003-12-04,59.85,59.85,55.1,55.95,18891
2003-12-05,60,60,55.15,55.9,31959
2003-12-08,55,58,54.1,56.95,12436
2003-12-09,58.45,63.85,57.95,62.45,61204
2003-12-10,65,65,60.1,60.85,26427
2003-12-11,62.5,62.5,57.5,58.05,22516
2003-12-12,59.8,59.8,55.9,56.9,14572
2003-12-15,55.3,60.9,55,58.75,15423
2003-12-16,59.9,60,56.15,58,14695
2003-12-17,59.7,59.7,56,56.6,12557
2003-12-18,57.65,59,57.5,57.95,10279
2003-12-19,59.4,60,58.2,58.9,18110
2003-12-22,58.5,67.75,58.5,63.85,81734
2003-12-23,68,68,63,64.3,32792
2003-12-24,64,65.7,64,64.65,37795
2003-12-26,74.8,74.8,65.2,67.5,30939
2003-12-29,71.9,72.5,69.3,70.25,39264
2003-12-30,70.15,72,66.15,67,26656
2003-12-31,67.5,67.5,64.65,64.9,21273
2004-01-01,66,68.9,65.5,66.7,15002
2004-01-02,67.5,68,64.2,64.9,14178
2004-01-05,72,72,62,63.35,19454
2004-01-06,64.2,67.4,60,60.75,15684
2004-01-07,61.95,61.95,58.65,59.45,10276
2004-01-08,61,63.4,61,61.8,8743
2004-01-09,62.1,63,55.6,60.3,12720
2004-01-12,60.9,60.9,57.75,58.15,5856
2004-01-13,57.85,58.7,57,57.65,4957
2004-01-14,62.45,62.45,58,58.25,9021
2004-01-15,60.65,60.65,56,56.65,12679
2004-01-16,56.5,58.3,54.25,55,12307
2004-01-19,54,56,52,55,4420
2004-01-20,55,56,53,53.3,3895
2004-01-21,52.1,53,50.75,51.25,13436
2004-01-22,52,52,48.6,49.35,6344
2004-01-23,46,54,46,52.9,6215
2004-01-27,53,53.55,52.6,53,9409
2004-01-28,53.05,54.5,51.8,52.05,4319
2004-01-29,52.95,54.2,51,52.15,2780
2004-01-30,49.15,51.85,48.9,50.8,2530
2004-02-03,50.05,50.05,46,46.2,4550
2004-02-04,48.9,49,46.1,47.05,3911
2004-02-05,48.45,48.85,47.5,47.6,3044
2004-02-06,47.5,49.5,47.35,47.5,2104
2004-02-09,47.65,48.95,47.65,48.4,2315
2004-02-10,49.5,49.85,49,49.3,2503
2004-02-11,49.5,50.5,49.1,50.15,5104
2004-02-12,50,50,49.5,49.75,1018
2004-02-13,50.9,50.9,49,49.6,2613
2004-02-16,52.9,52.9,50.25,52.05,3762
2004-02-17,52.9,52.9,51.6,51.75,1947
2004-02-18,56,56,52.05,52.3,3303
2004-02-19,51.2,51.2,49,51,5701
2004-02-20,50.05,50.05,48.85,49.9,6286
2004-02-23,48,50.05,48,48.85,3100
2004-02-24,48.1,49.7,48,48.7,1382
2004-02-25,52.9,52.9,48.15,48.25,2253
2004-02-26,52.8,52.8,47.65,47.7,1255
2004-02-27,48.05,48.05,46.6,46.85,1515
2004-03-01,48,50.85,47,47.4,2461
2004-03-03,54,54,47.5,47.55,2162
2004-03-04,47.2,47.25,45.65,46,1745
2004-03-05,46.5,46.5,45.5,45.75,1350
2004-03-08,52.8,52.8,45.1,46.55,7185
2004-03-09,46.35,47.65,46,46.15,2662
2004-03-10,46,46.9,45.55,45.65,2651
2004-03-11,45.5,46,44.5,44.8,6741
2004-03-12,43.1,46.75,42.25,45.1,3700
2004-03-15,47.8,47.8,42.6,43.5,3150
2004-03-16,40.5,43.9,40.5,43.7,3738
2004-03-17,43.8,44,42.1,42.85,3336
2004-03-18,42.1,43.7,41.8,43.3,7805
2004-03-19,43.7,43.7,42.05,42.1,1630
2004-03-22,42.1,45.3,40.05,40.05,7119
2004-03-23,40.1,40.3,39.6,40,10396
2004-03-24,38,40.95,38,40,5561
2004-03-25,42.2,43,41.05,41.55,2556
2004-03-26,43.9,43.9,42,43.1,2521
