Date,Open,High,Low,Close,Volume
2023-03-28,91.96,96.55,87.36,91.32,1551600
2023-03-29,86.77,86.77,86.77,86.77,7200
2023-03-31,82.44,82.44,82.44,82.44,2400
2023-04-03,78.34,78.34,78.34,78.34,2400
2023-04-05,74.42,74.42,74.42,74.42,439200
2023-04-06,70.72,70.72,70.72,70.72,135600
2023-04-10,67.21,73.92,67.21,67.61,710400
2023-04-11,64.23,66.67,64.23,64.23,159600
2023-04-12,64.01,64.28,61.03,61.03,249600
2023-04-13,58.19,61.03,58.01,58.01,127200
2023-04-17,52.24,54.99,52.24,52.24,529200
2023-04-18,47.33,56.57,47.01,47.01,961200
2023-04-19,43.99,51.7,43.99,51.7,453600
2023-04-20,56.8,56.84,50.53,54.72,384000
2023-04-21,57.7,60.18,54.95,60.18,229200
2023-04-24,63.11,66.17,63.11,66.17,142800
2023-04-25,69.46,69.46,62.88,69.46,355200
2023-04-26,70.23,71.81,65.99,65.99,206400
2023-04-27,66.26,69.28,66.26,69.19,72000
2023-04-28,69.6,71.04,66.04,66.85,39600
2023-05-02,66.85,69.15,63.51,68.06,133200
2023-05-03,68.06,69.42,66.71,67.79,36000
2023-05-04,66.31,71.18,66.31,71.18,73200
2023-05-05,74.65,74.69,74.38,74.69,20400
2023-05-08,78.39,78.39,77.89,78.39,62400
2023-05-09,82.26,82.26,79.42,82.26,40800
2023-05-10,86.37,86.37,84.74,86.37,44400
2023-05-11,90.65,90.65,82.71,85.6,205200
2023-05-12,85.64,86.1,81.32,81.45,100800
2023-05-15,79.33,85.51,77.98,82.53,60000
2023-05-16,85.51,86.64,85.51,86.64,28800
2023-05-17,89.25,90.96,85.55,86.5,55200
2023-05-18,86.5,86.5,82.17,82.44,24000
2023-05-19,79.83,79.83,78.34,78.34,43200
2023-05-22,81.99,82.22,79.33,82.22,38400
2023-05-23,85.64,85.64,78.61,78.7,20400
2023-05-24,78.61,82.62,74.78,74.78,94800
2023-05-25,74.51,76.63,72.12,74.47,44400
2023-05-26,73.47,76,72.57,74.24,54000
2023-05-29,74.24,76.45,74.24,75.95,16800
2023-05-30,74.38,79.74,72.17,79.74,84000
2023-05-31,83.71,83.71,83.71,83.71,24000
2023-06-01,87.85,87.85,82.94,87.36,106800
2023-06-02,87.81,89.61,85.64,89.25,42000
2023-06-05,89.25,93.71,88.35,93.58,110400
2023-06-06,96.91,98.22,92.41,98.22,64800
2023-06-07,103.09,103.09,103.09,103.09,7200
2023-06-08,108.23,108.23,108.23,108.23,13200
2023-06-09,113.64,113.64,105.52,109.94,151200
2023-06-12,107.51,115.39,107.51,115.39,85200
2023-06-13,121.16,121.16,119,121.16,43200
2023-06-14,124.95,127.2,116.79,126.03,54000
2023-06-15,126.21,130.27,121.43,124,76800
2023-06-16,127.07,127.07,117.83,117.83,24000
2023-06-19,112.24,112.69,111.97,111.97,15600
2023-06-20,109.08,117.56,107.33,117.56,86400
2023-06-21,123.42,123.42,121.8,123.28,39600
2023-06-22,126.08,126.21,117.15,117.38,81600
2023-06-23,118.55,119.9,116.3,117.24,12000
2023-06-26,119.9,119.9,112.69,114.09,37200
2023-06-27,115.85,116.3,109.67,112.69,33600
2023-06-28,113.77,113.77,108.23,111.02,14400
2023-06-30,109.17,116.52,109.17,114.81,37200
2023-07-03,117.65,120.53,117.2,120.53,50400
2023-07-04,126.53,126.53,126.53,126.53,2400
