Date,Open,High,Low,Close,Volume
2021-12-23,22.42,23.55,21.32,23.55,2842000
2021-12-27,25.94,25.94,25.94,25.94,158000
2021-12-28,27.23,27.23,27.23,27.23,66000
2021-12-29,28.58,28.58,28.58,28.58,252000
2021-12-30,29.7,30,27.15,30,2104000
2021-12-31,31.5,31.5,31.5,31.5,180000
2022-01-03,33.06,33.06,33.06,33.06,42000
2022-01-04,34.71,34.71,34.71,34.71,92000
2022-01-05,36.44,36.44,36.44,36.44,50000
2022-01-06,40.08,40.08,37.64,40.08,514000
2022-01-07,44.08,44.08,44.08,44.08,156000
2022-01-10,48.47,48.47,48.47,48.47,50000
2022-01-11,50.88,50.88,50.88,50.88,150000
2022-01-12,52.73,53.41,48.35,53.41,1428000
2022-01-13,56.08,56.08,51.59,56.06,966000
2022-01-14,56.97,58.86,56.67,58.86,192000
2022-01-17,61.8,61.8,61.8,61.8,102000
2022-01-18,64.88,64.88,64.88,64.88,66000
2022-01-19,68.12,68.12,68.12,68.12,28000
2022-01-20,71.52,71.52,71.52,71.52,6000
2022-01-21,75.09,75.09,75.09,75.09,28000
2022-01-24,77.27,78.83,71.35,78.8,1152000
2022-01-25,82.06,82.74,82.06,82.74,40000
2022-01-27,86.88,86.88,86.88,86.88,10000
2022-01-28,91.21,91.21,91.21,91.21,30000
2022-01-31,95.77,95.77,86.65,86.65,762000
2022-02-01,82.33,82.33,82.33,82.33,32000
2022-02-02,78.23,78.23,78.23,78.23,12000
2022-02-03,74.32,74.32,74.32,74.32,10000
2022-02-04,73.36,78.03,70.61,74.89,934000
2022-02-07,76.64,78.64,75.76,78.3,184000
2022-02-08,80.24,82.09,74.39,74.39,168000
2022-02-09,72.27,74.21,70.68,70.68,94000
2022-02-10,68.49,74.21,67.42,74.21,290000
2022-02-11,74.24,75.3,70.52,70.52,180000
2022-02-14,67.27,73.92,67,70.23,288000
2022-02-15,66.73,66.73,66.73,66.73,36000
2022-02-16,63.39,67.88,63.39,63.39,176000
2022-02-17,60.23,60.23,60.23,60.23,20000
2022-02-18,57.23,63.23,57.23,63.23,450000
2022-02-21,65.14,66.33,60.08,63.65,300000
2022-02-22,64.17,66.82,61.18,66.33,72600
2022-02-23,69.58,69.65,64.67,65.1,41800
2022-02-24,61.85,62.18,61.85,61.97,66000
2022-02-25,64.63,65.05,59.35,59.93,57200
2022-02-28,57.52,59.67,56.95,57.25,145200
2022-03-02,57.67,60.1,57.67,60.08,41800
2022-03-03,60.67,61.32,59.67,60.23,33000
2022-03-04,58.08,59.08,57.23,57.27,68200
2022-03-07,54.42,54.42,54.42,54.42,11000
2022-03-08,51.7,52.6,51.7,51.82,143000
2022-03-09,51.27,53.5,49.67,51.73,66000
2022-03-10,52.67,53.23,51.17,51.33,59400
2022-03-11,49.67,51.98,48.78,50.77,52800
2022-03-14,49.07,51,48.23,49.17,101200
2022-03-15,49.17,50.77,46.72,46.72,123200
2022-03-16,45.87,47.23,44.38,44.38,105600
2022-03-17,43.4,46.6,42.17,46.6,275000
2022-03-21,48.92,48.92,48.92,48.92,2200
2022-03-22,51.35,51.35,51.35,51.35,6600
2022-03-23,53.92,53.92,53.92,53.92,6600
2022-03-24,56.6,56.6,56.6,56.6,15400
2022-03-25,59.42,59.42,56.75,59.07,343200
2022-03-28,61.97,61.97,58,59.18,134200
2022-03-29,58,58.43,56.23,56.23,26400
2022-03-30,53.43,56.33,53.43,53.43,125400
2022-03-31,51.33,52.98,50.77,50.92,114400
2022-04-01,52.3,53.45,52.3,53.45,59400
2022-04-04,56.1,56.12,54.7,56.12,33000
2022-04-05,56.17,58.92,53.32,58.92,145200
2022-04-06,61.3,61.85,58.83,61.85,123200
2022-04-07,61.85,68.03,61.85,68.03,191400
2022-04-08,74.83,74.83,74.83,74.83,140800
2022-04-11,77.67,82,68.07,81.33,952600
2022-04-12,81,81.67,77.33,79.12,675400
2022-04-13,79.97,83,78.33,82.7,330000
2022-04-18,82.67,83.5,80,80.38,193600
2022-04-19,79.32,79.32,76.37,76.37,96800
2022-04-20,72.55,72.55,72.55,72.55,39600
2022-04-21,68.93,76.17,68.93,75.57,213400
2022-04-22,75,77.47,75,75.17,46200
2022-04-25,75.33,75.33,72.17,73.25,110000
2022-04-26,72,74.33,70.17,70.75,61600
2022-04-27,69.25,71.73,68.7,69.92,96800
2022-04-28,69.02,71.65,68.7,70.08,55000
2022-04-29,70.83,73.58,68.75,73.58,145200
2022-05-02,75,76.92,72.7,75.8,71500
2022-05-04,72.02,72.02,72.02,72.02,16500
2022-05-05,68.42,75,68.42,72,193600
2022-05-06,69.08,71,68.4,68.45,102300
2022-05-09,66,68.33,65.03,65.03,57200
2022-05-10,63.33,67,61.78,63.02,96800
2022-05-11,64.27,64.47,60.2,60.67,103400
2022-05-12,58.67,59,57.63,57.8,39600
2022-05-13,56.08,60,56.08,57.53,53900
2022-05-16,59.98,60.4,58.67,60.25,30800
2022-05-17,62,63.25,60.33,63.25,45100
2022-05-18,65.17,66.4,64.67,66.28,82500
2022-05-19,63.08,66.33,62.98,63.6,66000
2022-05-20,65,66.77,64.17,66.73,38500
2022-05-23,67.35,70,64.37,67.23,59400
2022-05-24,66.2,66.67,65.2,65.32,27500
2022-05-25,65.32,65.67,63.33,63.62,52800
2022-05-26,63.33,63.37,61.7,63,31900
2022-05-27,65.67,66.15,65.67,66.15,14300
2022-05-30,68.67,69.45,65.33,68.98,84700
2022-05-31,67.83,70,67.53,68.82,44000
2022-06-01,68.2,70.6,67.33,68,51700
2022-06-02,68,69.63,66,67.42,45100
2022-06-03,67.42,67.42,65.33,66.83,20900
2022-06-06,67,68.3,66,67.83,30800
2022-06-07,67.7,69.67,65.72,66.15,31900
2022-06-08,65.83,68.78,65.83,66.5,19800
2022-06-09,67,67,64.02,64.78,19800
2022-06-10,67.3,67.32,64.02,64.35,31900
2022-06-13,62.67,64.67,61.67,63.53,58300
2022-06-14,65,66.75,64.67,64.77,60500
2022-06-15,66.8,66.8,65.35,66.65,5500
2022-06-16,68.33,68.5,63.33,65,30800
2022-06-17,61.22,63,59,62.97,23100
2022-06-20,60.85,62.35,60.07,61.83,64900
2022-06-21,63.35,65,63.33,63.83,23100
2022-06-22,65.98,66.63,62,62.17,36300
2022-06-23,63,63,60,60.3,23100
2022-06-24,63.27,66,61,65,75900
2022-06-27,65.33,65.33,63.03,64,13200
2022-06-28,63,64.48,62.08,62.93,18700
2022-06-29,63,63,60.4,61.05,56100
2022-06-30,62.43,62.43,60.6,61.65,18700
2022-07-01,61,61.15,59.07,59.8,12100
2022-07-04,58.33,61.67,57.7,60.88,30800
2022-07-05,60.67,61.68,59.33,59.63,24200
2022-07-06,59.63,61,59.63,61,19800
2022-07-07,61,61.93,60,60.05,8800
2022-07-08,60.33,60.97,60.08,60.08,3300
2022-07-11,60.08,66.08,56.42,65.1,50600
2022-07-12,65.67,67.83,65,66.83,77000
2022-07-13,65.1,66.65,64.88,66.38,24200
2022-07-14,65.03,70,64.33,69.23,113300
2022-07-15,69.23,71.58,68.33,70.4,227150
2022-07-18,71.67,73.33,70.05,71.32,101200
2022-07-19,71.5,72.83,71,72.58,92400
2022-07-20,73.67,75.57,72.67,74.45,146850
2022-07-21,74.67,74.97,74,74.17,59950
2022-07-22,74.57,80.33,72.67,78.95,130350
2022-07-25,79.33,81.55,77.8,79.97,116600
2022-07-26,79.83,81.83,75,77.42,93500
2022-07-27,77.67,79.33,75.83,78.02,52250
2022-07-28,80,80,76.35,78.1,97350
2022-07-29,79.82,80.33,78.33,78.67,122100
2022-08-01,80.67,80.67,79.5,80.07,109450
2022-08-02,80,80.67,79,80.23,140250
2022-08-03,80,81.67,79.67,79.93,101750
2022-08-04,76.53,80.33,73.35,79.6,225500
2022-08-05,79.02,81.17,79.02,79.68,67650
2022-08-08,80.33,81.67,80.33,81.27,58300
2022-08-10,81.5,83.27,80.43,81.97,80300
2022-08-11,81.08,83,81.03,82.8,95700
2022-08-12,83.65,95.52,82.83,90.7,408650
2022-08-16,94.5,94.67,90,92,94050
2022-08-17,91.67,95.95,91.67,94.07,184250
2022-08-18,92.15,96.95,92.15,95.17,107800
2022-08-19,94.07,94.33,92.67,93.32,125400
2022-08-22,92.67,94.17,91.85,92.02,72050
2022-08-23,92.67,105,92.35,103.82,376200
2022-08-24,107.33,110.03,102.67,106.72,191400
2022-08-25,105,110,105,106.42,89650
2022-08-26,105.07,109.23,104.67,105.75,72050
2022-08-29,103.83,105.65,97.52,103.1,50050
2022-08-30,105,115.67,105,113.57,235950
2022-09-01,121.33,122.5,113.43,115.4,162250
2022-09-02,116,120.67,113.38,113.4,36850
2022-09-05,115,115,106.72,108.08,55550
2022-09-06,108.08,113.33,98.33,108.4,79750
2022-09-07,108,109.33,104.17,106.23,50600
2022-09-08,107,109.67,104,105.22,61600
2022-09-09,104.37,107.67,103.67,105.1,41800
