Date,Open,High,Low,Close,Volume
2017-10-13,23,23,17.92,19.04,216000
2017-10-16,19.17,19.58,17.5,18.54,72000
2017-10-17,17.92,18.33,17.92,18.33,18000
2017-10-18,17.92,17.92,17.92,17.92,12000
2017-10-19,17.92,17.92,17.92,17.92,6000
2017-10-23,17.25,17.25,16.67,16.75,18000
2017-10-26,17.08,17.08,17.08,17.08,6000
2017-10-27,15.83,15.83,15.83,15.83,12000
2017-10-30,16.67,16.67,16.46,16.46,12000
2017-10-31,16.87,17.92,16.87,17.92,36000
2017-11-01,17.71,17.92,17.5,17.5,18000
2017-11-10,17.08,17.08,17.08,17.08,6000
2017-11-13,17.5,17.5,17.5,17.5,6000
2017-11-14,18.33,18.33,18.33,18.33,6000
2017-11-17,19.17,19.33,18.75,18.92,42000
2017-11-22,19.04,19.04,19.04,19.04,6000
2017-11-23,18.33,18.33,18.33,18.33,6000
2017-11-28,18.42,18.42,18.42,18.42,6000
2017-11-29,19.33,20,18.96,19.96,90000
2017-11-30,20.83,22.92,20.83,22.5,84000
2017-12-01,22.58,22.58,20.87,20.87,36000
2017-12-04,21.25,21.25,20.42,20.42,18000
2017-12-05,20.04,20.04,20,20,18000
2017-12-15,18.92,18.92,18.92,18.92,6000
2017-12-18,18.33,19.58,18.33,19.58,30000
2017-12-29,19.25,20.62,19.25,20.62,18000
2018-01-01,20.83,22.08,20.83,22.08,24000
2018-01-02,20.83,20.83,20.83,20.83,6000
2018-01-03,20,20,20,20,6000
2018-01-08,20,20,20,20,6000
2018-01-10,20.08,20.08,19.17,19.17,12000
2018-01-11,20,20.67,20,20.67,12000
2018-01-15,20.62,20.62,20.62,20.62,6000
2018-01-17,19.37,19.37,19.37,19.37,6000
2018-01-18,19.37,19.37,19.17,19.17,24000
2018-01-25,18.37,18.37,18.33,18.33,18000
2018-01-30,19.17,19.17,19.17,19.17,6000
2018-02-01,18.33,18.75,18.33,18.75,12000
2018-02-02,17.5,17.5,17.5,17.5,6000
2018-02-05,18.33,19.17,18.33,19.17,18000
2018-02-07,20,20,19.17,19.17,12000
2018-02-14,19.17,19.17,19.17,19.17,6000
2018-02-15,19.79,19.79,19.79,19.79,6000
2018-02-19,19.79,19.79,18.33,18.33,12000
2018-02-23,19.17,19.17,19.17,19.17,6000
2018-02-28,19.17,19.17,19.17,19.17,6000
2018-03-06,18.33,18.33,18.33,18.33,6000
2018-03-07,17.5,17.58,17.5,17.5,18000
2018-03-08,16.67,16.67,16.67,16.67,6000
2018-03-21,18.29,18.29,16.71,16.71,12000
2018-03-22,18.29,18.29,16.71,16.71,12000
2018-03-23,16.67,17.46,15.87,15.87,24000
2018-03-26,16.67,17,15.92,15.92,48000
2018-03-28,15.83,15.83,15.42,15.42,12000
2018-04-12,15.42,15.42,15,15,12000
2018-04-13,15.62,16.33,15.62,16.33,12000
2018-04-23,16.46,16.5,16.46,16.5,12000
2018-05-03,16.58,16.67,16.58,16.67,12000
2018-05-24,15.83,15.83,15.83,15.83,6000
2018-05-29,15.92,15.92,15.83,15.83,12000
2018-05-31,15.42,15.42,15.42,15.42,6000
2018-06-04,15.08,15.08,15.08,15.08,6000
2018-06-13,15.83,15.83,15.17,15.17,12000
2018-06-15,15.83,15.83,15.83,15.83,6000
2018-06-29,15.83,15.83,15.83,15.83,6000
2018-07-04,14.83,14.83,14.83,14.83,6000
2018-07-09,15,15,15,15,6000
2018-07-10,15.42,15.42,15.42,15.42,6000
2018-07-12,15.75,15.75,15.75,15.75,6000
2018-08-16,14.58,14.58,14.58,14.58,6000
2018-10-01,13.75,13.75,13.75,13.75,6000
2018-10-09,13,13,12.92,12.96,12000
2018-10-10,12.08,12.5,12.08,12.5,12000
2018-10-16,12.08,12.08,12.08,12.08,6000
2018-11-01,11.33,11.67,10.5,11.08,18000
2018-11-21,11.67,11.67,11.25,11.25,12000
2018-12-10,11.67,11.67,11.67,11.67,6000
2018-12-11,11.92,11.92,11.92,11.92,6000
2018-12-12,12.75,12.75,12.75,12.75,6000
2019-01-09,12.08,12.08,12.08,12.08,6000
2019-01-16,11.33,11.67,11.33,11.67,12000
2019-02-12,11.67,11.67,11.67,11.67,6000
2019-02-26,11.33,11.33,11.33,11.33,6000
2019-03-08,11.67,11.67,11.67,11.67,24000
2019-03-12,12.5,12.5,12.5,12.5,6000
2019-03-22,12.08,12.08,12.08,12.08,6000
2019-03-26,11.33,11.67,11.33,11.67,18000
2019-03-28,11.37,12.08,11.37,12.08,12000
2019-04-15,9.67,11.33,9.67,10.83,24000
2019-04-16,11.08,11.08,11.08,11.08,6000
2019-04-24,11.92,11.92,11.92,11.92,6000
2019-05-03,11.67,11.67,11.67,11.67,6000
2019-05-08,11.67,11.67,11.67,11.67,6000
2019-05-09,9.33,10.83,9.33,10,18000
2019-05-13,9.42,9.42,9.42,9.42,6000
2019-05-14,8.67,8.67,8.67,8.67,6000
2019-05-24,8.75,8.75,8.75,8.75,6000
2019-05-30,8.33,8.33,8.33,8.33,6000
2019-05-31,8.33,8.33,8.33,8.33,6000
2019-06-03,7.92,7.92,7.92,7.92,6000
2019-06-11,7.92,7.92,7.92,7.92,6000
2019-06-14,7.5,7.5,7.5,7.5,6000
2019-06-17,7.17,7.17,6.75,6.75,12000
2019-06-21,6.08,6.08,6.08,6.08,6000
2019-06-25,6.42,6.42,6.42,6.42,6000
