Date,Open,High,Low,Close,Volume
2023-11-01,214,218,203.3,203.4,327000
2023-11-02,194.4,194.7,193.25,193.35,123600
2023-11-03,189,189,183.7,183.7,69000
2023-11-06,175,177.95,174.55,174.55,70800
2023-11-07,166.05,183.25,165.85,176.2,95400
2023-11-08,176.2,176.2,167.4,167.85,25200
2023-11-09,172.05,176.2,166,176.2,21600
2023-11-10,184.95,185,184.4,185,16800
2023-11-12,194.25,194.25,193,194.25,22200
2023-11-13,201.9,201.9,189,200.15,36000
2023-11-15,195.15,210.15,191,210.15,121200
2023-11-16,214.95,225,205,209,95400
2023-11-17,214.85,214.85,206.5,206.9,19800
2023-11-20,200.5,210,196,196.5,24600
2023-11-21,200,200,195,195.1,12600
2023-11-22,195,196,192,192,8400
2023-11-23,190.2,193.25,183.4,191.75,28200
2023-11-24,197.9,203.95,192.25,193.7,34200
2023-11-28,192.3,203.5,192.3,202.5,15600
2023-11-29,195,202,195,201.95,7800
2023-11-30,202,202,194,197.55,6000
2023-12-01,201,201,195,195.1,16800
2023-12-04,195.25,198,192.3,193.25,10200
2023-12-05,196.3,196.3,191.2,192,4200
2023-12-06,190.05,195,185.15,192.7,16800
2023-12-07,190,194.4,188.05,190.05,9600
2023-12-08,190.05,190.05,183.5,185.2,17400
2023-12-11,171.1,183.75,171.1,181.75,17400
2023-12-12,178,187.95,178,187.9,7800
2023-12-13,187.9,194,182,189.3,13200
2023-12-14,188,200,186.6,187.25,26400
2023-12-15,191.9,195,189,193.4,13800
2023-12-18,188.3,200,188.3,199.05,21000
2023-12-19,200,200,195.05,196,11400
2023-12-20,199.8,209,195,196.5,69600
2023-12-21,201,201,201,201,600
2023-12-22,201,201,201,201,1200
2023-12-26,199,203,190,193.2,12600
2023-12-27,198,206,198,204.1,27000
2023-12-28,207,207,197.5,202,10800
2023-12-29,205,208.95,196.6,199.85,118200
2024-01-01,198.15,239.8,190,239.65,888600
2024-01-02,254,270,237.55,253.05,245400
2024-01-03,263.9,300,250,284.7,338400
2024-01-04,296,325,290.6,314.95,261000
2024-01-05,321.95,322.95,301,315.1,49800
2024-01-08,327,342,313.6,332.5,107400
2024-01-09,344,348.95,331.1,339.7,49800
2024-01-10,340,373.65,331,371.65,144000
2024-01-11,397,397,350,374.1,111600
2024-01-12,393,394,366,367.35,29400
2024-01-15,377.95,377.95,361.1,370.5,16200
2024-01-16,376.9,376.9,360,363.3,40200
2024-01-17,363.4,375,360,363.75,40800
2024-01-18,370,375,355.05,366.7,17400
2024-01-19,369.05,403.35,369.05,391.9,117000
2024-01-20,398,411.9,385,387.95,25200
2024-01-23,392,398.8,366.05,381.9,22200
2024-01-24,381.05,386.5,375,384.95,57600
2024-01-25,362.05,382.95,362.05,375.2,7200
2024-01-29,375.05,375.05,362.25,365.75,13800
2024-01-30,365.75,365.75,330.75,339.65,28800
2024-01-31,355,366.9,347,353.85,12600
2024-02-01,353.85,353.85,344,352.95,3600
2024-02-02,330.3,345,323.1,342.95,40800
2024-02-05,354,367,343,343,9600
2024-02-06,343,376,343,369.2,25200
2024-02-07,375,385,357.55,361.05,14400
2024-02-08,360,360,340,343.15,16800
2024-02-09,345,355.95,319.05,354,10800
2024-02-12,348.95,349,318.6,322.2,18000
2024-02-13,310,312,290,309.8,47400
2024-02-14,309,309,279,290.15,24000
2024-02-15,298.95,303.3,281,292.75,89400
2024-02-16,291,291,291,291,1200
2024-02-19,276.45,320.1,276.45,320.1,28800
2024-02-20,339,351,318.05,327,4200
2024-02-21,319.05,319.05,313.5,315,3000
2024-02-22,313.95,313.95,305,305,1800
2024-02-23,300.6,310,300.6,310,1800
2024-02-26,318,318,310,310,1800
2024-02-27,316.45,316.45,310,311.35,3000
2024-02-28,311.35,311.35,293,299.25,16200
2024-02-29,300,300,295.1,295.1,1200
2024-03-01,295,295,295,295,3600
2024-03-04,295,295,272.3,283.3,12600
2024-03-05,280,286.9,275.85,276.4,5400
2024-03-06,276.2,276.2,265.45,274.9,6600
2024-03-07,280,302,280,293.9,8400
2024-03-11,285.05,287,264.55,270.55,12000
2024-03-12,270.55,270.55,243.5,260,19800
2024-03-13,267,284.9,234,234,97200
2024-03-14,248.4,249.8,248.4,249.75,3000
2024-03-15,249.75,249.75,239.45,241.65,3600
2024-03-18,249,251,242,245,5400
2024-03-19,226,260,226,252.35,27000
2024-03-20,259.95,277,259.5,267.95,7200
2024-03-21,293,293.5,275.65,278.3,9000
2024-03-22,275.05,306.1,275.05,305.85,22800
2024-03-26,310,315.25,301,304.75,24000
2024-03-27,303,303,289.55,289.55,12600
2024-03-28,294,299,275.1,275.1,19200
2024-04-01,275.1,288.85,275.1,288.85,9000
2024-04-02,295,300,295,300,3600
2024-04-03,310,310,295,297,3000
2024-04-04,295,303.8,295,303.8,2400
2024-04-05,290,290,288.65,288.65,3600
2024-04-08,288.65,298,288.65,298,1200
2024-04-09,305,305,288.15,295.95,2400
2024-04-10,304,304,281.15,281.15,5400
2024-04-12,271.2,272,271.2,271.4,3000
2024-04-15,269.85,269.85,269.85,269.85,600
2024-04-16,269.8,269.8,262.5,262.5,1200
2024-04-18,273.4,275.6,265,275.6,9000
2024-04-19,265.65,275.55,265.6,268,2400
2024-04-22,267.1,281,267,277.15,5400
2024-04-23,279.15,288,279.1,288,4200
2024-04-24,288,288,282.15,282.15,1800
2024-04-25,282.15,282.15,282.15,282.15,600
2024-04-26,276.5,281.5,273,275.85,6600
2024-04-29,287,289.6,287,289.6,19200
2024-04-30,300,302.8,293.5,297.9,7200
2024-05-02,291.5,300,285,293.2,7200
2024-05-03,285,294.95,285,294.95,1200
2024-05-06,294,294,282.65,282.65,1800
2024-05-07,269,270,268.55,268.55,7800
2024-05-08,260.75,261,260.75,260.9,2400
2024-05-09,269.8,273.8,253.25,264.15,6600
2024-05-13,258.25,275,258.1,275,3000
2024-05-14,269.25,283,269.25,283,3600
2024-05-15,293,293,272.5,276.85,4200
2024-05-16,271.2,271.2,267,267,1200
2024-05-17,273.3,280.35,273.3,280.35,5400
2024-05-18,294.35,294.35,294.35,294.35,4800
2024-05-21,309,309.05,309,309.05,12000
2024-05-22,324.5,324.5,301.5,322.45,162000
2024-05-23,324,338.55,320,327.5,93600
2024-05-24,334,340.95,325,325.05,15600
2024-05-27,329.9,338,320,325.15,42000
2024-05-28,332,332,309,309,3600
2024-05-29,304.95,309,304,304,4200
2024-05-30,319.2,319.2,301,303.75,19200
2024-05-31,314.9,314.9,296.9,303.2,1800
2024-06-03,293.05,295.15,290.5,293.1,4200
2024-06-04,293.1,294.35,278.45,283.15,12600
2024-06-05,282.85,282.85,279.95,279.95,4200
2024-06-06,282,293.8,282,293.4,7200
2024-06-07,306.95,319.95,306.95,318,4800
2024-06-10,342.45,342.45,318.25,334.6,39600
2024-06-11,335,357.95,323.3,347.65,23400
2024-06-12,350,373.5,341.15,358,27000
2024-06-13,372.95,384.95,350.15,379.5,58800
2024-06-14,384,398.45,370,396.45,72600
2024-06-18,412,416.25,393,413.55,91200
2024-06-19,432.85,434.2,418.6,433.4,73200
2024-06-20,440,455,411.75,421.85,40200
2024-06-21,436.75,439.95,400.75,400.75,15600
2024-06-24,380.75,420.75,380.75,416.95,74400
2024-06-25,418.95,435.7,416.95,433.45,52800
2024-06-26,449.95,449.95,422,433.45,30000
2024-06-27,440,440,412.6,420.95,15000
2024-06-28,435.5,435.5,415,428.7,57000
2024-07-01,439.65,450.1,439.65,450.1,76800
2024-07-02,472.6,472.6,443.25,451.2,78000
2024-07-03,458,473.75,458,471.8,81000
2024-07-04,472,494.75,464.4,489.8,75600
2024-07-05,499.95,514.25,489,514.05,80400
2024-07-08,531.95,539.75,514.05,520,24600
2024-07-09,539.95,539.95,494,507.4,61800
2024-07-10,529.9,529.9,484,512.45,31800
2024-07-11,536.5,536.5,504,507.35,5400
2024-07-12,517.9,529.65,507.35,515.3,16200
2024-07-15,530.9,530.9,510,524.8,3000
2024-07-16,523.7,523.7,501,519,4800
2024-07-18,529,529,493.05,494.9,18000
2024-07-19,510,510,475,479.55,9600
2024-07-22,469.95,501.85,469.95,491.6,20400
2024-07-23,502.85,502.85,467.05,479.4,7200
2024-07-24,494.9,500.95,494,496.95,2400
2024-07-25,499.2,516.9,490,504.75,6600
2024-07-26,514.95,518,505.2,517.95,4200
2024-07-29,509.45,520,509.45,520,1200
2024-07-30,524.5,544.9,524.5,525,7200
2024-07-31,530,530,505.4,512.6,6600
2024-08-01,524.5,524.5,489,499.9,4200
2024-08-02,509,509,485,500,4200
2024-08-05,504.95,504.95,475.1,482.5,10800
2024-08-06,503.95,503.95,486.5,486.5,11400
2024-08-07,527.95,527.95,495,505,2400
2024-08-08,523.5,523.5,513,513,1200
2024-08-09,519.95,519.95,511,511,1200
2024-08-12,543.9,543.9,501,510.85,4800
2024-08-13,524,524,487.85,505,5400
2024-08-14,504.7,504.7,490,500.95,30600
2024-08-16,517,517,476.7,506.8,15000
2024-08-19,515.95,527.5,507,512.75,13200
2024-08-20,523,523,492.9,492.9,4800
2024-08-21,514,514,486.65,508.15,36600
2024-08-22,507.8,530,496.1,500,24600
2024-08-23,524.8,524.8,484.95,487.45,6600
2024-08-26,517.45,517.45,481.1,491,2400
2024-08-27,490,490,490,490,600
2024-08-28,482.55,482.55,463.5,464.35,3600
2024-08-29,492.4,492.4,417.95,424.55,40200
2024-08-30,416.9,459.95,400.05,446.3,17400
2024-09-02,462,469.95,441,450,4800
2024-09-03,487.8,487.8,429,440.25,9000
2024-09-04,428.1,464,428,441.45,7800
2024-09-05,437,437,432,434.9,5400
2024-09-06,424.95,440.05,424.95,438,5400
2024-09-09,462,462,440.2,445.1,1800
2024-09-10,450,450,440.1,440.1,4800
2024-09-11,448.95,450,448.95,450,13200
2024-09-12,440,450,435,442.5,3000
2024-09-13,464,464,440,440,1200
2024-09-17,415,439.9,415,439.9,4200
2024-09-18,472.95,472.95,411.95,418.8,7200
2024-09-19,437.7,437.7,397.1,415.4,13800
2024-09-20,420,447,420,433.5,1200
2024-09-23,440.75,440.75,440.75,440.75,600
2024-09-24,448,449.1,427,427.5,7200
2024-09-25,415.65,415.65,406.85,415,1800
2024-09-26,428.95,449.5,425,442,7200
2024-09-27,450.95,450.95,418.45,420,10800
2024-09-30,439.95,439.95,403,409.25,6000
2024-10-01,404,405,400.3,401.65,3000
2024-10-03,427.8,427.8,385.05,385.05,3000
2024-10-04,400.95,401,385.05,394.9,4800
2024-10-07,385.3,399,384,394.1,4800
2024-10-09,410,463.95,401,417.65,38400
2024-10-10,449,449,400,418.7,17400
2024-10-11,432,449.5,417,440.1,46200
2024-10-14,457,457,445.4,447.85,8400
2024-10-15,457.7,457.7,441,441,1800
2024-10-16,448.55,449.95,416,421.6,6600
2024-10-17,429,429,410,410,1200
2024-10-18,404,443.8,400,419.3,6600
2024-10-21,452.9,452.9,415,415,1200
2024-10-22,433,433,383.05,383.05,4200
2024-10-23,383.05,390.85,375.85,384,3600
2024-10-24,378,405,350,380.6,16200
2024-10-25,394.95,394.95,368,380.7,4800
2024-10-28,390,428.95,390,396.05,3600
2024-10-30,415,426.8,403.2,416.8,4200
2024-10-31,422.8,422.8,422.8,422.8,600
2024-11-01,422,445,421,431.4,1500
2024-11-04,416.5,419.9,416.5,419.9,600
2024-11-05,438.85,438.85,400,400,900
2024-11-07,424.95,424.95,419,419,1200
2024-11-11,410.95,422,410.95,422,16500
2024-11-12,424,424,410,417,600
2024-11-13,399.15,400,385.5,392.75,1800
2024-11-14,409.6,410.05,395.4,402,9000
2024-11-18,434,434,379,396.2,6300
2024-11-19,380,396,367,369.1,6600
2024-11-21,354.55,382,338.15,379.6,11100
2024-11-22,359.15,365,350.05,350.05,2100
2024-11-25,352,415,345,365.25,9900
2024-11-26,370.2,389,365,373.4,4800
2024-11-27,385,408,365.35,368,3900
2024-11-28,394,394,355.05,355.05,2400
2024-11-29,368,368,354.1,354.1,1500
2024-12-02,354.1,354.1,345.4,348.8,12900
2024-12-03,350.2,354,330,332.9,26100
2024-12-04,332.9,337.3,317,321.9,12000
2024-12-05,303.5,335.95,301.05,332.65,8400
2024-12-06,345,345,325,325,1500
2024-12-09,324,324,300,305.25,15000
2024-12-10,323.9,323.9,300,306.65,8400
2024-12-11,319.5,319.5,303.2,304.6,5700
2024-12-12,308,308,298.4,300.4,11400
2024-12-13,295,302,280,291.75,15300
2024-12-16,290,294.9,289,291,2700
2024-12-17,312.9,312.9,271.65,285.85,21300
2024-12-18,298.85,298.85,277,280,16200
2024-12-19,268.4,317.95,268.4,292,13800
2024-12-20,301.95,301.95,276.1,282.35,17400
2024-12-23,297.8,304.95,279,282,10200
2024-12-24,285,285,255.4,266.45,13500
2024-12-26,272.5,278.75,250,254.85,15300
2024-12-27,245.1,276.05,245.1,256.55,26400
2024-12-30,259.95,269.35,259.9,269.35,20700
2024-12-31,282.75,282.75,259,270.2,14700
2025-01-01,274.9,274.9,260,264.7,6900
2025-01-02,277,277,264,268.8,16200
2025-01-03,282,282,265.4,279.95,3900
2025-01-06,289.9,293.9,289.75,290.2,23400
2025-01-07,304,304.7,300.2,304.7,9000
2025-01-08,319,319.9,319,319.75,13200
2025-01-09,319.75,321.1,303.8,310,20700
2025-01-10,303.8,304.2,303.8,304,5100
2025-01-13,297.95,297.95,297.95,297.95,1500
2025-01-14,292,292,292,292,1200
2025-01-15,286.2,286.2,286.2,286.2,2100
2025-01-16,280.5,280.5,280.5,280.5,900
2025-01-17,274.9,274.9,274.9,274.9,600
2025-01-20,280.35,280.35,280.35,280.35,900
2025-01-21,274.75,274.75,274.75,274.75,900
2025-01-23,269.25,280,269.25,280,1200
2025-01-24,275,275,274.4,274.4,2100
2025-01-29,269,269,268.95,268.95,600
2025-01-31,266,266,266,266,600
2025-02-01,260.7,271.3,260.7,271.3,900
2025-02-03,266,266,266,266,300
2025-02-04,266.5,266.5,266.5,266.5,300
2025-02-05,266.5,267,261.5,267,900
2025-02-06,261.7,272.25,261.7,272.25,900
2025-02-07,276.9,276.9,266.8,266.8,900
2025-02-10,261.5,272,261.5,272,600
2025-02-11,266.6,266.6,266.6,266.6,300
2025-02-17,261.3,261.3,253.3,253.3,83400
2025-02-18,240.65,240.95,240.65,240.95,12000
2025-02-19,229,237,228.9,235,4800
2025-02-20,234.65,234.65,223.25,223.25,4800
2025-02-21,212.15,212.4,212.1,212.1,5700
2025-02-24,201.5,207.9,201.5,207.9,5700
2025-02-25,198,212.8,197.5,200,24900
2025-02-27,190,206.4,190,196.9,21000
2025-02-28,187.05,198,187.05,187.05,14400
2025-03-03,187.05,187.05,177.7,177.7,2100
2025-03-04,177.7,177.7,168.85,168.85,4200
2025-03-05,160.4,171.7,160.4,160.4,12600
2025-03-06,161,168.4,152.4,152.4,84900
2025-03-07,152.35,155,145.25,152.95,6900
2025-03-10,152.95,153,145.3,145.3,19200
2025-03-11,138.5,143,138.05,138.05,99600
2025-03-12,134,142.5,134,141,12300
2025-03-13,145.8,146.5,145.8,146.5,600
2025-03-17,139.4,153.8,139.4,153.8,17100
2025-03-18,155.5,161.45,151.5,160.05,9600
2025-03-19,160,168.05,160,163.8,34200
2025-03-20,168,171,162,166.75,60900
2025-03-21,166.75,167.05,166,166.05,77100
2025-03-24,165,165,162.75,162.75,17400
2025-03-25,162,162,159.5,159.5,44700
2025-03-26,156.35,156.35,156.35,156.35,4200
2025-03-27,153.25,153.25,153.25,153.25,15600
2025-03-28,150.2,150.2,150.2,150.2,22200
2025-04-01,147.2,147.2,147.2,147.2,5400
2025-04-02,145.1,145.1,144.25,144.25,2100
2025-04-03,147.05,147.05,145.9,145.9,900
2025-04-04,148,148,148,148,900
2025-04-07,150.95,150.95,150.95,150.95,300
2025-04-08,153.95,153.95,153.95,153.95,300
2025-04-09,156.95,157,150.9,157,2100
2025-04-11,160.1,160.1,160.1,160.1,5400
2025-04-15,160,163.3,160,163.3,2700
2025-04-16,166.55,166.55,166.55,166.55,300
2025-04-17,169.85,169.85,169.85,169.85,300
2025-04-21,173.2,173.2,173.2,173.2,600
2025-04-23,175,175,175,175,300
2025-04-24,178.5,178.5,178.5,178.5,300
2025-04-25,175,175,175,175,300
2025-04-28,175,175,175,175,600
2025-04-29,178.5,178.5,178.5,178.5,300
2025-05-05,181.95,181.95,181.95,181.95,300
2025-05-07,179.5,179.5,179.5,179.5,300
2025-05-12,175.95,175.95,175.95,175.95,300
2025-05-13,176.8,176.8,173,173,600
2025-05-14,169.65,175,169.55,175,4800
2025-05-15,174,174,171.5,171.5,1200
2025-05-16,168.1,168.1,168.1,168.1,1500
2025-05-19,160,164,159.7,159.7,4500
2025-05-20,167,167,151.75,156,8400
2025-05-21,151.75,151.75,148.2,148.2,4800
2025-05-22,140.85,142.5,140.8,140.8,29100
2025-05-23,133.8,145,133.8,133.8,18000
2025-05-26,138,138,127.2,127.2,7800
2025-05-27,120.85,133.55,120.85,133.55,14700
2025-05-28,139.9,140.2,139.9,140.2,31800
2025-05-29,147.2,147.2,147.2,147.2,31800
2025-05-30,153.45,154.55,153.45,154.55,30600
2025-06-02,157,157.25,152,152,20100
2025-06-03,149,150,149,150,2400
2025-06-04,150,153,150,153,1200
2025-06-05,153,153,153,153,300
2025-06-06,156.05,156.05,156.05,156.05,1500
2025-06-09,159.15,159.15,159.15,159.15,2700
2025-06-10,162.3,162.3,162,162,1500
2025-06-11,165.2,165.2,165.2,165.2,300
2025-06-12,168.5,168.5,161.9,161.9,1200
2025-06-13,164.5,164.5,164.5,164.5,300
2025-06-16,164.5,164.5,164.5,164.5,1200
2025-06-17,167.75,167.75,162,162,600
2025-06-18,159,159,158.8,158.8,600
2025-06-19,158.8,158.8,158.8,158.8,300
2025-06-20,155.65,155.65,155.65,155.65,600
2025-06-23,152.55,152.55,152.55,152.55,600
2025-06-24,152.55,152.55,149.5,149.5,600
2025-06-25,146.55,146.55,146.55,146.55,900
2025-06-26,143.65,143.65,143.65,143.65,600
2025-06-27,143.65,143.65,141,141,1800
2025-06-30,140.3,140.3,138.2,138.2,1500
2025-07-01,138.2,140.95,138.2,140.95,900
2025-07-02,143.75,143.75,143.75,143.75,300
2025-07-03,146,146,146,146,2400
2025-07-07,153.3,153.3,153.3,153.3,2400
2025-07-08,160.95,160.95,160.95,160.95,10800
2025-07-09,168.95,168.95,168.8,168.95,56700
2025-07-10,174,177.35,174,177.35,64500
2025-07-11,186,186.2,185,186.2,19500
2025-07-14,195.5,195.5,193.95,195.5,15600
2025-07-15,205,205.25,201,205.25,56400
2025-07-17,198.95,198.95,198.95,198.95,4200
2025-07-18,197,197,195,195,900
2025-07-21,191.1,191.1,191.1,191.1,4200
2025-07-22,187.3,187.3,187.3,187.3,2700
2025-07-23,183.55,183.6,183.55,183.6,5100
2025-07-24,186.9,186.9,186.9,186.9,900
2025-07-25,190.6,190.6,184.25,184.25,2700
2025-07-28,187.9,187.9,183,183,1800
2025-07-30,179.35,186.65,179.35,186.65,5700
2025-07-31,188.95,188.95,188.95,188.95,300
2025-08-01,185.2,185.2,185.2,185.2,3900
2025-08-05,181.6,181.6,181.6,181.6,900
2025-08-06,178,178,178,178,600
2025-08-07,174.45,174.45,174.45,174.45,900
2025-08-08,171,171,171,171,1200
2025-08-11,167.6,167.6,167.6,167.6,600
2025-08-12,164.25,165,164.25,164.25,1800
2025-08-13,161,167.5,161,167.5,900
2025-08-14,166,167.05,166,167.05,600
2025-08-18,170,170,170,170,300
2025-08-19,167,167,167,167,1200
2025-08-20,163.7,163.7,163.7,163.7,10800
2025-08-21,166.95,166.95,166,166,11400
2025-08-22,166,169.3,166,169.3,7800
2025-08-25,169.9,177.75,167,173.95,15300
2025-08-26,169.95,170,169.95,170,600
2025-08-28,162.5,169,161.5,169,1800
2025-08-29,160.55,162,160.55,160.85,20400
2025-09-01,162,163.75,156,159.8,10200
2025-09-02,163,163,163,163,600
2025-09-03,169.7,169.9,154.85,155.45,34500
2025-09-04,152,152,151,151,5400
2025-09-05,153.8,154,153.8,153.9,900
2025-09-08,155.95,162.7,143,143.85,22200
2025-09-09,153.2,156,150,156,4800
2025-09-10,157,160.95,153.2,158.5,2100
2025-09-11,160.95,166.75,160.9,166.25,2400
2025-09-12,164.7,164.7,159.25,161.95,7800
2025-09-15,161,163,158,158,4800
2025-09-16,158,158,155.05,157,900
2025-09-17,152,152.05,145.5,150.25,7500
2025-09-18,148.75,154.4,148.75,150.35,7200
2025-09-19,146.55,150.35,146.55,150.35,1500
2025-09-22,149,150,147,148.45,3600
2025-09-23,148.5,151,144,149,3900
2025-09-24,152.4,152.4,145,150.3,1800
2025-09-25,145.6,152.9,143.95,148.5,6900
2025-09-26,149.9,150,149.9,150,3000
2025-09-29,145,145,139,142,98100
2025-09-30,149,149,144.7,145,147600
2025-10-01,152.7,152.7,145.1,145.1,900
2025-10-06,138.05,140.8,136.1,138.45,1500
2025-10-07,138.5,138.5,136.05,138.4,2400
2025-10-08,135.4,144,135.05,144,1800
2025-10-09,143.95,144,138,140,2100
2025-10-10,135.5,140,135,139.95,2100
2025-10-13,136.45,136.45,135,135,2100
2025-10-14,132,135,130.1,133.65,1800
2025-10-15,130.05,135,130.05,131.75,2700
2025-10-16,131.75,132.6,131,132.6,2100
2025-10-17,134.5,134.5,130.05,132,2100
2025-10-20,132,140,132,139.45,1500
2025-10-21,140,140,140,140,300
2025-10-23,143,143,143,143,600
2025-10-24,143,143,140,140,900
2025-10-27,140,140,140,140,600
2025-10-30,150,150,139.9,139.9,1500
2025-10-31,135.05,140,134.05,134.05,2400
2025-11-03,135,135,133.5,133.5,1500
2025-11-07,135,136.35,131.65,131.65,1500
2025-11-10,133.1,133.1,127.1,127.25,2700
2025-11-11,127,128,115.5,118.1,8400
2025-11-12,118,121,118,120.8,14100
2025-11-13,143.9,143.9,130,134.4,82200
2025-11-14,134.4,134.4,118.65,123.1,2700
2025-11-17,123.1,142,112.8,138.8,107100
2025-11-18,138.8,139.9,131.4,134.8,41400
2025-11-19,138,139.9,120,135,42600
2025-11-20,136,137,135,136,1200
2025-11-21,130,138.35,130,137.8,3900
2025-11-24,137.15,137.15,137.15,137.15,300
2025-11-25,137.15,137.15,137,137,600
2025-11-26,130.05,136.8,130,136.8,2400
2025-12-01,131.05,134,131,134,3300
2025-12-03,134,134,122.2,122.2,1200
2025-12-04,128,128,118.2,118.2,1800
2025-12-05,110.3,128.85,110.3,124.75,3600
2025-12-08,144.8,147,110.1,128.85,20700
2025-12-09,124.85,125.3,124.85,125.3,1200
2025-12-10,120,126.45,115,123,6300
2025-12-11,124,124,120.3,120.3,600
2025-12-12,125,126.25,120.65,120.65,1800
2025-12-15,117.5,125,114.45,119.25,10500
2025-12-16,125,125.55,116.55,121.4,13800
2025-12-17,120,125,116.5,119.65,36000
2025-12-18,121,123.95,119.2,121.05,2100
2025-12-19,119.5,123.2,117.5,121,3900
2025-12-22,124.7,124.7,124.7,124.7,300
2025-12-23,124.7,124.7,116.6,120,21600
2025-12-24,120.55,121.15,110,112.45,16500
2025-12-26,112.45,117,108,111.05,5100
2025-12-29,110,116,110,115.45,4500
2025-12-30,118,119.95,116.2,119.15,3300
2025-12-31,118,123,118,123,600
2026-01-01,111.05,116.6,108.3,115,2100
2026-01-02,115.15,117.15,113,117.15,3000
2026-01-05,120,120,112.5,112.5,600
2026-01-06,120,120,100,109.65,24600
2026-01-07,112,116.25,108,116,35700
2026-01-08,118.95,119.5,110,111.05,9000
2026-01-09,106.2,112.95,100,112.35,25800
2026-01-12,112.5,114,108,113.95,1200
2026-01-13,113.95,114,110,114,3300
2026-01-14,108.55,109.8,100,105.05,51000
2026-01-16,105,117.75,100.25,112.1,111000
