Date,Open,High,Low,Close,Volume
2003-09-05,26.9,27.2,25.5,25.8,46105
2003-09-08,26.5,26.5,25.4,25.7,38432
2003-09-09,25.25,27.9,25.2,26.2,97540
2003-09-10,26.5,26.5,24.7,25.3,29502
2003-09-11,25.45,26.05,24.6,25,25899
2003-09-12,25.65,25.75,24.2,24.45,21571
2003-09-15,24.55,24.55,23.1,23.25,29228
2003-09-16,23.1,24.2,23.1,23.85,23751
2003-09-17,24.45,25,24,24.05,22882
2003-09-18,24,24.1,23,23.25,26875
2003-09-19,23.5,24,23,23.75,21550
2003-09-22,23.1,24,22.5,22.7,24300
2003-09-23,22.4,22.95,20.8,21.05,71430
2003-09-24,21,21.85,20.65,21.55,55333
2003-09-25,21.35,21.75,20.6,21.35,40928
2003-09-26,21.7,23.85,21.6,23.35,47821
2003-09-29,23.25,24.5,23.25,23.5,35096
2003-09-30,23,23.8,22.5,22.85,20957
2003-10-01,22.5,24,22.5,23.8,34255
2003-10-03,24.45,24.8,23.5,23.8,74731
2003-10-06,23.8,24.05,23.15,23.25,33769
2003-10-07,22.95,23.6,22.7,22.8,27020
2003-10-08,22.15,23,22.15,22.25,24354
2003-10-09,22.5,22.9,22.4,22.55,23774
2003-10-10,22.95,23.65,22.8,23.4,29988
2003-10-13,23.8,24.05,23.05,23.25,26836
2003-10-14,22.85,23.05,22,22.1,17412
2003-10-15,22.45,22.45,21.5,21.9,17079
2003-10-16,21.65,22.4,21.65,21.8,7390
2003-10-17,21.65,22.1,21.55,21.7,9533
2003-10-20,22.15,22.2,21.4,21.4,13454
2003-10-21,21.35,21.8,21.35,21.45,12895
2003-10-22,21.2,21.9,20.6,20.85,17647
2003-10-23,20.5,21.6,20.35,20.85,13858
2003-10-24,20.65,21,20,20.75,13294
2003-10-25,20.85,21.15,20.8,21,3956
2003-10-27,21,21,20.25,20.45,11878
2003-10-28,21,21,19.5,19.65,13577
2003-10-29,20,20.65,19.15,19.5,11227
2003-10-30,19.05,19.1,17.9,18,28808
2003-10-31,18.1,19.75,17.5,18.85,41715
2003-11-03,18.5,18.85,18.05,18.2,20136
2003-11-04,18.1,19.5,18,18.85,36511
2003-11-05,18.5,21.9,18.5,20.7,92486
2003-11-06,20.85,21.95,20.85,21.3,49929
2003-11-07,21.9,22.4,20.5,22,43343
2003-11-10,21.6,23,21.5,22.7,20402
2003-11-11,22.5,23.15,22.05,22.15,38794
2003-11-12,22.65,23.55,22,23.25,52844
2003-11-13,23.25,23.75,21.8,22.05,35935
2003-11-14,22.05,22.1,20.2,20.5,17751
2003-11-15,20.95,20.95,20,20.5,4249
2003-11-17,20.6,22.35,20.6,21.85,17334
2003-11-18,21.3,22.7,21.1,21.25,19327
2003-11-19,21.4,22.9,21.4,22.05,31858
2003-11-20,22.8,23.3,22,22.2,46149
2003-11-21,22.25,22.35,21.2,21.5,16527
2003-11-24,21.5,21.75,21,21.45,11616
2003-11-25,21.9,23.25,21.9,22.4,41366
2003-11-27,22.7,23.35,22.45,23.05,34901
