Date,Open,High,Low,Close,Volume
2023-08-11,302,317.1,286.9,317.1,2781600
2023-08-14,301.25,301.25,301.25,301.25,78000
2023-08-16,286.2,286.2,286.2,286.2,22800
2023-08-17,271.9,271.9,271.9,271.9,73200
2023-08-18,281.95,285.45,280,285.45,753600
2023-08-21,299.7,299.7,296,299.7,296400
2023-08-22,312,314.65,302.1,314.65,198000
2023-08-23,330.35,330.35,330.35,330.35,45600
2023-08-24,346.8,346.85,346.8,346.85,16800
2023-08-25,364.15,364.15,346.85,364.15,640800
2023-08-28,374,408,351.1,391.3,580800
2023-08-29,399,407.6,360.55,366.4,284400
2023-08-30,371.4,382,365,375.1,106800
2023-08-31,380,385,341,357.2,343200
2023-09-01,360,370,354.5,367.6,103200
2023-09-04,363,384.65,363,381.85,126000
2023-09-05,382.75,383,364,371,130800
2023-09-06,361.25,371,353,354.4,81600
2023-09-07,352.05,354.4,326.6,332.95,290400
2023-09-08,335,349.7,335,340.3,104400
2023-09-11,341,387,341,380.65,675600
2023-09-12,382,391,352.2,363.9,205200
2023-09-13,365.05,376.9,358,369.85,93600
2023-09-14,376,376,364.25,366.2,37200
2023-09-15,369,369,351,357,132000
2023-09-18,359,359,339,344.3,54000
2023-09-20,341.5,346,335.75,337.05,66000
2023-09-21,339,345,336.5,338,38400
2023-09-22,339.05,346.65,327.5,331,43200
2023-09-25,332,337,317.9,322.95,50400
2023-09-26,322.05,326.95,281,310.7,148800
2023-09-27,310.7,330,310.7,327.65,30000
2023-09-28,324,331,320.05,324,37200
2023-09-29,331,340.85,331,339.9,21600
2023-10-03,331,337.75,327.05,337.75,12000
2023-10-04,333,333,324.95,327.55,31200
2023-10-05,330,330,318,318.75,60000
2023-10-06,321,321,300,312.35,110400
2023-10-09,312.35,314,298.05,303.85,97200
2023-10-10,302.05,311.85,290,308.1,138000
2023-10-11,308.45,319.15,308.45,316.55,56400
2023-10-12,315,339.5,312.2,335.3,106800
2023-10-13,340.95,343.95,324.05,325.65,42000
2023-10-16,321.5,331.5,321.5,324.55,26400
2023-10-17,332,344.4,324.5,326.7,70800
2023-10-18,327,330.5,317.25,319.1,25200
2023-10-19,315,324.95,315,320,7200
2023-10-20,325,330,319,323.15,20400
2023-10-23,339.95,339.95,315,316.7,80400
2023-10-25,325.95,325.95,315.25,317.4,31200
2023-10-26,317.95,326.4,305,322,69600
2023-10-27,322,323,317,319.25,18000
2023-10-30,323.95,342,323.95,333.85,60900
2023-10-31,342,344.9,332.65,335.85,36300
2023-11-01,339.95,339.95,320,323.2,36900
2023-11-02,332.9,335.95,329.1,331,19200
2023-11-03,325,338,325,332.65,24000
2023-11-06,338.95,343.9,321.05,326.55,84300
2023-11-07,329.9,329.9,317.05,320.2,45300
2023-11-08,326.6,326.6,317.1,319.8,48900
2023-11-09,312,318,305,316.55,155100
2023-11-10,320,339.9,319.5,333.75,111000
2023-11-12,350,351,338.5,339.8,32700
2023-11-13,342.9,358.5,342.9,347.5,62100
2023-11-15,357.45,357.45,340,348.2,81900
2023-11-16,348,349.95,341,342.15,27900
2023-11-17,342.15,350.6,335,345.9,65400
2023-11-20,344.95,349,335,341.15,53100
2023-11-21,344,345.65,339.95,340.65,49200
2023-11-22,341.5,354.45,340,345.75,97800
2023-11-23,349,357,347.05,352.8,84000
2023-11-24,356.8,388.95,356.8,376.3,156000
2023-11-28,388,396,382,386.6,102300
2023-11-29,386.6,396.6,357,362.05,114300
2023-11-30,366,374.95,357.35,362.55,83700
2023-12-01,359,371,359,364.85,42900
2023-12-04,369,382,369,380.2,87300
2023-12-05,381,387,372,375.15,48900
2023-12-06,380.15,415,374,404.6,268500
2023-12-07,420.15,440,410.05,437.7,268200
2023-12-08,442.45,452,419,424.2,165300
2023-12-11,435,452.3,401,430.45,90000
