Date,Open,High,Low,Close,Volume
2007-03-07,38.86,40.72,22.14,23.04,7196112
2007-03-08,23.89,23.89,19.55,21.41,2812772
2007-03-09,21.72,23.04,20.01,20.52,1931965
2007-03-12,20.86,21.25,19.55,19.9,633981
2007-03-13,20.17,21.87,19.78,20.67,1313125
2007-03-14,20.09,20.17,19.08,19.62,460271
2007-03-15,20.01,21.33,19.82,20.01,837347
2007-03-16,20.36,20.48,19.16,19.39,357514
2007-03-19,18.62,19.78,18.62,18.96,145426
2007-03-20,19.78,19.78,17.53,17.65,392824
2007-03-21,17.99,17.99,16.13,16.37,298405
2007-03-22,16.79,17.68,16.72,17.14,248299
2007-03-23,17.37,20.24,14.39,18.89,998706
2007-03-26,19.27,19.86,18.31,18.58,316920
2007-03-28,17.84,18.77,17.53,17.8,195158
2007-03-29,18.03,18.31,17.57,17.84,132800
2007-03-30,18.11,19.08,17.84,18.31,155483
2007-04-02,17.18,18.23,17.18,17.41,59967
2007-04-03,17.45,17.99,17.14,17.34,57575
2007-04-04,17.53,17.96,17.06,17.3,58666
2007-04-05,17.14,18.07,17.14,17.57,106719
2007-04-09,18.03,18.77,17.65,18.03,88591
2007-04-10,17.49,18.54,17.49,18.15,102535
2007-04-11,18.23,18.58,17.76,17.84,86183
2007-04-12,17.3,18.03,17.3,17.61,39656
2007-04-13,17.14,18.23,17.06,17.68,60480
2007-04-16,17.8,20.71,17.8,19.97,398444
2007-04-17,19.47,20.36,17.96,18.85,212215
2007-04-18,19.16,19.93,18.77,18.89,89194
2007-04-19,18.62,19.08,18.62,18.65,37428
2007-04-20,17.1,19.2,17.1,18.03,51826
2007-04-23,18.15,18.89,18.07,18.23,156489
2007-04-24,17.72,18.54,17.72,17.88,30211
2007-04-25,17.8,18.77,17.8,18.07,61266
2007-04-26,18.5,18.77,17.92,18.11,73978
2007-04-27,18.07,18.27,17.34,17.45,52199
2007-04-30,17.45,17.99,17.45,17.72,35482
2007-05-03,18.11,18.23,17.53,17.65,50841
2007-05-04,17.68,18.19,17.06,17.3,123159
2007-05-07,17.84,17.84,17.3,17.34,41244
2007-05-08,17.41,17.45,16.6,16.79,40521
2007-05-09,16.79,17.34,16.56,16.75,50220
2007-05-10,16.75,17.14,16.44,16.48,35445
2007-05-11,16.44,18.62,16.29,17.99,292921
2007-05-14,17.99,19.16,17.34,17.41,150823
2007-05-15,17.61,18.69,17.3,17.88,185617
2007-05-16,18.03,18.38,17.88,17.99,76371
2007-05-17,18.19,18.38,17.57,17.72,63203
2007-05-18,17.72,17.84,17.14,17.26,53787
2007-05-21,17.76,18.03,17.37,17.57,61251
2007-05-22,17.37,18.81,16.44,18.38,341525
2007-05-23,19.27,19.27,17.72,17.92,417572
2007-05-24,18.23,18.96,17.96,18.11,212537
2007-05-25,18.03,21.76,17.99,21.49,3262082
2007-05-28,22.11,22.34,19.51,19.78,1387018
2007-05-29,19.7,21.21,19.16,19.7,651548
2007-05-30,19.78,20.55,19,19.31,317807
2007-05-31,19.97,20.28,19.16,19.31,327440
2007-06-01,19.7,20.59,19.04,19.16,390758
2007-06-04,19.2,19.66,18.23,18.34,174757
2007-06-05,18.96,19.47,18.38,18.73,351919
2007-06-06,18.85,18.96,18.03,18.19,152131
2007-06-07,18.23,18.31,17.84,17.92,102085
2007-06-08,17.84,17.99,17.61,17.68,81026
2007-06-11,17.88,18.62,17.68,17.8,77129
2007-06-12,17.84,17.88,17.3,17.49,43981
2007-06-13,17.26,18.19,17.22,17.41,135194
2007-06-14,17.76,17.99,17.45,17.49,64279
2007-06-15,17.53,18.77,17.53,17.96,286724
2007-06-18,18.19,18.19,17.49,17.68,59889
2007-06-19,17.61,17.92,17.45,17.57,41249
2007-06-20,17.84,18.31,17.65,17.8,103236
2007-06-21,17.68,18.07,17.61,17.8,53985
2007-06-22,17.72,18.11,17.45,17.57,44536
2007-06-25,17.84,17.99,17.65,17.72,58502
2007-06-26,17.68,17.88,17.34,17.45,75838
2007-06-27,17.45,17.61,17.14,17.26,34452
2007-06-28,17.14,17.53,17.1,17.22,42405
2007-06-29,17.22,17.34,17.06,17.18,49222
2007-07-02,19.7,19.7,17.14,17.22,62558
2007-07-03,17.61,18.03,17.3,17.65,130102
2007-07-04,17.99,18.19,17.26,17.3,35748
2007-07-05,19.39,19.39,16.72,16.95,55105
2007-07-06,16.95,17.57,16.95,17.06,87893
2007-07-09,16.91,17.34,16.75,16.87,47009
2007-07-10,16.91,17.18,16.68,16.79,23152
2007-07-11,16.64,17.06,16.6,16.68,48928
2007-07-12,16.91,16.95,16.56,16.6,40631
2007-07-13,16.87,16.99,16.44,16.56,78907
2007-07-16,16.83,16.83,16.48,16.64,61811
2007-07-17,16.79,16.79,16.4,16.48,38181
2007-07-18,16.48,16.64,16.06,16.13,63015
2007-07-19,15.98,16.44,15.98,16.13,46499
2007-07-20,16.09,16.29,15.82,15.86,28953
2007-07-23,15.9,16.09,15.51,15.63,33609
2007-07-24,15.78,15.78,15.16,15.2,54792
2007-07-25,15.32,15.32,14.43,15.05,56785
2007-07-26,12.41,15.36,12.41,14.62,46991
2007-07-27,14.12,14.74,14.12,14.43,30500
2007-07-30,14.58,14.66,14.08,14.19,29408
2007-07-31,14.43,14.5,14.27,14.39,34394
2007-08-01,14,14.35,13.73,13.85,29335
2007-08-02,12.8,14.74,12.8,13.77,23991
2007-08-03,14.35,14.35,13.73,13.77,37379
2007-08-06,13.57,14.31,13.57,14.16,34883
2007-08-07,14.08,15.05,14.08,14.7,103550
2007-08-08,14.66,15.05,14.66,14.81,56805
2007-08-09,14.97,16.6,14.89,15.36,207426
2007-08-10,14.81,15.16,14.27,15.05,42997
2007-08-13,15.12,15.28,14.81,15.12,19024
2007-08-14,14.93,15.16,14.27,14.39,58347
2007-08-16,14.43,14.74,13.96,14.23,22263
2007-08-17,14.35,14.35,13.69,14.08,46586
2007-08-20,14.58,14.97,14.31,14.35,21727
2007-08-21,14.04,14.5,13.34,13.42,29342
2007-08-22,13.26,13.77,12.91,13.19,28654
2007-08-23,13.57,13.57,12.91,12.99,26953
2007-08-24,13.11,13.15,12.8,13.07,12393
2007-08-27,13.81,13.81,13.03,13.19,35577
2007-08-28,13.42,13.57,13.11,13.22,37808
2007-08-29,12.99,13.42,12.99,13.3,12285
2007-08-30,13.38,13.77,13.38,13.65,40529
2007-08-31,13.57,14.43,13.57,14.12,64128
2007-09-03,13.65,14.89,13.65,14.74,49934
2007-09-04,14.66,14.85,14.47,14.54,28203
2007-09-05,14.74,14.89,14.54,14.66,34161
2007-09-06,15.01,16.79,14.7,16.33,358280
2007-09-07,16.29,16.95,15.98,16.17,161066
2007-09-10,15.59,16.21,15.51,15.86,39147
2007-09-11,15.82,16.09,15.51,15.55,23484
2007-09-12,16.13,16.13,15.71,15.86,49580
2007-09-13,16.06,16.09,15.55,15.86,41375
2007-09-14,15.71,16.06,15.2,15.55,34037
2007-09-17,15.36,15.75,15.12,15.2,18296
2007-09-18,15.05,17.37,15.05,16.79,173779
2007-09-19,17.76,18.62,16.09,16.29,89764
2007-09-20,17.06,17.06,15.75,16.02,49778
2007-09-21,15.86,16.09,15.55,15.59,19353
2007-09-24,15.9,16.13,15.44,15.59,40976
2007-09-25,15.75,15.9,15.47,15.47,34038
2007-09-26,15.51,17.8,15.51,16.33,97174
2007-09-27,16.13,16.99,15.9,15.98,40384
2007-09-28,15.94,16.21,15.75,15.9,27475
2007-10-01,15.98,16.17,15.24,15.78,36524
2007-10-03,15.59,16.4,15.24,15.4,38480
2007-10-04,15.2,15.98,15.2,15.4,12774
2007-10-05,15.12,15.59,14.78,14.97,22639
2007-10-08,15.44,15.51,14.04,14.39,22838
2007-10-09,13.88,14.43,13.81,14.27,35954
2007-10-10,14,14.66,13.96,14.16,31466
2007-10-11,14.16,14.39,13.96,14.12,16892
2007-10-12,14,15.12,13.81,14,48642
2007-10-15,13.69,14.27,13.69,14,25178
2007-10-16,14,14,13.57,13.69,16686
2007-10-17,13.61,14.04,13.19,13.92,30631
2007-10-18,14,14,13.61,13.69,33931
2007-10-19,13.57,13.96,13.07,13.57,54668
2007-10-22,12.8,13.85,12.8,13.19,14012
2007-10-23,13.38,13.96,13.3,13.73,9036
2007-10-24,14.27,14.27,13.26,13.42,8261
2007-10-25,13.65,14.04,13.57,13.69,21217
2007-10-26,13.53,14.66,13.53,13.69,13996
2007-10-29,13.61,14.04,13.61,13.92,32196
2007-10-30,13.3,13.73,13.3,13.38,14805
2007-10-31,13.88,13.88,13.3,13.34,12011
2007-11-01,13.34,13.69,12.64,13.11,25505
2007-11-02,12.88,13.11,12.57,12.95,18441
2007-11-05,12.64,14.43,12.64,13.15,54676
2007-11-06,13.42,13.92,12.76,12.88,45975
2007-11-07,13.77,13.77,12.6,12.76,18767
2007-11-08,13.42,13.42,12.41,12.49,24700
2007-11-09,13.03,13.03,12.53,12.91,5245
2007-11-12,13.34,13.38,12.26,13.11,127207
2007-11-13,12.84,13.57,12.84,13.19,39816
2007-11-14,13.22,14.66,13.19,13.81,94567
2007-11-15,14.12,14.54,13.77,13.96,58876
2007-11-16,13.88,15.12,13.88,14.58,66402
2007-11-19,15.71,16.13,14.89,15.4,113498
2007-11-20,16.09,16.09,15.12,15.28,57310
2007-11-21,15.47,15.47,14.04,14.12,47227
2007-11-22,13.88,14.5,13.57,13.57,26451
2007-11-23,14.31,14.31,13.81,13.92,18644
2007-11-26,14.23,15.09,14.04,14.62,125658
2007-11-27,14.54,17.57,14.54,17.49,726893
2007-11-28,18.81,18.93,16.79,17.3,596567
2007-11-29,17.92,18.38,16.99,17.14,229862
2007-11-30,17.45,17.61,17.1,17.22,121455
2007-12-03,17.68,20.67,17.68,20.67,1109977
2007-12-04,20.94,21.56,20.01,21.29,795898
2007-12-05,21.72,23.42,21.33,23.42,493634
2007-12-06,24.51,25.71,24.04,24.36,522152
2007-12-07,24.82,25.48,21.95,23.19,420374
2007-12-10,23.77,24.43,22.14,22.42,143903
2007-12-11,23.11,23.58,22.14,23.08,206825
2007-12-12,22.53,23.81,22.42,23.19,171761
2007-12-13,23.85,24.01,22.61,23.11,126910
2007-12-14,21.72,24.55,21.72,23.66,201337
2007-12-17,24.04,24.04,21.8,21.99,98380
2007-12-18,21.83,23.97,20.59,21.6,91111
2007-12-19,21.02,23.27,21.02,21.33,76580
2007-12-20,22.96,22.96,20.55,20.71,48751
2007-12-24,22.26,22.26,20.94,21.25,47138
2007-12-26,21.14,22.73,21.14,21.87,177552
2007-12-27,22.57,22.61,21.72,21.95,88185
2007-12-28,22.22,23.62,21.87,23.19,193849
2007-12-31,24.24,25.52,24.24,25.52,106705
2008-01-01,27.85,28.08,25.6,28.08,266415
2008-01-02,29.47,29.51,26.68,27.61,346105
2008-01-03,27.85,27.85,26.41,26.53,156693
2008-01-04,26.91,27.46,25.29,25.67,127782
2008-01-07,26.14,26.99,24.39,25.29,152376
2008-01-08,26.14,26.18,24.04,24.24,142124
2008-01-09,24.08,24.08,23.04,23.04,50341
2008-01-10,23.93,23.93,21.91,21.91,48513
2008-01-11,20.83,21.33,20.83,21.1,38813
2008-01-14,21.56,22.18,21.41,22.18,56281
2008-01-15,23,23.11,21.33,22.14,49393
2008-01-16,21.52,22.03,21.06,21.14,51682
2008-01-17,21.1,22.22,21.1,22.18,32872
2008-01-18,22.49,23.08,21.1,21.17,26796
2008-01-21,20.24,20.71,20.13,20.13,13191
2008-01-22,19.16,19.16,19.12,19.12,3680
2008-01-23,19.12,19.12,18.19,18.19,35085
2008-01-24,17.3,18.23,17.3,17.3,34469
2008-01-25,17.22,18.19,16.44,17.37,54238
2008-01-28,16.87,18.23,16.52,17.22,68164
2008-01-29,17.84,17.84,16.75,17.14,22161
2008-01-30,17.53,17.84,16.87,17.06,15403
2008-01-31,17.57,17.61,16.29,16.52,9690
2008-02-01,16.68,16.68,15.98,16.02,15264
2008-02-04,16.29,16.83,16.29,16.79,28821
2008-02-05,17.06,17.65,16.56,17.57,21722
2008-02-06,16.72,17.99,16.72,17.68,95717
2008-02-07,17.84,18.46,16.95,17.1,11614
2008-02-08,17.18,17.18,16.29,16.37,29549
2008-02-11,15.59,16.29,15.55,15.63,13270
2008-02-12,15.78,16.29,14.85,15.01,20905
2008-02-13,15.01,15.78,14.39,14.39,33678
2008-02-14,14.74,15.12,14.74,15.09,19449
2008-02-15,15.47,15.86,15.12,15.86,8551
2008-02-18,16.68,16.68,16.29,16.56,9540
2008-02-19,17.37,17.41,16.68,17.41,9033
2008-02-20,16.79,17.99,16.79,17.76,31684
2008-02-21,17.84,17.92,17.06,17.84,40000
2008-02-22,17.76,18.15,17.1,17.84,32228
2008-02-25,18.69,18.69,17.06,17.37,27630
2008-02-26,16.83,17.84,16.83,17.65,12774
2008-02-27,17.45,18.46,17.18,18.34,28715
2008-02-28,18.58,18.58,17.57,17.68,9666
2008-02-29,17.65,17.92,17.45,17.57,26996
2008-03-03,17.45,17.65,16.75,16.87,21869
2008-03-04,16.72,17.03,16.06,16.06,8349
2008-03-05,15.36,16.56,15.28,15.32,27099
2008-03-07,14.74,15.01,14.58,14.58,11600
2008-03-10,13.88,14.74,13.19,13.96,54486
2008-03-11,15.36,15.36,13.3,15.36,20356
2008-03-12,16.29,16.91,15.71,15.75,41762
2008-03-13,15.12,16.29,14.81,15.05,17597
2008-03-14,15.51,15.67,13.69,14.85,5511
2008-03-17,14.35,15.2,13.61,14.04,65961
2008-03-18,14.35,15.12,13.57,14.04,9165
2008-03-19,14.74,15.44,12.68,14.43,53318
2008-03-24,14.66,14.66,12.99,12.99,20124
2008-03-25,11.94,13.07,11.94,12.68,20712
2008-03-26,13.69,13.96,12.72,13.03,30858
2008-03-27,12.8,13.69,12.68,13.11,10599
2008-03-28,13.57,13.81,12.95,13.57,9054
2008-03-31,13.57,14.16,13.26,13.57,12443
2008-04-01,13.3,13.85,13.03,13.46,1964
2008-04-02,13.96,14.39,13.34,13.57,10784
2008-04-03,13.22,13.73,13.03,13.42,8237
2008-04-04,13.77,13.77,13.26,13.53,5854
2008-04-07,13.57,13.88,12.99,13.11,12720
2008-04-08,13.22,13.92,13.07,13.34,12446
2008-04-09,13.85,13.85,13.11,13.38,3443
