Date,Open,High,Low,Close,Volume
2003-09-05,8.98,9.08,8.91,9.07,672
2003-09-08,9.05,9.05,8.5,8.5,400
2003-09-09,8.61,8.7,8.47,8.47,474
2003-09-10,8.61,8.61,8.36,8.38,2944
2003-09-11,8.41,8.5,8.4,8.49,1937
2003-09-12,8.41,8.41,8.21,8.37,409
2003-09-15,8.3,8.4,8.3,8.4,1340
2003-09-16,8.3,8.8,8.23,8.8,1656
2003-09-17,7.92,8.95,7.92,8.26,606
2003-09-19,8.55,8.6,8.55,8.58,50
2003-09-22,8.3,8.6,8.3,8.53,3543
2003-09-23,8.5,8.89,8.5,8.76,430
2003-09-24,8.5,8.9,8.5,8.63,1033
2003-09-25,8.6,8.7,8.51,8.51,319
2003-09-26,7.92,8.75,7.92,8.21,487
2003-09-29,8.64,8.7,8.4,8.4,830
2003-09-30,8.5,8.8,8.5,8.8,250
2003-10-01,8.8,8.88,8.5,8.66,921
2003-10-03,8.7,8.88,8.7,8.8,1843
2003-10-06,8.85,8.85,8.51,8.75,862
2003-10-07,9,10.19,8.76,9.73,6661
2003-10-08,9.61,10,9.61,9.9,2030
2003-10-09,8.8,10.2,8.8,9.71,1589
2003-10-10,9.61,9.89,9.61,9.68,896
2003-10-13,9.75,10.3,9.4,10.11,7481
2003-10-14,10,10.3,10,10.09,1604
2003-10-15,10.05,10.1,9.82,9.83,878
2003-10-16,9.99,10.25,9.81,10.18,1342
2003-10-17,10.2,10.2,9.91,9.93,3619
2003-10-20,9.98,10,9.71,9.75,575
2003-10-21,9.91,9.97,9.5,9.76,235
2003-10-22,10,11.5,9.5,9.85,5126
2003-10-23,9.81,10,9.44,9.75,1730
2003-10-24,9.56,9.9,9.56,9.9,995
2003-10-25,10.35,10.35,10.14,10.16,505
2003-10-27,9.9,10.3,9.9,10.02,1235
2003-10-28,9.77,10.28,9.77,10.05,1290
2003-10-29,10.1,10.11,9.83,10.09,1217
2003-10-30,9.73,10,9.73,10,777
2003-10-31,10,10.35,9.81,10.05,2195
2003-11-03,10.4,11,10.26,10.85,5633
2003-11-04,10.9,10.9,10.15,10.27,4280
2003-11-05,10.7,10.7,9.9,10.28,1653
2003-11-06,10.1,10.31,10.01,10.3,2406
2003-11-07,10.5,10.5,10.13,10.27,2037
2003-11-10,10.5,10.69,10.32,10.51,1528
2003-11-11,10.6,11.57,10.6,11.57,5277
2003-11-12,12.5,12.5,11,11.87,6581
2003-11-13,12,12.3,11.35,11.5,2034
2003-11-14,11.4,11.4,11.05,11.2,864
2003-11-15,11.7,11.7,11.7,11.7,150
2003-11-17,11.8,12.19,11.8,11.8,1158
2003-11-18,11.8,12.18,11.8,11.9,1244
2003-11-19,12.1,12.2,11.26,11.3,1661
2003-11-20,11.07,11.5,11.07,11.5,195
2003-11-21,10.71,11.71,10.7,10.96,2516
2003-11-24,11,11,11,11,100
2003-11-25,10.9,10.98,10.7,10.98,565
2003-11-27,11.09,11.6,11.09,11.13,586
2003-11-28,11.21,11.6,11.21,11.53,4158
2003-12-01,12,12,11.52,11.68,1018
2003-12-02,11.63,11.8,11.55,11.72,2680
2003-12-03,11.9,11.99,11.71,11.96,3156
2003-12-04,12.2,12.2,11.71,11.85,961
2003-12-05,12.2,12.2,11.8,12,1229
2003-12-08,11.5,12.1,11.2,11.96,3618
2003-12-09,12.19,13.01,11.98,13.01,4681
2003-12-10,13.6,14.2,13,13.27,8457
2003-12-11,13.5,13.8,13.24,13.7,2305
2003-12-12,13.87,13.87,13.41,13.5,2082
2003-12-15,14.49,14.49,13.8,14.05,4139
2003-12-16,14.1,14.18,13.75,13.9,3174
2003-12-17,14,14.2,14,14.2,4557
2003-12-18,14.7,14.7,14.03,14.29,7803
2003-12-19,14.25,14.63,14.2,14.25,3166
2003-12-22,14.33,14.69,14.33,14.49,3140
2003-12-23,14.41,15.9,14.41,15.2,2863
2003-12-24,14.95,15.2,14.81,14.83,2722
2003-12-26,15.4,15.4,15.1,15.36,1450
2003-12-29,15.07,15.59,15.07,15.45,5833
2003-12-30,15,16,14.6,15.01,5056
2003-12-31,15.49,15.49,14.53,14.79,3472
2004-01-01,15.3,15.7,15.3,15.41,2745
2004-01-02,15.41,15.5,15.05,15.18,931
2004-01-05,15,15,14.5,14.53,2699
2004-01-06,13.55,14.67,13.5,14.53,3419
2004-01-07,14.1,14.89,14.1,14.89,5682
2004-01-08,15.19,15.19,14.31,14.68,1026
2004-01-09,14.5,15,14.48,14.73,4205
2004-01-12,14.4,14.5,14.01,14.14,3430
2004-01-13,14.11,14.3,14.08,14.3,1539
2004-01-14,13.9,14.5,13.9,14.29,1251
2004-01-15,14.01,14.3,14,14.1,2214
2004-01-16,14.11,14.3,14.11,14.2,2245
2004-01-19,14,14.2,14,14.06,1593
2004-01-20,14.2,14.3,13.81,14.3,3956
2004-01-21,14.01,14.2,13.65,13.65,727
2004-01-22,14.01,14.01,12.9,13,1550
2004-01-23,13,13.7,12.93,13,1549
2004-01-27,13.9,14,13.85,13.99,77
2004-01-28,15.84,15.84,12.66,12.74,5600
2004-01-29,12.51,13.01,12.51,13,3394
2004-01-30,13,13.1,12.31,12.44,3440
2004-02-03,10.8,13.4,10.8,11.76,4025
2004-02-04,11.71,12.4,11.71,12.08,370
2004-02-05,10.81,12,10.81,11.78,2545
2004-02-06,12.6,12.6,11.64,11.71,2417
2004-02-09,12.03,12.03,12.03,12.03,115
2004-02-10,12.25,12.25,12.1,12.11,774
2004-02-11,10.57,12.4,10.57,11.97,5693
2004-02-12,12.4,12.73,12.32,12.7,1045
2004-02-13,12.6,13,12.6,13,2965
2004-02-16,12.15,12.71,12.15,12.51,4741
2004-02-17,12.7,12.7,12.51,12.51,2911
2004-02-18,12.5,12.7,12.29,12.32,1237
2004-02-19,12.32,12.32,12,12.2,1072
2004-02-20,10.22,12.3,10.22,12.13,805
2004-02-23,11.9,12.74,11.46,12.74,152
2004-02-24,12.2,12.4,11.91,12,880
2004-02-25,12,12,12,12,380
2004-02-26,12.2,12.4,12.01,12.37,1614
2004-02-27,12.02,12.1,11.8,11.85,2209
2004-03-01,11.72,12.05,11.7,12.05,1585
2004-03-03,12.06,12.06,12.06,12.06,50
2004-03-04,12.25,12.5,12.2,12.41,601
2004-03-05,12.35,12.35,12.01,12.05,705
2004-03-08,12.09,12.2,12.01,12.2,1224
2004-03-09,11.73,12.3,11.73,12.3,200
2004-03-10,11.85,12.5,11.85,12.16,911
2004-03-11,11.82,12.4,11.82,11.89,432
2004-03-12,11.9,11.9,10.82,11.9,27650
2004-03-15,12.47,12.47,11.9,11.9,2301
2004-03-16,10.35,11.2,10.35,11.01,3192
2004-03-17,12.24,12.24,11.31,11.41,3571
2004-03-18,11,11.38,11,11.28,9793
2004-03-19,11.01,11.3,11.01,11.11,1050
2004-03-22,11.03,11.03,11.03,11.03,2000
2004-03-23,11.4,11.4,10.91,10.91,500
2004-03-24,11,11.3,11,11.01,1701
2004-03-25,12,12,10.71,10.83,2559
2004-03-26,10.51,11.4,10.51,11.13,4041
2004-03-29,11.3,12,11.01,11.04,540
2004-03-30,11.35,11.5,11.35,11.5,1600
2004-03-31,11.48,11.55,11.11,11.2,23581
2004-04-01,11.2,11.8,11.04,11.51,1795
2004-04-02,11.48,11.8,11.4,11.48,1865
2004-04-05,11.45,11.45,11.03,11.4,389
2004-04-06,11.6,12,11.6,12,1019
2004-04-07,11.61,11.7,11.61,11.61,3899
2004-04-08,11.73,11.73,11.5,11.6,1392
2004-04-12,12,13.05,12,12.82,7707
2004-04-13,12.72,12.72,12,12.23,3751
2004-04-15,11.65,12.6,11.65,12.49,1010
2004-04-16,12.7,13.62,12.53,12.88,14287
2004-04-17,12.65,13.68,12.6,12.89,1161
2004-04-19,13,13.15,12.7,13.1,870
2004-04-20,13.33,13.33,12.3,12.49,990
2004-04-21,12.2,13.1,12.15,12.8,2519
2004-04-22,12.3,12.7,12.22,12.42,1161
2004-04-23,13,13,12.1,12.39,2729
2004-04-27,12.5,12.5,12.4,12.45,102
2004-04-28,12.01,12.69,12.01,12.65,470
2004-04-29,12.03,12.69,12.03,12.69,300
2004-04-30,12.5,12.58,12.48,12.5,231
2004-05-03,11.41,12,11.41,11.86,2280
2004-05-04,12.3,12.5,12.3,12.5,1505
2004-05-05,12.5,12.5,12.2,12.23,8520
2004-05-06,12.4,12.5,12.11,12.11,1978
2004-05-07,11.3,12.48,11.3,11.81,549
2004-05-10,12.3,12.5,12.1,12.5,1047
2004-05-11,11.32,12.39,11.32,12.05,954
2004-05-12,12,12.2,10.91,11.7,1855
2004-05-13,11.6,13.1,11.6,13.1,206
2004-05-14,12.75,12.78,12,12,485
2004-05-17,10.92,11.05,10.92,11.01,1110
2004-05-18,11.16,12.05,11.15,11.5,2006
2004-05-19,12,12.5,12,12,2200
2004-05-20,12,12.1,11.7,11.97,750
2004-05-21,12.05,12.05,12.05,12.05,329
2004-05-24,12.2,12.6,12.05,12.27,1065
2004-05-25,12,13,12,12.7,1172
2004-05-26,12.16,12.89,12.16,12.35,318
2004-05-27,14.1,14.1,12.4,12.4,1550
2004-05-28,12.4,12.59,12.25,12.48,3115
2004-05-31,12,13,12,12.9,826
