Date,Open,High,Low,Close,Volume
2019-04-05,15.94,16.73,15.94,16.73,133200
2019-04-08,16.57,16.57,15.89,16.19,81600
2019-04-09,16.06,16.31,16.06,16.19,49200
2019-04-10,16.19,16.19,16.06,16.15,106000
2019-04-11,16.19,16.69,16.06,16.49,57200
2019-04-15,16.69,17.39,16.69,17.39,30000
2019-04-16,18.12,18.25,17.5,17.55,17600
2019-04-18,17.31,17.47,17.31,17.47,1200
2019-04-22,17.06,17.5,17,17.27,12000
2019-04-23,17.37,18.69,17.37,17.64,12800
2019-04-24,17.81,17.81,17.63,17.63,1600
2019-04-25,17.5,17.94,17.5,17.94,1600
2019-04-26,17.96,18,17.51,17.93,2000
2019-04-30,17.56,17.56,17.13,17.13,1200
2019-05-02,17.13,17.13,17,17,3600
2019-05-03,17.13,17.13,17.13,17.13,400
2019-05-06,17,17.22,16.94,17.03,3200
2019-05-07,17.03,17.03,16.75,16.79,4400
2019-05-08,16.75,16.75,16.56,16.56,1200
2019-05-10,16.88,16.88,16.56,16.56,1200
2019-05-13,16.56,16.69,16.56,16.56,4800
2019-05-14,16.5,16.56,16.25,16.56,3600
2019-05-15,16.56,16.88,16.56,16.88,29600
2019-05-16,16.56,16.88,16.56,16.56,29600
2019-05-17,16.56,16.91,16.56,16.91,8400
2019-05-20,17.16,17.19,17,17.18,28400
2019-05-21,17.25,17.56,17.19,17.54,15200
2019-05-22,17.5,17.63,17.5,17.5,2000
2019-05-23,17.75,18,17.5,17.5,5600
2019-05-24,17.88,18.06,17.75,18,3600
2019-05-27,18.06,18.49,17.81,18.13,6800
2019-05-28,18.01,18.01,17.82,17.82,1600
2019-05-29,17.82,17.82,17.81,17.81,1200
2019-05-31,17.81,17.84,17.81,17.83,2800
2019-06-03,17.69,18.19,17.69,18.19,10400
2019-06-04,18.13,19.06,18.06,18.44,2000
2019-06-07,18.31,18.31,18.31,18.31,400
2019-06-10,17.81,17.81,17.75,17.75,800
2019-06-11,17.83,18.13,17.83,18.13,2400
2019-06-12,17.82,18.19,17.82,18.19,3200
2019-06-14,17.82,17.82,17.81,17.81,2800
2019-06-18,17.38,17.38,17.38,17.38,400
2019-06-19,17.56,17.56,17.19,17.19,3600
2019-06-24,17.5,17.5,17.5,17.5,800
2019-06-25,17.19,17.5,17.19,17.19,1600
2019-06-26,17.19,17.19,16.88,16.88,1600
2019-06-27,16.88,16.88,16.56,16.67,2800
2019-06-28,16.56,16.88,16.56,16.88,2800
2019-07-01,16.88,17.56,16.88,17.56,2000
2019-07-02,17.75,18.38,17.75,18.17,2000
2019-07-03,17.81,18.19,17.81,18.16,14400
2019-07-05,17.82,17.82,17.81,17.81,2800
2019-07-08,17.38,18.13,17.19,17.19,6400
2019-07-15,17.19,17.19,17.19,17.19,800
2019-07-16,17.38,17.38,17.19,17.22,2400
2019-07-18,17.19,17.19,16.86,16.86,1200
