Date,Open,High,Low,Close,Volume
2018-06-20,4.64,4.64,4.5,4.5,1776000
2018-06-21,4.5,4.55,4.33,4.35,388000
2018-06-22,4.42,4.52,4.33,4.47,576000
2018-06-25,4.52,4.68,4.51,4.68,392000
2018-06-26,4.71,4.92,4.71,4.92,104000
2018-06-27,5.16,5.16,4.76,4.82,260000
2018-06-28,4.91,4.92,4.79,4.83,40000
2018-06-29,4.75,4.8,4.62,4.62,108000
2018-07-02,4.58,4.75,4.54,4.56,172000
2018-07-03,4.56,4.67,4.56,4.64,20000
2018-07-04,4.71,4.79,4.68,4.77,52000
2018-07-05,4.63,4.67,4.63,4.67,8000
2018-07-06,4.52,4.67,4.52,4.66,20000
2018-07-09,4.55,4.92,4.55,4.73,108000
2018-07-10,4.83,4.92,4.69,4.69,32000
2018-07-11,4.67,4.67,4.67,4.67,8000
2018-07-12,4.55,4.58,4.5,4.58,20000
2018-07-13,4.6,4.67,4.36,4.66,196000
2018-07-16,4.67,4.67,4.42,4.51,48000
2018-07-17,4.58,4.58,4.5,4.53,28000
2018-07-18,4.43,4.53,4.35,4.48,140000
2018-07-19,4.58,4.58,4.5,4.52,144000
2018-07-20,4.55,4.55,4.52,4.52,128000
2018-07-23,4.47,4.58,4.45,4.53,52000
2018-07-24,4.45,4.62,4.45,4.57,96000
2018-07-25,4.67,4.67,4.5,4.59,60000
2018-07-27,4.52,4.69,4.45,4.65,48000
2018-07-30,4.58,4.67,4.54,4.54,56000
2018-07-31,4.55,4.66,4.55,4.63,52000
2018-08-01,4.58,4.58,4.58,4.58,4000
2018-08-02,4.6,4.61,4.57,4.58,28000
2018-08-03,4.33,4.47,4.33,4.46,32000
2018-08-06,4.5,4.67,4.5,4.64,52000
2018-08-07,4.62,4.65,4.52,4.52,52000
2018-08-09,4.65,4.65,4.34,4.4,148000
2018-08-10,4.36,4.47,4.34,4.36,108000
2018-08-13,4.34,4.48,4.34,4.48,52000
2018-08-14,4.45,4.55,4.4,4.42,64000
2018-08-16,4.49,4.55,4.49,4.52,20000
2018-08-17,4.53,4.63,4.46,4.47,84000
2018-08-23,4.36,4.62,4.36,4.57,28000
2018-08-24,4.47,4.57,4.39,4.39,28000
2018-08-28,4.51,4.57,4.34,4.5,40000
2018-08-29,4.37,4.5,4.37,4.47,20000
2018-08-30,4.35,4.53,4.35,4.53,8000
2018-08-31,4.52,4.79,4.52,4.73,76000
2018-09-03,4.38,4.38,4.38,4.38,4000
2018-09-05,4.57,4.67,4.57,4.67,36000
2018-09-06,4.67,4.74,4.65,4.65,28000
2018-09-07,4.67,4.67,4.66,4.67,24000
2018-09-10,4.62,4.62,4.58,4.58,80000
2018-09-11,4.47,4.53,4.47,4.53,8000
2018-09-12,4.58,4.65,4.58,4.62,8000
2018-09-14,4.35,4.57,4.35,4.5,44000
2018-09-17,4.5,4.5,4.5,4.5,36000
2018-09-18,4.5,4.5,4.5,4.5,4000
2018-09-19,4.37,4.5,4.34,4.5,16000
2018-09-21,4.37,4.6,4.34,4.6,68000
2018-09-24,4.35,4.5,4.34,4.34,44000
2018-09-25,4.34,4.35,4.33,4.34,40000
2018-09-26,4.35,4.49,4.09,4.36,144000
2018-09-27,4.34,4.34,4.34,4.34,4000
2018-09-28,4.34,4.34,4.33,4.33,24000
2018-10-01,4.33,4.33,4.07,4.31,52000
2018-10-03,4.34,4.42,4.34,4.34,32000
2018-10-04,4.42,4.45,4.34,4.34,20000
2018-10-05,4.34,4.34,4.34,4.34,4000
2018-10-08,4.35,4.35,4.35,4.35,8000
2018-10-09,4.34,4.37,4.34,4.37,40000
2018-10-10,4.34,4.5,4.34,4.34,52000
2018-10-11,4.34,4.34,4.33,4.33,44000
2018-10-12,4.34,4.34,4.34,4.34,8000
2018-10-15,4.34,4.58,4.34,4.37,76000
2018-10-16,4.37,4.37,4.37,4.37,4000
2018-10-17,4.34,4.34,4.34,4.34,4000
2018-10-19,4.42,4.42,4.34,4.34,12000
2018-10-22,4.21,4.37,4.21,4.37,80000
2018-10-23,4.42,4.42,4.37,4.37,76000
2018-10-24,4.22,4.33,4.22,4.33,24000
2018-10-25,4.1,4.29,4.1,4.29,48000
2018-10-26,4.38,4.38,4.33,4.33,40000
2018-10-29,4.33,4.33,4.33,4.33,8000
2018-10-30,4.38,4.42,4.38,4.42,8000
2018-10-31,4.18,4.18,4.18,4.18,4000
2018-11-07,4.42,4.42,4.42,4.42,4000
2018-11-16,4.08,4.08,4.08,4.08,4000
2018-11-20,4.33,4.33,4.33,4.33,12000
2018-11-21,4.42,4.46,4.42,4.46,20000
2018-11-22,4.4,4.4,4.33,4.33,24000
2018-11-30,4.47,4.47,4.25,4.25,12000
