Date,Open,High,Low,Close,Volume
2003-09-05,41.28,42.52,40.64,41.47,66309
2003-09-08,42.06,44.5,41.28,43.58,156535
2003-09-09,44.63,44.63,40.5,41.28,66662
2003-09-10,40.37,41.74,39.08,39.54,48623
2003-09-11,40.32,41.1,39.22,39.4,29961
2003-09-12,40.23,40.78,38.17,38.67,38720
2003-09-15,38.99,45.78,33.99,36.83,56185
2003-09-16,36.88,38.67,36.7,38.39,25937
2003-09-17,40.18,40.18,36.61,36.79,19577
2003-09-18,36.79,36.83,34.95,35.28,21949
2003-09-19,36.51,36.97,34.95,35.05,18681
2003-09-22,38.17,38.17,35.32,35.6,11255
2003-09-23,35.87,39.91,35.6,38.17,46545
2003-09-24,38.26,39.91,36.33,38.85,68367
2003-09-25,39.45,41.05,38.53,39.82,69897
2003-09-26,40.96,40.96,40,40.23,37407
2003-09-29,37.16,40,36.97,38.94,39364
2003-09-30,37.89,39.27,37.89,38.62,12730
2003-10-01,38.53,39.13,37.71,38.07,10837
2003-10-03,41.19,42.66,38.53,41.79,106018
2003-10-06,41.74,44.04,41.56,41.88,46521
2003-10-07,41.28,48.99,40.5,45.41,251288
2003-10-08,44.22,49.72,44.22,46.33,184821
2003-10-09,46.88,47.71,45.32,46.19,106326
2003-10-10,46.88,47.61,45.05,45.55,53330
2003-10-13,44.27,45.78,43.67,43.99,30930
2003-10-14,45.87,45.87,42.2,42.48,42435
2003-10-15,43.9,43.9,41.74,41.93,12801
2003-10-16,41.74,43.58,41.28,41.97,25463
2003-10-17,41.74,42.2,40.6,41.19,25552
2003-10-20,41.28,41.28,39.72,39.91,29025
2003-10-21,40.37,41.24,39.27,39.5,13795
2003-10-22,40.37,40.37,38.3,38.85,16204
2003-10-23,39.27,39.54,38.62,38.9,11657
2003-10-24,38.76,39.63,38.07,39.45,12361
2003-10-25,38.53,40.83,38.53,40.09,3275
2003-10-27,39.04,40.14,39.04,39.77,7605
2003-10-28,36.42,40.37,36.42,38.62,8299
2003-10-29,38.99,39.91,38.35,39.27,9425
2003-10-30,37.94,38.53,36.24,38.03,25088
2003-10-31,37.61,39.45,37.25,38.81,26765
2003-11-03,38.53,38.53,37.61,37.8,22389
2003-11-04,37.25,38.44,37.25,37.94,17405
2003-11-05,38.53,39.27,37.61,38.76,10564
2003-11-06,38.76,39.68,38.17,39.17,11521
2003-11-07,39.36,39.91,38.53,39.04,17266
2003-11-10,36.28,46.15,36.24,44.72,82345
2003-11-11,45.92,46.74,44.22,44.91,143198
2003-11-12,45.55,45.78,40.87,41.7,80089
2003-11-13,42.2,43.94,41.28,42.43,55636
2003-11-14,39.63,41.74,38.99,39.36,22112
2003-11-15,41.05,41.28,39.63,40.78,10579
2003-11-17,41.74,44.04,41.28,43.07,30357
2003-11-18,45.6,46.79,43.62,44.04,73795
2003-11-19,44.59,47.71,43.12,46.33,144751
2003-11-20,48.58,48.58,43.53,43.99,65860
2003-11-21,46.79,46.79,41.28,45.23,51507
2003-11-24,46.79,46.79,44.22,44.59,13974
2003-11-25,46.74,46.74,43.12,43.3,22457
2003-11-27,45.87,45.87,42.66,43.17,20915
2003-11-28,44.04,44.72,43.21,43.81,26513
2003-12-01,44.95,44.95,44.04,44.22,22644
2003-12-02,44.95,45.78,42.34,43.26,37361
2003-12-03,44.04,44.31,43.44,43.85,45672
2003-12-04,44.5,45.18,42.94,43.49,42451
2003-12-05,44.04,49.4,43.58,45.37,239799
2003-12-08,46.1,47.16,45,45.78,74721
2003-12-09,46.61,54.95,46.1,53.12,299840
2003-12-10,55.96,57.11,51.38,52.43,243230
2003-12-11,53.94,53.94,49.59,52.84,136059
2003-12-12,53.67,53.67,50.37,50.96,90702
2003-12-15,51.05,52.2,50.46,50.69,55842
2003-12-16,51.15,51.15,47.71,48.12,67156
2003-12-17,50.37,50.37,47.8,48.67,32926
2003-12-18,48.62,51.38,48.62,50.09,81436
2003-12-19,50.55,51.24,49.08,49.59,53687
2003-12-22,50.46,51.65,49.63,50.6,63845
2003-12-23,51.28,52.66,48.9,49.77,86229
2003-12-24,50.46,51.1,49.13,49.63,35053
2003-12-26,50.09,50.83,48.17,48.85,53762
2003-12-29,50.28,50.37,49.54,49.86,41303
2003-12-30,50.46,51.01,48.17,48.62,46345
2003-12-31,49.45,49.45,47.75,48.03,27288
2004-01-01,48.58,49.08,48.03,48.72,22113
2004-01-02,48.9,50.5,48.07,48.62,64833
2004-01-05,49.54,49.95,47.71,47.94,31901
2004-01-06,50.46,50.46,46.79,47.25,29224
2004-01-07,46.19,47.61,45,45.87,20424
2004-01-08,47.06,47.71,46.33,47.25,23516
2004-01-09,47.71,48.26,46.15,46.61,24257
2004-01-12,47.71,47.71,44.59,44.72,31283
2004-01-13,44.95,45.32,44.31,44.72,16036
2004-01-14,44.54,45.32,44.45,44.59,15625
2004-01-15,44.54,47.71,44.36,44.86,24528
2004-01-16,44.08,44.95,43.12,43.17,13057
2004-01-19,42.66,44.91,42.29,42.98,9802
2004-01-20,42.66,44.04,41.88,42.16,14001
2004-01-21,43.3,43.3,38.53,38.81,21496
2004-01-22,38.76,39.82,37.89,38.3,31704
2004-01-23,38.53,40.28,37.39,39.04,38228
2004-01-27,40.18,40.28,38.07,39.13,27688
2004-01-28,39.45,41.65,38.62,39.13,45693
2004-01-29,40.05,40.05,38.99,39.5,16055
2004-01-30,39.86,39.86,38.72,38.94,17543
2004-02-03,41.74,44.77,38.21,38.76,87470
2004-02-04,39.08,40.37,38.58,39.08,33786
2004-02-05,39.54,40.37,38.99,39.17,45041
2004-02-06,38.53,39.82,38.07,39.5,16515
2004-02-09,40.28,40.55,38.99,40.32,20576
2004-02-10,40.37,41.28,39.68,40.64,22742
2004-02-11,40.83,41.01,39.91,40.41,13212
2004-02-12,39.91,42.57,39.91,40.92,15145
2004-02-13,41.15,44.5,40.64,42.39,66111
2004-02-16,43.58,45.69,42.2,43.9,65542
2004-02-17,44.04,45.55,43.26,43.9,32992
2004-02-18,44.68,45.18,44.13,44.5,33847
2004-02-19,45.23,45.41,41.7,41.88,13385
2004-02-20,40.96,42.2,40.92,41.7,17865
2004-02-23,40.6,42.8,40.6,40.78,12199
2004-02-24,40.55,43.12,39.86,41.47,20188
