Date,Open,High,Low,Close,Volume
2025-08-11,174,182.7,169,182.7,1173600
2025-08-12,191.8,191.8,191.8,191.8,56000
2025-08-13,201.35,201.35,201.35,201.35,32000
2025-08-14,211.4,211.4,211.4,211.4,396000
2025-08-18,221.95,221.95,221.95,221.95,28000
2025-08-19,233,233,233,233,34400
2025-08-20,244.65,244.65,244.65,244.65,17600
2025-08-21,256.85,256.85,256.85,256.85,12800
2025-08-22,269.65,269.65,247.5,269.65,776800
2025-08-25,261,283.1,256.2,283.1,386400
2025-08-26,279,306.4,262.1,265.65,340800
2025-08-28,269.9,286.95,254.1,268.25,124000
2025-08-29,272,274,245.8,249.8,184800
2025-09-01,250,255,238.65,250.8,39200
2025-09-02,243.1,260,240.55,248.5,41600
2025-09-03,250,256,250,255.9,19200
2025-09-04,258.5,265.1,254,262.55,47200
2025-09-05,260,263,252,262,14400
2025-09-08,268,274.8,258,271.9,52000
2025-09-09,269.5,285.45,269.5,284.9,84000
2025-09-10,278,288,276.8,282.15,36800
2025-09-11,278.1,288.6,277.1,280.25,88000
2025-09-12,279,279,266.25,267.5,36000
2025-09-15,263,263,254.15,254.15,23200
2025-09-16,246.1,250,241.45,241.85,98400
2025-09-17,229.75,253.4,229.75,242.6,58400
2025-09-18,236,252.9,236,243.2,26400
2025-09-19,254,254,232.6,235.2,30400
2025-09-22,238,238,223.45,224.65,69600
2025-09-23,228.7,235.8,213.45,233.2,155200
2025-09-24,233.5,233.5,224,224.6,29600
2025-09-25,232,235.8,225,233.5,24800
2025-09-26,235,245.15,235,239.25,32800
2025-09-29,239,239.25,234,235.3,9600
2025-09-30,233,240,223.55,238.45,36800
2025-10-01,230,240,227.3,236.75,17600
2025-10-03,227.5,232,227.5,228.6,17600
2025-10-06,239,239.95,226.1,236.55,28000
2025-10-07,235,240,229.05,234.7,72000
2025-10-08,229.6,240,229.6,236.65,28000
2025-10-09,240,244,233.1,242.95,21600
2025-10-10,240,245.95,238.5,243.3,32800
2025-10-13,255.45,255.45,249,255.45,46400
2025-10-14,268.2,268.2,258.1,264.9,37600
2025-10-15,266,266.5,255.45,262.9,14400
2025-10-16,262.3,271,258,264.6,37600
2025-10-17,261,269.7,260,265.3,8000
2025-10-20,265.5,271.85,260,264.95,12000
2025-10-21,265,269.9,265,267,3200
2025-10-23,267,280.35,267,271.25,32000
2025-10-24,266,266.95,261.2,264.5,4800
2025-10-27,264.5,270,262.05,265.7,5600
2025-10-28,265.7,272.5,265.7,272.5,13600
2025-10-29,275,282.85,265,266,24800
2025-10-30,266.5,266.5,266,266,8000
2025-10-31,260.05,270.8,259,266.95,14400
2025-11-03,254,254,253.6,253.6,10000
2025-11-04,240.95,266,240.95,258.8,28800
2025-11-06,257.9,267.9,252.3,265.45,12800
2025-11-07,271.5,271.5,252.2,253.95,94400
2025-11-10,260,266.6,251,254.5,10800
2025-11-11,254.5,263.95,254.5,257.45,17200
2025-11-12,254,254.4,251.5,251.65,6800
2025-11-13,251.25,251.65,239.2,240,82800
2025-11-14,244,250,228,232.25,59200
2025-11-17,237.9,242.8,233,234.15,48000
2025-11-18,233,245.85,224.1,244.8,26000
2025-11-19,250,255.5,245,246.05,17600
2025-11-20,246.05,253,245.95,249.95,8000
2025-11-21,249.9,249.9,240,240.3,8400
2025-11-24,240,247,238,240.15,4000
2025-11-25,241,244.15,238.1,242,10400
2025-11-26,248,249.45,244,244.05,10000
2025-11-27,244.05,244.4,233,233.5,65600
2025-11-28,243.95,244,236.25,242.65,10400
2025-12-01,243.1,253.95,243,246.15,11200
2025-12-02,253.85,253.85,238.05,238.05,6000
2025-12-03,235.1,238,231,232.05,13200
2025-12-04,229.2,232,228.3,228.3,3600
2025-12-05,226,234,226,234,1600
2025-12-08,235,235,210.6,211.15,34800
2025-12-09,203,224,199,214.7,36000
2025-12-10,218,219.05,197.6,199.75,54800
2025-12-11,200,200.9,199,200.05,32400
2025-12-12,205,205,197.5,199.4,10400
2025-12-15,205.5,210,200,208.5,5200
2025-12-16,213,215,200,203,18000
2025-12-17,210,216.95,202,208,9600
2025-12-18,203.05,209.5,203,209,2800
2025-12-19,216.95,216.95,198,200.65,41600
2025-12-22,204,219.05,204,217.35,24000
2025-12-23,217.35,219.05,216.25,218.9,6800
2025-12-24,211,218,211,213,14800
2025-12-26,219,219.05,204.05,209.25,9600
2025-12-29,210,210,203,209.95,2800
2025-12-30,209.95,212.9,204.3,205,23200
2025-12-31,203,209.8,203,206.75,4400
2026-01-01,208,211,208,210.95,2400
2026-01-02,205,207,205,206.5,5600
2026-01-05,207,214.35,205.7,206.05,6400
2026-01-06,206.1,210.95,206,210.95,2800
2026-01-07,202,210,202,206.1,20000
2026-01-08,205.3,211.95,205,207.5,14800
2026-01-09,207,207.95,197,200.15,6800
2026-01-12,205,205,195.05,204.05,9200
2026-01-13,207.05,211,202.1,202.6,4800
2026-01-14,202,202,197.2,197.2,12000
2026-01-16,195.1,216.9,188.55,215.75,32800
2026-01-19,220,225,201.05,205.2,11600
2026-01-20,214.95,215.05,200.8,208.4,14000
2026-01-21,208.4,221.95,202.05,217.5,17600
2026-01-22,208.15,222,208.1,220.05,21200
2026-01-23,219,220,209,209.5,8000
2026-01-27,202.05,217.95,202.05,215.3,11200
2026-01-28,215.8,218,215.8,216.05,3200
2026-01-29,216.05,236.95,216,220.3,20800
2026-01-30,218.1,224,218,222,4800
2026-02-01,216,224,213.1,220.55,6000
2026-02-02,220,224.9,220,224.9,1600
2026-02-03,230,235,218,224,14800
2026-02-04,224,234,224,227.9,18800
2026-02-05,235,237.35,221.05,221.05,8400
2026-02-06,229,239.05,229,236.55,13200
2026-02-09,243,243,232,235.85,7600
2026-02-10,234.5,246,233.5,244.3,24800
2026-02-11,243,244.3,237.15,239.1,6400
2026-02-13,239,239,239,239,3200
