Date,Open,High,Low,Close,Volume
2025-08-26,300,305,285.55,287.7,3859718
2025-08-28,273.35,279.3,273.35,273.35,396438
2025-08-29,259.7,284,259.7,262.1,1172114
2025-09-01,252.55,265.4,252.55,262.45,878131
2025-09-02,260,261,250,251.65,391646
2025-09-03,250,262.95,245.05,261.05,410908
2025-09-04,263,263.95,255.3,259.55,165813
2025-09-05,262,262,252.55,258.7,129891
2025-09-08,259.95,261.05,255.3,259.85,165389
2025-09-09,262,264.7,258,262.3,238676
2025-09-10,265.2,269.3,258,263.65,886655
2025-09-11,264.35,265.5,255.25,257.7,380879
2025-09-12,258.7,260,255,257.35,387587
2025-09-15,257.1,260,253.4,255.8,348562
2025-09-16,253,253,245.9,246.5,496206
2025-09-17,245.65,248.75,238.7,240.25,383722
2025-09-18,241.95,244.45,235.6,236.9,281656
2025-09-19,236.95,238.5,233.7,235.1,270278
2025-09-22,233.05,242.9,230,240.2,720736
2025-09-23,242,252.35,236.8,244,775776
2025-09-24,242.7,243.9,231.5,236.75,495488
2025-09-25,236.75,238.8,229,232.35,416639
2025-09-26,232,232,220.5,222.65,554904
2025-09-29,223,238.4,221.3,234,485741
2025-09-30,234.1,246.15,231.95,237.6,373971
2025-10-01,236.55,239.18,232.8,234.19,140043
2025-10-03,232.8,236,231,232.57,77972
2025-10-06,230.05,232.27,226.08,227.36,85960
2025-10-07,226.5,228,222.3,223.27,103409
2025-10-08,223.25,224.18,221.39,222.52,67318
2025-10-09,222,225.3,220.25,224.17,73321
2025-10-10,224,232.41,223,226.57,170337
2025-10-13,226,231.49,225.05,230.24,122499
2025-10-14,230.24,233.4,225.05,226.92,65130
2025-10-15,229.5,235,226.91,230.83,159501
2025-10-16,232,234.59,228.67,233.13,144871
2025-10-17,233.12,234.1,230.1,231.58,81425
2025-10-20,233.8,233.8,228.01,229.06,35084
2025-10-21,229.1,229.99,221.3,224.91,53783
2025-10-23,228.71,228.71,221.49,222.32,85791
2025-10-24,222.01,224.39,222.01,222.61,51667
2025-10-27,222.6,226.53,222.21,223.62,65145
2025-10-28,222.51,224.32,222.2,222.62,110761
2025-10-29,223.01,228,221.05,221.58,196824
2025-10-30,225,225,222,222.98,115818
2025-10-31,221.2,224.1,221.2,223.14,48124
2025-11-03,223.8,223.8,221.05,221.67,126388
2025-11-04,221.67,222.98,219,219.31,74157
2025-11-06,219.35,220.85,215.56,216.49,166401
2025-11-07,215.4,218.27,211.25,215.44,193442
2025-11-10,216.8,229.99,216.8,227.56,303792
2025-11-11,227.56,228.25,222.25,222.62,66780
2025-11-12,224.8,224.8,221,222.09,96748
2025-11-13,222.09,225.8,222.09,224.4,88480
2025-11-14,227.5,238,215.55,221.96,1125233
2025-11-17,224.2,227,222,224.75,243887
2025-11-18,225,225,220,220.97,94514
2025-11-19,221,222.19,217.3,218.68,167761
2025-11-20,218,222.3,216.27,221.22,90320
2025-11-21,219.07,241.8,219.07,234.17,1454941
2025-11-24,238.99,245,228.87,242.04,592475
2025-11-25,240.33,248.7,232.3,245.88,410976
2025-11-26,247,260,244.12,256.44,1032713
2025-11-27,257.6,262.26,255.04,260.5,910678
2025-11-28,260,262.29,255.11,259.81,448824
2025-12-01,260.55,266,251.75,261.8,569697
2025-12-02,260,262.35,254.35,255.95,147972
2025-12-03,249,249,220,224.3,1303737
2025-12-04,228,234.2,224.05,226,337609
2025-12-05,226,226.65,220.2,221.8,134441
2025-12-08,220.1,222.55,210.1,211.9,167353
2025-12-09,210,214.95,203.35,212.55,200020
2025-12-10,215.8,216.3,208.55,209.9,96220
2025-12-11,212,212,204.1,208.25,148309
2025-12-12,211,212.3,205.6,207.85,88448
2025-12-15,208.85,209.5,205,205.4,51893
2025-12-16,207.9,208.9,204.6,205.75,74430
2025-12-17,206.3,208.4,204.05,205.5,61207
2025-12-18,204.75,206.15,202.55,204.6,62610
2025-12-19,204.6,208.5,204,206.95,53956
2025-12-22,208.9,210,207.35,209.35,53061
2025-12-23,209,218.1,209,212.6,109335
2025-12-24,212.9,213.6,204.8,206.95,102705
2025-12-26,208,209,202.9,203.75,175847
2025-12-29,205.4,205.4,199.8,200.15,93043
2025-12-30,200.15,204,197.3,198,80732
2025-12-31,198.1,203.9,197,198.35,137480
2026-01-01,199.05,201.24,197.02,198.51,55599
2026-01-02,198,203.98,195.96,202.95,126284
2026-01-05,203,203.39,200,201.15,35238
2026-01-06,200.3,202,198.06,200.4,171944
2026-01-07,202.98,202.98,199.32,200.68,30289
2026-01-08,200,201.5,192.3,194.25,184794
2026-01-09,192.5,194.2,184.06,185.79,112636
2026-01-12,186.9,186.9,177.25,178.61,104342
2026-01-13,178.61,182.5,176.61,180.55,125782
2026-01-14,180.9,183,176.9,177.63,25507
2026-01-16,178.63,184,177.3,181.31,86092
2026-01-19,180.9,180.9,173.3,174.56,99876
2026-01-20,175,209.47,169.91,207.22,4706891
2026-01-21,214.2,217,182,187.11,2177658
2026-01-22,187.9,196,184.63,192.87,347766
2026-01-23,192.5,209,188.21,194.38,965428
2026-01-27,193,198.9,185,187.58,259713
2026-01-28,190.8,196.58,188.9,195.67,107739
2026-01-29,198.9,198.9,193.41,195.92,221430
2026-01-30,193.1,199.3,193.1,196.37,70693
2026-02-01,198.41,199.32,192,194.5,53335
2026-02-02,195.08,214.5,194.5,196.49,882444
2026-02-03,218,218,203.58,207.56,337600
2026-02-04,209,210.67,203,203.71,88097
2026-02-05,204.72,206.39,201.67,204.25,68282
2026-02-06,202.1,203.99,198.2,199.05,62142
2026-02-09,201.9,209.85,201.9,209.03,85172
2026-02-10,208.51,213.97,208.18,209.35,119068
2026-02-11,209.8,210.8,205.64,206.46,74917
