Date,Open,High,Low,Close,Volume
2023-04-21,55,57.75,52.55,57.75,612000
2023-04-24,60.6,60.6,58,60.6,192000
2023-04-25,63.6,63.6,57.6,58,111000
2023-04-26,60.35,60.7,58.85,58.85,30000
2023-04-27,60,60.55,57.6,57.6,24000
2023-04-28,60.25,60.25,59.4,59.7,9000
2023-05-02,57.5,58,56.75,58,36000
2023-05-03,57.2,57.2,55.1,55.65,27000
2023-05-04,56,56,56,56,3000
2023-05-05,55.95,57.65,55.95,57.65,9000
2023-05-08,52.5,59.75,52.5,59.75,18000
2023-05-09,55.5,57,55.5,56.6,9000
2023-05-10,56.95,59.75,56.95,58.15,27000
2023-05-11,59.85,69,59.85,63.45,54000
2023-05-12,68.65,73.75,65.1,66.6,84000
2023-05-15,65.55,68.6,65.55,68.55,9000
2023-05-16,68,68,68,68,6000
2023-05-17,67.95,68.5,67.95,68.5,15000
2023-05-18,70.05,72,70.05,72,27000
2023-05-19,75,76,75,76,6000
2023-05-22,81,81,66.3,74,45000
2023-05-23,67.1,83,67.1,83,75000
2023-05-24,93.9,97,76,80.7,81000
2023-05-25,82.4,83,80,80,15000
2023-05-26,80,83,80,82.45,21000
2023-05-29,82.45,82.45,82.45,82.45,3000
2023-05-30,89.5,92,89,89.3,12000
2023-05-31,86,86,84,84,6000
2023-06-02,74.9,82.5,74.9,82.5,9000
2023-06-05,82.1,82.65,79.5,79.75,24000
2023-06-06,79.75,85.5,79.75,80,27000
2023-06-07,80,80,76.7,78.1,9000
2023-06-08,75,78.9,74.1,78.2,15000
2023-06-09,78,78,78,78,3000
2023-06-12,70,75.95,70,75.95,9000
2023-06-13,74.3,75.95,73.3,73.65,18000
2023-06-14,73.3,73.3,73.3,73.3,3000
2023-06-15,74.9,74.9,74.9,74.9,3000
2023-06-16,74.7,74.7,73,73,12000
2023-06-20,73,73,73,73,3000
2023-06-22,75.5,75.5,75.5,75.5,3000
2023-06-23,73.15,73.15,67.05,67.05,6000
2023-06-26,69.9,69.9,69.9,69.9,3000
2023-06-27,64.15,64.15,56.2,60.05,81000
2023-06-28,58.6,59.5,56.75,58.6,27000
2023-06-30,60,60,58.7,58.7,6000
2023-07-03,69,69,64,66.45,24000
2023-07-05,60.5,62,60.25,62,12000
2023-07-06,68.9,68.9,63.05,63.05,12000
2023-07-07,61,61.5,61,61.5,6000
2023-07-10,61.5,61.5,61.5,61.5,3000
2023-07-11,58.2,59.95,58.2,59,12000
2023-07-12,59.15,59.15,59.15,59.15,3000
2023-07-13,63,63,58,58,21000
2023-07-18,55,57.1,55,57.1,54000
