Date,Open,High,Low,Close,Volume
2024-07-02,300,315,285,315,3288800
2024-07-03,312,330.75,305,330.75,664000
2024-07-04,346,347.25,332,347.25,232800
2024-07-05,364.6,364.6,364.6,364.6,112800
2024-07-08,382.8,382.8,346.4,382.1,1061600
2024-07-09,375,375,363,363,394400
2024-07-10,344.85,361,344.85,344.85,269600
2024-07-11,340,353,327.6,330.95,367200
2024-07-12,331,347.45,320,347.2,303200
2024-07-15,349,349,329.85,336.2,176800
2024-07-16,330,350,318,319.2,224000
2024-07-18,317.05,322.3,290.1,301.65,221600
2024-07-19,300,312,289,306.9,147200
2024-07-22,306,335,306,321.05,544000
2024-07-23,319,330,268.05,311.75,262400
2024-07-24,311.75,338,305.1,323.55,211200
2024-07-25,324.9,330,316.9,319.1,76800
2024-07-26,323,345,317.55,337,197600
2024-07-29,338,344,312.35,315.15,126400
2024-07-30,310.5,319.9,310.3,313,42400
2024-07-31,312,313,303,305,49600
2024-08-01,308,308,284.1,292.4,148000
2024-08-02,290.95,300,286,288.45,65600
2024-08-05,280,284,275,280.25,74400
2024-08-06,283,286,263,266.45,53600
2024-08-07,269.8,272.95,258,262.7,78400
2024-08-08,260.05,267.5,256,263.85,70400
2024-08-09,272,290,272,281.55,71200
2024-08-12,276.9,290,273,280.85,32000
2024-08-13,276.7,288,274.1,282.7,67200
2024-08-14,280,284,278,282.95,17600
2024-08-16,280,281,270,273.8,25600
2024-08-19,271,276,268,271.5,16800
2024-08-20,268,272.7,263.55,271.15,32000
2024-08-21,269.9,271.9,266,267.95,20000
2024-08-22,268,321.5,265.25,317.45,413600
2024-08-23,312,330,300.6,312.4,169600
2024-08-26,315,316,285,300.55,67200
2024-08-27,296,307.95,295,297.5,58400
2024-08-28,300,307.5,298.05,298.75,60800
2024-08-29,300.5,300.5,286.25,291,29600
2024-08-30,295,297,288.1,289.6,16800
2024-09-02,293,293,280.5,281.3,20800
2024-09-03,274.4,284.5,272.4,275.95,37600
2024-09-04,275.95,278,270,275.8,28000
2024-09-05,277,281,274,277.5,15200
2024-09-06,277,300,271.15,293.95,74400
2024-09-09,302,306,292.05,293.9,63200
2024-09-10,292.05,294.9,282,282.8,28800
2024-09-11,284,293.65,282,283.55,116800
2024-09-12,285,287,277,279.55,72800
2024-09-13,278.5,283,276,278.55,24000
2024-09-16,289.9,292.45,276,277.15,28800
2024-09-17,277.05,278.8,271.05,275.3,38400
2024-09-18,274,294,270,285.45,55200
2024-09-19,293.7,313.75,279,281.25,196800
2024-09-20,288.9,288.9,275,275.5,51200
2024-09-23,281,283.55,269.5,270.2,59200
2024-09-24,270.4,270.45,261.15,262.85,69600
2024-09-25,263,272,263,270.8,50400
2024-09-26,269,272,265,266,15200
2024-09-27,266,266,256.15,260.4,26400
2024-09-30,260,265.55,256.5,256.5,25600
2024-10-01,257,266.5,257,262.15,148000
2024-10-03,262,262,242,250.25,63200
2024-10-04,250.25,257,240,243.35,187200
2024-10-07,245.65,252,218,225.85,52800
2024-10-08,227.95,237.95,227.95,233.55,25600
2024-10-09,237,261.7,237,258.85,87200
2024-10-10,264.95,272,260.1,262.85,68000
2024-10-11,263,273.6,258.3,268,29600
2024-10-14,268,268,255,262,18400
2024-10-15,258.05,258.95,250,253.55,19200
2024-10-16,256,256,252,255,106400
2024-10-17,254,254,247.55,249.65,8800
2024-10-18,243.1,254.7,240,242.3,41600
2024-10-21,243,247.1,233.1,239.6,19200
2024-10-22,239.9,242,220,234.55,40000
2024-10-23,237,237,228,230.35,28000
2024-10-24,230.35,230.35,223.5,224,6400
2024-10-25,222,222,205.8,211.45,82400
2024-10-28,211.1,224.95,210.05,219,19200
2024-10-29,226.35,227.4,225.5,226.65,5600
2024-10-30,230,232,223,223,6400
2024-10-31,223,236,223,232.15,11600
2024-11-01,237,238,230.5,236.2,14400
2024-11-04,234,235.5,219.2,232,29600
2024-11-05,232.1,234,228,234,11600
2024-11-06,243.6,243.6,235,241.9,16800
2024-11-07,249.95,253.1,243.7,251.55,28400
2024-11-08,247.15,252,246,247.05,14400
2024-11-11,252.65,252.65,242.1,247,14400
2024-11-12,243,243.85,235.1,236,12400
2024-11-13,232,247,226,237,24800
2024-11-14,202,212.65,194.05,206.4,144000
2024-11-18,206.4,228.85,200,219.1,41200
2024-11-19,220,225,215,217.35,14800
2024-11-21,213,215,207.25,208.55,41200
2024-11-22,203.5,215.2,203.5,210.85,145600
2024-11-25,212,215.5,208.6,210.4,146000
2024-11-26,210,212,208,210,114000
2024-11-27,211,213,209.65,212.3,126400
2024-11-28,212,218.4,212,216,26400
2024-11-29,218,222,218,220.5,10800
2024-12-02,217,217.85,213.5,216.3,89600
2024-12-03,219.2,230.95,219.2,226.5,28000
2024-12-04,232,233.85,229,232.3,18800
2024-12-05,235.5,239,232.1,237.2,30000
2024-12-06,232.1,246,232,234.15,21600
2024-12-09,235,236.65,226.2,230.55,131600
2024-12-10,231,231,228,228,6800
2024-12-11,226.25,226.25,221.7,224.85,37600
2024-12-12,224,234.6,224,229.95,42800
2024-12-13,224.6,224.6,220,221.25,118000
2024-12-16,223.95,223.95,212,214.05,25600
2024-12-17,218.95,218.95,214,214.35,8400
2024-12-18,215,215,207,209.95,20800
2024-12-19,202.15,214.5,202.15,210.35,43600
2024-12-20,211.05,213.5,206,207.2,7600
2024-12-23,207.6,211.9,205.55,208,3200
2024-12-24,209.5,209.5,192.85,199.7,63200
2024-12-26,194.15,212,194.15,202.85,24800
2024-12-27,207,207,203,203.45,5200
2024-12-30,203.6,208.45,198.1,198.9,15200
2024-12-31,206.7,217.9,198.1,210.8,52000
2025-01-01,228,228,216.5,218.6,16800
2025-01-02,226.6,226.6,210.25,217.85,14400
2025-01-03,215.5,215.5,205,207,24800
2025-01-06,213.95,213.95,201,202.8,14400
2025-01-07,201.1,204.4,200.2,200.8,12800
2025-01-08,198.2,201,198,201,17600
2025-01-09,199,199,195,195.5,12000
2025-01-10,198.25,198.25,178.5,179.65,40400
2025-01-13,180,182,163.6,177.5,276000
2025-01-14,182,188,182,186,10400
2025-01-15,187,210,187,198.05,22400
2025-01-16,206.9,206.9,197,199.5,3600
2025-01-17,200,200,187,190,18800
2025-01-20,190,190.05,170,186,44000
2025-01-21,187.5,187.5,172.75,174.65,13600
2025-01-22,172.5,178.95,168.05,174.55,42800
2025-01-23,170,178,168.3,176.55,70400
2025-01-24,172.35,175,172.3,173,12400
2025-01-27,167,179.85,167,173,53600
2025-01-28,164.55,172.25,164.55,170,68800
2025-01-29,167.3,173.05,167.3,172,5200
2025-01-30,170.05,177.45,169.5,170.7,15200
2025-01-31,166.3,189.7,166.3,186.7,28400
2025-02-01,185,187,178,181,56400
2025-02-03,174,177.5,173.6,174.4,5200
2025-02-04,166.25,178,166.25,177.45,8800
2025-02-05,180,185,176,182.05,13600
2025-02-06,177,182,177,182,6000
2025-02-07,182,194.85,182,188.15,26000
2025-02-10,186,196.3,179,191.95,35200
2025-02-11,190,196.3,181.1,181.35,36800
2025-02-12,173.9,188.5,165.1,180,25200
2025-02-13,180,182,177.05,180,42800
2025-02-14,180,184,172,172.55,21200
2025-02-17,166,176.05,166,174.75,31600
2025-02-18,167.1,179.8,166,179.8,28000
2025-02-19,172.25,179.4,168.05,175.5,11600
2025-02-20,185,190,176.2,186,16000
2025-02-21,181,186.95,181,185,10800
2025-02-24,183.15,184,174.25,181.15,100400
2025-02-25,194,194,185,185,10800
2025-02-27,190,190,181.15,185,16800
2025-02-28,187.8,187.8,171,180,34000
2025-03-03,175.3,179,172.15,172.5,43200
2025-03-04,175,180,171,173.1,21600
2025-03-05,179.9,180,172,173.15,32000
2025-03-06,173.15,177,170.5,173.5,26400
2025-03-07,175,178.85,175,175.35,18000
2025-03-10,175,176.5,172,174.95,39200
2025-03-11,174,177.5,171.1,173.55,47600
2025-03-12,175,176,170,173,60000
2025-03-13,173.05,175.95,171,171.95,63200
2025-03-17,171.95,180,162.55,173.1,53600
2025-03-18,173.1,179.8,168,174.75,113200
2025-03-19,178,183,172.45,177.6,74800
2025-03-20,185,185,174,178.15,37200
2025-03-21,174,179.9,170.65,172.9,47200
2025-03-24,175.75,175.75,164,166.65,87600
2025-03-25,166.65,174.9,162,163.6,82400
2025-03-26,165,169.8,162.5,163.7,45200
2025-03-27,165,172.95,162,162.9,59200
2025-03-28,163.55,165.1,150,151,84400
2025-04-01,151,170,151,169.25,30800
2025-04-02,169.9,175,169.9,174.35,40400
2025-04-03,175,180,173,179.6,20800
2025-04-04,175.5,179.5,171.35,178.9,16000
2025-04-07,168,170.05,161,164.6,20400
2025-04-08,176,176,169,175,6400
2025-04-09,173.9,177.9,170,174.95,14800
2025-04-11,177,177,167,168.65,35600
2025-04-15,171,174,168.65,173.75,7200
2025-04-16,172.25,174,171.75,172.05,3600
2025-04-17,175.5,175.5,170,170.45,11200
2025-04-21,173.95,174,170,170,10800
2025-04-22,168,176,168,173.8,16800
2025-04-23,175,175,171,174.5,13200
2025-04-24,174.5,178.4,174.5,175.35,14800
2025-04-25,172,172.5,169.5,169.55,10400
2025-04-28,171.2,172.5,171.2,172.5,1600
2025-04-29,171,174.85,169.35,172,41200
2025-04-30,171,176.7,171,173.55,29600
2025-05-02,175,178.4,170.65,171.3,37200
2025-05-05,155.25,183,150,180.1,168000
2025-05-06,180.1,182,175,177.5,62400
2025-05-07,177.5,180,174,178.8,17600
2025-05-08,174.5,181.5,171,176.35,16000
2025-05-09,172.5,185,172.5,182.4,6400
2025-05-12,177.1,189.95,177.1,185.05,17600
2025-05-13,185,186.5,184.05,184.05,5200
2025-05-14,184.25,189.95,183.6,188.15,8400
2025-05-15,188,190.5,186.4,189.95,8800
2025-05-16,186.4,186.4,184,185.35,4000
2025-05-19,184.95,185,181.05,182.65,4800
