Date,Open,High,Low,Close,Volume
2015-11-20,24.9,24.9,22.6,24.04,264000
2015-11-23,23.17,23.7,22.5,23.7,54000
2015-11-26,22.17,22.17,22.12,22.12,24000
2015-11-27,22.5,22.5,22.5,22.5,6000
2015-11-30,22.5,22.5,22.5,22.5,6000
2015-12-01,23.7,24.18,23.7,23.94,18000
2015-12-03,23.46,23.46,22.12,22.5,18000
2015-12-04,22.22,22.22,22.17,22.17,12000
2015-12-07,22.26,22.26,22.17,22.17,18000
2015-12-08,22.22,22.22,22.17,22.17,18000
2015-12-14,22.07,22.07,20.83,22.03,18000
2015-12-15,22.22,22.22,22.17,22.17,12000
2015-12-17,22.03,22.03,22.03,22.03,12000
2015-12-18,22.03,22.03,22.03,22.03,6000
2015-12-21,22.12,22.12,22.12,22.12,12000
2015-12-24,22.12,22.17,22.07,22.12,24000
2015-12-28,22.07,22.07,22.03,22.03,18000
2015-12-30,22.03,22.07,22.03,22.03,54000
2015-12-31,22.03,22.03,21.12,21.12,36000
2016-01-07,21.07,21.07,21.07,21.07,6000
2016-01-13,21.07,21.07,21.07,21.07,6000
2016-01-28,20.11,20.11,20.11,20.11,6000
2016-01-29,19.15,19.39,19.15,19.39,12000
2016-02-11,18.19,18.19,18.19,18.19,6000
2016-02-16,16.66,16.66,16.66,16.66,6000
2016-03-01,15.32,15.56,15.32,15.56,12000
2016-03-14,16.28,16.76,16.28,16.76,12000
2016-03-15,18.15,18.15,17.72,17.72,12000
2016-03-16,17.24,17.24,17.24,17.24,6000
2016-03-17,17,17,17,17,6000
2016-03-18,16.76,16.76,16.76,16.76,6000
2016-03-21,16.76,16.76,16.76,16.76,6000
2016-03-22,16.76,16.76,16.76,16.76,6000
2016-03-23,16.28,16.28,15.56,15.56,12000
2016-03-28,15.56,15.56,15.56,15.56,6000
2016-04-04,16.57,16.57,16.57,16.57,6000
2016-05-19,17.86,17.86,17.86,17.86,6000
2016-06-22,17.62,17.62,17.62,17.62,6000
2016-06-30,16.18,16.18,16.18,16.18,6000
2016-07-01,16.42,16.42,16.42,16.42,6000
2016-07-08,16.42,16.42,16.42,16.42,6000
2016-07-29,16.04,16.04,16.04,16.04,6000
2016-09-09,14.94,14.94,14.89,14.89,12000
2016-09-15,15.27,15.27,15.27,15.27,6000
2016-09-22,14.99,14.99,14.99,14.99,6000
2016-10-13,13.79,14.03,13.79,14.03,12000
2016-10-17,14.08,14.08,14.08,14.08,6000
2016-10-20,15.13,15.13,15.13,15.13,6000
2016-10-25,14.89,14.89,14.89,14.89,6000
2016-10-28,14.89,14.89,14.89,14.89,6000
2016-11-03,13.74,13.74,13.74,13.74,6000
2016-11-16,13.41,13.41,13.41,13.41,6000
2016-11-21,12.74,12.74,12.74,12.74,6000
2016-12-09,12.93,12.93,12.93,12.93,6000
2016-12-12,12.93,12.93,12.93,12.93,6000
2016-12-13,13.89,13.89,13.89,13.89,6000
2016-12-21,13.65,13.65,13.65,13.65,6000
2017-01-02,12.59,12.59,12.59,12.59,6000
2017-01-24,11.68,11.92,11.68,11.92,12000
2017-02-03,12.78,12.78,12.78,12.78,6000
2017-02-10,11.63,11.63,11.63,11.63,6000
2017-02-13,11.87,11.87,11.87,11.87,6000
2017-02-15,12.74,14.22,12.74,14.22,12000
2017-02-16,15.66,15.66,14.51,14.75,18000
2017-02-27,16.76,16.76,16.76,16.76,6000
2017-03-10,15.99,15.99,15.99,15.99,6000
2017-03-14,16.42,16.47,16.42,16.47,12000
2017-03-16,16.23,16.23,16.23,16.23,6000
2017-03-21,15.66,16.14,15.66,16.14,18000
2017-03-22,14.36,14.6,14.36,14.6,12000
2017-03-23,15.9,15.9,15.9,15.9,6000
2017-03-27,17.24,17.52,17.24,17.52,12000
2017-03-28,18.43,19.87,18.43,19.87,12000
2017-03-29,19.39,19.39,19.39,19.39,6000
2017-03-31,19.63,22.93,18.43,18.43,36000
2017-04-05,19.39,19.39,19.39,19.39,6000
2017-04-07,18.19,18.19,18.19,18.19,6000
2017-04-17,19.39,21.55,19.39,21.31,30000
2017-04-18,21.83,21.83,21.83,21.83,12000
2017-04-20,22.07,22.07,22.07,22.07,6000
2017-04-21,21.83,22.5,21.83,22.5,18000
2017-04-26,22.7,22.7,22.7,22.7,6000
2017-04-27,21.45,21.45,21.45,21.45,6000
2017-04-28,21.45,21.45,21.45,21.45,6000
2017-05-05,21.45,21.45,21.45,21.45,6000
2017-05-09,21.55,22.12,21.55,22.12,48000
2017-05-10,22.7,22.7,22.7,22.7,6000
2017-05-11,20.59,20.59,20.59,20.59,6000
2017-05-16,19.1,19.1,19.1,19.1,6000
2017-05-19,19.15,19.34,19.15,19.34,12000
2017-05-26,20.59,20.59,20.59,20.59,12000
2017-06-05,19.1,19.1,19.1,19.1,6000
2017-06-16,19.15,19.63,19.15,19.39,18000
2017-06-22,20.92,22.89,20.92,22.89,12000
2017-06-23,20.54,20.54,20.54,20.54,6000
2017-06-27,20.54,20.54,20.54,20.54,6000
2017-07-03,21.02,21.02,21.02,21.02,6000
2017-07-04,20.54,20.59,20.54,20.59,12000
2017-07-06,22.03,22.03,21.45,21.45,12000
2017-07-07,21.79,21.79,21.79,21.79,6000
2017-07-18,20.25,20.25,20.25,20.25,6000
2017-07-20,20.01,20.01,20.01,20.01,6000
2017-07-24,20.3,20.3,20.3,20.3,6000
2017-07-25,20.01,20.01,18.39,18.39,24000
2017-07-26,18.77,19.15,18.77,19.15,12000
2017-08-03,18.48,18.48,18.48,18.48,6000
2017-08-16,18.77,22.17,18.77,22.07,114000
2017-08-17,23.22,23.37,22.55,22.98,54000
2017-08-18,23.94,24.23,23.7,23.7,54000
2017-08-21,23.7,23.94,23.7,23.94,630000
2017-08-22,24.9,27.29,24.42,26.33,126000
2017-08-23,27.29,27.53,25.86,25.9,120000
2017-08-24,27.2,27.53,26.24,26.24,186000
2017-08-28,28.54,28.82,27.29,28.82,66000
2017-08-29,31.7,31.7,31.7,31.7,156000
2017-08-30,34.86,34.86,32.56,34.28,372000
2017-08-31,32.61,35.96,32.61,35.72,138000
2017-09-01,35.24,35.43,34.23,34.43,72000
2017-09-04,34.95,35.05,32.75,33.18,60000
