Date,Open,High,Low,Close,Volume
2004-07-08,401.15,412.05,380,385.65,417
2004-07-09,406,406,406,406,64
2004-07-12,411,417.2,408.05,417.2,109
2004-07-13,435,435,412.05,419.3,485
2004-07-14,415,415,401,407.8,195
2004-07-15,410,421,410,418.2,650
2004-07-16,424.95,428,421,425,600
2004-07-19,418,425,418,425,175
2004-07-20,429.55,430,425,427.15,106
2004-07-21,420,429.95,411,413.65,156
2004-07-22,425,440,425,430.65,1237
2004-07-23,429.05,433,426,426.05,975
2004-07-26,427,435,426.15,426.15,177
2004-07-27,435,437.95,412.2,412.2,335
2004-07-28,446,446,415,426.8,318
2004-07-30,425.1,434,425.1,430.85,1176
2004-08-02,429.95,432,425.3,427.5,964
2004-08-03,427,432,425.5,430.55,2648
2004-08-04,430,434.9,430,433.15,1050
2004-08-05,434.9,455,430.5,442,1323
2004-08-06,459.9,459.9,437,454.6,2564
2004-08-09,455.4,462.9,451,461.75,927
2004-08-10,463.85,468,460.4,463.35,1311
2004-08-11,464.95,466,457.15,459.05,1798
2004-08-12,458.5,460,452.9,454.85,723
2004-08-13,453.05,456,453.05,453.45,855
2004-08-16,453.6,455,445.1,450.9,1685
2004-08-17,449.9,456.9,447,447,443
2004-08-18,455,455,401,436.95,2469
2004-08-19,435,450.95,435,441.5,274
2004-08-20,445,450,441,444,732
2004-08-23,443,449.55,430,440.7,133
2004-08-24,449.9,458.35,443,452.7,1118
2004-08-25,462,469.9,460,463.2,5187
2004-08-26,475.1,475.1,465,467.3,3150
2004-08-27,465.5,472.3,465,469.2,1787
2004-08-30,474.95,476,470.05,474,1802
2004-08-31,474,483,473,481.4,1947
2004-09-01,484.75,487.95,477.1,480,2206
2004-09-02,485,490,477,488.05,3824
2004-09-03,490,490,483,485,1598
2004-09-06,495,495,480,481.75,2004
2004-09-07,493.95,494,486,488.2,1010
2004-09-08,495,495.1,488.1,492.55,2242
2004-09-09,498.1,510,485.15,490.9,2423
2004-09-10,496,504.5,491.05,498.25,1610
2004-09-13,493.05,504,493.05,500,1283
2004-09-14,495.05,502,490,497.5,3824
2004-09-15,505,505,493.5,500.4,1940
2004-09-16,503.85,504.85,500,501.35,2879
2004-09-17,501.9,504.65,501,502.9,2412
2004-09-20,505,508.9,502,505.3,2265
2004-09-21,508,508,505,507.4,5801
2004-09-22,510,513,506.25,510.7,2788
2004-09-23,513,520,510,517.3,7931
2004-09-24,522,535,515,530.15,10080
2004-09-27,526,540,526,531.85,8502
2004-09-28,540,540,531,533.65,8831
2004-09-29,518.4,518.4,502.75,507.65,5766
2004-09-30,515,516,483,507.45,3760
2004-10-01,512,512,495,501.65,3299
2004-10-04,510,515,500.1,503.25,700
2004-10-05,502,502,499,499.9,289
2004-10-06,498.25,499.5,490.25,492.95,2053
2004-10-07,491,497.7,486.25,491.2,1136
2004-10-08,492,495,488.5,491,1772
2004-10-09,489,492,485.1,489.8,552
2004-10-11,489.95,494,483.15,485,1602
2004-10-12,489,489,470,472,1695
2004-10-14,471.2,471.25,461.5,469.2,3224
2004-10-15,467,478,467,472.15,2561
2004-10-18,475,479,455.25,468.9,995
2004-10-19,469,469,460,463.25,1496
2004-10-20,460,475,460,462,1466
2004-10-21,465,475,465,471.4,16406
2004-10-25,471,471,440.1,464.7,1574
2004-10-26,462.5,470,462.5,469.95,99
2004-10-27,487,487,465,475.95,1392
2004-10-28,480,481,475,478,3660
2004-10-29,471.25,482.9,471.25,480.1,2799
2004-11-01,460.85,482.9,460.85,480.4,47945
2004-11-02,482.95,487,477.5,480.4,1581
2004-11-03,485,497.95,484.5,495.85,5267
2004-11-04,495,508,495,501.5,4902
2004-11-05,502.95,507,495,500,1707
2004-11-08,501,504,496,498.95,1112
2004-11-09,501,503,495,495.85,1517
2004-11-10,499.5,500.7,473,498.6,2899
2004-11-11,500,504,487.05,500.1,3763
2004-11-12,500,501,493.15,496.8,84
2004-11-16,493.15,499,490,491.2,1024
2004-11-17,495,501,490.05,499.8,1014
2004-11-18,500,502.5,487.8,491.3,2347
2004-11-19,500,501.8,493.05,500.8,1271
2004-11-22,492.05,503.95,481.5,501.05,3332
2004-11-23,504.8,519.9,490.1,501.4,1997
2004-11-24,503,504.85,490.2,501.75,2273
2004-11-25,500,509,500,501.2,1739
2004-11-29,505,505,500,501,3122
2004-11-30,501.1,505,499,500.45,2136
2004-12-01,502.9,502.9,499,500.35,7981
2004-12-02,500,515,500,511.45,5117
2004-12-03,512.9,515,502.05,510.85,3181
2004-12-06,510.85,528.5,510.85,526.3,5968
2004-12-07,538,538,516,522,1698
2004-12-08,538,538,517,523.75,4420
2004-12-09,509.2,534,509.2,514.4,741
2004-12-10,520,520,507.25,509.25,1307
2004-12-13,520,521.1,508,513,1025
2004-12-14,511.85,519.85,510,512.9,632
2004-12-15,523,534,523,527.8,5298
2004-12-16,532.35,535,525,532.7,3802
2004-12-17,522.5,537.95,502.6,529.7,1801
2004-12-20,530,540,521.45,535.8,8738
2004-12-21,540,540,528,536.75,5719
2004-12-22,532,535,525.4,532.05,2030
2004-12-23,526.1,539,526.1,535.1,1678
2004-12-24,584.7,584.7,527,540.25,3426
2004-12-27,541,557,535,543.5,12509
2004-12-28,548,553.8,545.05,546.3,3007
2004-12-29,549.9,565,545.05,555.1,4909
2004-12-30,555,570,555,566.45,6319
2004-12-31,566.8,587,557.05,581.7,4597
2005-01-03,585,594.8,576,592.4,3613
2005-01-04,601,601,570,573.35,2857
2005-01-05,575,580,560,572.85,3886
2005-01-06,570,575,552.5,561.7,2638
2005-01-07,554,569.95,554,569.15,1550
2005-01-10,571,575.1,570.05,571.25,2310
2005-01-11,570,580,565,571.95,4139
2005-01-12,575,578,560.25,573.45,7072
2005-01-13,561.2,603,561.2,594,7023
2005-01-14,600,603,576.1,580.05,14679
2005-01-17,581,581,567,573,722
2005-01-18,586.75,586.75,571,575.95,5521
2005-01-19,585,585,575,581.8,5244
2005-01-20,575,580,575,575.45,3239
2005-01-24,530.55,576.25,530.55,576.25,396
2005-01-25,575,585,575,582,3116
2005-01-27,580.15,592.5,580.15,586.95,2512
2005-01-28,590,621,590,615,10127
2005-01-31,644.9,679.9,630.1,640.6,26512
2005-02-01,649.95,649.95,615,617.65,8584
2005-02-02,629,635,619,620.4,11150
2005-02-03,619.1,627.8,616,620.7,4086
2005-02-04,621,621.95,608.3,613.5,6994
2005-02-07,627.7,627.7,615,620.9,3499
2005-02-08,624,627.5,612,617.5,3982
2005-02-09,624.35,624.35,605.5,607.8,9436
2005-02-10,610,617,601,603.15,4227
2005-02-11,605,615,579.9,584.55,11469
2005-02-14,555,604,555,602.1,9774
