Date,Open,High,Low,Close,Volume
2008-04-15,23.5,24.3,22.65,23.5,7300
2008-04-16,24.67,25.45,23.63,24.27,14818
2008-04-17,24.55,27.42,24.55,25.65,29018
2008-04-21,26,26.65,26,26.33,11482
2008-04-22,27.4,27.5,26,26.33,9816
2008-04-23,26.5,26.5,25.5,26.02,5252
2008-04-24,26,26.5,24.92,25.27,4180
2008-04-25,24,25.7,23.13,25.5,32552
2008-04-28,25,26.5,25,25.25,7332
2008-04-29,24.15,25.25,24.15,24.9,1370
2008-04-30,26.25,28,25,25.13,4836
2008-05-02,25.55,25.55,25,25.1,2356
2008-05-05,24.67,26,24.67,25.55,5030
2008-05-06,25.05,25.42,24.58,24.75,3366
2008-05-07,24.98,25,24.4,24.67,9134
2008-05-08,24.3,25.2,24,24.52,4368
2008-05-09,24.5,25.5,23,23.17,3512
2008-05-12,21.8,23.6,21.75,23.38,3074
2008-05-13,24.5,24.5,23.17,23.4,2000
2008-05-14,23,24,23,23.45,2506
2008-05-15,23.55,23.75,23.3,23.5,4542
2008-05-16,23.5,25,23.5,24.23,3746
2008-05-20,24.23,25,24,24.6,2410
2008-05-21,24.45,24.45,24.15,24.17,2680
2008-05-22,23.65,24.85,23.65,23.95,2696
2008-05-23,24.15,25.7,24.15,24.58,10268
2008-05-26,24.88,26.6,24.38,26.15,32286
2008-05-27,27.33,27.7,26.65,26.95,26314
2008-05-28,27,27.5,24.75,25.27,9504
2008-05-29,26.23,26.23,25,25.58,4332
2008-05-30,26.75,26.75,24.52,24.8,5052
2008-06-02,26.48,26.48,24.5,24.67,7956
2008-06-03,23.75,24.5,23.2,24.48,8894
2008-06-04,24.5,24.92,23.8,23.85,3426
2008-06-05,23.35,24.13,22.67,22.77,5548
2008-06-06,22.52,22.77,22.52,22.7,1166
2008-06-09,21.1,22.35,21.1,22.02,6354
2008-06-10,21,22.38,21,22.25,3684
2008-06-11,21.6,22.95,21.6,22.3,2680
2008-06-12,23.45,23.45,21.4,22.25,1352
2008-06-13,21.65,22.5,21.65,22.48,970
2008-06-16,21.75,23.4,21.75,22.3,2160
2008-06-17,21.77,23,21.77,23,3366
2008-06-18,22,22.85,22,22.55,4272
2008-06-19,24,24,22.3,22.85,244
2008-06-20,21.88,22.48,21.27,21.35,2080
2008-06-23,20.13,22,20,20.2,2946
2008-06-24,20,21,20,20.05,4064
2008-06-25,20,20.42,19.25,20,2344
2008-06-26,20.02,20.02,19.7,19.73,2208
2008-06-27,19.05,20,19.05,20,1772
2008-06-30,16.5,20.7,16.5,18.85,1224
2008-07-01,18.2,18.35,17.3,17.38,6240
2008-07-02,17.5,19.5,16.5,19.25,9766
2008-07-03,18.13,19.45,18.13,18.98,2198
2008-07-04,18.1,19.9,18.1,19.65,3294
2008-07-07,18.55,20.5,18.55,20.5,1718
2008-07-08,19.3,21.85,19.13,21.85,1200
2008-07-09,20.5,20.9,19.77,19.92,736
2008-07-10,20,20.25,19.25,19.6,22704
2008-07-11,19.4,19.63,18.3,18.58,5166
2008-07-14,18.33,19.15,17.05,17.1,6324
2008-07-15,16.25,18,16.25,16.58,7294
2008-07-16,16.65,17.25,16.25,16.9,3488
2008-07-17,16.3,17.65,16.3,17.6,1474
2008-07-18,17,17.9,17,17.5,2604
2008-07-21,17.95,19,17.92,18.35,3650
2008-07-22,17.5,17.75,16.85,16.98,34988
2008-07-23,17.98,18.4,17.25,17.75,13982
2008-07-24,17.38,18.4,17.38,18.23,5620
2008-07-25,17.08,17.95,17.08,17.7,2876
2008-07-28,17.5,18.4,17.5,18.33,6200
2008-07-29,17.52,18.95,17.52,18,2632
