Date,Open,High,Low,Close,Volume
2006-12-28,55.05,55.05,45.55,46.11,1431
2006-12-29,47.5,48,46.55,48,275
2007-01-02,47.75,48.23,47.51,48,135
2007-01-03,47.25,47.25,47.25,47.25,75
2007-01-04,40,49.86,40,48.13,192
2007-01-05,47.98,47.98,47.98,47.98,25
2007-01-09,54.66,54.66,45.03,48,988
2007-01-10,49.45,52.24,47.38,47.49,430
2007-01-11,46.76,49.1,46.76,46.8,665
2007-01-12,45.8,49.2,45.8,46.75,690
2007-01-15,46.26,46.38,46.26,46.38,210
2007-01-16,46.38,47.45,40,47.45,1880
2007-01-17,48.74,48.74,47.13,47.13,80
2007-01-18,48.69,48.69,47.48,48.45,220
2007-01-19,47.5,48,46.38,48,45
2007-01-22,45,45,41.05,44.38,7064
2007-01-23,42.64,43.71,42.5,42.64,1266
2007-01-24,41.4,42.99,41.4,42.11,2381
2007-01-25,42.75,49.61,42.25,43.24,4927
2007-01-29,44.5,44.5,43.78,44.03,650
2007-01-31,43.55,44.23,43.5,44.23,331
2007-02-01,43.25,43.56,43.25,43.56,123
2007-02-02,43.75,46.88,43.29,43.81,880
2007-02-05,43.75,43.75,43.5,43.69,465
2007-02-06,43.25,45.5,40,42.93,1043
2007-02-07,41.85,43.5,41.85,43.03,743
2007-02-08,42.5,43.25,42.49,43.25,642
2007-02-09,42.09,43.25,42,42,966
2007-02-12,41.25,41.25,41.25,41.25,20
2007-02-13,45.25,45.25,41.75,43.09,770
2007-02-14,41.75,41.75,41.75,41.75,100
2007-02-15,42.25,43.23,42.25,43.2,138
2007-02-19,41.76,42,41.76,42,200
2007-02-21,42.25,42.25,41.51,41.51,50
2007-02-22,42,42,40.69,42,4
2007-02-23,40.01,43.75,40.01,42.45,351
2007-02-26,43.61,43.61,40.09,40.25,80
2007-02-27,40.75,40.75,40.75,40.75,50
2007-02-28,39.88,48.24,38.75,40.64,697
2007-03-01,39.75,40.88,39.64,40.78,300
2007-03-02,39.76,39.8,39.75,39.78,665
2007-03-05,39.76,42.49,37.63,37.63,836
2007-03-06,38,41.75,37.5,37.5,1181
2007-03-07,36.34,38,36.28,37.51,215
2007-03-09,36.79,36.79,36.78,36.78,50
2007-03-12,35.83,36.63,35.83,36.63,2
2007-03-13,37.5,41.25,37.5,41.25,40
2007-03-14,41.75,41.75,41.75,41.75,15
2007-03-15,40,41.25,36.63,39.88,460
2007-03-19,37.25,38.75,37.25,38.75,200
2007-03-20,37.5,40,37.5,40,100
2007-03-21,37.54,39.75,37.54,38.75,3129
2007-03-22,39.25,40.25,39.13,39.13,125
2007-03-23,37.75,39.75,37.75,39.75,100
2007-03-26,40.13,40.13,37.51,37.51,125
2007-03-28,38.5,38.5,37.51,38.5,67
2007-03-29,38.26,38.76,38.26,38.76,93
2007-03-30,38.5,41,38.5,39.86,1115
2007-04-02,39.5,39.5,38.75,38.78,250
2007-04-03,38.5,38.5,38,38,145
2007-04-05,38.5,40.25,38.5,40.25,100
2007-04-09,38.75,40.75,38.75,40.75,100
2007-04-10,40.5,40.5,40.5,40.5,145
2007-04-11,40.25,40.25,38.75,38.9,1032
2007-04-12,38.75,38.75,38.75,38.75,200
2007-04-13,38.5,38.5,38.5,38.5,25
2007-04-16,38.99,38.99,38.99,38.99,50
2007-04-17,38,39.64,38,39.64,285
2007-04-18,39,39,39,39,25
2007-04-19,38.75,39,38.75,38.95,190
2007-04-23,39.25,39.25,37.21,38.38,268
2007-04-24,37.55,38,36.88,38,200
2007-04-26,38,38,37.75,37.76,250
2007-04-27,38,39.65,37.45,39.09,354
2007-04-30,37.44,40,37.44,39.88,335
2007-05-04,38.19,40.38,38.19,38.5,365
2007-05-07,37.75,38.01,37.59,38.01,200
2007-05-08,37.76,38.75,37.76,38.75,110
2007-05-09,39.88,39.88,39.88,39.88,2
2007-05-11,38.53,40,38.53,40,45
2007-05-14,38.06,39.49,38.04,38.2,1169
2007-05-15,38.25,38.5,38.13,38.13,830
2007-05-16,38.01,39.75,38,39,400
2007-05-17,40,40,38.25,39.68,220
2007-05-18,38,39.5,38,39.18,277
2007-05-21,37.93,39.25,37.89,39.25,155
2007-05-22,38.38,39.63,38.38,39.63,200
2007-05-23,37.78,39.63,37.78,39.63,102
2007-05-24,38.03,39.63,38.03,39.63,71
2007-05-25,38.04,38.2,38.04,38.2,400
2007-05-28,38.5,38.63,38.5,38.63,240
2007-05-29,38.99,39.04,38.75,38.91,303
2007-05-30,40,40,37.8,38.15,3463
2007-05-31,38.75,39.38,36.53,38.25,2310
2007-06-01,38.75,39.5,38.26,38.26,1706
2007-06-04,38.75,38.75,38.5,38.51,2106
2007-06-05,38.99,38.99,38.33,38.81,1042
2007-06-06,38.15,39.13,38.15,38.81,710
2007-06-07,37.75,39.85,37.75,38.53,231
2007-06-08,37.89,38.63,37.53,38.59,65
2007-06-11,39.25,40.5,38.4,40.11,4780
2007-06-12,39.26,41,39.26,40.99,255
2007-06-13,42.25,42.25,41.5,41.5,100
2007-06-14,41.5,41.98,41.26,41.26,135
2007-06-15,41.99,42.53,41.25,41.25,521
2007-06-18,39.81,41.5,39.81,41.35,82
2007-06-19,42.48,43.23,41.5,41.5,858
2007-06-20,42.5,43,41.39,42.95,1305
2007-06-21,45,45,43.25,43.25,2478
2007-06-22,43.25,43.75,41.29,41.98,386
2007-06-25,40.28,43.7,40.28,43.56,439
2007-06-26,43.25,44.53,43.25,44.2,350
2007-06-27,42.53,43.75,42.5,42.94,660
2007-06-28,43.75,44.71,42.5,42.51,428
2007-06-29,43,43.75,42.5,42.63,1675
2007-07-02,41.38,42.5,41.38,41.5,666
2007-07-03,40.79,41.75,40.79,41.29,325
2007-07-04,40.68,40.88,40.66,40.84,365
2007-07-05,40.29,41.25,40.29,41.25,275
2007-07-06,39.13,41.25,39,41.25,140
2007-07-09,40.25,40.75,39.75,40.75,600
2007-07-10,39.88,41.5,39.88,39.88,300
2007-07-11,39.13,39.5,39.13,39.5,50
2007-07-12,41.25,42.5,41.25,42.5,50
2007-07-13,39.79,41.73,39.78,40.79,1373
2007-07-16,40.76,41.75,40.75,41.03,487
2007-07-17,40.33,41.19,40.14,40.56,795
2007-07-18,42,42,42,42,50
2007-07-19,39.13,41.66,39.13,41.66,80
2007-07-20,40.3,40.3,40.3,40.3,20
2007-07-23,40.75,40.76,40.75,40.76,66
2007-07-24,39.76,39.76,39.25,39.35,211
2007-07-25,41.13,41.25,40.25,40.25,300
2007-07-26,38.8,40.5,38.8,39.58,300
2007-07-27,39,40.25,39,39.63,848
2007-07-30,40.01,40.01,40,40,20
2007-07-31,40.13,40.13,40.13,40.13,100
2007-08-01,40,40.5,39.51,39.51,115
2007-08-03,40,40.75,40,40.74,180
2007-08-06,40.01,41.2,39.59,41.2,719
2007-08-07,40.25,40.25,40.25,40.25,25
2007-08-08,40.25,40.25,39.98,39.98,75
2007-08-09,38.51,38.75,38.5,38.55,370
2007-08-10,39.75,40.73,38.63,39.75,490
2007-08-13,39.75,39.75,36.8,39.56,241
2007-08-16,37.5,37.5,37.5,37.5,100
2007-08-17,37.51,39.88,37.51,38.25,300
2007-08-20,37.25,38.25,36.5,38.24,349
2007-08-21,37.25,39.49,35.06,39.49,300
2007-08-22,35.75,35.75,35.75,35.75,20
2007-08-23,38.75,38.75,37.5,37.5,159
2007-08-24,35.75,35.75,35.75,35.75,29
2007-08-27,33.75,38.75,33.75,37.25,1300
2007-08-28,36.75,38.75,36.75,38.75,150
2007-08-29,39,39,39,39,30
2007-08-30,38.75,39.13,38.75,39,142
2007-08-31,40.6,40.63,37.25,37.25,150
2007-09-03,37.5,38,37.5,37.88,881
2007-09-04,38.5,38.5,38,38,222
2007-09-05,39.48,39.48,37.56,37.58,24
2007-09-06,37.76,40.1,37.51,37.73,1050
2007-09-07,39,39.34,39,39.34,100
2007-09-10,38.25,38.75,37.53,38.75,1021
2007-09-11,39.25,40.63,39,39.5,2660
2007-09-12,39.13,39.13,39.01,39.01,100
2007-09-13,37.5,40.63,37.5,39,210
2007-09-14,38.13,40.63,37.88,38.01,890
2007-09-17,38.13,39.63,38.13,39.63,140
2007-09-18,39.56,39.56,39.25,39.25,4
2007-09-19,37.88,39.88,37.88,39.18,355
2007-09-20,38.5,38.5,36.93,38.43,276
2007-09-21,37.5,39.5,37.5,38.25,820
2007-09-24,38.25,45.25,38.08,38.18,442
2007-09-26,38.78,39.5,38.75,39.5,1000
2007-09-27,39.25,39.25,38.99,38.99,658
2007-09-28,38.99,39.65,38.75,39.51,407
2007-10-01,38.63,45.5,38.63,39.09,810
2007-10-03,38.93,38.93,38.88,38.88,115
2007-10-04,37.53,40.75,37.53,39.93,220
2007-10-05,37.63,40.25,37.63,39.49,940
2007-10-08,37.8,39.2,37.8,38.54,400
2007-10-09,39.98,39.98,37.88,38.59,3789
2007-10-10,37.76,38.88,35.63,38.78,695
2007-10-11,38.5,38.5,38.01,38.39,530
2007-10-12,37.9,39.98,35,38.01,2319
2007-10-15,38.75,39.5,38.53,39.5,500
2007-10-16,38.05,40,38.05,39.99,1494
2007-10-18,41.25,41.25,39.25,40.18,1350
2007-10-19,39.25,41,38.25,41,400
2007-10-22,37,39.46,36.25,37.51,458
2007-10-23,38.75,39.75,38.75,39.75,550
2007-10-24,38.75,39.5,38.75,39.5,40
2007-10-25,38.14,38.5,38.14,38.5,20
2007-10-26,38.75,38.75,38.75,38.75,140
2007-10-29,38.5,38.5,35.39,38.33,1520
2007-10-30,38.25,38.98,38.03,38.81,211
2007-10-31,37.88,40,37.76,38.74,330
2007-11-01,38.74,38.74,38.74,38.74,25
2007-11-05,37.63,39.38,37.63,39.38,465
2007-11-06,38.09,38.09,38.09,38.09,22
2007-11-07,37.5,40,37.5,40,160
2007-11-08,37.75,37.75,36.58,37.56,450
2007-11-09,31.25,41.25,31.25,39.34,264
2007-11-12,37,39,37,39,80
2007-11-13,38.78,38.98,33,38.98,725
2007-11-14,36.5,38.58,35.63,38.58,150
2007-11-15,37.81,38,37.75,37.81,300
2007-11-16,37.5,39,37.5,38.93,540
2007-11-19,41.38,41.5,38.5,39.98,2011
2007-11-20,39.08,40.86,39.08,39.96,317
2007-11-21,39.28,39.75,37.63,39.5,1535
2007-11-22,38.04,41.21,38.04,39.61,1125
2007-11-23,41,41,41,41,20
2007-11-27,38.5,42,38.5,42,100
2007-11-28,42,42,40.06,40.5,140
2007-11-29,40.03,40.5,38.25,39.26,310
2007-11-30,39.38,41.13,39.38,41.13,200
2007-12-03,41.25,41.25,38.75,40.93,496
2007-12-04,38.88,40.73,38.88,40.51,260
2007-12-05,40.38,43.63,40.03,41.56,1006
2007-12-06,42.03,44.75,40.5,42.61,1225
2007-12-07,42.5,43.75,42.5,43.15,240
2007-12-10,43.75,45.44,42.76,43.99,870
2007-12-11,43,43.99,42.5,43.16,1325
2007-12-12,42,44.25,42,43.18,253
2007-12-13,44,44,42.63,43.88,710
2007-12-14,42,44,42,43.75,700
2007-12-17,45,52.46,44.75,45.33,3725
2007-12-18,48.88,48.88,44.55,45.25,541
2007-12-19,44,45.24,44,44.73,1224
2007-12-20,43.25,44.88,43.25,43.84,1029
2007-12-24,44.9,45,44.9,44.9,199
2007-12-26,45,45.23,42.75,44.04,1175
2007-12-27,44.94,47,44.03,45.2,918
2007-12-28,45.63,48,45.63,47.74,1917
2007-12-31,48.25,56.75,47.75,52.18,4745
2008-01-01,52,52,50.38,51.25,1054
2008-01-02,50.38,50.38,48.38,50,358
2008-01-03,50,52,48.88,50,623
2008-01-04,53.5,53.5,50.25,50.99,691
2008-01-07,48.06,49.31,48.06,48.29,1050
2008-01-08,47.5,48.73,47.5,47.96,150
2008-01-09,45.25,45.88,45.25,45.88,133
2008-01-10,46.88,47.41,45.43,47.08,1210
2008-01-11,45.31,47.48,45.25,46.34,720
2008-01-14,45.25,50.25,45.25,47,112
2008-01-15,45.38,46.75,45,46.08,207
2008-01-16,44.63,46.63,44.63,46.63,400
2008-01-17,44.5,46.81,44.5,46.81,90
2008-01-18,46.25,46.25,44.25,44.25,200
2008-01-21,41.88,44,40,40,978
2008-01-22,38.75,39.74,38.75,39.74,30
2008-01-23,39.74,47,36.25,47,765
2008-01-24,40.63,40.63,38.5,38.54,1050
2008-01-25,44.75,44.75,37.5,40.63,428
2008-01-28,33.03,44.75,33.03,40.53,83
2008-01-29,38.66,42.71,38.66,40.76,5356
2008-01-30,46,46,41,41,20
2008-01-31,41.66,44.5,39,43.75,96
2008-02-01,40.75,41.25,37.55,40.58,677
2008-02-04,36.5,42.53,36.5,42.53,194
2008-02-05,36.75,49.95,36.75,41.25,312
2008-02-07,40,45.5,37.89,38.78,10350
2008-02-08,40,40,40,40,100
2008-02-11,38,40.5,37.58,40.5,220
2008-02-12,37,39.5,37,38.34,210
2008-02-13,39.43,40.5,37.25,38.36,520
2008-02-14,36.38,45,36.38,39.75,625
2008-02-15,42.71,42.71,37.26,40.04,526
2008-02-18,39.5,43.25,39.5,41.23,255
2008-02-19,38.5,42.49,38.5,40.88,485
2008-02-20,38.75,40.5,37.83,40,390
2008-02-21,40,40,40,40,101
2008-02-22,39,39,38.25,38.49,309
2008-02-25,38,41.5,38,40.7,304
2008-02-26,40,40,40,40,60
2008-02-27,40,40.03,40,40.03,125
2008-02-28,40.03,40.75,40,40,146
2008-02-29,40.5,42,39.5,41.25,410
2008-03-03,38,38,38,38,50
2008-03-04,38.75,39,38.75,38.75,115
2008-03-05,38.75,40.5,38.75,40.5,661
2008-03-07,38.04,40.25,37.5,37.5,655
2008-03-10,36.5,37.68,36.5,37.25,102
2008-03-11,42.5,42.5,39.75,39.79,177
2008-03-12,42,42,37.5,39.2,352
2008-03-14,37.5,38,36.31,37.53,276
2008-03-18,36.25,36.25,35.5,35.5,133
2008-03-19,36,39,36,38.75,218
2008-03-24,31.25,38.19,31,36.25,2335
2008-03-25,37.5,37.5,36.38,37.5,318
2008-03-26,43.38,43.38,36.25,38.75,4344
2008-03-27,34.75,43.38,34.75,41.5,538
2008-03-31,42.5,42.75,37.5,42,569
2008-04-01,36.06,39.74,36,37.66,500
2008-04-02,37.64,43,37.63,41.25,872
2008-04-03,38.01,40.75,38,38.49,725
2008-04-04,39.74,39.74,39.74,39.74,9
2008-04-07,39.5,39.5,39.5,39.5,1
2008-04-08,40.86,40.86,38.75,40,242
2008-04-09,33.75,40,33.75,40,3950
2008-04-10,39.95,39.95,39.38,39.38,100
2008-04-15,40.75,43.69,40.75,43.69,800
2008-04-16,39.25,42.5,39.25,42.5,200
2008-04-17,38.25,42,38.25,42,480
2008-04-21,39,40,38.75,40,1280
2008-04-22,40.25,42.75,40.06,42.61,3044
2008-04-23,40.72,42.2,38.58,39.63,4540
2008-04-24,40.25,40.25,40.25,40.25,400
2008-04-25,40.25,41.25,40.25,41.25,424
2008-04-28,41.75,41.75,41.75,41.75,12
2008-04-29,42.25,42.5,42.25,42.4,480
2008-04-30,40.25,40.5,40.25,40.39,52
2008-05-02,40.5,43,40.5,43,1600
2008-05-05,40.75,43.5,40.75,40.75,860
2008-05-06,40.38,41.88,40.38,41.88,800
2008-05-07,40.25,42.25,40.25,42,2428
2008-05-08,40.25,43.25,40.25,42.75,1200
2008-05-09,40,43.22,40,43.16,932
2008-05-12,43.16,44.75,41.5,43.75,4044
2008-05-13,43,43,41.78,41.78,800
2008-05-15,44.97,46.22,43.22,45.01,7728
2008-05-16,46,46,45.03,45.99,1756
2008-05-20,44.75,45.42,44.75,45.13,2712
2008-05-21,43.31,48.95,43.31,44.99,5920
2008-05-22,43.76,46.61,43.76,45.15,3332
2008-05-23,43.03,46.75,43.03,44.03,2064
2008-05-26,42.28,45.25,42.28,43.5,656
2008-05-27,43.5,44.5,43.5,43.75,836
2008-05-28,43.69,44.11,43.5,43.84,3500
2008-05-29,42.63,45.99,42.63,43.75,1788
2008-05-30,42.5,43.75,42.5,43.75,276
2008-06-02,43.25,43.39,42.25,42.5,196
2008-06-03,40.5,43.5,40.5,43.5,800
2008-06-04,41.75,41.75,41.61,41.61,8
2008-06-05,42.05,42.05,42.05,42.05,196
2008-06-06,43.75,45,41.5,42.94,1032
2008-06-09,39.5,41.25,39.5,41.25,672
2008-06-11,41.25,41.69,40.63,41.61,1000
2008-06-12,40,40,40,40,32
2008-06-13,44.99,44.99,41.5,44.25,320
2008-06-16,41.25,42.38,41.25,42.38,4580
2008-06-17,42.75,43.5,42.75,42.95,2908
2008-06-18,43.13,43.13,41.38,42.78,920
2008-06-19,40.25,42.81,40.25,42.81,2640
2008-06-20,40.75,43.11,40.75,41.86,1120
2008-06-24,38,42.5,38,42.5,684
2008-06-25,38.13,40.5,38.13,40.5,968
2008-06-26,39.5,39.5,38.53,38.53,400
2008-06-27,41.58,41.58,41.38,41.38,80
2008-06-30,40.38,41.2,38.97,38.97,648
2008-07-01,38.75,40,36,40,480
2008-07-02,36.26,38.75,36.26,38.75,2640
2008-07-03,38.5,38.75,37.75,38.25,744
2008-07-04,37.5,38.75,36.5,38.74,1200
2008-07-07,38.5,38.75,38.5,38.75,600
2008-07-08,37,37.5,37,37.5,460
2008-07-09,35.75,37.25,35.75,36.63,1848
2008-07-10,36.5,38.5,36.5,38.5,140
2008-07-11,33.75,38.75,33.75,37.5,584
2008-07-15,34.01,34.01,34.01,34.01,40
2008-07-16,35,35,35,35,40
2008-07-17,35.31,37.47,35.25,35.51,268
2008-07-21,37.47,38.25,37.47,37.64,260
2008-07-23,37.5,37.5,37.38,37.38,400
2008-07-24,39.19,39.19,37.56,37.56,408
2008-07-25,37.5,37.5,36.25,37.5,400
