Date,Open,High,Low,Close,Volume
2003-09-19,9.3,9.35,9.3,9.3,1000
2003-09-22,8.4,8.4,8.4,8.4,463
2003-09-23,7.88,9.26,7.88,9.17,737
2003-09-24,8.36,8.36,8.36,8.36,50
2003-09-25,8.44,8.44,8.44,8.44,2200
2003-09-26,8.66,9.26,8.62,9.22,5600
2003-09-29,9.13,9.13,8.31,9.05,3175
2003-09-30,8.62,8.62,8.44,8.44,2525
2003-10-01,8.1,8.62,8.1,8.62,3600
2003-10-03,8.06,8.06,7.93,7.93,3800
2003-10-06,8.18,8.74,8.18,8.74,14750
2003-10-07,8.44,9.3,8.27,8.79,16157
2003-10-08,8.66,8.74,8.36,8.7,11500
2003-10-09,8.62,9.05,8.27,8.74,14435
2003-10-10,8.83,9.35,8.53,8.57,15121
2003-10-13,8.7,8.74,8.4,8.44,16850
2003-10-14,8.01,8.49,8.01,8.4,7158
2003-10-15,8.18,8.18,7.93,8.18,5114
2003-10-16,7.75,7.93,7.75,7.84,5946
2003-10-17,7.88,8.53,7.75,7.84,10773
2003-10-20,8.18,8.62,7.11,8.53,33205
2003-10-21,8.18,8.23,7.97,8.18,25600
2003-10-22,8.06,8.06,7.75,7.97,4395
2003-10-23,7.97,8.01,7.97,7.97,4400
2003-10-24,7.58,7.8,7.54,7.8,3150
2003-10-25,7.67,7.67,7.67,7.67,800
2003-10-27,8.36,8.36,7.45,7.45,1783
2003-10-28,7.32,7.45,7.11,7.11,2825
2003-10-29,6.89,7.32,6.89,7.11,4374
2003-10-30,6.89,7.84,6.68,6.72,9475
2003-10-31,6.72,7.06,6.5,6.63,11790
2003-11-03,6.12,6.68,5.99,6.03,44575
2003-11-04,5.94,6.33,5.9,6.12,15328
2003-11-05,5.69,6.76,5.69,6.76,35586
2003-11-06,6.29,7.41,6.29,7.19,20352
2003-11-07,7.24,7.28,7.02,7.11,24771
2003-11-10,7.62,7.67,6.98,7.62,11446
2003-11-11,8.1,8.1,7.19,7.97,35240
2003-11-12,7.75,8.79,7.62,8.74,71290
2003-11-13,9.3,9.3,7.88,7.88,42474
2003-11-14,7.84,8.01,7.24,7.32,26000
2003-11-15,7.32,7.32,7.11,7.28,9800
2003-11-17,7.02,7.32,6.81,7.28,18128
2003-11-18,7.24,7.58,7.11,7.28,20450
2003-11-19,7.32,7.32,6.94,7.32,21528
2003-11-20,7.06,7.67,7.06,7.28,28597
2003-11-21,6.98,7.32,6.98,7.24,13962
2003-11-24,7.32,7.58,7.19,7.58,14192
2003-11-25,7.62,8.36,7.41,8.36,45666
2003-11-27,8.62,8.79,8.14,8.36,38672
2003-11-28,8.27,8.49,8.23,8.4,29991
2003-12-01,7.84,8.53,7.84,8.31,46742
2003-12-02,8.31,8.4,7.75,8.14,35951
2003-12-03,8.49,8.49,8.1,8.14,27050
2003-12-04,8.18,8.44,8.1,8.18,23778
2003-12-05,8.18,8.79,7.88,8.01,28136
2003-12-08,8.49,8.49,7.8,7.97,19453
2003-12-09,8.18,8.79,8.01,8.79,78349
2003-12-10,8.62,9.69,8.62,9.61,96660
2003-12-11,10.21,10.21,9.22,9.69,92879
2003-12-12,10.17,10.68,9.61,10.68,92135
2003-12-15,11.29,11.76,10.51,11.76,129026
2003-12-16,12.49,12.49,11.2,12.1,144656
2003-12-17,12.53,12.92,12.06,12.28,104734
2003-12-18,12.84,12.92,12.36,12.75,82343
2003-12-19,12.15,12.79,12.06,12.23,73915
2003-12-22,12.19,12.84,12.15,12.19,70694
2003-12-23,11.63,12.84,11.46,11.72,61670
2003-12-24,11.72,12.06,10.98,11.54,100584
2003-12-26,11.63,11.89,11.07,11.46,86034
2003-12-29,11.72,12.41,11.54,11.72,116498
2003-12-30,12.06,12.06,11.2,11.33,51887
2003-12-31,11.2,11.63,10.6,10.85,39355
2004-01-01,11.16,11.2,10.94,10.94,28760
2004-01-02,10.94,11.11,10.34,10.55,43993
2004-01-05,10.21,10.55,10.12,10.17,42659
2004-01-06,9.61,10.6,9.56,10.04,98892
2004-01-07,9.99,10.12,9.05,9.3,40267
2004-01-08,9.48,9.61,8.7,9.3,58438
2004-01-09,9.69,9.69,9.05,9.09,57740
2004-01-12,8.62,9.48,8.44,8.53,53905
2004-01-13,8.79,8.83,8.53,8.79,28265
2004-01-14,9.17,9.17,8.57,8.66,29869
2004-01-15,8.4,9,8.4,8.53,16125
2004-01-16,8.44,8.62,7.97,8.44,29007
2004-01-19,8.36,8.49,7.93,8.18,29420
2004-01-20,7.97,8.23,7.97,8.1,39772
2004-01-21,7.45,7.75,7.41,7.41,72790
2004-01-22,7.32,7.75,6.76,6.98,50500
2004-01-23,6.98,7.71,6.98,7.71,17819
2004-01-27,8.18,8.49,7.75,7.84,28200
2004-01-28,7.75,7.84,7.58,7.62,26476
2004-01-29,7.54,7.75,6.98,7.54,20549
2004-01-30,7.32,7.71,7.11,7.19,17397
2004-02-03,6.89,7.5,6.89,7.06,32668
2004-02-04,6.94,7.24,6.72,7.02,22902
2004-02-05,6.89,7.06,6.76,6.89,14681
2004-02-06,6.72,6.89,6.72,6.81,12600
2004-02-09,6.94,7.11,6.72,6.98,21900
2004-02-10,7.15,7.19,6.89,7.06,24633
2004-02-11,6.94,7.19,6.94,7.15,13888
2004-02-12,7.28,7.41,6.98,7.24,16960
2004-02-13,7.19,7.19,6.76,7.02,9870
2004-02-16,7.11,7.54,7.06,7.19,21555
2004-02-17,7.06,7.11,6.89,6.94,19270
2004-02-18,6.98,7.11,6.89,6.94,13731
2004-02-19,6.68,6.98,6.68,6.94,23685
2004-02-20,6.98,7.02,6.72,6.89,12840
2004-02-23,6.72,6.81,6.72,6.76,8093
2004-02-24,6.68,6.85,6.68,6.85,12963
2004-02-25,6.72,6.98,6.68,6.68,3413
2004-02-26,6.68,6.94,6.55,6.63,16725
2004-02-27,6.63,6.76,6.46,6.63,4629
2004-03-01,6.89,6.89,6.59,6.76,12976
2004-03-03,6.89,6.94,6.72,6.76,40509
2004-03-04,6.55,6.85,6.55,6.81,9006
2004-03-05,6.46,6.89,6.46,6.72,5255
2004-03-08,6.76,6.89,6.72,6.81,22163
2004-03-09,6.63,6.85,6.63,6.63,25551
2004-03-10,6.59,6.81,6.59,6.76,14104
