Date,Open,High,Low,Close,Volume
2023-09-13,111,116.55,105.55,116.55,1660000
2023-09-14,116,122.35,110.75,122.35,412000
2023-09-15,120,120,116.25,116.25,216000
2023-09-18,115.2,116,110.45,110.45,122000
2023-09-20,105.1,110,104.95,106.4,146000
2023-09-21,101.3,106.1,101.1,101.1,38000
2023-09-22,105,105.05,96.05,99.15,100000
2023-09-25,99,99,94.2,94.2,26000
2023-09-26,89.6,98.9,89.5,98.8,108000
2023-09-27,102,103.7,102,103.7,94000
2023-09-28,100,102.6,98.5,100.8,20000
2023-09-29,98.5,99.5,96,97,20000
2023-10-03,97,97,90,91.2,36000
2023-10-04,91.8,91.8,87.5,88.25,78000
2023-10-05,86,86,80.05,81.85,56000
2023-10-06,82,93.9,80.8,93,80000
2023-10-09,90,92.5,85.75,87.6,12000
2023-10-10,85.4,88.5,85,85.5,24000
2023-10-11,85,88,85,88,16000
2023-10-12,89,89,88,88,6000
2023-10-13,85,86.8,84.25,86.8,16000
2023-10-16,85.2,88.7,85,85.25,18000
2023-10-17,85.25,88.5,81.25,87.4,68000
2023-10-18,87.4,87.4,85,86,26000
2023-10-19,84.2,90.5,84.2,90.15,20000
2023-10-20,87.35,87.35,86,86,4000
2023-10-23,85.5,85.5,81,81.15,24000
2023-10-25,81,83,80.05,83,6000
2023-10-26,83,83,83,83,2000
2023-10-27,83,83,83,83,8000
2023-10-30,80,80,78.1,80,20000
2023-10-31,80,81,78.1,80.25,10000
2023-11-01,80,80,80,80,4000
2023-11-02,80,87.9,79.5,87.6,36000
2023-11-03,89,89,85,87.5,32000
2023-11-06,87.5,88,87.5,87.75,4000
2023-11-08,87.95,90,87.95,89.15,14000
2023-11-09,86.1,87,83.6,85.8,22000
2023-11-10,90,90,83,83.5,18000
2023-11-13,81.95,84.5,81.95,84.5,4000
2023-11-15,82,82.9,80.1,82,20000
2023-11-16,82,82,79.5,80.05,22000
2023-11-17,80,80.4,78,80,12000
2023-11-20,83.8,83.8,80,80,6000
2023-11-21,79.05,80,79,80,12000
2023-11-22,80,83,79,82.55,22000
2023-11-23,83,99.05,82,99.05,134000
2023-11-24,106.7,107.9,102.25,103.35,62000
2023-11-28,103.35,105,102,103,74000
2023-11-29,103,103,102.95,103,24000
2023-11-30,103,114,103,108.5,90000
2023-12-01,108,110,108,110,24000
2023-12-04,107.45,107.45,105,106,12000
2023-12-05,106,106,102.1,102.1,6000
2023-12-06,102.1,104,102.1,104,6000
2023-12-08,99.75,99.75,99.5,99.5,4000
2023-12-11,100,100,96,97,10000
