Date,Open,High,Low,Close,Volume
2018-01-31,125.35,131.61,119.08,119.08,28678
2018-02-01,113.12,113.12,113.12,113.12,351
2018-02-02,107.48,107.48,107.48,107.48,494
2018-02-05,102.11,102.11,102.11,102.11,102
2018-02-06,97.02,97.02,97.02,97.02,17
2018-02-07,92.17,92.17,92.17,92.17,2627
2018-02-08,87.57,87.57,87.57,87.57,151
2018-02-09,83.21,83.21,83.21,83.21,581
2018-02-12,79.05,79.05,79.05,79.05,2088
2018-02-14,75.1,75.1,75.1,75.1,621
2018-02-15,67.6,80.14,67.6,76.65,1695964
2018-02-16,80.97,84.29,73.81,76.96,409515
2018-02-19,77.71,77.71,69.52,72.76,214138
2018-02-20,72.7,72.7,67.48,68.52,256858
2018-02-21,69.36,69.78,63.53,68.04,196032
2018-02-22,66.54,69.36,65.68,67.54,158803
2018-02-23,66.85,71.03,63.93,69.13,178223
2018-02-26,68.1,69.15,66.02,66.73,52160
2018-02-27,65.62,67.81,65.22,66.16,91403
2018-02-28,64.76,67.41,64.76,66.73,138527
2018-03-01,68.1,73.39,66.96,73.39,45124
2018-03-05,74.37,74.41,67,69.48,91736
2018-03-06,69.78,71.84,67.35,68.75,67804
2018-03-07,66.87,68.52,64.76,66.04,11726
2018-03-08,68.9,69.52,63.13,67.85,20085
2018-03-09,66.06,67.98,65.01,66.83,42734
2018-03-12,66.06,68.52,66.02,67.5,9766
2018-03-13,66.02,70.19,66.02,67.64,148151
2018-03-14,67.29,68.35,66.87,68.06,10462
2018-03-15,66.52,73.95,66.52,71.59,80207
2018-03-16,71.45,71.86,65.91,68.4,212692
2018-03-19,67.31,70.78,67.27,69.98,19057
2018-03-20,67.31,70.84,67.31,69.55,20419
2018-03-21,68.94,76.48,68.94,76.48,30894
2018-03-22,82.31,84.13,73.95,78.09,129050
2018-03-23,74.37,76.63,72.7,75.08,55878
2018-03-26,71.86,76.38,71.86,74.73,20435
2018-03-27,74.73,81.47,74.56,75.58,20948
2018-03-28,73.26,76.25,71.45,74.43,1350982
2018-04-02,74.62,81.87,74.62,81.87,22425
2018-04-03,86.91,90.04,81.87,90.04,36211
2018-04-04,95.68,97.52,82.73,84.13,66356
2018-04-05,84.88,91.92,83.19,86.68,80930
2018-04-06,86.49,89.41,82.14,87.89,13094
2018-04-09,89.45,90.42,85.23,87.51,6462
2018-04-10,88.16,88.16,83.35,86.61,150435
2018-04-11,85.11,95.26,83.15,84.23,1193905
2018-04-12,92.65,92.65,92.65,92.65,3619
2018-04-13,101.91,101.91,94.84,96.7,158548
2018-04-16,95.68,106.36,94.47,106.36,104962
2018-04-17,110.72,114.9,104.5,107.17,188826
2018-04-18,107.23,110.6,105.08,106.15,62430
2018-04-19,104.87,105.71,100.84,101.15,32248
2018-04-20,101.13,103.22,98.19,100.59,22793
2018-04-23,100.38,104.87,96.16,96.83,58209
2018-04-24,98.15,101.65,96.64,101.65,13947
2018-04-25,106.73,106.73,106.73,106.73,5427
2018-04-26,112.06,112.06,112.06,112.06,2779
2018-04-27,116.15,117.66,110.3,117.66,126196
2018-04-30,122.4,123.53,117.82,119.16,89534
2018-05-02,118.66,122.42,113.21,115.88,16047
2018-05-03,112.81,118.99,110.39,117.43,14085
2018-05-04,112.87,116.99,112.02,113.33,6306
2018-05-07,111.56,118.99,107.67,118.89,97613
2018-05-08,120.6,121.58,112.96,113.5,8457
2018-05-09,108.67,114.9,108.67,114.29,4769
2018-05-10,116.97,118.37,111.56,115.05,8880
2018-05-11,112.81,115.23,109.3,112.46,9854
2018-05-14,109.05,111.98,106.96,109.76,7086
2018-05-15,104.29,111.52,104.29,107.36,11121
2018-05-16,105.29,107.8,102.37,103.68,9105
2018-05-17,104.04,108.3,103.62,106.4,27119
2018-05-18,101.59,107.76,101.09,101.82,25281
2018-05-21,96.93,106.04,96.75,96.75,10749
2018-05-22,93.67,97.77,91.92,95.2,11276
2018-05-23,92.38,96.1,91.5,94.49,10557
2018-05-24,94.01,96.37,92.38,94.72,2996
2018-05-25,94.76,99.44,92.96,99,3145
2018-05-28,98.19,103.93,98.19,103.93,6970
2018-05-29,104.04,108.59,98.75,98.75,4783
2018-05-30,96.62,102.37,93.82,94.18,12450
2018-05-31,91.52,98.88,91.08,98.33,15704
2018-06-01,93.59,98.19,93.42,93.65,16265
2018-06-04,93.59,93.65,88.97,89.06,4685
2018-06-05,87.74,89.83,84.82,87.57,10489
2018-06-06,84.82,90.67,83.21,88.18,4025
2018-06-07,88.18,92.59,86.07,90.46,25425
2018-06-08,87.74,90.6,86.07,90.31,1436
2018-06-11,90.25,94.41,87.76,89.85,11434
2018-06-12,87.8,91.5,87.74,87.99,4470
2018-06-13,91.04,91.04,87.8,88.14,2456
2018-06-14,87.74,90.19,84.4,85.21,9749
2018-06-15,84.4,88.56,83.15,83.75,3931
2018-06-18,81.75,85.23,80.37,81.54,18704
2018-06-19,79.8,81.68,77.46,79.01,19859
2018-06-20,76.04,82.21,76.04,79.34,3404
2018-06-21,77.36,80.58,77.36,78.13,5029
2018-06-22,76.48,81.35,75.06,79.01,8156
2018-06-25,79.01,81.06,76.46,78.49,1407
2018-06-26,76.48,78.13,75.58,77.53,30480
2018-06-27,76.17,79.8,75,76.38,2998
2018-06-28,76.46,76.46,72.57,73.54,12280
2018-06-29,70.28,76.88,70.28,72.83,15854
2018-07-02,71.03,72.28,69.19,72.26,17331
2018-07-03,69.78,72.07,68.67,69.67,8477
2018-07-04,67.27,71.03,66.89,69.78,17107
2018-07-05,66.85,71.86,66.85,69.46,8726
