Date,Open,High,Low,Close,Volume
2005-08-19,80,329.33,80,246.83,1408369
2005-08-22,252.67,252.67,219,224.93,500407
2005-08-23,226.67,229.13,207.33,209.93,198817
2005-08-24,209.33,222.8,201.33,208.77,222425
2005-08-25,209.93,250.17,202.87,226.17,270995
2005-08-26,243.33,244.67,228.17,232.37,143741
2005-08-29,234.93,234.93,220.67,225.67,28677
2005-08-30,211.33,232,211.33,230.37,44802
2005-08-31,226.67,231.6,220.13,224.9,25736
2005-09-01,228,249.33,224.67,239.03,57023
2005-09-02,240,240,228.33,237.3,34786
2005-09-05,240,240,224.67,229.43,8894
2005-09-06,228,233.3,226.7,227.6,7141
2005-09-08,231.63,234.67,220,222.3,24880
2005-09-09,222,225.93,215,217.37,13717
2005-09-12,220,226.67,214.77,222.83,8015
2005-09-13,224.47,224.47,220.77,222.57,4945
2005-09-14,220.73,225.2,213.67,216.5,4559
2005-09-15,219.33,222.53,216.7,218.83,2905
2005-09-16,221.97,223.33,216.67,218,9722
2005-09-19,218.67,223.27,213.4,217.27,4819
2005-09-20,215,217.07,207.37,212.1,4245
2005-09-21,215.33,216,193.33,201,9214
2005-09-22,200.33,206.67,174.87,177.03,7329
2005-09-23,180.67,192,160.07,183.23,13743
2005-09-26,174.8,196.5,174.8,192.73,5876
2005-09-27,186.67,195.33,185.67,188.4,5623
2005-09-28,191.3,191.33,183.47,188.37,2646
2005-09-29,189.9,189.9,180,186.67,3850
2005-09-30,187.93,192.67,176.67,183.93,4890
2005-10-03,186.67,187.33,181.13,187,2156
2005-10-04,186.07,190,186.07,188.83,1790
2005-10-05,173.33,190,173.33,188.67,3431
2005-10-06,188.33,191.33,184,184.7,2465
2005-10-07,193.27,193.27,182,184.33,1339
2005-10-10,183.4,186.5,183.33,184.8,2062
2005-10-11,180.07,185.93,178.67,181.5,597
2005-10-13,186.3,186.3,174.7,178.9,1204
2005-10-14,154.07,176.8,154.07,173.07,4496
2005-10-17,172.67,172.67,166.33,168.47,2598
2005-10-18,175.4,177.97,170.67,176.7,3775
2005-10-19,165.47,176.27,165.47,167.23,4569
2005-10-20,173.27,174,150,157.37,2207
2005-10-21,155.67,162,153.03,160.13,2187
2005-10-24,173,173.27,163.33,164.63,1024
2005-10-25,163.33,166.6,155.67,159.63,776
2005-10-26,166.6,166.6,156,156.53,1037
2005-10-27,150.67,156.93,148.67,150.4,2651
2005-10-28,153.33,153.33,146.67,147.33,1895
2005-10-31,148,152,147.33,148.37,1248
2005-11-01,153.27,159,152.4,155.97,389
2005-11-02,156.67,156.67,150.17,151.7,1306
2005-11-07,157.97,163.33,156.67,160.27,3999
2005-11-08,166.67,178.93,164.57,175.1,7922
2005-11-09,177.33,180,173.4,175.57,4106
2005-11-10,183.33,186.67,175.33,178.73,4623
2005-11-11,182.67,183.87,180.83,182.37,6557
2005-11-14,186.53,199.33,184.33,189.27,15236
2005-11-16,187.33,190,184,185.93,8289
2005-11-17,186.83,189.3,182.37,186.9,11036
2005-11-18,190,198.67,188.67,194.5,11674
2005-11-21,193.33,202.6,190,197.1,23087
2005-11-22,203.33,204.6,199.33,200.7,19648
2005-11-23,203.07,206,200,205.5,15840
2005-11-24,210.53,219.33,210.47,212.2,41512
2005-11-25,215.33,216,210.17,211.33,15584
2005-11-26,213.33,215.33,211.4,212.5,5347
2005-11-28,213.27,214.6,208.67,209.13,5611
2005-11-29,214.67,214.67,206.67,211.03,159104
