Date,Open,High,Low,Close,Volume
2002-01-02,1.07,1.07,1.07,1.07,100
2002-01-04,0.97,1,0.96,0.97,700
2002-01-08,0.93,0.93,0.93,0.93,100
2002-01-10,1.01,1.01,1.01,1.01,1
2002-01-14,1.05,1.05,0.99,1.03,308
2002-01-15,1.03,1.03,1.03,1.03,300
2002-01-17,1.04,1.09,1.04,1.09,600
2002-01-18,1.02,1.15,1.02,1.14,300
2002-01-21,1.19,1.19,1.19,1.19,1
2002-01-22,1.15,1.15,1.15,1.15,100
2002-01-23,1.13,1.13,1.12,1.13,2200
2002-01-24,1.14,1.14,1.12,1.12,550
2002-01-25,1.16,1.16,1.12,1.12,1900
2002-01-28,1.15,1.17,1.14,1.17,650
2002-01-29,1.2,1.21,1.17,1.21,950
2002-01-30,1.22,1.22,1.22,1.22,100
2002-01-31,1.18,1.24,1.18,1.22,3
2002-02-01,1.18,1.2,1.18,1.2,499
2002-02-04,1.17,1.17,1.15,1.17,810
2002-02-05,1.07,1.07,1.06,1.06,125
2002-02-06,1.11,1.11,1.07,1.07,250
2002-02-07,1.11,1.11,1.1,1.1,200
2002-02-08,1.08,1.08,1.08,1.08,100
2002-02-13,1.16,1.16,1.16,1.16,1
2002-02-15,1.12,1.12,1.12,1.12,100
2002-02-19,1.08,1.1,1.08,1.1,950
2002-02-22,1.04,1.08,1.04,1.08,300
2002-02-25,1.03,1.12,1,1.12,5801
2002-02-26,1.2,1.2,1.07,1.1,902
2002-02-27,1.07,1.17,1.07,1.12,401
2002-02-28,1.13,1.18,1.07,1.07,1300
2002-03-01,1.12,1.12,1.12,1.12,25
2002-03-04,1.07,1.07,1.07,1.07,505
2002-03-05,1.07,1.07,1.07,1.07,600
2002-03-06,1.13,1.13,1.05,1.12,113
2002-03-07,1.09,1.09,1.09,1.09,690
2002-03-08,1.09,1.09,1.09,1.09,400
2002-03-11,1.03,1.03,1.03,1.03,100
2002-03-12,1.01,1.01,1,1,700
2002-03-13,1.07,1.08,1.07,1.07,400
2002-03-15,1.07,1.09,1.07,1.09,2159
2002-03-18,1.1,1.1,1.1,1.1,570
2002-03-26,1.04,1.04,1.04,1.04,1
2002-03-27,1.1,1.12,1.1,1.12,400
2002-03-28,1.07,1.07,1.07,1.07,100
2002-04-02,1.1,1.1,1.1,1.1,100
2002-04-04,1.04,1.04,1.04,1.04,5
2002-04-09,1.02,1.02,1.02,1.02,200
2002-04-12,1.04,1.1,1.04,1.1,261
2002-04-16,1.1,1.1,1.1,1.1,100
2002-04-17,1.11,1.12,1.11,1.12,125
2002-04-18,1.16,1.17,1.12,1.12,350
2002-04-19,1.13,1.13,1.13,1.13,100
2002-04-24,1.04,1.25,1.04,1.18,402
2002-04-25,1.03,1.2,1.03,1.2,253
2002-04-26,1.2,1.23,1.16,1.2,1500
2002-04-29,1.2,1.2,1.17,1.18,775
2002-04-30,1.18,1.18,1.18,1.18,100
2002-05-02,1.2,1.2,1.2,1.2,800
2002-05-03,1.2,1.2,1.2,1.2,200
2002-05-06,1.21,1.33,1.21,1.33,2084
2002-05-07,1.33,1.37,1.29,1.32,6666
2002-05-08,1.4,1.4,1.28,1.33,2870
2002-05-09,1.27,1.3,1.23,1.3,1800
2002-05-10,1.24,1.3,1.24,1.27,300
2002-05-13,1.35,1.35,1.27,1.28,2400
2002-05-14,1.27,1.27,1.27,1.27,1000
2002-05-15,1.24,1.24,1.23,1.23,500
2002-05-16,1.17,1.24,1.17,1.17,201
2002-05-20,1.38,1.38,1.38,1.38,1
2002-05-21,1.2,1.2,1.13,1.19,121
2002-05-22,1.37,1.37,1.05,1.26,5
2002-05-23,1.27,1.27,1.27,1.27,1
2002-05-24,1.51,1.51,1.17,1.2,302
2002-05-27,1.17,1.17,1.08,1.08,901
2002-05-28,0.94,1.12,0.94,1.12,101
2002-05-29,1.23,1.23,1.23,1.23,1
2002-05-30,1.15,1.33,1.15,1.33,401
2002-06-03,1.58,1.58,1.14,1.14,3003
2002-06-04,1.37,1.37,1.17,1.26,2504
2002-06-05,1.35,1.35,1.15,1.16,3407
2002-06-06,1.3,1.3,1.17,1.17,1103
2002-06-10,0.98,1.23,0.98,1.23,2
2002-06-11,1,1.23,1,1.2,551
2002-06-12,0.99,1.27,0.99,1.22,1076
2002-06-13,1.16,1.26,1.16,1.19,931
2002-06-14,1.18,1.33,1.18,1.26,1524
2002-06-17,1.29,1.33,1.27,1.3,1228
2002-06-18,1.33,1.37,1.3,1.34,3967
2002-06-19,1.37,1.42,1.34,1.37,13478
2002-06-20,1.41,1.48,1.41,1.45,899
2002-06-21,1.45,1.48,1.41,1.42,48725
2002-06-24,1.67,1.7,1.44,1.65,8156
2002-06-25,1.87,1.93,1.7,1.82,10686
