Date,Open,High,Low,Close,Volume
2016-06-17,78.9,78.9,72.43,72.76,14226
2016-06-20,72.59,76.78,71.1,74.42,17983
2016-06-21,74.6,78,73.23,73.47,36483
2016-06-22,74,74.54,71.43,71.85,4869
2016-06-23,71.84,71.84,69.8,70.06,5086
2016-06-24,67.2,70.8,67.2,69.8,8252
2016-06-27,69.41,72,69.4,70.29,2702
2016-06-28,71.17,71.18,69.6,70.03,3298
2016-06-29,70.58,77.5,68.4,73.36,69373
2016-06-30,73.98,74.74,72.02,72.93,13503
2016-07-01,72,75,71.7,72.77,6737
2016-07-04,73.86,73.86,72.4,72.58,4353
2016-07-05,72.25,72.66,70,72.16,4111
2016-07-07,72.25,73.2,71.7,72.19,4629
2016-07-08,72.4,72.4,70.06,70.74,8639
2016-07-11,71.88,73.76,70.4,72.16,9860
2016-07-12,73.36,73.36,71.6,71.85,3578
2016-07-13,72,73.6,71.2,72.3,9108
2016-07-14,71.84,76.8,71.81,73.39,11315
2016-07-15,74.38,76.2,72.31,73.13,26529
2016-07-18,73.2,76.09,73.05,73.58,25973
2016-07-19,74.36,74.36,72.61,72.91,4186
2016-07-20,73.98,73.98,72.31,72.55,3988
2016-07-21,72.61,72.99,71.2,71.65,4373
2016-07-22,72.18,74.16,71.6,73.53,7906
2016-07-25,74.2,74.76,73.7,74.03,8656
2016-07-26,74,74.48,71.2,71.6,6834
2016-07-27,73.16,73.16,71.4,71.74,2253
2016-07-28,71.83,74.3,71.83,73.56,10942
2016-07-29,74.2,78.68,73,75.52,119368
2016-08-01,74.01,75.32,71.64,72.46,12391
2016-08-02,72.8,72.87,70.23,70.97,4278
2016-08-03,70.8,71.36,70,70.36,2339
2016-08-04,70.42,71.56,70,70.22,2459
2016-08-05,70.62,72.2,70.61,71.1,2180
2016-08-08,71.04,72.8,70.2,71.1,3323
2016-08-09,71.2,71.6,70.04,70.61,1602
2016-08-10,70.64,71.08,65.12,69.5,2961
2016-08-11,68.3,69.72,68.3,69.45,2639
2016-08-12,69.64,73,68.8,69.79,3441
2016-08-16,70,70.21,68.23,69.36,812
2016-08-17,69.61,69.8,68.62,68.81,1477
2016-08-18,70.48,70.48,67.63,68.11,5538
2016-08-19,70.28,70.28,66.32,67.83,3443
2016-08-22,70.48,70.48,66.61,68.04,2431
2016-08-23,67.21,68.68,67.01,67.52,1015
2016-08-24,68,69.56,66.82,67.81,2787
2016-08-25,68.2,69.4,66.33,67.75,5206
2016-08-26,67.04,67.93,66.4,67.42,3216
2016-08-29,66.32,68.5,66,67.1,8418
2016-08-30,68.6,68.96,67.32,68.18,1587
2016-08-31,68.37,68.98,67.26,68.28,3231
2016-09-01,67.65,68.4,67.02,67.28,5495
2016-09-02,67.08,70.8,66.9,69.95,8690
2016-09-06,70.8,71,69,69.3,2805
2016-09-07,69.39,69.4,68,68.77,4066
2016-09-08,68.71,71.6,68.62,70.11,5322
2016-09-09,69.41,70.35,68.02,68.7,2391
