Date,Open,High,Low,Close,Volume
2025-09-29,81,81,76.95,78.3,1392000
2025-09-30,75.15,75.15,74.4,74.4,220800
2025-10-01,70.7,78.1,70.7,78.1,107200
2025-10-03,82,82,78.1,82,339200
2025-10-06,82,83.9,78.05,82.25,150400
2025-10-07,78.6,80,78.15,78.85,30400
2025-10-08,81.9,82.35,77.2,81.5,36800
2025-10-09,81,84,77.45,81.65,73600
2025-10-10,82.85,83.7,81.5,81.5,41600
2025-10-13,82,84.5,81.05,83.15,116800
2025-10-14,83,91,80.1,88.8,219200
2025-10-15,90,91,85.5,86.2,105600
2025-10-16,86.05,94.95,80.8,89.05,310400
2025-10-17,86.05,90,86.05,87.8,123200
2025-10-20,87.6,95,87.25,91.95,99200
2025-10-21,93.85,100,91.5,97.5,142400
2025-10-23,97.5,100,96.5,98.05,64000
2025-10-24,98.05,99,93.25,99,92800
2025-10-27,97.6,101.45,97.6,100.55,83200
2025-10-28,101,101,93.25,94.05,136000
2025-10-29,94.1,98,93.5,96,81600
2025-10-30,97.8,97.9,95,96.65,59200
2025-10-31,98,105.1,97,104.55,230400
2025-11-03,109,123.65,105.1,111.4,574400
2025-11-04,109.45,111.95,108.15,109.05,44800
2025-11-06,109,109,100.1,105.3,108800
2025-11-07,109.95,109.95,97,99.4,235200
2025-11-10,100.25,102.5,100,100,36800
2025-11-11,100,100,97,97.7,52800
2025-11-12,97.7,104.9,96.05,104.15,43200
2025-11-13,104.15,104.3,100.5,100.5,25600
2025-11-14,101,109,94,95.85,160000
2025-11-17,95.8,97.6,95,97.55,41600
2025-11-18,98.1,99.8,96.15,96.15,27200
2025-11-19,99.15,114.8,98.6,109.9,137600
2025-11-20,109.9,121,107,113.75,323200
2025-11-21,114.75,121.95,108.95,112.25,265600
2025-11-24,114.95,115,104.1,107.05,78400
2025-11-25,109.95,110.05,104.95,106.75,64000
2025-11-26,109,112.4,107.05,110.75,73600
2025-11-27,111,111.1,108,108.6,41600
2025-11-28,109.5,109.5,103,104.45,57600
2025-12-01,104.15,105,99,100.45,315200
2025-12-02,104,109.35,101,107.8,115200
2025-12-03,106,107,104,104.75,22400
2025-12-04,104.95,104.95,103,103.1,4800
2025-12-05,105,105,101.6,101.75,17600
2025-12-08,100.6,103.8,98.5,99,35200
2025-12-09,99.5,101.5,98.5,98.85,30400
2025-12-10,99,99.55,98.5,98.75,8000
2025-12-11,101,101.55,98,100.35,62400
2025-12-12,100,100.35,97.25,97.9,28800
2025-12-15,97.85,97.85,95.05,96.1,8000
2025-12-16,96.1,97,95.5,95.5,20800
2025-12-17,95,95,81.05,82.8,161600
2025-12-18,84.6,84.75,79.5,80.3,80000
2025-12-19,81.4,90,81.4,89.75,227200
2025-12-22,90,92.5,86.15,88.2,64000
2025-12-23,88.2,90.3,86.1,88,52800
2025-12-24,89.15,89.15,87.95,88,22400
2025-12-26,86.2,86.7,80.6,82.2,49600
2025-12-29,82.3,87.5,82.3,85.3,41600
2025-12-30,86,88,86,87.6,12800
2025-12-31,87.5,88,83,84.8,40000
2026-01-01,87.45,87.5,80.7,82.3,67200
2026-01-02,83.15,83.95,80,80.9,51200
2026-01-05,83.95,83.95,80.1,82,36800
2026-01-06,81.95,81.95,79.05,80.25,48000
2026-01-07,80.2,80.5,78,79.4,78400
2026-01-08,79.5,82,74.1,80.6,84800
2026-01-09,80,80,80,80,3200
2026-01-12,77.6,77.6,73.2,76.5,59200
2026-01-13,77,85,74.4,79,44800
2026-01-14,79,80,78.75,78.75,16000
2026-01-16,76.1,78.75,74.05,74.55,22400
2026-01-19,72.3,73.5,72.3,72.55,27200
2026-01-20,72.7,85.2,72.5,75.35,566400
2026-01-21,73.1,74.7,72,72.3,65600
2026-01-22,75.35,80,75,79.5,22400
2026-01-23,85.5,85.9,79.5,82.35,48000
2026-01-27,82.5,82.6,82.5,82.6,3200
2026-01-28,82,82,81.45,81.45,38400
2026-01-29,79.6,82.2,76.5,77.2,22400
2026-01-30,77.75,81.2,75.1,78,22400
2026-02-01,76,79.8,76,77.8,40000
2026-02-02,78.1,80.1,77,77.85,56000
2026-02-03,81,83.5,81,82,41600
2026-02-04,83.1,85.5,83,85.5,17600
2026-02-05,85,86.25,83,86,131200
2026-02-06,86.45,90,85,86.75,30400
2026-02-09,87.5,87.5,86,86.8,17600
2026-02-10,86.95,87,83,85.45,59200
2026-02-11,86.6,86.9,83,85.2,91200
