Date,Open,High,Low,Close,Volume
2022-12-08,21.1,22.15,20.05,22.15,2316000
2022-12-09,22.15,22.15,21.05,21.05,160000
2022-12-12,20,20,20,20,28000
2022-12-13,19,19,19,19,20000
2022-12-14,19.15,19.95,18.05,18.38,576000
2022-12-15,17.78,18.38,17.48,17.83,232000
2022-12-16,18,18.7,18,18.7,92000
2022-12-19,19.63,19.63,19,19.63,268000
2022-12-20,20.5,20.6,19.63,19.78,224000
2022-12-21,19,19.75,18.8,18.8,252000
2022-12-22,18,18,15.83,16.1,288000
2022-12-23,16.28,16.28,13.58,14.78,188000
2022-12-26,14.75,15.95,14.75,15.75,96000
2022-12-27,15.8,16,15.5,15.7,52000
2022-12-28,15.33,15.75,15.08,15.65,68000
2022-12-29,15.65,17.5,15.65,17.45,116000
2022-12-30,18.25,20.93,17.75,20.93,500000
2023-01-02,21,21,19.38,19.48,196000
2023-01-03,19.95,21.4,19.85,21.4,332000
2023-01-04,22.45,23.48,22.15,23,500000
2023-01-05,23.5,23.5,21,21.65,192000
2023-01-06,21,21.25,19.58,20.08,184000
2023-01-09,20.25,20.5,19.5,19.68,48000
2023-01-10,19.25,19.75,19,19.28,44000
2023-01-11,19.6,21.2,19.5,20.75,200000
2023-01-12,20.75,20.75,19.63,19.93,68000
2023-01-13,20,21.48,20,21.15,128000
2023-01-16,21.25,21.25,20.5,20.5,24000
2023-01-17,20.5,20.78,19.83,20.2,120000
2023-01-18,20.73,20.73,19.93,19.93,36000
2023-01-19,20.8,20.8,19.75,20.13,20000
2023-01-20,20.25,20.25,19.55,19.8,36000
2023-01-23,20.33,20.33,19.5,19.5,16000
2023-01-24,19.75,19.75,19,19.25,28000
2023-01-25,18.75,19,18.03,18.5,68000
2023-01-27,19.25,19.48,18.25,18.88,52000
2023-01-30,18.33,18.95,18.33,18.95,20000
2023-01-31,18.28,19.25,18.25,19.2,24000
2023-02-02,18.5,18.5,18.33,18.48,24000
2023-02-03,18.48,18.48,17.75,17.88,20000
2023-02-06,17.83,17.83,17.75,17.83,16000
2023-02-07,17.78,17.78,16.53,16.68,84000
2023-02-08,16.68,16.68,16.5,16.5,16000
2023-02-09,16.4,16.4,16.4,16.4,4000
2023-02-10,16.25,16.25,15.75,15.75,24000
2023-02-13,15.75,16.03,15.75,16.03,8000
2023-02-15,15.75,16.35,15.75,16.3,12000
2023-02-16,16.25,17.7,16.25,17.7,40000
2023-02-17,17.68,17.7,17.68,17.7,8000
2023-02-20,17.05,17.05,17,17,12000
2023-02-21,17,17,16.85,16.85,16000
2023-02-22,16.5,16.5,16.25,16.38,8000
2023-02-23,16.25,16.25,15.5,16.25,20000
2023-02-24,15.75,15.8,15.6,15.73,24000
2023-02-27,16.38,16.38,15.25,15.25,28000
2023-02-28,15.03,15.03,15,15,8000
2023-03-01,15.53,15.53,15.53,15.53,4000
2023-03-02,15.53,15.53,15.53,15.53,4000
2023-03-03,16,16.25,16,16.25,16000
2023-03-06,15.5,15.5,15.5,15.5,4000
2023-03-08,15.75,15.75,15.75,15.75,4000
2023-03-09,15.28,15.28,15.25,15.25,8000
2023-03-10,15.25,15.25,15.25,15.25,4000
2023-03-13,15,15,14.75,14.75,20000
2023-03-14,14.88,14.9,14.5,14.53,60000
2023-03-15,14.53,14.75,14.25,14.5,60000
2023-03-16,14.03,14.03,13.78,13.78,24000
2023-03-17,13.8,14,13.75,13.75,36000
2023-03-20,13.5,13.53,13.38,13.38,24000
2023-03-21,13.63,14.25,13.5,14.15,40000
2023-03-22,14,14.5,14,14.5,12000
2023-03-23,14.5,15.18,14.5,14.63,128000
2023-03-24,15.25,15.4,14.88,15.23,24000
2023-03-27,14.55,14.75,14.55,14.75,8000
2023-03-28,14.5,14.5,13.75,13.75,88000
2023-03-29,14.25,14.25,13,13.5,80000
2023-03-31,13.5,13.5,12.58,12.7,36000
2023-04-03,13.23,13.55,13.23,13.55,20000
2023-04-05,13.5,13.7,13.25,13.65,48000
2023-04-06,13.7,13.78,13.7,13.73,8000
2023-04-10,13.53,13.75,13.53,13.55,24000
2023-04-11,13.55,13.7,13.55,13.7,8000
2023-04-12,14,14.38,13.75,14.38,32000
2023-04-13,14.2,14.2,13.95,13.98,20000
2023-04-17,14.25,16.75,14.25,16.75,112000
