Date,Open,High,Low,Close,Volume
2017-11-24,8.1,8.1,7.29,8.01,810000
2017-11-27,8.29,8.49,7.14,7.72,112000
2017-11-28,7.62,7.66,7,7.17,92000
2017-11-29,7.38,7.38,7.06,7.16,24000
2017-11-30,7.36,7.36,7.07,7.13,22000
2017-12-01,7.13,7.2,7.06,7.16,16000
2017-12-04,7,7,6.75,6.91,42000
2017-12-05,6.92,6.92,6.75,6.79,6000
2017-12-06,6.75,6.93,6.75,6.75,6000
2017-12-07,6.81,6.81,6.75,6.75,6000
2017-12-08,6.87,6.9,6.75,6.75,14000
2017-12-11,6.75,6.88,6.75,6.88,12000
2017-12-12,6.88,6.88,6.5,6.63,12000
2017-12-13,6.75,6.75,6.5,6.58,8000
2017-12-15,6.62,6.62,6.38,6.38,14000
2017-12-19,6.3,6.3,5.88,6.08,24000
2017-12-20,5.69,6.05,5.69,5.99,14000
2017-12-21,5.97,5.97,5.97,5.97,14000
2017-12-22,5.66,6.63,5.5,6.63,40000
2017-12-26,6.26,6.74,6.26,6.53,12000
2017-12-27,6.28,6.99,6.25,6.72,38000
2017-12-28,7.3,7.3,6.88,6.94,12000
2017-12-29,6.94,6.94,6.94,6.94,2000
2018-01-01,6.76,6.99,6.75,6.81,18000
2018-01-02,6.75,6.75,6.41,6.41,6000
2018-01-03,6.69,6.69,6.69,6.69,2000
2018-01-04,6.44,6.51,6.43,6.51,8000
2018-01-05,6.56,6.56,6.56,6.56,2000
2018-01-08,6.58,6.58,6.53,6.53,6000
2018-01-09,6.63,6.63,6.63,6.63,2000
2018-01-10,6.32,6.44,6.32,6.44,4000
2018-01-11,6.34,6.34,6.34,6.34,2000
2018-01-12,6.3,6.38,6.25,6.31,16000
2018-01-15,6.75,7.58,6.75,7.58,112000
2018-01-16,8.41,9.01,7.2,7.2,66000
2018-01-17,7.2,7.38,7.13,7.23,16000
2018-01-18,7.31,7.31,7.06,7.06,6000
2018-01-19,6.75,6.75,6.75,6.75,4000
2018-01-22,6.63,6.63,6.63,6.63,4000
2018-01-29,6.5,6.5,6.5,6.5,2000
2018-01-31,6.07,6.07,6.07,6.07,2000
2018-02-02,6,6,5.5,5.63,12000
