Date,Open,High,Low,Close,Volume
2025-07-07,112,117.6,106.4,117.6,2390000
2025-07-08,113.5,123.45,113.5,122.6,460000
2025-07-09,124.5,128.7,117,128.7,406000
2025-07-10,130.9,135.1,130,135.1,529000
2025-07-11,141.85,141.85,141.85,141.85,61000
2025-07-14,147,148,136,139.6,480000
2025-07-15,138.05,138.05,132.65,136.05,122000
2025-07-17,128,135.75,123,132.8,213000
2025-07-18,132,135,129.05,130.65,99000
2025-07-21,130,143,130,141.25,264000
2025-07-22,141.95,144.65,134.5,137.35,139000
2025-07-23,138.55,141,135,135.6,66000
2025-07-24,134.6,140.9,128.2,138.85,183000
2025-07-25,137,137,131.35,132.65,45000
2025-07-28,131,135,131,132,29000
2025-07-29,132,134.85,128.6,129.8,58000
2025-07-30,130.6,133.5,125.25,128.05,41000
2025-07-31,125.55,133.85,125.55,131.05,60000
2025-08-01,130.1,132.9,128.8,130.7,22000
2025-08-04,130,130.8,127.1,128.75,124000
2025-08-05,128.7,129,126,127.95,254000
2025-08-06,127.95,132.4,124.6,130.35,195000
2025-08-07,127.1,129,125.5,127.95,157000
2025-08-08,128,128,122.5,124.5,40000
2025-08-11,125,127.55,120.05,125.6,41000
2025-08-12,124,124,118.5,119,75000
2025-08-13,119.6,125.85,119.6,124.25,59000
2025-08-14,123.1,125,123,123.5,10000
2025-08-18,126.25,142.8,125.5,139.5,346000
2025-08-19,141.8,147.95,141,145.45,296000
2025-08-20,146,147.9,145,145.45,183000
2025-08-21,146.65,146.65,139,140.45,67000
2025-08-22,140,147,137.1,143.6,57000
2025-08-25,146.55,146.55,141.55,144.1,63000
2025-08-26,141.5,143.25,141,142.5,21000
2025-08-28,140.05,141.45,139,141.45,11000
2025-08-29,138,140.45,136.25,136.5,38000
2025-09-01,136.2,137,135.6,136.5,15000
2025-09-02,137.5,140,135.1,135.5,21000
2025-09-03,138.9,138.9,135,135.2,13000
2025-09-04,136,136,133.1,134,27000
2025-09-05,130.1,136.3,130.1,136.3,18000
2025-09-08,134,145,134,142.05,113000
2025-09-09,144,144,140.5,141.25,13000
2025-09-10,142,142,139.05,141,14000
2025-09-11,141,141,138.75,139,17000
2025-09-12,139,139,136.5,137.5,26000
2025-09-15,140,140,133.15,133.5,50000
2025-09-16,134.5,136,134.4,134.95,11000
2025-09-17,136.5,137,132.8,136.95,15000
2025-09-18,136.95,136.95,132.1,134.2,26000
2025-09-19,135.1,136,133.5,136,20000
2025-09-22,135.05,135.05,133.05,133.05,7000
2025-09-23,136,138.45,132.15,136.4,14000
2025-09-24,135.05,135.05,130.5,131.55,22000
2025-09-25,133.5,133.5,130.2,132.15,14000
2025-09-26,131.5,134.95,131.5,131.8,21000
2025-09-29,131.6,134,131.6,133.8,11000
2025-09-30,130,135.8,129.2,134.05,72000
2025-10-01,135,140.95,134.75,139.05,53000
2025-10-03,140.2,143.9,139,141.15,33000
2025-10-06,141,141,137.5,139.95,56000
2025-10-07,139,139,135.4,135.95,156000
2025-10-08,135.95,136.3,133.5,136,68000
2025-10-09,137.75,137.85,124.2,129.75,60000
2025-10-10,136.8,136.8,126.95,128.75,39000
2025-10-13,132,134.85,117.95,131.05,190000
2025-10-14,131,134,128,129.25,14000
2025-10-15,129.9,130,127,129.35,33000
2025-10-16,132.5,135,127,132.75,45000
2025-10-17,133,135.45,133,134.9,37000
2025-10-20,134.9,136,134,135.6,55000
2025-10-21,136.5,137.85,136.5,136.9,10000
2025-10-23,137.85,139.7,132,132.7,27000
2025-10-24,135.25,135.25,132,132.4,12000
2025-10-27,130.6,133.4,129.25,132.6,32000
2025-10-28,130.05,132.35,130,131.05,13000
2025-10-29,133,133,131.5,132,11000
2025-10-30,129.5,132.7,129.5,132.7,3000
2025-10-31,134.9,134.9,132,133.85,28000
2025-11-03,134.9,139.95,131.05,139.2,107000
2025-11-04,136.8,148.75,136.8,143.35,315000
2025-11-06,137,137,119.5,125.25,343000
2025-11-07,125.75,127.95,125.25,126.75,22000
2025-11-10,122.65,127.7,122.65,125.75,20000
2025-11-11,125.15,126.45,124,125.8,14000
2025-11-12,126,126.45,124,125.15,26000
2025-11-13,125.5,125.5,122.1,123.15,29000
2025-11-14,125.95,125.95,122.6,123.35,13000
2025-11-17,123.05,125,122,123,21000
2025-11-18,124,124,122.15,123.8,12000
2025-11-19,123,123.1,122.55,122.85,10000
2025-11-20,120.3,122.95,120,121.3,14000
2025-11-21,120.1,121,120,120,17000
2025-11-24,117.5,118.5,117.5,118.5,7000
2025-11-25,118.5,119.9,117.5,118.7,16000
2025-11-26,117,118,117,117,14000
2025-11-27,117,118.6,116,117.7,11000
2025-11-28,118.9,118.9,118,118.5,6000
2025-12-01,117,117,117,117,6000
2025-12-02,116,116.5,97.65,104.75,313000
2025-12-03,104.3,104.95,100.2,103.5,68000
2025-12-04,108.85,111.9,107,110.15,33000
2025-12-05,111.9,111.9,110,110,3000
2025-12-08,111,113,111,112.5,9000
2025-12-09,91,114,91,113.25,12000
2025-12-10,112.7,112.75,107.6,110,9000
2025-12-11,114,114,105,106.2,44000
2025-12-12,108,110.2,108,110.1,6000
2025-12-15,110.3,111,106.5,106.5,6000
2025-12-16,111.95,111.95,107,107.05,10000
2025-12-17,110.5,110.5,106,106,5000
2025-12-18,106,106,103,103,14000
