Date,Open,High,Low,Close,Volume
2005-02-02,63.57,63.96,62,63.69,39596
2005-02-03,63.8,66.4,63.64,65.91,40363
2005-02-04,66,67.2,65.6,65.68,17613
2005-02-07,65.8,66.84,65.6,66.44,26806
2005-02-08,66.07,66.8,65.55,65.65,20674
2005-02-09,65.95,67.6,65.95,66.9,20491
2005-02-10,71.6,72.2,67.02,69.3,62338
2005-02-11,69.99,71.6,69.22,70.25,31392
2005-02-14,70,72.8,70,71.96,15477
2005-02-15,72.78,72.8,71.01,72.07,15306
2005-02-16,71.6,74.6,71.6,73.65,22371
2005-02-17,74.36,74.36,73.02,73.8,31448
2005-02-18,73.8,75,73.44,74.21,23784
2005-02-21,74.8,75.55,73.4,73.77,33055
2005-02-22,73.95,74.4,73,73.55,21247
2005-02-23,73.55,74.4,70.06,72.26,51208
2005-02-24,72.8,73.8,69,70.45,37384
2005-02-25,71.6,72,68.8,69.36,42454
2005-02-28,69.8,75.28,67,67.9,22864
2005-03-01,68.8,69,67,67.54,15987
2005-03-02,67.54,69.02,67.22,68.42,32762
2005-03-03,68.6,71.72,68.4,68.95,16542
2005-03-04,69,70.4,68,68.14,20345
2005-03-07,68.8,68.8,66.78,67.67,17192
2005-03-08,67.08,67.6,66,66.28,19518
2005-03-09,65.4,68.4,65.4,67.51,19847
2005-03-10,78,78.8,66.4,66.96,21045
2005-03-11,67.6,68.55,64.41,66.12,27342
2005-03-14,66.6,67,65.23,66.27,23913
2005-03-15,63,67.6,63,65.18,24980
2005-03-16,65.6,66.4,63.74,65.36,23106
2005-03-17,65.6,66.4,64.41,65.94,35360
2005-03-18,68.4,68.4,65.02,66.79,35247
2005-03-21,68,68,66.2,66.74,14866
2005-03-22,66.94,67.4,65.56,66.65,35853
2005-03-23,66.82,67.58,63.06,65.82,37359
2005-03-24,66.8,69.8,63.13,64.36,39717
2005-03-28,64.8,67,64.8,65.46,26852
2005-03-29,66.6,67.2,63.4,65.93,37587
2005-03-30,66.8,66.8,64.34,65.41,20740
2005-03-31,66.6,66.7,65.6,66.03,19007
2005-04-01,67,71.52,66,69.19,26663
2005-04-04,71.38,71.4,68,68.44,27525
2005-04-05,68.9,69.6,64.8,67.35,21558
2005-04-06,67.84,69,66.8,67.49,26861
2005-04-07,67.76,68.44,66.85,67.54,17476
2005-04-08,67.8,68.3,67.2,67.45,23629
2005-04-11,67.6,67.8,65.81,66.14,9563
2005-04-12,66.6,67.39,65.6,66.8,10752
2005-04-13,67.4,67.78,66.51,67.3,12929
2005-04-15,67,67.74,64.45,65.8,14256
2005-04-18,66.9,67,64.4,65.34,11230
2005-04-19,65.8,66.6,63.62,64.93,9611
2005-04-20,65,67.38,64.06,65.04,13067
2005-04-21,65,67,64.61,65.39,12990
2005-04-22,65.55,66.98,64.8,65.2,9981
2005-04-25,66.38,66.7,65.48,66.4,19078
2005-04-26,66.8,67.2,65.28,66.48,10197
2005-04-27,66.57,66.6,65.82,66.15,5696
2005-04-28,66.6,66.65,65,65.29,8715
2005-04-29,65.78,65.8,62.2,63.29,9331
2005-05-02,63.95,64,61.61,63.11,17236
2005-05-03,65.58,65.6,62.4,63.96,16015
2005-05-04,63.95,64.4,63.41,63.69,14002
2005-05-05,62.21,64.84,62.21,64,8542
2005-05-06,64.7,67.6,63.08,63.66,26145
2005-05-09,64.93,64.93,62.6,63.12,13121
2005-05-10,65.38,65.38,62.6,63.02,11426
2005-05-11,63.7,63.7,62,62.4,13973
2005-05-12,62.9,63.54,62.01,62.55,14463
2005-05-13,63,63.68,62.6,62.87,13822
2005-05-16,63.56,64.99,63,63.81,14363
2005-05-17,63.9,65,63.2,64.48,14226
2005-05-18,64.8,64.82,63.22,64.28,11039
2005-05-19,64.99,64.99,63.61,64.2,15008
2005-05-20,65.3,65.3,63.98,64.51,19564
2005-05-23,63.01,64.95,63.01,64.13,10345
2005-05-24,64.4,64.8,63.7,64.07,50998
2005-05-25,64.78,70.44,64,68.44,155674
2005-05-26,69.6,70.95,69,69.42,47387
2005-05-27,69.5,70.4,67.2,68.67,21690
2005-05-30,69.2,69.96,68.2,69.01,22209
2005-05-31,69.3,71.36,69.3,70.67,37517
2005-06-01,71,72.8,71,72.32,25771
2005-06-02,72.4,78.36,72.4,75.15,97427
2005-06-03,76.28,77.8,75.6,76.35,43963
2005-06-04,76.4,78.3,76.4,77.27,22304
2005-06-06,78.56,78.56,75.22,76.24,40298
2005-06-07,78.8,79,74.22,75.82,29866
2005-06-08,76.94,77,75.6,76.58,83216
2005-06-09,76.8,76.96,73,74.66,27620
2005-06-10,75,75,74.03,74.65,20519
2005-06-13,77,77,74,74.33,14424
2005-06-14,72,75,72,73.82,15665
2005-06-15,72.4,76,72.4,74.66,78617
2005-06-16,77,77,71.06,73.84,16252
2005-06-17,73.96,74,72,72.8,29602
2005-06-20,72.45,74,70.33,73.12,23675
2005-06-21,72.3,73.8,71.78,72.67,23664
2005-06-22,73,78.2,73,74.38,55160
2005-06-23,76,79,75.4,78.79,222038
2005-06-24,78,81,77.65,80.4,45544
2005-06-27,81.2,84.4,81,84.03,157003
2005-06-28,84.8,86.38,83,83.81,39992
2005-06-29,83.6,83.6,81.02,82.1,13837
2005-06-30,82.79,83,81.8,82.24,18056
2005-07-01,82.4,83.56,82.11,82.31,6095
2005-07-04,83.3,84,81.64,82.17,10308
2005-07-05,83,83.8,82.15,82.79,23801
2005-07-06,85.98,85.98,83.4,84.87,18502
2005-07-07,85.88,89,84.99,86.19,31880
2005-07-08,86.8,87.21,85.6,86.18,21405
2005-07-11,87.8,90,87.8,89.41,21389
2005-07-12,90,90,87.6,89.37,15726
2005-07-13,89.4,90,88,88.47,16522
2005-07-14,89,89,86.07,87.39,22620
2005-07-15,87.8,88,84.7,87.31,16558
2005-07-18,86.41,88.89,85.6,87.04,29212
2005-07-19,87.98,88.2,86.27,87.23,52541
2005-07-20,87.2,87.99,85.6,86.9,32436
2005-07-21,87.58,88.8,87.21,88.23,38197
2005-07-22,84.2,89.6,84.01,87.68,24448
2005-07-25,88.58,88.8,84.8,85.99,51596
2005-07-26,85.2,88.4,85.2,87.03,28310
2005-07-27,87.4,87.99,86.34,87.6,31204
2005-07-29,88.8,88.8,85,87.64,74111
2005-08-01,87,88.2,87,87.75,25918
2005-08-02,88,88.8,86,88.12,61840
2005-08-03,88.6,88.98,88,88.14,35439
2005-08-04,88.5,89.4,88,89.09,36750
2005-08-05,89,89.88,88.24,89.19,33818
2005-08-08,88.8,89.6,88.42,89.01,71594
2005-08-09,88.6,92.79,88.6,91.94,40238
2005-08-10,93.88,93.88,90.95,91.95,33241
2005-08-11,93.88,95,91.81,92.68,40917
2005-08-12,92.68,92.8,90.2,91.54,23475
2005-08-16,91,93.6,91,92.16,18721
2005-08-17,92.8,95.8,91.44,95.34,45744
2005-08-18,95.26,101.4,95.26,100.61,75602
2005-08-19,104,111.4,101.01,110.44,84889
2005-08-22,114,121.56,113.6,116.14,154829
2005-08-23,119,119,111,112.03,40582
2005-08-24,111,111.6,109,110.07,72559
2005-08-25,91.99,112,91.99,111.33,32452
2005-08-26,115.4,116.99,111.6,114.38,25718
2005-08-29,114.02,117.95,112.4,114.35,32092
2005-08-30,115,119,114.8,118.45,35197
2005-08-31,119.16,121.73,117,118.16,34900
2005-09-01,120.45,121.2,117.26,119.8,22434
2005-09-02,120,125.8,119,124.96,64589
2005-09-05,125,143,125,135.82,111376
2005-09-06,140,146,137,139.14,87002
2005-09-08,141,144.98,135.4,136.69,63712
2005-09-09,140.76,141.6,137.6,139.75,45366
2005-09-12,142,150,135.22,137.96,165232
2005-09-13,142.8,142.8,138.26,140.65,38546
2005-09-14,142.98,142.98,137.2,137.84,31238
2005-09-15,140,140,138.2,138.94,24499
2005-09-16,140,141.19,138,140.27,36160
2005-09-19,142.4,142.98,138.2,139.09,17159
2005-09-20,160,160,121.2,139.2,29069
2005-09-21,136,138.8,130.6,133.44,30097
2005-09-22,134.2,136,122,126.15,58786
2005-09-23,128,136.4,122,134.21,80149
2005-09-26,138,141,129.56,137.71,46431
2005-09-27,139,140,135.2,138.87,47261
2005-09-28,142,148.9,139.3,147.15,139156
2005-09-29,151.78,153.6,138,141.28,117307
2005-09-30,142.04,148,138.02,140.32,71012
2005-10-03,141,142.58,139.8,140.22,17599
2005-10-04,143.8,146,141.6,143.31,48427
2005-10-05,143.76,143.76,141.5,142.17,15077
2005-10-06,140,141.92,139.42,140.34,8019
2005-10-07,140.8,141.87,138,139.31,14445
2005-10-10,140.8,141.4,137.6,138.33,12238
2005-10-11,138.4,138.6,136,137.36,5094
2005-10-13,139.55,139.8,135.4,137.07,8352
2005-10-14,137.2,137.76,132,133.38,9316
2005-10-17,136.4,138,130,131.24,16304
2005-10-18,128.2,132.2,128.2,130.18,15730
2005-10-19,139.74,139.74,116.33,118.36,25807
2005-10-20,122,123.98,118.6,119.37,20416
2005-10-21,121,124.6,117.1,121.77,17341
2005-10-24,123,124.87,121,123.42,14477
2005-10-25,125,125,118.42,122.29,53233
2005-10-26,125.2,125.2,119.04,120.72,10306
2005-10-27,124.78,124.78,118.24,119.18,14183
2005-10-28,120,120,116.42,117.52,18204
2005-10-31,125,125.98,116.45,120.09,6296
2005-11-01,112.03,124.02,112.03,120.84,2638
2005-11-02,116.45,123.8,112.4,121.01,13185
2005-11-07,124.78,125.2,121.4,124.51,52269
2005-11-08,124,127.93,123.6,127.12,16172
2005-11-09,128.4,129.38,126.24,127.15,13523
2005-11-10,128.41,128.41,126,126.89,16373
2005-11-11,127,131,127,129.91,30132
2005-11-14,129.6,131,129.11,130.35,26738
2005-11-16,128,132,128,130.68,54495
2005-11-17,132,132.98,130.8,132.44,24646
2005-11-18,128.22,134.8,128.22,133.83,13175
2005-11-21,135.4,136.4,131.28,132.11,93318
2005-11-22,135,135,131.4,132.05,52275
2005-11-23,133.36,134,131.51,132.49,30213
2005-11-24,133.88,133.88,132.85,133.63,76701
2005-11-25,134,135.94,133,134.02,160874
2005-11-26,134.6,135.6,128.4,134.58,29414
2005-11-28,135.6,136,134,134.45,25805
2005-11-29,134.21,135,133.65,133.91,50280
2005-11-30,136,136,133.1,133.87,38570
2005-12-01,135.6,136,133.8,135.08,8647
2005-12-02,135.4,136,133.96,134.85,63015
2005-12-05,136,136,134.74,135.12,19048
2005-12-06,135.8,136,134.2,135.64,12850
2005-12-07,136,136,134.8,135.23,28265
2005-12-08,135.55,135.59,134.41,135.23,12934
2005-12-09,135.9,138.8,134.6,135.95,23010
2005-12-12,136,139.6,135.87,137.62,30249
2005-12-13,139.99,139.99,137.4,138.49,12273
2005-12-14,139.79,142,138,139.2,269152
2005-12-15,140,141.58,139,139.74,268400
2005-12-16,139.6,140.37,138.55,138.91,30560
2005-12-19,141.5,141.5,139,140.27,28045
2005-12-20,140.8,140.98,138.92,140.04,11495
2005-12-21,141.6,141.6,139.6,140.34,27085
2005-12-22,140,141.58,140,140.81,16535
2005-12-23,138.02,141.4,138.02,140.16,10941
2005-12-26,116,141.17,116,138.54,7911
2005-12-27,142.58,142.58,139.3,140.16,9077
2005-12-28,142,142,139.1,140.3,13684
2005-12-29,140.2,141,140,140.67,11541
2005-12-30,134.01,146.2,134,143.95,32601
2006-01-02,147,149.7,144.63,148.9,31013
2006-01-03,152.2,153.6,149,150.35,35118
2006-01-04,152.6,152.6,148.8,149.24,19349
2006-01-05,151,152.4,148.62,150.93,64613
2006-01-06,153,156.8,150.5,155.35,275791
2006-01-09,156,159.3,153.25,156.15,183252
2006-01-10,157,169.3,156.75,165.8,520121
2006-01-12,166.5,173.8,163,170.75,332811
2006-01-13,172.8,174.3,168.7,169.3,189763
2006-01-16,171.7,171.7,164.1,167.5,98602
2006-01-17,170,170,162.6,163.75,54033
2006-01-18,163.15,164,159,159.7,68944
2006-01-19,161,165,160.5,162.6,59643
2006-01-20,165.8,170,158.75,160.65,70122
