Date,Open,High,Low,Close,Volume
2024-12-03,247,259.35,247,259.35,412000
2024-12-04,272.3,272.3,272.3,272.3,149000
2024-12-05,285,285.9,260.1,285.9,1044000
2024-12-06,292,300.15,290,300.15,171000
2024-12-09,306.15,308.9,285.15,301.95,458000
2024-12-10,290,299.95,286.85,296.85,164000
2024-12-11,290.5,295,282,282,155000
2024-12-12,270,280,267.9,271.5,228000
2024-12-13,267,280,260,276.6,132000
2024-12-16,276.6,280,272,274.25,64000
2024-12-17,280,294.7,271,274.55,205000
2024-12-18,274.05,278,267,268,88000
2024-12-19,262,272,257.1,266.6,62000
2024-12-20,271.95,279,265,273.5,89000
2024-12-23,328.2,328.2,303.2,328.2,449000
2024-12-24,340.1,348.7,317.55,321.05,228000
2024-12-26,320,327.4,283,303,212000
2024-12-27,305,327.95,299,309.8,71000
2024-12-30,315.95,315.95,297,303.6,42000
2024-12-31,301.5,317.95,300.1,313.15,60000
2025-01-01,315,345.4,315,336.9,140000
2025-01-02,336.9,366.6,332,359.35,145000
2025-01-03,375,383.85,351.05,358.15,70000
2025-01-06,345,353.8,328,333.8,111000
2025-01-07,344,351,336.05,341.15,32000
2025-01-08,340,344,332.05,342.2,15000
2025-01-09,346.95,346.95,331,331.75,20000
2025-01-10,331.75,338.25,322,331,22000
2025-01-13,325.05,325.05,305,309.4,57000
2025-01-14,301,324,301,304.15,89000
2025-01-15,316.8,320,306.25,307.65,25000
2025-01-16,310,314,303,306.45,40000
2025-01-17,309.8,330,303.6,309.3,78000
2025-01-20,323.7,339,315,317,18000
2025-01-21,325,325,308.05,309.75,22000
2025-01-22,312,312,296,304.2,28000
2025-01-23,303.5,308.95,300.55,304.25,15000
2025-01-24,295,295.1,295,295,6000
2025-01-27,295,295,270,278.7,35000
2025-01-28,276,285.85,266,277,24000
2025-01-29,275,296.9,275,294.1,18000
2025-01-30,294.5,312.5,294.5,295.35,17000
2025-01-31,298,303,276.05,296.05,21000
2025-02-01,304.75,305,295.1,302.25,16000
2025-02-03,296.5,299.95,287.05,297.45,8000
2025-02-04,299.05,299.05,295,299,4000
2025-02-05,299,299,292.75,293.6,8000
2025-02-06,296,296,287,287,6000
2025-02-07,285,286.05,267.25,271.65,64000
2025-02-10,269,269,253.55,260,28000
2025-02-11,247,251.55,241,242.1,24000
2025-02-12,242.1,261.65,242.1,259.8,23000
2025-02-13,264.8,266,261,264.95,7000
2025-02-14,265.5,265.5,250,259.3,7000
2025-02-17,249,250.5,242.1,247.65,14000
2025-02-18,253.95,253.95,242.4,251.2,36000
2025-02-19,251.2,285,251.2,279.85,24000
2025-02-20,273.4,277.95,273,276.65,5000
2025-02-21,284.75,284.75,272.15,276.35,10000
2025-02-24,272.05,273,268,273,13000
2025-02-25,276.5,276.5,264,264,12000
2025-02-27,257.25,257.25,245,248.9,22000
2025-02-28,248,248,237.45,237.85,16000
2025-03-03,242,259,229,241.8,24000
2025-03-04,235.85,242.7,235.85,237.15,16000
2025-03-05,245,254,245,250.05,28000
2025-03-06,257,257,248,250.7,45000
2025-03-07,250,261.8,248.15,248.2,22000
2025-03-10,248.05,248.05,232,232.65,37000
2025-03-11,227.05,228,219.1,221.5,51000
2025-03-12,225,230,206,207.1,83000
2025-03-13,205,208.5,205,206,13000
2025-03-17,198.05,206,185.3,189.6,95000
2025-03-18,191.1,198.95,190.05,195.9,56000
2025-03-19,196,211,196,209.7,43000
2025-03-20,209.7,213.8,203,204,57000
2025-03-21,205.5,209,204,207.9,31000
2025-03-24,205.1,211.95,198.8,200.25,54000
