Date,Open,High,Low,Close,Volume
2003-09-05,23.5,24.75,23.1,23.4,30394
2003-09-08,23,25,23,23.05,33170
2003-09-09,20,23.25,20,21.9,48871
2003-09-10,22,22.5,21.05,21.4,51796
2003-09-11,20.05,24.75,20.05,22.55,132159
2003-09-12,21,23.4,21,22.05,30588
2003-09-15,20.5,21.95,20.5,20.65,39431
2003-09-16,19.5,21.45,19.5,21.1,24615
2003-09-17,20,22.7,20,21.6,57747
2003-09-18,21,21.25,20.3,20.55,42987
2003-09-19,18,20.95,18,20,37577
2003-09-22,17,20,17,19.85,8848
2003-09-23,17,20.15,17,19.8,16694
2003-09-24,17,20.4,17,20.15,13872
2003-09-25,17,21.85,17,20.1,36598
2003-09-26,17,21.9,17,19.85,14195
2003-09-29,19,20.7,19,20,39953
2003-09-30,17,20.5,17,20.15,25567
2003-10-01,18,20.4,18,20,23050
2003-10-03,18.6,20.6,18.6,20.1,12432
2003-10-06,17,21.85,17,21.5,62153
2003-10-07,18.85,22.5,18.85,20.9,51271
2003-10-08,17,21.2,17,20.4,23689
2003-10-09,20.95,21,19.5,20.7,38002
2003-10-10,17,20.75,17,20.3,32731
2003-10-13,17.1,21,17.1,20.5,22918
2003-10-14,19,20.75,19,20.5,34259
2003-10-15,19,20.75,19,19.95,29204
2003-10-16,18,20.75,18,20.1,55644
2003-10-17,17,20.3,17,20.1,36649
2003-10-20,17.65,20.35,17.65,20.2,26863
2003-10-21,18.55,20.5,18.55,20.1,28157
2003-10-22,18.5,20.4,18.5,19.9,24946
2003-10-23,18.6,20,18.6,19.55,9137
2003-10-24,19.95,19.95,19.3,19.5,11851
2003-10-25,20,20.5,19.15,20.3,9400
2003-10-27,19.75,20.4,19.75,20.05,24952
2003-10-28,17,20.25,17,19.95,16392
2003-10-29,18.1,19.8,18.1,19.5,8788
2003-10-30,18,19.8,18,19.35,9715
2003-10-31,18.3,20.25,18.3,20,18228
2003-11-03,18,22.5,18,22.25,95208
2003-11-04,23.1,24.5,20.55,20.9,123712
2003-11-05,18,21.95,18,21.15,33024
2003-11-06,18.2,21.75,18.2,21.25,15374
2003-11-07,19,22.5,19,22,52412
2003-11-10,23.25,26.4,22,25.45,233060
2003-11-11,26,26,23.5,23.75,152978
2003-11-12,22.75,25,22.75,23.85,74833
2003-11-13,24.25,24.65,22.1,22.35,41447
2003-11-14,19,23,19,21.9,30160
2003-11-15,22.8,23,22.1,22.85,14359
2003-11-17,23.4,23.75,22.65,23.35,27406
2003-11-18,20,23.8,20,23,55589
2003-11-19,21.6,23.8,21.6,23.05,26989
2003-11-20,21,23.7,21,22.1,41640
2003-11-21,20,22.25,20,21.75,19245
2003-11-24,19,22.7,19,22.35,31670
2003-11-25,19,23.7,19,23.05,59582
2003-11-27,20,23.75,20,23.4,54418
2003-11-28,21,24,21,23.65,52990
2003-12-01,21.05,25.4,21.05,24.35,133906
2003-12-02,25.9,25.9,23.6,24.15,80279
2003-12-03,22,28,22,25.65,271928
2003-12-04,25,27.35,25,26.3,247212
2003-12-05,24.5,27.75,24.5,24.75,143049
2003-12-08,22,25.85,22,25.5,46666
2003-12-09,23,28,23,26.95,172993
2003-12-10,25.25,28.8,25.25,27.75,524944
2003-12-11,27.6,30.65,27,27.75,382289
2003-12-12,24,28.9,24,26.9,136479
2003-12-15,27,28,26.7,27.15,114678
2003-12-16,24,27.5,24,25.95,103269
2003-12-17,23,26.7,23,25.5,56688
2003-12-18,22.45,25.95,22.45,25.55,98447
2003-12-19,22.95,26.95,22.95,25.95,128470
2003-12-22,23.05,26.9,23.05,26.45,161957
2003-12-23,24.05,28.6,24.05,26.8,312068
2003-12-24,28.25,28.25,26.3,26.65,114691
2003-12-26,24.25,27.5,24.25,26.9,66523
2003-12-29,26.65,28.75,26.65,27.85,207232
2003-12-30,25,29,25,26.95,165268
2003-12-31,32.3,32.3,25.5,26.1,107536
2004-01-01,25.5,28.4,25.5,27.4,116570
2004-01-02,24,29.5,24,28.3,254694
2004-01-05,26,29.4,26,27.4,128200
2004-01-06,24,28,24,26.15,96354
2004-01-07,22,28.5,22,25.8,68394
2004-01-08,24,28.4,24,26.15,93075
2004-01-09,24.25,27.5,24.25,25.9,70435
2004-01-12,25,26.3,24.5,24.7,64184
2004-01-13,24.25,25.25,24.25,24.55,40240
2004-01-14,22,25.25,22,25.1,35235
2004-01-15,23.5,25.4,23.5,24.25,28476
2004-01-16,21,25,21,23.35,29750
2004-01-19,21.05,23.45,21.05,22.95,50057
2004-01-20,20,24.5,20,22.1,62047
2004-01-21,20,22.35,19.9,20,100392
2004-01-22,21.2,21.3,19.8,20.4,89066
2004-01-23,18,21.9,18,21.65,35896
2004-01-27,20.7,22.9,20.7,22.15,50676
2004-01-28,22.25,22.5,20,20.75,54124
