Date,Open,High,Low,Close,Volume
2003-09-05,195.15,199.44,195.15,196.4,27094
2003-09-08,198.19,206.08,194.44,200.46,47106
2003-09-09,205.92,213.1,199.05,200.81,50391
2003-09-10,199.05,202.95,192.81,195.97,18393
2003-09-11,194.37,200.22,193.59,196.98,18665
2003-09-12,198.58,199.83,191.24,193.23,15711
2003-09-15,192.02,195.93,188.12,189.61,13013
2003-09-16,188.51,193.51,187.34,189.53,17225
2003-09-17,193.59,199.83,189.68,190.66,18290
2003-09-18,191.91,192.81,184.41,185.82,10253
2003-09-19,191.24,191.24,181.53,182.31,20495
2003-09-22,185,189.29,179.96,182.11,21784
2003-09-23,181.88,183.44,179.54,182.89,11357
2003-09-24,183.44,185.78,179.54,181.29,13631
2003-09-25,181.1,182.66,179.54,181.06,10208
2003-09-26,181.41,186.56,181.41,182.77,12228
2003-09-29,186.4,187.34,183.83,184.96,11589
2003-09-30,185.78,188.32,179.96,181.25,13564
2003-10-01,185,185.39,179.54,180.71,11843
2003-10-03,185,185.78,177.97,179.5,29240
2003-10-06,181.88,183.44,178.75,179.46,29756
2003-10-07,181.64,181.88,177.39,179.38,12622
2003-10-08,181.1,181.1,175.63,177.35,10669
2003-10-09,177.97,212.83,177.97,212.83,194725
2003-10-10,222.23,245.11,222.23,236.09,411022
2003-10-13,239.64,251.19,236.91,243.15,253831
2003-10-14,245.42,247.72,223.48,228.13,146902
2003-10-15,230.27,241.2,224.81,232.69,131941
2003-10-16,239.95,239.95,224.65,226.92,66750
2003-10-17,231.56,235.74,202.95,228.56,102882
2003-10-20,230.78,237.22,218.99,224.3,79995
2003-10-21,230.18,235.83,221.49,224.84,52693
2003-10-22,229.31,232.7,219.32,221.23,33416
2003-10-23,221.71,224.1,208.47,209.68,28809
2003-10-24,214.37,216.98,205.86,214.15,50026
2003-10-25,217.15,224.97,217.15,223.32,16273
2003-10-27,221.49,224.97,214.55,215.5,31453
2003-10-28,214.89,214.89,208.47,209.77,48743
2003-10-29,210.2,227.57,210.2,217.02,85892
2003-10-30,218.63,222.19,213.68,215.11,23657
2003-10-31,218.02,221.45,215.41,218.98,31120
2003-11-03,221.49,231.92,219.76,227.49,58868
2003-11-04,231.7,238.74,223.67,224.88,51867
2003-11-05,228.01,228.01,217.15,218.63,24743
2003-11-06,221.49,225.84,217.63,218.58,26571
2003-11-07,221.49,223.97,216.72,217.8,21937
2003-11-10,215.41,218.76,214.55,215.94,4576
2003-11-11,216.28,218.45,211.07,211.59,20351
2003-11-12,211.51,218.76,211.51,214.33,37920
2003-11-13,216.28,230.53,216.28,222.71,106444
2003-11-14,218.89,229.31,218.89,223.23,46918
2003-11-15,217.15,227.57,217.15,226.71,15941
2003-11-17,226.27,229.22,221.49,224.14,16704
2003-11-18,224.1,248.68,222.36,246.25,110631
2003-11-19,247.55,264.27,243.43,256.37,188554
2003-11-20,282.3,282.3,251.03,254.54,153706
2003-11-21,257.11,267.53,245.12,248.51,178292
2003-11-24,259.45,263.19,248.38,252.72,44930
2003-11-25,258.84,263.19,252.37,253.81,49855
2003-11-27,257.11,260.15,251.9,254.41,31269
2003-11-28,256.24,305.31,254.07,305.31,442589
2003-12-01,312.7,319.13,297.24,301.28,159857
2003-12-02,312.44,338.76,299.06,305.92,152370
2003-12-03,307.49,311.7,299.76,301.49,72279
2003-12-04,304.01,307.49,291.29,294.24,49145
2003-12-05,295.33,298.5,269.48,273.52,64195
2003-12-08,273.61,281.17,265.01,269.75,57362
2003-12-09,271.87,303.92,271.87,299.97,201998
2003-12-10,301.1,301.41,289.25,294.11,58554
2003-12-11,294.46,305.49,291.85,296.28,65881
2003-12-12,302.8,322.51,296.63,305.58,165838
2003-12-15,308.35,320.43,304.88,309.31,76306
2003-12-16,309.22,324.68,302.27,308.14,125363
2003-12-17,314.44,320.52,304.88,307.44,73203
2003-12-18,315.69,338.76,305.1,307.79,48832
2003-12-19,312.96,316.3,291.89,297.67,77531
2003-12-22,300.54,303.1,293.59,294.8,56825
2003-12-23,297.02,302.27,294.46,297.58,46087
2003-12-24,299.89,323.95,297.06,316.22,119186
2003-12-26,315.74,324.86,315.74,317.95,48934
2003-12-29,318.78,339.71,317.91,336.11,139187
2003-12-30,347.44,366.99,336.19,345.84,213505
2003-12-31,356.13,360.47,338.97,345.53,114544
2004-01-01,352.05,353.52,344.88,346.44,45404
2004-01-02,349.92,350.87,343.97,346.36,39213
2004-01-05,353.17,353.17,331.11,335.19,37566
2004-01-06,343.1,343.1,309.66,318,38942
2004-01-07,317.04,317.48,300.8,307.62,31552
2004-01-08,307.49,330.07,307.49,326.38,54856
2004-01-09,338.76,338.76,308.35,311.39,36711
2004-01-12,316.82,316.82,297.93,304.79,24035
2004-01-13,307.49,308.49,294.54,299.8,25254
2004-01-14,305.75,305.75,287.51,289.9,33190
2004-01-15,295.24,308.22,289.25,293.59,51101
2004-01-16,295.33,303.92,271,273.22,34369
2004-01-19,277.95,283.86,269.53,277.61,28823
2004-01-20,288.38,300.45,267.53,283.08,67863
2004-01-21,283.17,288.38,243.21,253.63,44009
2004-01-22,253.63,263.45,246.68,250.94,52028
2004-01-23,250.16,267.53,248.03,263.32,23442
2004-01-27,265.79,271,260.58,263.27,31592
2004-01-28,267.53,267.53,251.9,255.37,21782
2004-01-29,256.24,258.32,244.08,247.03,18535
2004-01-30,246.68,254.5,234.52,237.61,32193
2004-02-03,242.69,242.69,225.84,228.18,19218
2004-02-04,208.47,233.96,208.47,230.48,13807
2004-02-05,233.65,234.52,218.89,224.71,12379
2004-02-06,227.53,242.3,214.89,233.92,22524
2004-02-09,276.22,276.22,238,253.07,34056
2004-02-10,235.39,264.75,234.52,260.15,37259
2004-02-11,264.92,274.48,260.84,264.79,54601
2004-02-12,266.66,275.3,264.71,270.14,21990
2004-02-13,273.61,276.13,267.1,274.13,20416
2004-02-16,271,274.48,256.24,261.28,25816
2004-02-17,267.53,267.53,237.82,257.72,15840
2004-02-18,258.84,262.32,250.38,252.2,39016
2004-02-19,251.9,254.28,230.18,234.13,22021
2004-02-20,230.18,241.99,226.88,233.79,12891
2004-02-23,233.65,238.69,222.93,223.88,12878
2004-02-24,224.97,228.44,219.84,226.32,10971
2004-02-25,224.97,230.09,220.06,220.76,6471
2004-02-26,221.49,228.18,217.37,218.67,7691
2004-02-27,219.84,223.88,216.85,220.76,7646
2004-03-01,217.15,231.05,217.15,229.4,10033
2004-03-03,240.47,240.47,225.84,229.14,47921
2004-03-04,229.31,234.52,224.97,233.13,21033
2004-03-05,225.97,244.95,225.97,241.21,11378
2004-03-08,248.42,248.42,227.66,229.79,7020
2004-03-09,229.31,238.78,224.53,234.18,8569
2004-03-10,231.05,231.83,225.84,227.05,14435
2004-03-11,225.84,228.62,218.02,219.63,7397
2004-03-12,219.67,223.23,214.59,218.71,21770
2004-03-15,219.02,224.97,210.46,212.42,14364
2004-03-16,208.64,218.89,205.86,207.94,14199
2004-03-17,214.55,216.07,202.38,204.82,10449
2004-03-18,207.16,208.47,197.61,199.34,7209
2004-03-19,199.78,203.99,195.87,200.56,8835
2004-03-22,199,200.6,193.92,194.39,6538
2004-03-23,193.7,194.57,179.24,182.71,33495
2004-03-24,180.71,186.49,179.28,181.45,15846
2004-03-25,182.36,193.7,181.1,183.67,13079
2004-03-26,185.49,192.7,183.88,184.75,17997
2004-03-29,185.88,188.14,183.32,185.49,10357
2004-03-30,186.75,214.55,185.06,205.38,54817
2004-03-31,203.25,219.76,200.73,216.59,54334
2004-04-01,215.33,224.01,209.64,213.33,14120
2004-04-02,221.28,247.55,208.47,209.12,14958
