Date,Open,High,Low,Close,Volume
2017-10-11,57,57,57,57,88000
2017-10-12,68.37,68.37,47.5,51.92,2134000
2017-10-13,51.58,56.62,43.96,54.83,1066000
2017-10-16,55.83,55.83,51.83,52.21,172000
2017-10-17,52.08,52.5,50.42,52.17,108000
2017-10-18,58.33,62.58,54.42,62.37,478000
2017-10-19,67.08,72.08,66.62,71.37,296000
2017-10-23,70,70,63.37,64,58000
2017-10-24,60.87,64.08,58.33,60.42,28000
2017-10-25,57.5,57.92,55.08,55.92,32000
2017-10-26,55.83,58.29,55.83,58.29,6000
2017-10-27,55.92,55.92,54.21,54.21,8000
2017-10-30,54.17,55.83,54.17,54.17,18000
2017-10-31,54.17,54.58,53.54,53.54,40000
2017-11-01,56.67,58.29,56.67,58.25,14000
2017-11-02,57.46,57.5,57.46,57.5,4000
2017-11-03,54.33,61.58,54.33,60,44000
2017-11-06,56.87,57.08,56.58,56.75,12000
2017-11-07,55,55,55,55,4000
2017-11-08,54.17,54.75,54.17,54.58,18000
2017-11-09,54.25,54.25,54.17,54.17,6000
2017-11-10,53.33,54.17,53.33,53.33,6000
2017-11-13,55,55,55,55,2000
2017-11-14,55.83,55.83,55.83,55.83,2000
2017-11-15,57.42,57.42,57.42,57.42,2000
2017-11-20,58.33,58.33,58.33,58.33,2000
2017-11-21,53.33,55.83,53.33,55.83,4000
2017-11-22,54.25,54.25,54.25,54.25,30000
2017-11-23,53.75,54.21,53.75,53.79,16000
2017-11-24,53.33,53.33,53.33,53.33,4000
2017-11-27,53.75,53.75,51.83,52.62,36000
2017-11-29,52.83,52.83,52.83,52.83,22000
2017-11-30,51.67,52.33,51.67,51.75,26000
2017-12-01,48.12,51.25,48.12,48.33,18000
2017-12-04,48.5,53,48.33,50.21,38000
2017-12-05,49.17,49.17,48.33,48.33,4000
2017-12-06,49.17,50,49.17,50,6000
2017-12-08,50.21,50.83,50.21,50.83,4000
2017-12-12,50.25,50.25,49.17,49.87,6000
2017-12-13,50.75,52.17,50.75,51.58,20000
2017-12-14,50.08,50.08,49.17,50,8000
2017-12-15,51.67,51.67,50.83,51.67,6000
2017-12-18,51.67,51.67,50.08,50.08,32000
2017-12-19,52.08,52.29,50,51.12,6000
2017-12-20,50.08,50.83,50,50,12000
2017-12-21,50,52.08,50,50.21,8000
2017-12-22,50.42,51.58,50.42,51.54,6000
2017-12-26,50.17,51.83,50.17,50.83,26000
2017-12-27,51.96,55,50,51.08,278000
2017-12-28,54.12,61.29,54.12,61.29,154000
2017-12-29,67.5,68.54,60.92,61.37,112000
2018-01-01,61.37,65,61.37,63.21,28000
2018-01-02,61.08,61.08,55.83,55.92,112000
2018-01-03,60,60.75,59.17,59.17,12000
2018-01-04,57.5,59.87,56.46,59.83,8000
2018-01-05,60,63.33,60,60.54,12000
2018-01-08,59.92,59.92,56.67,56.71,6000
2018-01-09,59.83,61.67,58.33,58.33,12000
2018-01-10,58.33,58.33,58.33,58.33,2000
2018-01-11,55,59.12,55,57.92,24000
2018-01-12,57.92,59.83,57.92,58,8000
2018-01-15,56.25,56.67,55.08,55.08,8000
2018-01-16,52.58,54.58,51.87,52.92,14000
2018-01-17,52.08,52.08,52.08,52.08,2000
2018-01-18,50.92,52.17,50.92,51.83,6000
2018-01-19,53.33,54.17,51.67,53.75,18000
2018-01-22,63.75,63.75,50,56.62,18000
2018-01-23,57.5,58.25,56.04,57.62,10000
2018-01-24,56.67,57.5,53,55.04,152000
2018-01-25,54.17,56.67,52.71,53.62,126000
2018-01-29,53.33,53.33,53.33,53.33,8000
2018-01-30,51.33,54.17,51.33,54.17,4000
2018-01-31,52.08,52.08,52.08,52.08,2000
2018-02-02,48.25,52.5,48.17,48.21,20000
2018-02-05,47.08,50.75,47.08,50.75,4000
2018-02-07,49.92,50,49.92,50,4000
2018-02-08,48.12,51.67,48.12,51.67,4000
2018-02-09,50,50,50,50,2000
2018-02-12,50,50,50,50,2000
2018-02-14,47.42,50.42,44.25,50.42,294000
2018-02-15,50.42,50.42,49.17,49.58,172000
2018-02-16,46.71,46.71,46.58,46.67,6000
2018-02-19,45.83,47.79,45.83,47.79,50000
2018-02-20,48.33,48.33,45.83,45.83,66000
2018-02-21,49.17,49.17,49.17,49.17,2000
2018-02-23,46.58,46.58,46.58,46.58,2000
2018-02-26,39.37,49.5,39.37,49.5,90000
2018-02-27,46.25,50,46.25,46.75,8000
2018-03-01,47.5,50.62,47.5,50.62,50000
2018-03-05,48.75,48.75,47.5,47.5,4000
2018-03-06,46.08,49.5,46.08,49.5,174000
2018-03-07,41.25,54.08,41.25,49.58,18000
2018-03-08,45.75,45.75,45.21,45.21,4000
