Date,Open,High,Low,Close,Volume
2003-09-05,352,358.5,347.2,356.75,329708
2003-09-08,359.1,361.85,354,356.5,280616
2003-09-09,361.95,369,355.25,360.55,714831
2003-09-10,360,370,357.45,366.55,397017
2003-09-11,371,372.9,364.7,369.7,467195
2003-09-12,373,374.8,355.6,357.2,224282
2003-09-15,361.8,361.8,340,344.05,166599
2003-09-16,343,358,330.1,355.2,254640
2003-09-17,359,362,344.15,347.3,164057
2003-09-18,341,345,325.6,328.15,197742
2003-09-19,329.9,344.8,328,338.65,590866
2003-09-22,346,346,333,335.2,125103
2003-09-23,335.2,351,330,347.1,240638
2003-09-24,349,358,347,356.15,253565
2003-09-25,334,358,334,350.3,574578
2003-09-26,352.5,361,352.5,359.85,175700
2003-09-29,364.9,379,359.75,376.2,483417
2003-09-30,380.05,384.75,375.1,377.95,274043
2003-10-01,377,380,370.5,373.7,388696
2003-10-03,375,384.4,374,382.45,333595
2003-10-06,387,411,383.15,408.2,849675
2003-10-07,410,414.2,392.5,405.6,520926
2003-10-08,408,416.95,404,409.2,257714
2003-10-09,410.25,423,410.25,421.3,279080
2003-10-10,423,441.9,415,439.55,489550
2003-10-13,439,444,427.5,430.45,296572
2003-10-14,431,433.9,410,411.7,449489
2003-10-15,413.1,426,405.15,422.9,1483690
2003-10-16,425,436,417,420.75,361410
2003-10-17,418,423,416.1,420,196096
2003-10-20,422,433,417.5,420.25,338437
2003-10-21,419,423,409,412.5,351196
2003-10-22,411.5,416.05,405.25,413.5,298577
2003-10-23,413,416.8,407,410.05,345198
2003-10-24,411.7,432,405,430.1,349779
2003-10-25,432,498,429.2,434.35,97133
2003-10-27,432,432,410,412.55,225403
2003-10-28,419,419,408.5,410.85,225300
2003-10-29,412.15,430,408.5,416.5,407747
2003-10-30,420,452,418.2,446.9,757391
2003-10-31,451,482,448.85,478.45,942421
2003-11-03,484,500,483.25,494.45,938439
2003-11-04,496.9,498.25,477,483.75,715766
2003-11-05,485,489,466.2,473.25,621416
2003-11-06,478,486.35,472,475,458218
2003-11-07,475.5,477.9,463,467.85,190523
2003-11-10,464.6,480,461.2,473.95,299961
2003-11-11,485.95,489.9,474.5,477.65,362102
2003-11-12,481.9,482.45,472.9,474.6,271589
2003-11-13,481,481,465,470.35,218654
2003-11-14,470.1,473.7,462,467.55,185564
2003-11-15,464.05,481.9,464.05,477.7,60508
2003-11-17,471,483,465,477.6,226136
2003-11-18,480,484,466.65,471.1,238342
2003-11-19,470,470,447.25,449.95,474827
2003-11-20,452,455,425.1,429.55,491056
2003-11-21,428,448,425.1,444.95,540315
2003-11-24,449.1,453.9,445.3,447.6,252056
2003-11-25,450,453.45,445.05,449.45,171684
2003-11-27,451.85,460.5,444.15,446.05,689541
2003-11-28,451,460,450,455.7,342345
2003-12-01,459.25,469,455.9,465.9,253751
2003-12-02,470.4,473.9,458.7,465.1,288947
2003-12-03,465.25,470.85,462.5,464.9,248571
2003-12-04,465,469.75,455,460.55,294197
2003-12-05,460,467.5,445.05,447.05,125721
2003-12-08,447.5,450,433,440.9,136750
2003-12-09,445,468,441.8,465.15,426007
2003-12-10,466.8,482.5,457,473.6,885985
2003-12-11,476,478.5,450.05,471.5,289373
2003-12-12,472,478,462.6,468.6,132801
2003-12-15,473,473,461.7,463.2,119581
2003-12-16,465,486,465,472.7,819988
2003-12-17,478.5,478.5,466,468.6,225008
2003-12-18,473,477.2,466.1,471.05,284147
2003-12-19,479,485.8,472,477.6,388002
2003-12-22,475,493,475,490.9,355186
2003-12-23,494.5,495.85,474,475.5,225788
2003-12-24,479,488,478,484.7,272795
2003-12-26,485.5,501.9,483,495.35,330000
2003-12-29,501,509.3,498,506.35,298117
2003-12-30,508,515,492,499.05,389559
2003-12-31,491.05,515.1,491,510.85,532103
2004-01-01,513.5,521,510.25,513.9,474045
2004-01-02,514,527.5,513.1,522.65,596631
2004-01-05,528,529.9,510.5,515.55,251040
2004-01-06,505,527.5,505,515.3,269219
2004-01-07,508.15,518,505.05,515.1,166305
2004-01-08,521,534.75,515.05,532.3,328833
2004-01-09,547,591,545,572.7,1032749
2004-01-12,580,585,558,565.8,314199
2004-01-13,565,571.9,531.25,567.2,221215
2004-01-14,575,582.5,566.6,577.25,634890
2004-01-15,581.1,584.8,540.25,545.3,312080
2004-01-16,545.05,561.7,502,522.85,434930
2004-01-19,525,542,505.55,536.9,484076
2004-01-20,540,560.25,520,526.75,539863
2004-01-21,537,544.4,491.4,501.5,691618
2004-01-22,524.5,542,473.1,478.3,552374
2004-01-23,489,520,483,516.1,423469
2004-01-27,518.05,563,507,558.7,463747
2004-01-28,560,569,530.1,535.1,480986
2004-01-29,536,566,536,550.45,574330
2004-01-30,559,562.4,535.15,538,523917
2004-02-03,543,551.85,523,544.1,615576
2004-02-04,551.5,580.5,547,573.2,613656
2004-02-05,579,582.25,556,566.85,495644
2004-02-06,570,583,567,578.45,499720
2004-02-09,587,613.9,581.15,609,774576
2004-02-10,611,635,607.25,629.9,1228443
2004-02-11,600,636,544,626.85,702887
2004-02-12,630,638,623,628.15,354786
2004-02-13,635,643.85,628,640.95,393243
2004-02-16,641,672.7,632.35,666.85,816263
2004-02-17,666,666,655,663.15,388244
2004-02-18,664,678.5,660,667.75,399707
2004-02-19,660.2,673,635.15,639.3,575112
2004-02-20,640,667.3,619.25,655.15,774926
2004-02-23,666,706,656,699.35,1440177
2004-02-24,698,714,675.4,700.2,1111320
2004-02-25,705.6,724.7,695.15,706.05,1065335
2004-02-26,697,719.7,697,707.45,888414
2004-02-27,718.4,745.5,706.2,742.95,959051
2004-03-01,745,795,740.15,775.65,1068941
2004-03-03,789,816.65,778.65,798.9,1596339
2004-03-04,792,818.4,715,810.85,1357035
2004-03-05,808.8,814.9,795.15,803.1,757603
2004-03-08,798.8,810,770.1,773.75,723937
2004-03-09,772,790.9,761.15,773.05,764465
2004-03-10,770,786.05,761,771.45,525569
2004-03-11,764,779.45,731.35,739.6,528219
2004-03-15,745,755.9,712,728.05,743895
2004-03-16,732,738.7,712,719.05,362332
2004-03-17,727,730,698.3,706.6,459316
2004-03-18,710,713.45,693.3,700.4,459178
2004-03-19,700,714.4,694.15,708.8,386300
2004-03-22,710,721.7,704,708.15,413413
2004-03-23,711,727.4,691.3,721.75,342737
2004-03-24,725,748,714.55,735.75,364093
2004-03-25,737,744.3,731,734.5,359132
2004-03-26,744.4,762,740,755.1,245212
2004-03-29,758,764,746.2,754,176356
2004-03-30,758,760,746.25,750.45,153667
2004-03-31,750,770,744,764,226661
2004-04-01,769.9,773.8,757.25,763.5,246703
2004-04-02,761.15,807.8,761.15,797.9,475772
2004-04-05,800,811.9,791,802,327436
2004-04-06,804,815,781.6,788.85,496285
2004-04-07,792.5,796,768.5,774.85,165354
2004-04-08,778.8,792,772,781.35,197821
2004-04-12,787,795,773,775.3,179331
2004-04-13,773,780,751.25,771.85,330584
2004-04-15,779.4,787,766.5,769.3,230268
2004-04-16,779,788,765,776.35,463923
2004-04-17,785,788,775,779.5,124417
2004-04-19,781,784.75,754.65,762.8,159314
2004-04-20,762.25,763,725,751.6,154971
2004-04-21,752.25,797.1,752.25,782.85,392493
2004-04-22,783.05,794,776.15,789.4,224519
2004-04-23,790,796.8,771,779.45,299265
2004-04-27,779,779,750,759.2,247450
2004-04-28,763.25,774.4,746,749.9,213817
2004-04-29,750,751.9,728,732.4,520043
2004-04-30,734.4,741.8,714.6,724.1,195029
2004-05-03,716,725,700.4,715.25,184083
2004-05-04,720,729,716.2,724.9,310395
2004-05-05,724,739.8,724,733.1,172828
2004-05-06,742,745,730.25,733.75,67239
2004-05-07,728.1,731.05,600,724.3,151997
2004-05-10,715,740,703,721.85,125328
2004-05-11,723,723,694.5,701.25,238359
2004-05-12,703.2,720,680.25,701,196089
2004-05-13,680,743,660.1,708.6,421621
2004-05-14,720,720,630.1,647.05,299254
2004-05-17,699,699,425.55,476.5,387641
2004-05-18,484,579,484,567.3,491176
2004-05-19,575,594.9,558.65,569.1,409181
2004-05-20,590,590,510.1,524.45,252276
2004-05-21,520,544,498.1,521.55,480751
2004-05-24,538,583.75,525.55,580.6,570534
2004-05-25,580,580,530,553.9,412662
2004-05-26,550,574.45,545.3,551.7,727477
2004-05-27,549,567,530.75,537.15,1385796
2004-05-28,521,521.6,475,494.1,899023
2004-05-31,492,516,463,486.2,1144221
2004-06-01,508.4,508.4,490.3,494.05,686983
2004-06-02,504,541.75,504,537.15,1393029
2004-06-03,543,549,490.15,507.75,754234
2004-06-04,502.8,529.6,496,524.65,498117
2004-06-07,532.6,544.85,532.1,538.15,521314
2004-06-08,542,564.6,534.25,559.65,750692
2004-06-09,564.55,567.45,516,540.5,2790992
2004-06-10,532,556,461,551.95,1332972
2004-06-11,548.8,556.5,541.15,545.45,670880
2004-06-14,538,549,535.1,546.55,345303
2004-06-15,545,556,544,548.85,322907
2004-06-16,554.9,554.9,540.1,546.55,305647
2004-06-17,550,556,530,547.55,609268
2004-06-18,582.55,625.4,532,536.25,1181046
2004-06-21,533,539.05,528,535.05,302638
2004-06-22,533,539,530.3,536.4,283927
2004-06-23,532,542.85,532,538.1,729107
2004-06-24,538,554.95,533,550.35,965941
2004-06-25,548,563,541,559.2,478015
2004-06-28,554.1,563,548.6,556.35,394933
2004-06-29,562,581.2,555.1,572.9,841634
2004-06-30,579,580,565,566.85,231158
2004-07-01,565,577.8,560,569.4,557097
2004-07-02,568,575,564.15,568.2,388828
2004-07-05,570,574.9,566.9,568.25,147673
2004-07-06,568.1,575,561.55,573.25,227638
2004-07-07,570.2,585.6,563,566.85,325101
2004-07-08,652,652,550.5,558.15,431291
2004-07-09,535.05,565.4,535.05,563.2,120803
2004-07-12,551,570.6,531,566,136948
2004-07-13,573,582.9,555.5,578.3,152373
2004-07-14,579,582,557,578.75,323993
2004-07-15,572,577.9,568,571.25,277101
2004-07-16,572,573.9,565,569.65,158320
2004-07-19,569.7,578.8,568.1,571.25,102629
2004-07-20,568,574,568,569.5,94775
2004-07-21,572,580,570.6,576.8,147991
2004-07-22,582,590,571.05,583.65,325799
2004-07-23,585.75,594.95,585,589.4,143990
2004-07-26,567.5,593,497,588.8,117964
2004-07-27,585,593.95,578.05,584.2,192675
2004-07-28,566,588,566,579.45,111688
2004-07-29,571,592.15,571,579,699057
2004-07-30,590,590,576.1,583.75,74332
2004-08-02,585,594.6,578,588,72315
2004-08-03,585.5,597,582.15,587.3,108443
2004-08-04,502.3,589.9,502.3,584.1,86225
2004-08-05,576,587.75,556,583.8,120392
2004-08-06,580,588,575,580.25,147764
2004-08-09,583.95,591.95,577.1,588.55,65451
2004-08-10,588.2,592.95,580.1,591.65,206608
2004-08-11,590,594.8,583.15,587.85,146860
2004-08-12,584.15,593.3,584.15,588.3,89682
2004-08-13,583,590,583,587.5,64152
2004-08-16,587.5,591.9,575.1,588.3,132891
2004-08-17,588.95,607.2,582.2,597.45,221767
2004-08-18,596,607.05,591.2,601.35,254924
2004-08-19,604,611,602.25,606.9,167926
2004-08-20,606,608.5,597.6,600.65,57901
2004-08-23,599,607,590.25,601.95,118156
2004-08-24,624,627,603,621.1,165278
2004-08-25,622,655.9,612,647.35,439190
2004-08-26,640.1,660,640.1,655.95,362872
2004-08-27,655.95,656,640.25,643.35,73571
2004-08-30,648,665,641,659.75,171863
2004-08-31,660,664,645.2,653.3,194106
2004-09-01,660,660,644.05,647.05,144591
2004-09-02,647,647,635.05,638.2,142684
2004-09-03,640,649,631.15,640.25,187570
2004-09-06,644.45,647.8,634.2,636.55,89694
2004-09-07,640,647.8,632,633.55,336676
2004-09-08,578,638,578,631.4,228961
2004-09-09,633,639,622,634.75,156919
2004-09-10,635,640.5,630.1,636.3,103694
2004-09-13,630.25,640,630.25,634.1,70384
2004-09-14,623,637.8,623,629.35,128033
