Date,Open,High,Low,Close,Volume
2022-06-10,138,140,138,138.55,525000
2022-06-13,138.65,140,138.65,139.1,525000
2022-06-14,139.2,139.4,139.15,139.3,693000
2022-06-15,139.7,140,139.5,139.5,980000
2022-06-16,141.95,142.1,139.75,140.1,292000
2022-06-17,140.25,147.1,140.25,145.8,253000
2022-06-20,153.05,153.05,152,153.05,439000
2022-06-21,160.5,160.7,160.5,160.7,236000
2022-06-22,166.2,168.7,166.2,168.7,114000
2022-06-23,175.2,177.1,175.2,177.1,37000
2022-06-24,192,212.5,184,212.5,247000
2022-06-27,228,244,201.25,201.85,325000
2022-06-28,208,208,201.3,201.6,21000
2022-06-29,202.55,206,202.15,202.85,65000
2022-06-30,213.9,213.9,205.6,207.95,5000
2022-07-01,212,212,205.9,206.25,81000
2022-07-04,208.4,212.5,208.2,208.25,15000
2022-07-05,210,214.8,209.25,209.5,42000
2022-07-06,212.9,212.9,200,211.15,76000
2022-07-07,212.25,221,212.25,219.3,17000
2022-07-08,229,229,220.25,221.25,22000
2022-07-11,244.7,244.7,222.75,225,10000
2022-07-12,230,230,226.25,227.6,10000
2022-07-13,228.55,229.95,228.15,228.2,33000
2022-07-14,234,235,230.2,231.7,9000
2022-07-15,240,240,232.2,232.3,10000
2022-07-18,235.25,235.85,235.2,235.5,15000
2022-07-19,236.2,238.85,236.2,236.85,18000
2022-07-20,238.5,238.5,237.2,237.2,21000
2022-07-21,248,248,238.2,240.2,10000
2022-07-22,242.5,243.5,242.2,242.5,16000
2022-07-25,251.5,251.5,244.2,244.6,17000
2022-07-26,245.25,247,245.15,245.6,13000
2022-07-27,254,254,246.25,246.85,20000
2022-07-28,256,256,247.15,247.25,39000
2022-07-29,250.25,254,250.2,251.7,40000
2022-08-01,252.3,261.7,252.3,257.6,8000
2022-08-02,260.4,260.45,257.35,258,20000
2022-08-03,260.2,261.55,260.2,261.2,6000
2022-08-04,263.5,270,263.2,264.5,14000
2022-08-05,267.6,269,267.35,267.45,13000
2022-08-08,270.2,272.4,270.2,271.5,17000
2022-08-10,275.25,308,275.25,278.5,15000
2022-08-11,282,287,281,285.65,14000
2022-08-12,290,292.2,290,292.2,2000
2022-08-16,302,308,301.2,304.75,21000
2022-08-17,320,321,245.65,318.15,78000
2022-08-18,332,344.95,322.55,328.05,57000
2022-08-19,337.7,337.7,330.2,333.45,30000
2022-08-22,338,338,335.2,335.9,15000
