Date,Open,High,Low,Close,Volume
2025-08-07,105,105,99.75,99.75,658800
2025-08-08,94.8,94.8,94.8,94.8,6000
2025-08-11,90.1,90.1,90.1,90.1,52800
2025-08-12,85.6,85.6,85.6,85.6,2400
2025-08-13,81.35,81.35,81.35,81.35,2400
2025-08-14,77.3,80.9,77.3,77.3,184800
2025-08-18,73.45,73.5,73.45,73.45,44400
2025-08-19,69.8,73.35,69.8,72.95,106800
2025-08-20,73,76.55,71,76.55,78000
2025-08-21,78.5,80,73,74.7,103200
2025-08-22,76.85,79,75.35,77.9,37200
2025-08-25,77.5,78.5,76.5,76.5,13200
2025-08-26,75,76.5,71,71,6000
2025-08-28,71,71,70.75,71,4800
2025-08-29,70,71,69,69,4800
2025-09-01,69.05,75.5,69.05,74.9,15600
2025-09-02,77.95,78,75.1,76.5,18000
2025-09-03,76,76.5,73.1,73.1,8400
2025-09-04,73.1,73.1,69.5,72.1,6000
2025-09-05,73,74,73,73.95,6000
2025-09-08,75.5,79.6,75.5,78.8,25200
2025-09-09,80,80,78,79.75,13200
2025-09-10,79.75,79.75,70,70.75,115200
2025-09-11,72,72,70.1,72,6000
2025-09-12,70.2,70.2,69.7,69.7,4800
2025-09-15,69.7,72,69.7,72,10800
2025-09-16,73.45,74.75,73,74.75,14400
2025-09-17,75.1,75.1,73,73.6,82800
2025-09-18,73.7,73.7,73,73,8400
2025-09-19,73.25,73.25,73,73,12000
2025-09-22,74.25,75.95,74.25,74.7,31200
2025-09-23,77.85,78.5,74,77.7,32400
2025-09-24,76,76,75,75,4800
2025-09-25,79,79,74.5,74.9,10800
2025-09-26,78.5,78.5,74,75.75,7200
2025-09-29,76.9,76.9,76.9,76.9,1200
2025-09-30,75,76,73.2,76,25200
2025-10-03,70.05,74.7,70.05,72.1,36000
2025-10-06,74.25,76,74.25,75.95,12000
2025-10-07,77,77,75,75,3600
2025-10-08,75,78,75,78,12000
2025-10-09,78,78,77.3,78,4800
2025-10-10,74.5,79.35,71,79.35,22800
2025-10-13,78.7,78.7,75.25,76.55,7200
2025-10-14,76.9,76.9,74.5,74.5,6000
2025-10-15,74.15,76.9,74.15,76.8,6000
2025-10-17,73.5,76,72.8,76,7200
2025-10-20,75.65,75.65,75.6,75.6,2400
2025-10-23,72,73.15,72,73.15,4800
2025-10-27,75,75,70.1,74.9,4800
2025-10-29,82.9,82.9,72.6,75,30000
2025-10-30,75.25,90,74,90,163200
2025-10-31,101.95,108,101.5,108,493200
2025-11-03,118.8,118.8,118.8,118.8,142800
2025-11-04,130.65,130.65,130.65,130.65,400800
2025-11-06,143,143.5,119,139.65,1344000
2025-11-07,141.5,141.5,134,137.35,210000
2025-11-10,140,140.1,134.5,138.9,74400
2025-11-11,133.5,139.5,133.5,136.5,30000
2025-11-12,138,138,136,137.85,21600
2025-11-13,138.5,139,136,136.5,22800
2025-11-14,136,136.45,134.1,134.6,13200
2025-11-17,133.5,139.9,133.5,136.05,18000
2025-11-18,136,138.9,136,137.5,32400
2025-11-19,140.5,141,137,139.25,104400
2025-11-20,140.9,143.5,139.25,143.2,63600
2025-11-21,146.2,146.2,143.6,145.05,21600
2025-11-24,145,145,140,144.55,86400
2025-11-25,144,145.5,142.1,143.05,21600
2025-11-26,147,147,141.15,145,7200
2025-11-27,144.9,145.6,143,144.9,22800
2025-11-28,145,146.5,142.5,145,15600
2025-12-01,150.8,152.25,141.45,146,33600
2025-12-02,149.95,152,146.7,151.5,33600
2025-12-03,151,151.5,146.75,146.8,16800
2025-12-04,148,152,148,150,26400
2025-12-05,150,156,149,150,26400
