Date,Open,High,Low,Close,Volume
2023-11-30,261.95,275.05,261.95,275.05,831000
2023-12-01,275.05,275.05,261.3,261.3,31000
2023-12-04,248.25,248.25,248.25,248.25,15000
2023-12-05,235.85,260.64,235.85,260.64,309000
2023-12-06,260.64,273.65,247.63,267.19,260000
2023-12-07,263.26,263.26,253.83,254.53,45000
2023-12-08,246.24,247.11,241.83,245.1,53000
2023-12-11,245.1,248.33,233.14,245.23,50000
2023-12-12,249.73,254.1,247.11,251.34,55000
2023-12-13,255.84,263.88,255.84,263.48,119000
2023-12-14,271.04,271.04,244.49,246.76,51000
2023-12-15,244.49,254.1,243.79,244.49,38000
2023-12-18,250.52,260.56,249.73,255.84,41000
2023-12-19,251.48,252.35,241.87,243.92,53000
2023-12-20,246.67,248.86,223.53,228.16,54000
2023-12-21,227.03,243.62,227.03,241.52,37000
2023-12-22,225.28,289.81,225.28,289.81,382000
2023-12-26,300.37,309.89,272.52,273,95000
2023-12-27,277.67,277.67,270.69,271.56,14000
2023-12-28,283.74,296.01,283.74,285.09,34000
2023-12-29,280.38,308.23,280.38,300.68,45000
2024-01-01,296.88,303.87,283.17,299.2,20000
2024-01-02,296.88,304.74,286.4,296.44,62000
2024-01-03,303.87,303.87,293.48,294.96,22000
2024-01-04,302.95,344.43,298.71,341.02,269000
2024-01-05,340.45,363.94,336.17,359.18,109000
2024-01-08,375.34,408.65,362.5,404.37,129000
2024-01-09,408.65,408.65,378.96,387.3,81000
2024-01-10,397.25,400.7,387.04,399.35,24000
2024-01-11,414.76,420.87,395.55,399.61,46000
2024-01-12,410.44,419.13,395.99,398.17,10000
2024-01-15,426.99,437.99,407.78,432.22,115000
2024-01-16,430.48,430.48,410.39,410.39,8000
2024-01-17,398.26,405.16,397.3,405.16,7000
2024-01-18,387.69,410.39,387.69,405.5,11000
2024-01-19,397.3,405.16,397.3,404.15,10000
2024-01-20,401.66,439.56,392.93,432.01,82000
2024-01-23,433.1,433.1,402.1,414.76,58000
2024-01-24,430.3,436.5,409.52,414.15,40000
2024-01-25,413.1,454.01,413.1,445.71,118000
2024-01-29,454.05,481.95,445.32,479.55,110000
2024-01-30,479.55,515.18,471.52,508.76,108000
2024-01-31,515.18,535.04,497.71,524.13,88000
2024-02-01,518.01,558.84,517.01,550.45,71000
2024-02-02,542.24,550.1,526,545.43,58000
2024-02-05,541.37,550.06,537.88,542.55,29000
2024-02-06,542.55,567.57,519.54,564.07,36000
2024-02-07,567.57,575.38,545.82,550.1,13000
2024-02-08,543.25,566.87,539.71,561.67,36000
2024-02-09,552.72,572.81,545.3,566.61,36000
2024-02-12,559.05,559.05,538.27,542.03,22000
2024-02-13,523.91,530.72,514.96,519.8,17000
2024-02-14,519.54,545.78,516.92,545.78,29000
2024-02-15,564.42,573.07,555.78,571.06,48000
2024-02-16,567.57,576.12,558.84,561.32,19000
2024-02-19,558.84,558.84,554.56,554.56,2000
2024-02-20,545.78,565.82,545.78,564.07,12000
2024-02-21,564.07,564.07,543.47,546.48,8000
2024-02-22,544.86,550.02,534.39,539.06,10000
2024-02-23,541.37,542.16,541.37,541.72,10000
2024-02-26,541.28,541.28,540.85,541.07,2000
2024-02-27,541.37,541.37,519.72,523.12,8000
2024-02-28,523.91,532.6,515.18,515.18,11000
2024-02-29,495.97,502.08,489.42,502.08,14000
2024-03-01,493.35,493.35,476.97,476.97,6000
2024-03-02,453.18,462.79,453.14,454.93,14000
2024-03-04,432.18,432.18,432.18,432.18,1000
2024-03-05,410.57,448.81,410.57,420.09,59000
2024-03-06,409.08,409.08,399.09,399.09,17000
2024-03-07,405.85,405.85,382.45,393.45,24000
2024-03-11,382.45,388.65,373.81,375.51,25000
2024-03-12,358.62,358.62,356.74,356.74,9000
2024-03-13,340.67,340.67,338.97,338.97,6000
2024-03-14,322.03,353.64,322.03,334.43,21000
2024-03-18,327.44,340.28,322.38,334.43,13000
2024-03-19,349.49,351.15,349.49,351.15,5000
2024-03-20,368.7,368.7,368.7,368.7,3000
2024-03-21,387.12,387.12,351.02,360.62,37000
2024-03-22,358,358,342.59,342.59,26000
2024-03-26,342.59,355.34,325.48,351.76,40000
2024-03-27,340.54,359.75,334.17,334.17,39000
2024-03-28,329.19,334.17,317.49,319.1,41000
2024-04-01,333.38,335.04,333.38,335.04,9000
2024-04-02,335.04,347.53,321.37,321.42,49000
2024-04-03,335.3,337.48,333.9,337.48,8000
2024-04-04,352.68,354.34,352.68,354.07,11000
2024-04-05,366.74,371.76,366.74,371.76,4000
2024-04-08,388.48,390.31,376.34,380.75,49000
2024-04-09,395.99,395.99,361.71,363.59,33000
2024-04-10,363.24,375.42,363.24,375.42,3000
2024-04-12,371.1,379.83,371.1,379.83,3000
2024-04-15,368.48,384.2,364.99,384.2,12000
2024-04-16,384.11,384.2,384.11,384.2,4000
2024-04-18,384.2,384.2,366.91,379.83,10000
2024-04-19,368.48,397.3,366.74,395.94,19000
2024-04-22,397.3,415.72,397.3,408.65,21000
2024-04-23,410.39,422.62,410.39,419.56,7000
2024-04-24,427.16,429.43,412.14,412.14,6000
2024-04-25,405.16,405.16,400,401.75,3000
2024-04-26,401.23,419.04,385.95,404.11,15000
2024-04-29,404.28,422.27,402.54,414.45,16000
2024-04-30,418.25,426.94,406.29,424.15,17000
2024-05-02,426.02,428.08,414.76,421.31,26750
2024-05-03,432.05,434.84,407.86,426.72,31000
2024-05-06,431.18,435.19,414.76,428.16,9500
2024-05-07,436.42,436.42,412.45,423.49,20500
2024-05-08,427.77,439.17,415.2,436.28,28250
2024-05-09,441.04,454.05,428.91,443.58,41250
2024-05-10,432.31,452.05,432.31,445.54,21000
2024-05-13,445.32,449.64,440.96,443.1,6750
2024-05-14,453.09,453.09,438.47,440.08,6750
2024-05-15,440,455.71,437.03,446.81,16500
2024-05-16,452.05,452.05,438.34,440.17,9500
2024-05-17,448.29,448.73,437.99,446.76,19000
2024-05-18,444.45,465.32,443.66,457.63,8250
2024-05-21,458.42,460.86,443.66,455.71,20750
2024-05-22,463.88,463.88,441.13,445.58,14250
2024-05-23,462.22,462.22,440.96,444.4,16500
2024-05-24,449.47,449.69,436.59,449.56,16750
2024-05-27,441.83,458.29,436.72,443.36,8750
2024-05-28,453.18,453.18,421.22,429.87,13500
2024-05-29,424.1,436.02,411.05,422.44,14250
2024-05-30,443.53,443.53,427.99,435.15,19250
2024-05-31,452.66,452.66,419.17,425.28,15000
2024-06-03,443.58,443.58,422.71,437.11,16750
2024-06-04,436.5,436.5,415.28,415.28,9000
2024-06-05,431.96,431.96,398.21,403.58,16750
2024-06-06,419.26,423.45,401.84,416.2,12000
2024-06-07,411.27,440,410.53,431.87,14500
2024-06-10,438.16,442.66,421.75,429.56,8500
2024-06-11,427.99,444.36,427.99,435.28,16500
2024-06-12,434.84,446.89,430.04,445.19,34250
2024-06-13,439.65,489.68,439.34,488.72,81750
2024-06-14,495.14,530.46,488.98,527.14,68250
2024-06-18,553.47,553.47,522.64,525.13,27500
2024-06-19,544.86,544.86,516.97,523.38,35500
2024-06-20,528.97,541.37,515.35,528.01,39250
2024-06-21,528.27,543.9,517.8,518.15,33000
2024-06-24,529.54,529.54,515.53,525.31,45750
2024-06-25,531.72,554.38,528.54,533.38,27500
2024-06-26,536.74,567.35,530.02,560.76,73500
2024-06-27,566.65,577.96,541.55,545.52,49000
2024-06-28,545.56,545.56,530.46,533.38,31500
2024-07-01,563.59,569.27,548.36,565.34,79250
2024-07-02,589.31,589.31,529.5,549.67,43750
2024-07-03,557.87,573.68,532.64,566.34,56750
2024-07-04,577.13,589.4,557.53,560.63,79750
2024-07-05,557.79,566.69,541.42,563.86,44500
2024-07-08,578.05,586.69,554.77,566.96,52750
2024-07-09,571.5,582.41,550.02,554.25,35000
2024-07-10,570.1,570.1,541.37,559.32,30500
2024-07-11,574.12,574.12,554.51,557.09,23000
2024-07-12,567.39,567.39,550.1,557.18,16500
2024-07-15,557.18,566.48,543.38,553.55,26750
