Date,Open,High,Low,Close,Volume
2025-12-01,101.75,101.75,101.75,101.75,2000
2025-12-02,81.4,81.4,81.4,81.4,3000
2025-12-03,68,78.9,68,78.9,3000
2025-12-04,77.45,77.45,77.45,77.45,2000
2025-12-09,64.35,76.85,64,76.85,5000
2025-12-10,65.7,65.7,65.7,65.7,1000
2025-12-11,75,75,75,75,1000
2025-12-17,75,75,75,75,11000
2025-12-18,79.4,80,77,78,18000
2025-12-22,78,78,78,78,1000
2025-12-23,78,83.6,78,83.3,17000
2025-12-24,83.6,87.3,83,87.3,20000
2025-12-26,85,85,85,85,8000
2025-12-29,88,88,88,88,1000
