Date,Open,High,Low,Close,Volume
2002-05-28,16.5,16.5,16.5,16.5,10
2002-06-13,16.25,16.25,16.25,16.25,20
2002-07-04,15.63,15.63,15.63,15.63,50
2002-07-05,15.63,15.63,15.63,15.63,1
2003-09-11,8.91,8.91,8.91,8.91,19
2003-10-09,8.6,8.6,8.6,8.6,50
2003-11-06,15.88,15.88,15.62,15.62,50
2003-11-13,15.69,15.69,15.69,15.69,200
2003-12-01,13.75,13.75,13.5,13.73,108
2003-12-02,13.26,13.26,13.25,13.25,15
2003-12-03,13.75,13.75,13.75,13.75,100
2003-12-09,13.34,13.34,13.34,13.34,10
2003-12-11,12.76,12.76,12.76,12.76,100
2003-12-16,13.25,13.25,13.25,13.25,2
2003-12-31,11.96,12.75,11.96,12.75,173
2004-01-05,12.14,12.14,12.14,12.14,25
2004-01-27,9.63,9.63,9.63,9.63,25
2004-01-29,9.63,9.63,9.63,9.63,100
2004-02-18,10.63,10.63,10.63,10.63,20
2004-02-25,10.09,10.25,10.09,10.25,200
2004-03-01,10.25,10.25,10.25,10.25,55
2004-03-11,10.38,10.38,10.34,10.34,100
2004-03-15,10.63,10.63,10.63,10.63,100
2004-03-16,10.63,10.63,10.09,10.63,501
2004-03-18,10.63,10.63,10.63,10.63,500
2004-03-24,10.25,10.25,10.25,10.25,200
2004-03-25,10.25,10.25,10.25,10.25,100
2004-03-26,10.25,10.25,10.25,10.25,500
2004-03-29,10.25,10.25,10,10,1000
2004-03-31,9.78,9.78,9.75,9.75,50
2004-04-01,10.23,10.23,10.23,10.23,5
2004-04-02,10.25,10.25,10.25,10.25,1000
2004-04-05,10.25,10.25,10.25,10.25,750
2004-04-06,10.25,10.25,10.25,10.25,500
2004-04-07,9.74,9.74,9.74,9.74,600
2004-04-12,9.75,9.75,9.51,9.75,253
2004-04-13,9.99,9.99,9.99,9.99,50
2004-04-15,9.52,9.63,9.52,9.63,110
2004-04-16,9.53,9.53,9.5,9.5,160
2004-04-17,9.5,9.5,9.5,9.5,20
2004-04-21,9.63,9.88,9.53,9.63,503
2004-04-22,9.5,9.56,9.5,9.5,400
2004-04-27,9.51,9.51,9.51,9.51,5
2004-05-04,9.03,9.75,9.03,9.75,51
2004-05-07,9.75,9.75,9.75,9.75,30
2004-05-12,10.24,10.24,10.24,10.24,1
2004-05-21,9.75,9.75,9.75,9.75,1
2004-06-03,10.13,10.13,10.13,10.13,1
2004-06-04,10.18,10.18,10.18,10.18,1
2004-06-07,10.69,10.69,10.69,10.69,10
2004-06-08,11.23,11.23,10.16,11.06,4
2004-06-09,11.62,11.62,11.62,11.62,5
2004-06-10,12.2,12.2,12.2,12.2,5
2004-06-15,12.81,12.81,12.81,12.81,5
2004-06-17,13.44,13.44,13.44,13.44,5
2004-06-18,12.8,12.88,12.78,12.88,6
2004-06-30,10,10,10,10,1
2004-07-09,9.94,10.31,9.94,10.14,15
2004-07-12,9.76,10.31,9.76,10.31,25
2004-07-13,9.8,9.8,9.8,9.8,55
2004-07-14,10.25,10.25,10.25,10.25,5
2004-07-16,10.75,10.76,10.75,10.76,6
2004-07-19,11.29,11.29,11.29,11.29,1
2004-07-20,11.25,11.5,10.74,10.74,266
2004-07-23,10.74,10.74,10.74,10.74,1
2004-07-30,10.74,10.74,10.74,10.74,1
2004-08-05,11.26,11.26,11.26,11.26,2
2004-08-10,11.81,11.83,11.81,11.83,3
2004-08-11,12.13,12.13,12.13,12.13,4
2004-08-13,12.37,12.46,12.37,12.46,2
2004-08-19,13,13,12.63,12.63,2
2004-08-24,13.15,13.16,13.15,13.15,2
2004-08-25,13.75,13.75,12.5,12.5,4
2004-08-30,13.11,13.11,13.11,13.11,2
2004-08-31,13.73,13.73,12.51,13.56,4
2004-09-01,14.22,14.22,12.88,12.88,2
2004-09-02,12.5,13.49,12.26,12.28,74
2004-09-03,11.88,11.88,11.69,11.72,28
2004-09-06,11.64,12.24,11.63,11.64,234
2004-09-07,12.13,12.13,12.13,12.13,1
2004-09-08,12.5,12.73,12.5,12.73,347
2004-09-09,12.88,13.37,12.65,12.94,330
2004-09-10,13.5,13.5,13.5,13.5,1
2004-09-13,12.89,13.38,12.88,12.88,154
2004-09-14,12.5,12.84,12.23,12.84,950
2004-09-15,12.63,12.63,12.63,12.63,100
2004-09-16,12.25,12.25,12.25,12.25,200
2004-09-17,12.56,12.56,12.56,12.56,6
2004-09-22,12.5,12.5,12.5,12.5,200
2004-09-24,11.89,11.89,11.88,11.88,100
