Date,Open,High,Low,Close,Volume
2024-11-22,1960,1960,1875,1898.05,1438
2024-11-25,1939.95,1939.95,1810.15,1900.5,803
2024-11-26,1901,1919.95,1840,1852.95,1450
2024-11-27,1852.95,1940,1841.1,1884,2807
2024-11-28,1863,1926.9,1822.45,1897.7,1149
2024-11-29,1897.7,1897.7,1862.1,1862.1,391
2024-12-02,1837,1880,1820,1879.95,640
2024-12-03,1867.5,1899.95,1835,1841.7,1557
2024-12-04,1874.9,1933.75,1851.05,1933.75,1930
2024-12-05,2030,2030.4,1975,2030.4,1270
2024-12-06,2131.5,2131.9,2033.6,2110,1315
2024-12-09,2040.5,2107.9,2040.5,2081.45,210
2024-12-10,2080,2117.95,2034,2099.9,394
2024-12-11,2099.8,2124.95,2039,2082.85,728
2024-12-12,2082,2099.6,1978.7,2033.85,1324
2024-12-13,1980.05,2050,1932.15,2036.7,1266
2024-12-16,1953.2,2100,1953.05,2046.4,887
2024-12-17,2093.9,2095,2050.15,2062.6,341
2024-12-18,2094.95,2100,2031.65,2075.8,1392
2024-12-19,2099,2099,1982,2063.5,743
2024-12-20,2060.05,2098.9,2011.7,2047.2,1814
2024-12-23,2047.2,2148,2000.1,2027.25,1393
2024-12-24,2099.8,2100,1970,2064.2,635
2024-12-26,2098.5,2098.8,2000.1,2040.25,385
2024-12-27,2074,2090,1960.25,1997.3,1579
2024-12-30,2030.8,2065.5,1940,2053.05,591
2024-12-31,2020,2040,1980.05,1986.55,276
2025-01-01,1994.55,2025,1965.8,1970,1289
2025-01-02,1971,2013.85,1971,1996.1,549
2025-01-03,2000,2095.9,1985.1,2094.5,1521
2025-01-06,2050,2094.5,1989.8,1992.35,437
2025-01-07,2046.4,2091.95,2021,2090.05,2386
2025-01-08,2100,2190,2000,2126.5,3169
2025-01-09,2195,2195,2050.15,2056.6,857
2025-01-10,2059,2139.95,1965,2000.8,718
2025-01-13,2000.8,2020,1960,1965.9,707
2025-01-14,1956.1,2064,1915,2013.35,897
2025-01-15,2068.85,2091.5,2002,2060.1,800
2025-01-16,2149.95,2149.95,2082.5,2086.1,103
2025-01-17,2025.1,2130,2025.1,2050.65,58
2025-01-20,2099,2100.1,2025,2100,703
2025-01-21,2058,2099.95,2036,2043.05,191
2025-01-22,2007.1,2007.1,1940.9,1940.9,930
2025-01-23,1941,1984,1900,1950,416
2025-01-24,1974.95,1974.95,1870,1875.45,549
2025-01-27,1781.7,1888,1781.7,1820.1,709
2025-01-28,1830,1830,1731,1786.25,621
2025-01-29,1848.9,1848.9,1790,1819.75,171
2025-01-30,1809,1889.85,1780,1830.5,373
2025-01-31,1830,1858.9,1800,1807.6,316
2025-02-01,1859.95,1897.5,1821.95,1882.95,650
2025-02-03,1890,1890,1790.1,1800.6,566
2025-02-04,1777.75,1953,1777.75,1855.85,1148
2025-02-05,1880.25,1899.75,1839,1842.5,347
2025-02-06,1890.15,1890.45,1830.45,1838.15,277
2025-02-07,1824.15,1851.6,1792.9,1802.25,396
2025-02-10,1818.35,1818.35,1774.1,1782.1,422
2025-02-11,1798.95,1799,1650.05,1687.25,1716
2025-02-12,1704.55,1713.9,1657.8,1690.8,212
2025-02-13,1695,1859.85,1690.8,1822,813
2025-02-14,1999.2,1999.2,1710,1721.15,1958
2025-02-17,1549.05,1549.05,1549.05,1549.05,825
2025-02-18,1405.25,1488.8,1394.15,1394.15,5374
2025-02-19,1255,1342,1254.75,1254.75,23012
