Date,Open,High,Low,Close,Volume
2019-09-12,294.4,294.4,274,280.78,1345
2019-09-13,284,284,238.85,280.55,2363
2019-09-16,272.63,281,272.63,279.25,504
2019-09-17,287.5,287.5,272.63,281,1098
2019-09-18,285,285,274.03,283.25,305
2019-09-19,280.5,282.3,274.5,279.45,270
2019-09-20,275,287.5,275,283.08,3809
2019-09-23,289.98,289.98,273.4,283.63,3515
2019-09-24,290,299.98,282.75,294.7,3314
2019-09-25,294.7,295.5,282.03,289.83,863
2019-09-26,294.95,309.5,286.9,297.08,11152
2019-09-27,294.75,312.08,286.5,305.75,3844
2019-09-30,316.98,316.98,292.5,295.5,2865
2019-10-01,295,300.98,285.08,289.53,1422
2019-10-03,286,309.5,286,292.35,3890
2019-10-04,292.5,298.33,282.5,285.25,2453
2019-10-07,285.03,295,285.03,291.73,926
2019-10-09,297,300,286.18,295.08,942
2019-10-10,290.03,296.5,284.08,285.65,8880
2019-10-11,285,292.25,283.98,287.33,2284
2019-10-14,295.95,301.5,285.05,293.7,2282
2019-10-15,280.5,294,280.03,289.63,1762
2019-10-16,290,297.5,287.55,291.18,1383
2019-10-17,287.58,296.78,287.5,289.03,1055
2019-10-18,290,295.85,286,287.85,949
2019-10-22,295.53,297.08,286.05,292.05,4683
2019-10-23,285.55,295,285.55,291.85,892
2019-10-24,294.65,296,282.63,285.65,2869
2019-10-25,287.5,291.33,267.65,277.8,1214
2019-10-27,298.93,298.93,278,289.85,1579
2019-10-29,280.78,293.98,277.5,280.73,1053
2019-10-30,285,288.35,278.5,281.05,2659
2019-10-31,281,290.53,277.48,287.08,2761
2019-11-01,281.03,288.85,277.23,281.7,1190
2019-11-04,287,287,280.13,280.53,726
2019-11-05,289.5,289.5,280.6,287.03,1772
2019-11-06,287.03,287.43,281.65,282.35,1132
2019-11-07,282.13,287.48,275.5,277.65,1256
2019-11-08,284.45,286.5,275.5,276.2,4156
2019-11-11,280,290.5,265.03,279.33,5948
2019-11-13,279.33,284.95,273,276.6,2937
2019-11-14,275,285.5,275,283.75,4627
2019-11-15,288,288,280.53,282.9,2058
2019-11-18,280.03,287.5,280,285.8,436067
2019-11-19,289,299,286.08,287.65,4847
2019-11-20,293.5,293.6,285.58,288.73,2610
2019-11-21,285.05,294.35,285.05,289.78,3935
2019-11-22,280.5,295,270.7,277.25,58755
2019-11-25,283,287,274,280.63,88873
2019-11-26,287.45,287.45,276.13,280.2,39307
2019-11-27,280.53,284.35,280.5,282.75,14245
2019-11-28,280.55,287.5,280.5,283,21483
2019-11-29,287.25,290,281.03,284.8,31019
2019-12-02,289.88,296.83,282.98,289.88,59525
2019-12-03,290.13,292.5,285,287.73,16501
2019-12-04,287.5,292.43,286,291.13,3603
2019-12-05,289.98,293,289.98,291.75,3237
2019-12-06,294.4,294.4,286.1,288.53,9050
2019-12-09,292.13,292.13,285,288.05,8651
2019-12-10,289.83,289.85,283.28,285.95,43028
2019-12-11,287.43,299.98,286.53,295.15,10112
2019-12-12,294.5,301,290.03,296.55,8544
2019-12-13,295.03,302.5,293,300.23,10846
2019-12-16,305.73,325,297.5,310.98,19207
2019-12-17,319.5,328.1,311.43,319.28,11659
2019-12-18,323.98,327,310.8,316.23,13465
2019-12-19,315,319.85,305.6,311.08,4632
2019-12-20,306.03,315.48,306.03,308.13,2540
2019-12-23,307,320,306.03,309.63,7921
2019-12-24,310,320,310,316.13,2969
2019-12-26,317.75,317.75,312.5,312.85,8528
2019-12-27,312.95,317.4,310,311.33,7162
2019-12-30,314.95,317.5,312.63,316.15,2388
2019-12-31,313.48,316,309,309.65,125044
2020-01-01,309.65,314.78,307.63,313.55,3322
2020-01-02,310.5,317.5,307.6,310.25,7573
2020-01-03,310.33,314.95,307.6,311.5,4337
2020-01-06,317.3,317.3,300,300.45,6691
2020-01-07,300.5,309.73,300.13,302.38,4148
2020-01-08,300.15,302.78,297.5,300.15,2978
2020-01-09,305,308.38,300.28,302.25,4356
2020-01-10,306,307.18,300.53,300.88,2682
2020-01-13,301.75,311.98,301,308.43,6671
2020-01-14,312,314,308.55,311.78,4792
2020-01-15,310,316,309.08,314.05,5595
2020-01-16,317.78,318.25,305.98,308.83,9033
2020-01-17,314.5,314.5,308.13,311.43,6585
2020-01-20,311.43,311.43,309.23,310.53,2998
2020-01-21,314.5,314.98,310.5,313.4,5732
2020-01-22,320,320,307.23,312.8,3520
2020-01-23,310,313.5,310,312.08,2848
2020-01-24,311.03,314.98,309,310.05,4336
2020-01-27,312.5,324.5,308,309.23,23630
2020-01-28,310.05,316.85,309.78,310.53,7312
2020-01-29,314.45,315,311,313.38,3745
2020-01-30,316.85,316.88,311,312.25,3436
2020-01-31,312.5,322.5,311.5,318.2,7839
2020-02-01,318.2,322,310,314.3,4442
2020-02-03,307.78,318.95,299.88,308.85,7749
2020-02-04,310.93,314.5,308.68,312.75,4498
2020-02-05,313.4,349,310,332.13,146347
2020-02-06,335,344,325.5,339.03,10586
2020-02-07,336.5,346,333.95,341.25,7025
2020-02-10,348.5,348.5,325.55,331.75,11463
2020-02-11,331.75,340,329.88,333.18,5741
2020-02-12,335,335,329,330.5,4007
2020-02-13,330.5,337.5,320,324.55,4029
2020-02-14,324.58,332.95,320,327.25,4355
2020-02-17,331.98,334.98,317.5,323.35,7737
2020-02-18,323.35,323.35,315.5,317.8,6705
2020-02-19,320,331,316.58,321.45,8619
2020-02-20,321.45,323.9,309.03,314.88,116700
2020-02-24,315.6,319.95,305.08,309.65,19115
2020-02-25,310.5,315,310,311.2,4284
2020-02-26,311.33,314.48,302.63,307.9,6458
2020-02-27,306.58,309.18,294.5,299,4956
2020-02-28,276.05,291.2,276.05,288.7,9284
2020-03-02,289.03,315,282.5,290.2,10348
2020-03-03,283.5,297.5,283.5,290.28,6395
2020-03-04,287.53,291.48,279.28,286.83,35300
2020-03-05,282,296.75,280.25,293.3,6236
2020-03-06,283,288.5,279,282.83,4245
2020-03-09,282.7,282.7,275,275.43,8593
2020-03-11,275,280.85,270,271.6,20388
2020-03-12,260,273.45,228.78,267.63,25456
2020-03-13,238,260,215.5,248.15,5211
2020-03-16,242.5,262.35,238,247.83,11394
2020-03-17,257.48,257.48,200.78,240.03,6198
2020-03-18,249.98,255.5,233.05,240.03,3517
2020-03-19,213.5,239.55,197.78,205.38,11963
2020-03-20,200.5,212.35,197.55,200.43,4889
2020-03-23,192.03,197.5,160.35,160.88,6958
2020-03-24,160.5,175.53,144.8,167.88,8269
2020-03-25,175,184.5,160,182.73,5252
2020-03-26,182.73,200.98,182.73,199.38,3369
2020-03-27,218.48,219.3,189.03,195.6,4561
2020-03-30,186.5,197.5,180,188.38,2919
2020-03-31,192.38,204.98,180.5,200.78,3131
2020-04-01,200.78,212.48,196.03,208.28,3925
2020-04-03,208.28,215,190.65,203.58,1849
2020-04-07,208,219.4,191.13,207.23,3437
2020-04-08,205,224.5,193.08,201.03,2747
2020-04-09,215,215,201.05,212.33,2385
2020-04-13,207.5,212.33,200.63,202.8,3940
2020-04-15,202,210,195.53,199.75,4775
2020-04-16,202.18,205,200,202.88,2622
2020-04-17,204.88,214.95,202.5,204.15,4512
2020-04-20,212.45,214.5,200.5,204.15,1878
2020-04-21,208.5,208.5,190.13,199.1,1240
2020-04-22,204.6,204.6,193,197,2689
2020-04-23,204.48,204.48,192.53,194.85,3539
2020-04-24,198,198,187,187.48,3032
2020-04-27,200,200,179,182.68,3513
2020-04-28,187.05,192,180.78,186.63,2880
2020-04-29,185.08,194.95,185.08,189.55,2736
2020-04-30,192,194.98,190,191.65,2343
2020-05-04,192.5,193.95,181,184.15,2999
2020-05-05,185.15,188.28,177,178.18,2113
2020-05-06,177.53,181.48,167,168,5223
2020-05-07,169.9,172.98,161.03,170.9,82362
2020-05-08,173.95,181,170.03,170.08,4076
2020-05-11,174.5,174.5,166.5,169.35,3230
2020-05-12,166.5,170.95,162.5,169.78,2447
2020-05-13,171,177.5,166,168.6,26344
2020-05-14,168.13,170,165,165.98,2729
2020-05-15,163.53,169.48,163.5,167.95,2326
2020-05-18,172.9,172.9,165,168.95,19197
2020-05-19,168.95,175.5,164.5,169.88,3450
2020-05-20,171.98,172.5,167.88,169.83,1960
2020-05-21,170.25,170.55,168.15,169.83,7539
2020-05-22,170.98,170.98,163.38,164.88,3712
2020-05-26,167.75,169.5,162.48,163.95,2480
2020-05-27,161.75,169.5,161.75,166.55,6391
2020-05-28,166.55,167.5,160.13,161.65,10715
2020-05-29,163,163,157,159.23,13295
2020-06-01,165,175.13,162.5,175.13,30671
2020-06-02,180.13,192.63,179,192.63,19138
2020-06-03,211.88,211.88,205.03,211.88,10079
2020-06-04,231.5,231.5,191.2,200.73,118132
2020-06-05,202.5,209.68,200,201.68,29753
2020-06-08,205,207.95,195,197.93,17634
2020-06-09,200,200,185.05,192.23,12943
2020-06-10,190.73,192.5,185,189.75,8857
2020-06-11,189.98,197.5,176.98,182.35,16424
2020-06-12,169.28,187.5,169.28,183.23,14001
2020-06-15,190,190,178,181.85,14238
2020-06-16,184.9,184.95,175.03,181.83,12562
2020-06-17,179,182.95,178.05,181.2,8558
2020-06-18,182.48,184,178.1,180.65,9475
2020-06-19,184,190,181.25,184.8,15937
2020-06-22,185,190,185,187.13,13251
2020-06-23,188.2,190.5,183.45,188.5,7868
2020-06-24,190,194.53,184,184.63,10268
2020-06-25,183.5,188,179.6,186.13,4787
2020-06-26,184.08,195.4,182.9,192.18,14238
2020-06-29,192,193.7,183.18,186.03,5327
2020-06-30,186.1,188,182,183,4902
2020-07-01,185.9,188.5,181.5,185.63,8062
2020-07-02,186.5,188.9,185,187.05,7150
2020-07-03,189.98,193,187.5,189.83,8995
2020-07-06,194,194,189.53,190.68,4097
2020-07-07,190,192.5,184.5,189.13,11973
2020-07-08,191,192.5,184.98,186.4,12275
2020-07-09,185.88,191,181.25,187.58,5340
2020-07-10,187.5,188.4,186.45,187.48,9819
2020-07-13,189.8,189.8,183.48,184.25,9409
2020-07-14,183.75,186.83,177.5,183.4,11768
2020-07-15,184.8,186.7,181.25,182.4,3225
2020-07-16,180.13,182.33,178.53,180.93,6165
2020-07-17,181.63,187.95,180.08,183.43,6395
2020-07-20,183.23,185.48,179.95,184,5077
2020-07-21,184.3,187.5,182.28,186.2,4263
2020-07-22,187,195.85,182.6,193.28,15648
2020-07-23,196.5,200,193,193.63,7201
