Date,Open,High,Low,Close,Volume
2025-06-27,151,158.55,151,158.55,5213000
2025-06-30,166.45,166.45,166.45,166.45,176000
2025-07-01,174.75,174.75,164,174.75,2160000
2025-07-02,168,174,166.05,166.7,1198000
2025-07-03,164,175,160.5,174.05,371000
2025-07-04,176,182.75,174,182.75,698000
2025-07-07,180.6,185,173.65,180.35,272000
2025-07-08,175,184,175,182.55,239000
2025-07-09,182.55,188.5,176.7,186.4,309000
2025-07-10,189.4,195.7,189,195.7,536000
2025-07-11,193.4,214.9,188.15,206.85,703000
2025-07-14,207,217.95,206,212.55,312000
2025-07-15,215,215,197,201.75,306000
2025-07-17,208.7,218.9,204,212.35,459000
2025-07-18,217.45,233.95,211,229.5,575000
2025-07-21,227,249.25,225,240.2,455000
2025-07-22,242,248.9,218.1,220.5,531000
2025-07-23,221,227.5,218,218.8,120000
2025-07-24,221.5,236.6,221.5,233.65,193000
2025-07-25,230,230,220.1,224.25,245000
2025-07-28,220,236,208.95,220,516000
2025-07-29,219.4,228.8,219.4,225.85,70000
2025-07-30,225.15,229.9,219.15,224.6,103000
2025-07-31,220.05,229,216,225.25,95000
2025-08-01,224,227,217,219.3,79000
2025-08-04,222,224.95,215,219,56000
2025-08-05,220.5,220.5,213,216.6,36000
2025-08-06,212.2,214.05,206,209.55,58000
2025-08-07,209,209,202,206.6,92000
2025-08-08,209.1,209.1,201,204,55000
2025-08-11,204.1,204.1,191,193.1,94000
2025-08-12,195,209,193,207,153000
2025-08-13,208.95,216,201.2,202.65,389000
2025-08-14,201.25,207.6,201.25,203.4,252000
2025-08-18,207,215,205,211.15,275000
2025-08-19,208,213,208,208.7,229000
2025-08-20,209.95,211,204,204.35,20000
2025-08-21,204.1,204.5,199.5,200.05,138000
2025-08-22,202.95,208,200,206,220000
2025-08-25,206,206,200,200.85,41000
2025-08-26,200.85,200.85,188,192.95,123000
2025-08-28,188,195.4,188,190.3,40000
2025-08-29,190.3,204.35,188.7,201.4,79000
2025-09-01,200.05,210,200.05,209.45,61000
2025-09-02,208,208.05,200,202.65,71000
2025-09-03,205.3,214.8,201.05,204,139000
2025-09-04,205,206,201.35,205,20000
2025-09-05,204,204,200.6,201.55,17000
2025-09-08,208,208.5,198.4,199.8,36000
2025-09-09,198.5,200,196,199.3,49000
2025-09-10,200.5,201,198.2,199.5,25000
2025-09-11,200,207.95,200,203,209000
2025-09-12,204,204,201,202.8,60000
2025-09-15,204.75,206.5,203.2,205.4,74000
2025-09-16,209.5,224.7,208.8,218.8,346000
2025-09-17,220,231.85,220,225.55,317000
2025-09-18,225,232.9,225,230.3,196000
2025-09-19,233.8,235,225.15,230,115000
2025-09-22,234.9,234.9,218,221.9,170000
2025-09-23,228,228,213,215.75,115000
2025-09-24,215.25,215.25,200.4,204.5,186000
2025-09-25,203.7,205.75,198,198.2,133000
2025-09-26,199.45,200,192.5,193.75,48000
2025-09-29,191,194,189,190.2,70000
2025-09-30,192.4,194,180,183.9,87000
2025-10-01,186,187.15,181,186.95,78000
2025-10-03,187.15,187.15,183,184.1,48000
2025-10-06,185,185,175,184.05,148000
2025-10-07,185,187.9,183.3,186.75,82000
2025-10-08,190,190,186,187,30000
2025-10-09,185,190,185,188,17000
2025-10-10,188,190,183.05,187.35,71000
2025-10-13,185.5,188.9,185.5,188.9,32000
2025-10-14,191.9,192,184,184.4,56000
2025-10-15,184,187.8,184,187.8,2000
2025-10-16,183.3,193,183.3,186.25,29000
2025-10-17,188.1,192,188.1,189.55,32000
2025-10-20,192.85,193.5,190,190,17000
2025-10-21,191.9,193.9,191.9,193.6,7000
2025-10-23,192.75,193.35,186,187.55,49000
2025-10-24,185,189,184.5,186.6,43000
2025-10-27,185.7,189,185.7,188.5,9000
2025-10-28,184.15,186.95,184.15,186.95,35000
2025-10-29,188,193.5,186.25,192.5,42000
2025-10-30,191,202.95,191,195,108000
2025-10-31,195,198,194,195.8,41500
2025-11-03,196.9,202.5,196.9,199.1,64500
2025-11-04,199.1,201,191.6,194.55,65500
2025-11-06,198.45,207.3,195,199,281500
2025-11-07,196,197.7,192,195.75,145000
2025-11-10,198.9,203.8,191,194.65,105500
2025-11-11,232,232,209,212.05,894000
2025-11-12,220,247.5,218,239.2,888000
2025-11-13,244,287,242,268.9,903500
2025-11-14,269.85,315.5,269.85,301.1,849000
2025-11-17,287,319,287,308.45,289500
2025-11-18,311.5,314.95,290.1,291.75,147500
2025-11-19,294.2,302.95,285,290.55,178500
2025-11-20,292,300,287,290.95,63000
2025-11-21,285.35,291.95,278,281.65,66500
2025-11-24,281.65,287.45,262,266.2,82500
2025-11-25,274.9,289,272,282.45,73000
2025-11-26,283,294.45,273.2,282.4,86500
2025-11-27,277.65,282.9,277.25,278.35,90000
2025-11-28,281.05,306.15,279,304.4,321500
2025-12-01,308,308,279,282.1,129000
2025-12-02,282.6,287,275,278.7,56000
2025-12-03,279,279,273.1,276.75,27000
2025-12-04,279.95,281.05,273.05,274.55,27500
2025-12-05,270.25,277.4,270.1,276.05,41500
2025-12-08,279,280,264,271.9,77500
2025-12-09,265.05,270.5,259.1,261.75,99000
2025-12-10,266,281,266,274.55,51500
2025-12-11,273,273,265,268.05,25500
2025-12-12,272,272.5,265.25,266.55,9500
2025-12-15,272.8,290,270.3,272,67500
2025-12-16,273.1,273.1,266,269,16000
2025-12-17,269,275,266.5,269,23000
2025-12-18,263,274,260,268.45,43500
2025-12-19,273,275,268.05,272.35,9000
2025-12-22,265.5,275,265.5,266.25,28000
2025-12-23,273.25,273.25,266,266.3,22500
2025-12-24,264.1,272.25,262,267.45,16000
2025-12-26,268,270.5,263,263.85,17000
2025-12-29,261.2,268,250,256.3,40000
2025-12-30,259,259,252,257,15000
2025-12-31,260,260,260,260,3500
2026-01-01,262,263,257,260,6500
2026-01-02,261,265,261,263.9,10500
2026-01-05,288,288,258,270,28000
2026-01-06,269.95,269.95,262.55,266,25000
2026-01-07,266,272,266,266.35,7000
2026-01-08,267,269.85,255,255.9,29000
2026-01-09,258,260,254.05,260,21500
2026-01-12,265.2,269.95,253,265.4,116000
2026-01-13,262,262,257.5,258.5,30500
2026-01-14,253,258.5,239.95,246.15,151500
2026-01-16,249,249.9,238,240.6,42000
2026-01-19,232,239,216.55,216.6,158500
2026-01-20,219.9,234.4,214,226.45,149000
2026-01-21,220,230,220,229.85,52000
2026-01-22,230,234,225,225.45,36000
2026-01-23,225.45,225.45,213.4,214.55,45000
2026-01-27,215,215,201.7,206.35,125000
2026-01-28,214,226.8,211.85,221.5,97000
2026-01-29,225,232.5,225,230.5,37500
2026-01-30,231,242,224.95,225.3,110500
2026-02-01,225.6,230,215,215.75,33500
2026-02-02,216.15,216.15,210,212.95,24500
2026-02-03,228.8,234.2,221,230,42000
2026-02-04,220.2,230.5,218.3,219.7,41000
2026-02-05,220.1,227.9,219.1,225,55000
2026-02-06,227.5,230,221.5,228,31500
2026-02-09,230,244,230,243.15,38500
2026-02-10,241.5,285.2,241.5,274.6,305500
2026-02-11,277.35,292,261,289.1,281000
