Date,Open,High,Low,Close,Volume
2024-07-19,171,179.55,171,179.55,344800
2024-07-22,188.53,188.53,188.53,188.53,82400
2024-07-23,197.95,197.95,197.95,197.95,78400
2024-07-24,207.83,207.83,207.83,207.83,435200
2024-07-25,218.2,218.2,218.2,218.2,144800
2024-07-26,229.1,229.1,229.1,229.1,43200
2024-07-29,240.55,240.55,240.55,240.55,27200
2024-07-30,252.58,252.58,252.58,252.58,27200
2024-07-31,265.2,265.2,252.58,265.2,926400
2024-08-01,270,276.75,251.95,251.95,398400
2024-08-02,224.5,302.33,221,294.88,1387200
2024-08-05,307,345,292.68,317.8,745600
2024-08-06,334.5,356.5,281.68,294.38,511200
2024-08-07,305,317.5,283,303.3,262400
2024-08-08,304.48,309.48,294.03,298.98,123200
2024-08-09,300.53,309.35,287.5,290.4,88800
2024-08-12,290.4,290.4,267.88,276.03,169600
2024-08-13,281.6,293.88,270,272.25,148800
2024-08-14,279.48,326.7,274.13,326.7,300800
2024-08-16,364.5,382.35,339,357.1,368800
2024-08-19,357.1,385.5,352.65,359.1,240800
2024-08-20,369,372.5,330.08,336.13,134400
2024-08-21,333.5,337.18,314,320.28,216800
2024-08-22,320.28,352.5,320.28,341.78,211200
2024-08-23,347,347.05,325.53,333.38,194400
2024-08-26,345.98,346,331.75,340.93,48800
2024-08-27,340.93,395,333,371.3,280000
2024-08-28,378.48,378.5,346,354.08,117600
2024-08-29,355,357.43,339.55,348.25,51200
2024-08-30,352.5,367.5,347.5,349.98,73600
2024-09-02,350,356,339,341.73,64000
2024-09-03,336.03,344.5,335,340.78,55200
2024-09-04,340.9,342.5,333.28,336.33,64000
2024-09-05,340.95,340.95,327.25,329.33,81600
2024-09-06,330.65,334.45,299,307.15,155200
2024-09-09,309,317.25,293.13,294.95,128800
2024-09-10,299.45,301,282.55,289,108800
2024-09-11,299.5,299.5,275,282.35,88800
2024-09-12,284.5,333,284.5,316.13,173600
2024-09-13,321.45,331.5,315,324.33,121600
2024-09-16,333,360,333,353.33,176800
2024-09-17,352.93,352.93,324,335,80000
2024-09-18,332.5,337.75,320.03,332.1,49600
2024-09-19,333,342,310,328.6,56000
2024-09-20,330,345,326.53,332.63,48800
2024-09-23,333,355,333,339.08,124800
2024-09-24,338.9,340,325.03,326.33,32800
2024-09-25,326.13,334.7,316.5,317.68,58400
2024-09-26,323,324.75,303,309.3,47200
2024-09-27,310,328.7,300,316.18,85600
2024-09-30,316.18,322.25,306.1,320.58,33600
2024-10-01,317.55,320,312.6,314.63,39200
2024-10-03,311,312.6,297.5,299.6,72800
2024-10-04,303.5,319.48,300,308.35,132800
2024-10-07,310,314.98,287.5,290.15,72000
2024-10-08,297,314,290,302.98,50400
2024-10-09,302.98,305.1,295,304.8,24000
2024-10-10,305,315,298.5,313.58,23200
2024-10-11,312.5,312.5,301.25,304.63,26400
2024-10-14,307.5,310,297.25,299.85,36800
2024-10-15,297.25,299,288.5,293.53,21600
2024-10-16,300,305,295.13,301.75,20000
2024-10-17,298,305,292.5,298.48,26400
2024-10-18,288.5,295.5,288.5,290.98,25600
2024-10-21,297,297,280,281.5,31200
2024-10-22,281,281,267.43,267.43,50400
2024-10-23,263.5,272,254.05,262.5,48800
2024-10-24,265,267.5,257,259.7,24800
2024-10-25,248,259,246.73,247.88,138400
2024-10-28,258.5,258.5,236.05,251.4,44800
2024-10-29,256.45,263.95,246,263.95,40800
2024-10-30,268.5,277.13,250.75,253.25,126400
2024-10-31,250,260.5,240.6,259.15,85200
2024-11-01,266.28,267.8,248,259.68,24600
2024-11-04,260.03,260.73,250,257.03,31200
2024-11-05,253.4,269.88,252,269.88,45400
2024-11-06,283,283.35,270.5,283.35,28000
2024-11-07,297.5,297.5,287.5,297.5,60200
2024-11-08,294,305,285,293.23,32000
2024-11-11,285.05,300,280.5,286.43,23200
2024-11-12,286.43,287,272.55,274.43,23800
2024-11-13,272.5,274.5,260.7,261.03,25000
2024-11-14,251.5,269.5,248.05,260.75,29000
2024-11-18,259,269,250,265.35,23200
2024-11-19,259,265.95,252.5,254.38,48000
2024-11-21,261.8,261.8,250,252.1,25400
2024-11-22,254.85,259.75,249.5,250.93,19400
2024-11-25,258,259.95,248.18,253.73,39000
2024-11-26,259,259,250,253.75,11000
2024-11-27,250.75,256,247.25,250.13,27000
2024-11-28,250,250.13,245.05,247.7,23200
2024-11-29,249,252.45,246.75,250.85,27800
2024-12-02,263.38,263.38,260,263.38,41600
2024-12-03,276.5,276.53,270,276.08,66600
2024-12-04,276.08,285.55,262.5,268.23,50000
2024-12-05,257.78,272,257.78,269.23,18800
2024-12-06,275,275,265.55,268.75,8200
2024-12-09,267.5,273.53,266.25,268.6,15200
2024-12-10,273.48,273.48,263.63,265,20000
2024-12-11,270.2,270.23,258,260.5,11000
2024-12-12,252,264.5,252,258.9,15400
2024-12-13,259.08,263.98,252.5,257.75,12800
2024-12-16,250.28,267.45,250.28,256.95,21200
2024-12-17,257,269.78,254,269.65,58000
2024-12-18,269,279.98,260.15,270.03,36200
2024-12-19,265,270,257.78,268.8,20000
2024-12-20,275.78,275.78,264.25,264.88,54000
2024-12-23,269.3,269.3,255,259.23,15400
2024-12-24,259.23,263.28,255,262.03,8600
2024-12-26,262,262,255.6,257.6,12000
2024-12-27,248.05,260,248.05,254.18,14800
2024-12-30,257.5,259.98,252,252.9,17800
2024-12-31,254,257.45,249.5,257.4,16800
2025-01-01,252.73,260,252.73,256.8,13800
2025-01-02,257.5,269.63,254.1,269.63,36200
2025-01-03,269.63,278.75,267.48,274.3,38400
2025-01-06,277.45,287.5,267.53,275.6,85200
2025-01-07,274.85,280,267,269.5,25400
2025-01-08,269.5,275,262.75,266.83,15000
2025-01-09,269.75,274,260.65,261.6,16600
2025-01-10,261.7,271.5,250.75,262.53,26200
2025-01-13,262.5,267.48,240,247.03,39000
2025-01-14,253.93,257.98,246.3,255.18,21600
2025-01-15,255.18,260.9,253.05,254.63,8000
2025-01-16,255.53,257.75,250.8,251.3,14600
2025-01-17,254.43,258,250,255.13,17000
2025-01-20,257.5,257.5,252.8,254.68,10400
